證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 預付設備款增加,　　 應付短期票券增加,　　 其他籌資活動,　　 取得投資性不動產,　　 短期借款減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 處分子公司,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　　　　 持有供交易之金融資產（增加）減少,　　　　 股利收入,　　　　　 應付建造合約款（增加）減少,　　 處分備供出售金融資產,　　　　 處分其他資產損失（利益）,　　 預付投資款增加,　　 其他非流動資產減少
1201,2015年01月01日至2015年09月30日,,             -1148758,               -476563,             -1625321,,,                965852,                  9958,                  5543,                341334,                -14541,                 -6730,                 72401,                 22561,              1396378,,,                 36317,               -871531,                 81429,                              0,                 75210,                261354,                120430,                172933,                -44349,               -168207,,                -13945,                370023,                 34641,                   -228,                432586,                -93618,                -47203,               -352572,                329684,                161477,              1557855,                -67466,                 14541,                    800,               -345840,               -143866,               -541831,,                              0,               -984073,                212109,                166885,                 -6197,                 38719,               -136180,               -708737,,                558766,               -169956,              2281905,             -9211136,                -23119,              7945060,                              0,                 -2896,              1378624,                -38338,                 89718,              2651159,              2740877,              2740877,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2015年01月01日至2015年06月30日,,               -787413,                 92983,               -694430,,,                640350,                  4408,                  5269,                158669,                -10277,                   -398,                 52202,                              0,                757240,,,                 44555,               -399754,                 10811,                              0,                 71550,                129262,                 95777,                 58801,                171625,                182627,,                 -3380,                261839,                 37554,                   -118,                -35995,                -93618,                -54208,               -123447,                -11373,                171254,                928494,                234064,                 10277,,               -160289,                -91196,                 -7144,,                              0,               -688395,                 45412,                172204,                 -1946,,                -16075,               -477415,,                281916,,                734826,             -1771827,                -23348,                939380,,                     32,                -10402,                -34109,               -529070,              2651159,              2122089,              2122089,                -92983,                 11385,                     44,               -171425,,,,,,,,,,,,,,,,,,,,,
1201,2015年01月01日至2015年03月31日,,               -362603,                -11978,               -374581,,,                321928,                  2486,                    324,                 76193,                 -5178,                 -1284,                 21553,                              0,                416022,,,                 59745,                -22151,                 42914,                              0,                  4291,                -54658,                126842,                105145,                -26194,                235934,,                  5886,                101317,                  5469,                              0,               -395752,                -33984,                -29025,               -143357,               -489446,               -253512,                162510,               -212071,                  5178,,                -71500,                -70723,               -349116,,,               -487175,                 24447,                170186,                 -1958,                 20289,,               -274211,,                              0,                -49956,                538294,               -579462,                 22042,                997900,                              0,                     32,                292629,                -13813,               -344511,              2651159,              2306648,              2306648,,                              0,                              0,,                              0,               -636221,                              0,                              0,,,,,,,,,,,,,,,,,
1201,2014年度,,               -170675,                -59561,               -230236,,,              1189874,                  9407,                 -3933,                248982,                -34450,                 -3808,                125677,                 75683,,,,                -29780,                505598,                 96068,                 19078,                -36023,                  4100,               -271705,               -172626,                 18288,                132998,,                    686,               -248879,               -101814,                 -1208,                 57256,                 46672,                 94334,               -299920,               -452873,               -319875,              1287615,              1057379,                 34450,                    799,               -220042,               -407234,                465352,,                              0,             -2468802,                 45642,                  1533,                 -5742,                375117,,             -2783571,,                              0,                 -4944,                500163,             -1501231,                  5913,              3165000,               -303638,                117475,              1970880,                 65302,               -282037,              2933196,              2651159,              2651159,,                              0,,,               -407974,                 -7858,,,,                              0,                     58,                              0,              1607490,                              0,                  2650,                              0,               -325995,                              0,,,,,,,
1201,2014年01月01日至2014年09月30日,,                753550,               -185984,                567566,,,                880166,                  7824,                 -6086,                192313,                -25476,                 -8310,                 94446,                              0,              1134877,,,                -35638,               -808310,                -54843,                 17224,                  3345,               -145409,                -78662,                187866,               -299111,             -1213538,,                  7331,                437681,                 22026,                 -1208,                121994,                241971,                 89424,                -14235,                904984,               -308554,                826323,              1393889,                 25476,                              0,               -179762,               -385189,                854414,,                              0,             -2107054,                 35312,                 45043,                 -5207,                              0,                              0,             -2031906,,              1131289,                170100,                423391,               -808187,                  7529,                              0,               -303638,                192703,                813187,                -13704,               -378009,              2933196,              2555187,              2555187,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年01月01日至2014年06月30日,,                614983,                              0,                614983,,,                580719,                  5242,                    581,                127969,                -17294,                 -6309,                 60505,                              0,                751413,,,                -59422,               -895190,               -182465,                 13866,                 28359,               -236258,                -97966,                206324,               -205514,             -1428266,,                  4605,                559537,                 36755,                 -1326,               -117663,                -46195,                 46174,                 -8652,                473235,               -955031,               -203618,                411365,                 17294,,               -127279,               -210591,                 90789,,                              0,             -1127804,                 15849,                 37349,                 -4769,,                              0,             -1079375,,              1549963,,                559246,               -770955,                  2666,                              0,,                196143,              1622163,                -46663,                586914,              2933196,              3520110,              3520110,                              0,                              0,                 85100,                              0,,,,,,,,,,,,,,,,,,,,,
1201,2014年01月01日至2014年03月31日,,                320712,                              0,                320712,,,                287376,                  2564,                    323,                 63683,                 -6849,                 -3640,                 27620,                              0,                371077,,,                  1840,               -289600,                -11818,                   -810,                 56365,               -179782,               -232819,                -20987,                -52711,               -730322,,                 11734,                393492,                  9802,                  4351,               -523752,                -11848,                 65440,                 -4636,                -55417,               -785739,               -414662,                -93950,                  6849,,                -47543,                -56405,               -191049,,,               -736636,                  7146,                 44255,                 -2334,                              0,,               -832685,,                753095,                              0,                 96830,                -30054,                              0,                              0,                              0,                    143,                862182,                 -1536,               -163088,              2933196,              2770108,              2770108,,               -145116,                 46100,,                              0,                              0,                 -3932,                              0,,,,,,,,,,,,,,,,,
1201,2013年度,,              1106612,                              0,              1106612,,,              1123854,                  7106,                 -1537,                241190,                -27320,                -16891,                 69603,                110182,,,,                 46330,                238266,               -107003,                232988,               -110058,             -1017027,               -257956,               -190895,                 -6835,             -1172190,,                  3019,               -129976,                  7779,                -29258,                395188,                 44727,                 18059,                -53863,                256041,               -916149,                584387,              1690999,                 27320,                    799,               -243757,               -578849,                896512,,               -127500,             -2333856,                210540,                              0,                 -7542,                              0,,             -2622714,,                861146,               -105074,              3922174,             -3172129,                 19024,                              0,               -303638,                416512,              1638015,                 15215,                -72972,              3006168,              2933196,              2933196,,               -357326,,,                              0,                              0,,,,                    154,                              0,                 -5805,              1500536,                    366,                              0,                -82960,                              0,                 75930,,,,,,,
1201,2013年01月01日至2013年12月31日,,              1106612,,              1106612,,,              1123854,                  7106,                 -1537,                241190,                -27320,                -16891,                 69603,                110182,,,,                 46330,                238266,               -107003,                232988,               -110058,             -1017027,               -257956,               -190895,                 -6835,             -1172190,,                  3019,               -129976,                  7779,,                395188,                 44727,                 18059,                -53863,                256041,               -916149,                585186,              1691798,                 27320,,               -243757,               -578849,                896512,,               -127500,             -2333856,                210540,,                 -7542,                              0,,             -2622714,,                861146,               -105074,              3922174,             -3172129,                 19024,,               -303638,                416512,              1638015,                 15215,                -72972,              3006168,              2933196,              2933196,,               -357326,                              0,,                              0,,,,,                    154,,                 -5805,              1501335,                    366,,                -82960,                              0,                 75930,,                    799,                -29258,                              0,,,
1201,2013年01月01日至2013年09月30日,,              1079823,,              1079823,,,                869930,                  4369,                    637,                180075,                -13563,                -15074,                 31064,                 16342,,,,                 10974,               -908724,               -260651,                195799,               -105467,             -1103762,               -348061,                -15398,               -147960,             -2683250,,                 11403,                438079,                 83990,                 33483,                516657,                 45987,                 47501,                -25323,              1152143,             -1531107,               -457173,                622650,                 13563,,               -162549,               -508901,                -35237,,               -127500,             -1712451,                191691,                              0,                 -6378,,,             -1716922,,              1700067,                -44974,              2151373,             -2300013,                 17845,,               -303638,                252984,              1473450,                  1289,               -277420,              3006168,              2728748,              2728748,,,                              0,,,,,                   -194,,                    154,,,              1073934,                    366,,                -62284,,,,,,,,,
