證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　 存出保證金減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 非金融資產減損損失,　　 其他應收款－關係人增加
1216,2015年01月01日至2015年09月30日,,             24315475,             24315475,,,             14364736,                556022,                135545,                -11558,              1784744,               -942279,               -719639,             -3518069,                 90912,                              0,                  7805,               -452780,               -471168,               -168889,                              0,                -16296,                 92707,             10731793,,,               -702249,                129328,                              0,             -3300827,                508442,              2796945,                443982,               -472580,               -596959,,                363319,              2742890,              7876144,             -2487526,                 41041,               -312237,              8223631,              7626672,             18358465,             42673940,                799993,              2846067,             -1677936,             -5039566,             39602498,,             -1240674,              2256673,                              0,                -91355,                120304,                 33600,               -129214,                 60570,                              0,                  3121,                387937,            -12226542,                685923,               -158820,                    128,               -249610,               -119623,                              0,            -12085667,                -31457,             -2931139,               -529244,                              0,            -26245089,,              5666343,              1533693,                717242,             -2250000,            147908170,           -161960854,                174650,                              0,                210879,             -7648867,                209856,             -5712301,            -21151189,                747416,             -7046364,             43858837,             36812473,             36812473,,,,,,,,
1216,2015年01月01日至2015年06月30日,,             17248460,             17248460,,,              9580325,                356173,                 30281,                -45596,              1212024,               -637352,               -626976,             -2437109,                 47898,                              0,                  7232,,               -893271,               -175063,                              0,                -14114,                 58676,              6463128,,,             -5774828,                247867,                              0,             -1632899,                468423,              2919916,                384035,                -53188,             -3440674,,                -66862,              1469225,              9477789,             -3964574,                 18450,               -204574,              6729454,              3288780,              9751908,             27000368,                596958,              1002225,             -1343050,             -3179168,             24077333,,               -773215,              1527840,                              0,                -38972,                 75930,                              0,               -128387,                 32067,                387937,                  3121,,             -8039788,                214002,                -63731,                  1011,               -200641,               -106696,                              0,             -2440447,                -16796,             -1596324,               -481897,                              0,            -11644986,,              8209150,              1672038,                717242,             -2250000,            102246258,           -107233121,                195149,                              0,,,                175339,             -6894807,             -3233777,                804418,             10002988,             43858837,             53861825,             53861825,                -71025,,,,,,,
1216,2015年01月01日至2015年03月31日,,              8369130,              8369130,,,              4808107,                173083,                 18470,                -38004,                598486,               -291532,,             -1117519,                 18650,                              0,                  6394,               -452780,               -297198,,                              0,                 -3708,                 64105,              3486554,,,               -136714,                -18345,                              0,                 15131,                688094,              1472168,               -695414,                 44106,              1369026,,                637084,               -208750,              3371658,             -2039927,                  5762,                -82785,              1683042,              3052068,              6538622,             14907752,                177522,,               -656111,               -655487,             13773676,,               -357607,                798550,                              0,                -38972,                 65238,                              0,               -128387,                 32067,                              0,                  2425,                275402,             -4447586,                 78742,,                    276,                -82536,                -99155,                              0,            -13053889,                -51796,               -642901,               -469983,                              0,            -18368995,,              8891810,                116953,                717242,                              0,             49031001,            -55579831,,                              0,                 87097,                              0,                137505,               -603867,              2931433,                 80301,             -1583585,             43858837,             42275252,             42275252,,               -248883,                133523,,,,,
1216,2014年度,,             22261814,             22261814,,,             18485182,                674089,               -209838,               -123419,              2384834,               -955874,,             -2452657,                161459,                   -632,                 35083,,             -1651743,,                 34256,                362729,              1445786,,,,             -2310282,                  3151,                              0,                437507,               -436693,              1882408,             -1129629,               -583031,             -2136569,,               -413574,                -68335,              1121062,                207599,                 13627,,                496800,             -1639769,             16549486,             38811300,                881832,,             -2056012,             -4589906,             33047214,,             -2024572,              1650266,                 25000,               -451649,                289406,                  9333,               -837219,                265793,              1475968,                177936,                 14424,            -24921941,                535219,,                 -1643,               -432620,                -83601,                  1434,             -3641209,               -562133,             -5001746,             -1054767,,            -34664445,,              4461875,               -572900,             19584021,             -2400000,            129333679,           -136870068,,                              0,                 96857,             -7731334,               -256821,               -162703,              5567048,                 20302,              3970119,             40807550,             44777669,             44777669,,                -96124,                 84442,,             18189255,               -363579,,
1216,2014年01月01日至2014年09月30日,,             18421038,             18421038,,,             13440173,                493433,                -60384,                -95290,              1760324,               -696361,               -456888,             -2881847,                 47317,                   -632,                 33217,             -1118398,               -360887,                -62188,                              0,                  8238,                 57933,             10107760,,,                445226,                445308,                              0,             -2853872,             -1904673,              2489705,               -928558,               -524097,             -2830961,,               -384392,              1912991,              5874268,             -3861008,                 68783,               -266776,              3343866,                512905,             10620665,             29041703,                626395,              2302979,             -1545503,             -3732210,             26693364,,             -1319968,              1385106,                 25217,               -438610,                255011,                  9333,               -895324,                166908,                              0,                172414,              1445650,            -19834285,                239457,                -84734,                   -308,               -274728,                -55470,                  1415,            -10988104,               -108628,             -2935524,               -542516,                 -3667,            -33781355,,              9771715,              1548785,             19268005,               -750000,             93042496,           -106102196,                -56415,                              0,                 23072,             -7731334,               -256821,             -1276082,              7481225,                372249,                765483,             40034826,             40800309,             40800309,,,,,,,,
1216,2014年01月01日至2014年06月30日,,             13749607,             13749607,,,              8853689,                357647,                -66873,                -41421,              1228378,               -426008,               -342207,             -2119756,                 20171,                   -632,                 26490,,             -1358244,                -31326,                              0,                 -2758,                 66306,              6163456,,,             -6052174,                480221,                              0,             -1777691,               -639188,              2882059,               -421718,               -338308,             -5866799,,               -106817,               -383951,              7674592,             -4008769,                116703,               -168674,              3123084,             -2743715,              3419741,             17169348,                417521,                915391,             -1211586,             -2248114,             15042560,,               -815095,                835995,                 25000,               -252932,                              0,                  9333,               -834071,                 84925,              1445650,                132269,,            -13560706,                170811,                 -2987,                   -605,               -136679,                -34048,                  1415,               -291311,                  1040,             -1540740,               -452384,                  8356,            -15206764,,              7435646,                -21540,             14300277,               -750000,             65640677,            -75342440,                -45741,                              0,,,                -46323,             -2114153,              9091842,                609692,              9537330,             40034826,             49572156,             49572156,                 35439,,,,,,,
1216,2014年01月01日至2014年03月31日,,              7665550,              7665550,,,              4393492,                187928,               -116011,                -11584,                612644,               -184547,,             -1138179,                  6475,                   -625,                 15422,             -1118398,               -223312,,                              0,                 -6879,                 10614,              2427040,,,               -538873,                 92332,                              0,               -316722,               -532515,              2335807,             -1770622,                147903,               -582690,,               -526950,                837919,                413278,             -3002615,                 95086,                -77320,             -2260602,             -2843292,               -416252,              7249298,                168798,,               -510685,               -165987,              6741424,,               -122777,                521978,                              0,                 -6094,                              0,                              0,               -549998,                              0,                              0,                134714,              1445650,             -6395801,                159993,,                   -378,                -52707,                -33434,                  1088,             -8593088,                -40408,               -620854,               -270249,                  2400,            -14364084,,             11038567,                196115,              8500277,                              0,             27446891,            -39259579,,                              0,               -136777,                              0,                  4009,                -83489,              7630665,               -118538,               -110533,             40034826,             39924293,             39924293,,                 55881,                -75349,,,,,
1216,2013年度,,             25282161,             25282161,,,             15723309,                604826,               -138304,                -19048,              2082438,               -712033,,             -2205913,                212398,                -24572,                              0,,             -2549280,,                 57435,                249884,              1219853,,,,             -3213168,                414659,                              0,                -38146,                700321,             -2051921,             -2028395,               -255489,             -6472139,,                 20407,                526898,                426239,              2881224,               -259794,,              3332389,             -3139750,             11361243,             36643404,                712033,,             -2025595,             -4984577,             30345265,,             -1207517,              4380367,                    184,               -223503,                460983,                 81842,             -1459880,              1921933,                              0,                 21849,                              0,            -31783690,              1330206,,                  1681,               -457224,               -485368,                116274,                 28283,               -661392,             -3993441,             -3571690,,            -35734617,,              5698570,               -492309,              6918987,             -1450000,            101769062,            -99254914,,                              0,                -16197,             -6807464,                 54115,             -2867002,              4149822,             -1898361,             -3137891,             43945441,             40807550,             40807550,,               -234514,                596974,,             14500993,               -262585,,
1216,2013年01月01日至2013年12月31日,,             25282161,             25282161,,,             15723309,                604826,               -138304,                -19048,              2082438,               -712033,              1330220,             -2205913,                212398,                -24572,,,             -1836627,               -712653,                 57435,                249884,               -110367,,,,             -3213168,                414659,,                -38146,                700321,             -2051921,             -2028395,               -255489,             -6472139,,                 20407,                526898,                426239,              2881224,               -259794,,              3332389,             -3139750,             11361243,             36643404,                712033,,             -2025595,             -4984577,             30345265,,             -1207517,              4380367,                    184,               -223503,                460983,                 81842,             -1459880,              1921933,,                 21849,,            -31783690,              1330206,               -234514,                  1681,               -457224,               -485368,                116274,                 28283,               -661392,             -3993441,             -3571690,,            -35734617,,              5698570,               -492309,              6918987,             -1450000,            101769062,            -99254914,                596974,                              0,,             -6807464,                 92937,             -2867002,              4188644,             -1937183,             -3137891,             43945441,             40807550,             40807550,                -16197,,,,             14500993,               -262585,,
1216,2013年01月01日至2013年09月30日,,             21414289,             21414289,,,             11597759,                363046,                  8889,                116237,              1537472,               -531654,              1329063,             -1605925,                 56391,                -26702,                              0,,             -1758515,               -712802,                 29062,,                 86952,,,,             -2136626,                140589,                              0,             -2422719,             -1935775,               -616397,             -1652199,               -318146,             -8941273,,               -820072,              2516885,              4507881,             -1349926,                -36819,,              4471287,             -4469986,              6041492,             27455781,                522112,,             -1447996,             -4089665,             22440232,,             -1015436,              3912486,                              0,                -94355,                382183,                 68213,             -1285134,              1912071,                              0,                 21849,,            -25200834,                973113,,                  1309,               -264604,               -142241,                144996,             -8961083,               -390333,             -2962427,             -2252572,                              0,            -35297204,,              8650071,                768778,              6833010,               -700000,             69486107,            -70094745,,                              0,               -325221,             -6807464,                 61651,             -3741678,              4229174,                -66176,             -8693974,             43945441,             35251467,             35251467,,               -144405,                 98665,,             10511478,               -346662,                 22205,
