證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　 存入保證金減少
1219,2015年01月01日至2015年09月30日,,                 42567,                 42567,,,                 77910,                  3570,                 -2100,                  3787,                 14490,                 -1234,                 15907,                 -6487,                   -450,                    781,                 -1136,                 -2021,                              0,                    717,                103734,,,                 -6351,                 -3167,                -13463,                 27144,                -11460,                  1908,                -25247,                  3624,                -27012,,                 11393,                -13647,                 -4374,               -111925,                  9852,                 -5307,               -114008,               -141020,                -37286,                  5281,                  1234,                -14130,                 -5766,                -13381,,                 -2001,                  8143,                              0,               -617138,                  1081,                 -7474,                              0,                 -7770,                              0,                              0,                  1055,               -624104,,                562646,                              0,                 54797,                              0,                    243,                -56374,                561312,                     99,                -76074,                875250,                799176,                799176,,,,,,,,,,,,,,,,,
1219,2015年01月01日至2015年06月30日,,                 21113,                 21113,,,                 50923,                  4272,                 -4100,                  8835,                  8100,                   -960,                 15907,                  1951,                   -215,                  5215,                 -1111,                              0,                 -2021,                   -807,                 85989,,,                 31707,                 29193,                -29381,                 45290,                  1244,                  4398,                -12643,                  4504,                 74312,,                  5412,                -31707,                 -6550,                -41903,                     76,                   -445,                -75117,                   -805,                 85184,                106297,                    960,                 -7936,                 -5766,                 93555,,,,                              0,               -415294,                    843,                 -4390,                              0,                -14080,                 -2060,,                              0,               -430866,,,                311670,                  4697,                              0,                    182,                              0,                316549,                     96,                -20666,                875250,                854584,                854584,                              0,                 -2001,                  6116,,,,,,,,,,,,,,
1219,2015年01月01日至2015年03月31日,,                 26381,                 26381,,,                 25026,                  1914,                 -4100,                  5886,                  3839,                   -150,                              0,                 -1146,                      7,                     63,                   -133,,,                   -254,                 30952,,,                 47728,                 88244,                -11549,               -203185,                   -897,                 -2729,                 -3093,                  4069,                -81412,,                  8961,                  9109,                -24889,                -61647,                 10095,                    440,                -57931,               -139343,               -108391,                -82010,                    150,                 -3680,                              0,                -85540,,                              0,                  3135,                              0,               -152294,                     81,                   -633,,                -14080,                 -1528,                              0,,               -165319,,,                221958,                 -9091,                              0,                    303,                              0,                213170,                     40,                -37649,                875250,                837601,                837601,,,,                              0,                              0,                              0,,,,,,,,,,,
1219,2014年度,,                145728,                145728,,,                 96577,                  5139,                    482,                 -5647,                 16476,                 -1771,                   -305,                -26963,                     86,                    928,                   -341,                              0,                              0,                  1010,,,,                 26105,                -98177,                     87,               -167884,                -27353,                 27761,                 -5978,                    356,               -245083,,                 -3310,                 21465,                 19138,                109021,                 -5326,,                112593,               -132490,                -46819,                 98909,                  1805,                -15810,                   -514,                 84390,,,,                              0,               -436925,                    254,                 -3873,                 91192,                -39727,                 -5411,                 19470,,               -367658,,,                321382,                172728,,                   -299,                -47004,                539807,                    443,                256982,                618268,                875250,                875250,                              0,                 -3003,                 10365,,,,,                 85671,                -28395,                 93000,,,,,,,
1219,2014年01月01日至2014年09月30日,,                 61103,                 61103,,,                 71868,                  3665,                  5544,                    755,                 12890,                   -898,                 19165,                -10014,                    -86,                    140,                   -341,                              0,                              0,                   -397,                102291,,,                 27443,               -185489,                  1831,               -167190,                -15847,                 33476,                  7156,                 -2302,               -300922,,                  4916,                 12614,                  2283,                 33407,                 89742,                -27193,                115769,               -185153,                -82862,                -21759,                    932,                -12385,                   -278,                -33490,,                              0,                 10364,               -143000,               -185424,                     98,                   -654,                              0,                 -4489,                              0,                              0,                              0,               -323105,,                221336,                              0,                181818,                              0,                   -299,                -47004,                355851,                    570,                   -174,                618268,                618094,                618094,,,,,,,,,,,,,,,,,
1219,2014年01月01日至2014年06月30日,,                 60614,                 60614,,,                 47799,                  2325,                  3244,                    764,                  7596,                   -783,                 19165,                 -9120,                    -56,                     89,                   -197,                              0,                              0,                    337,                 71163,,,                 93423,                -82872,                -21268,               -799059,                -19319,                 33084,                   -559,                 -1996,               -798566,,                 -4389,                 -4189,                  3189,                 56730,                 -5435,                -17041,                 28865,               -769701,               -698538,               -637924,                    817,                 -9414,                   -278,               -646799,,,,                -24500,                -32741,                     68,                   -510,                              0,                              0,                 -1915,,                              0,                -54382,,,                518560,                190909,                              0,                   -299,                              0,                709170,                    785,                  8774,                618268,                627042,                627042,                              0,                              0,                  5216,,,,,,,,,,,,,,
1219,2014年01月01日至2014年03月31日,,                 51159,                 51159,,,                 23801,                  1159,                  3244,                   -579,                  2816,                 -1187,                              0,                 -3602,                              0,                     58,                   -197,,,                    158,                 25671,,,                 78406,                -88851,                  2348,               -402647,                -10054,                 28375,                 -1431,                   -628,               -394482,,                 26475,                    110,                -12608,                  4677,                 39147,                 -7490,                 50311,               -344171,               -318500,               -267341,                  1221,                 -2019,                              0,               -268139,,                              0,                  5216,                -14700,                -21708,                              0,                 -1119,,                              0,                              0,                              0,,                -32311,,,                393146,                -25000,                              0,                   -299,                              0,                367847,                    423,                 67820,                618268,                686088,                686088,,,,                              0,                              0,                              0,,,,,,,,,,,
1219,2013年度,,                 20290,                 20290,,,                 90435,                  3761,                 -2183,                 -6047,                 16933,                 -1753,                   -153,                -17856,                    360,                    697,                  9932,                 -7000,                   -188,                    327,,,,                127994,                 65849,                 -3506,                620468,                -17593,                  3377,                  2811,                -10304,                789096,,                -49533,                -40037,                -10175,                    710,                  2766,,               -110431,                678665,                765930,                786220,                  1928,                -17329,                 -3666,                767153,,,,                -44100,               -131207,                  1070,                 -2478,                              0,                              0,                 -6138,                 22100,,               -140597,,,               -650563,                 50000,,                     17,                -30705,               -631251,                 -6081,                -10776,                629044,                618268,                618268,                              0,                              0,                 20156,,,,,                 87265,                -14162,                              0,,,,,,,
1219,2013年01月01日至2013年12月31日,,                 20290,                 20290,,,                 90435,                  3761,                 -2183,                 -6047,                 16933,                 -1753,                   -153,                -17856,                    360,                    697,                  9932,                 -7000,                   -188,                    327,,,,                127994,                 65849,                 -3506,                620468,                -17593,                  3377,                  2811,                -10304,                789096,,                -49533,                -40037,                -10175,                    710,                  2766,,               -110431,                678665,                765930,                786220,                  1928,                -17329,                 -3666,                767153,,,,                -44100,               -131207,                  1070,                 -2478,,,,                 22100,                 -6138,               -140597,,                              0,               -650563,                 50000,                              0,                     17,                -30705,               -631251,                 -6081,                -10776,                629044,                618268,                618268,,,                 20156,,,,,                 87265,                -14162,,                              0,,,,,,
1219,2013年01月01日至2013年09月30日,,                -46234,                -46234,,,                 66911,                  2564,                  5578,                 -2231,                 11171,                 -1098,                 16242,                -11502,                    444,                    549,                    771,,,                    254,,,,                124436,                 -8501,                 -7011,                418090,                -18279,                 24604,                  8672,                 -1604,                540407,,                -65059,                -50171,                  3552,                  2672,                 10299,,               -113743,                426664,                516717,                470483,                  1273,                -13508,                 -3407,                454841,,,                  3761,                -14700,               -108259,                    571,                 -2055,,,,                 22100,                 -2638,               -101220,,,               -434634,                 50000,,                     17,                -30705,               -415322,                 -3999,                -65700,                629044,                563344,                563344,                    400,,,                              0,,,,                 90053,                -15036,,,,,,,,
