證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　 存出保證金減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 其他非流動負債減少
1232,2015年01月01日至2015年09月30日,,                854313,                854313,,,                 69258,                    821,                     12,                  9759,                  1403,                 -4248,                 -1455,                  4020,                   -897,                              0,                 -7163,                 71510,,,                 43379,                -30147,                 86049,                  8643,                891584,                -33626,                965882,,                   -196,                 -3813,                -52919,                -21172,                 -2991,                -81091,                884791,                956301,              1810614,                  4248,                 -1377,               -239545,              1573940,,                 18228,                -82340,                  1638,                  3078,                   -571,                              0,                -59967,,               -174256,                -10997,                   -180,               -799875,                 -5919,               -991227,                              0,                522746,                981164,              1503910,              1503910,,,,,,,,,,,,,,
1232,2015年01月01日至2015年06月30日,,                521053,                521053,,,                 46710,                    551,                     23,                 20552,                    923,                 -2586,                   -645,                  2018,                   -897,                              0,                -21222,                 45427,,,                 16884,                 67580,                 88719,                 11534,                436034,                -22285,                598466,,                -19135,                 -3148,                -88217,                 26834,                 -2858,                -86524,                511942,                557369,              1078422,                  2586,                   -981,               -140650,                939377,,                 18228,                -38037,                    827,                  7159,                   -571,                              0,                -12394,,,,,,                 -5919,               -337865,                              0,                589118,                981164,              1570282,              1570282,               -320769,                -10997,                   -180,,,,,,,,,,,
1232,2015年01月01日至2015年03月31日,,                293744,                293744,,,                 23764,                    282,                     63,                 26527,                    641,                 -1139,                   -355,                  1177,                   -897,,                -13012,                 37051,,,                 54654,                -30615,                 84015,                  5204,                -43477,                -16671,                 53110,,                -20005,                 50260,               -124849,                -13115,                 -2697,               -110406,                -57296,                -20245,                273499,                  1139,                   -669,,                273969,,                 18228,                -10654,                    373,,                   -276,,                  8923,,,                  9000,,,                              0,               -257266,,                 25626,                981164,              1006790,              1006790,               -266086,,                   -180,                  1252,                              0,,,,,,,,,
1232,2014年度,,              1204164,              1204164,,,                114458,                  1194,                   -661,                 -9283,                  3831,                 -3020,                 -1013,,                    -15,                 -5082,                 21813,,,,                 13795,                 -9958,                -62867,                  2307,               -983348,                -50055,             -1090126,,                -42818,                 10427,                 39002,                  9480,,                  5492,             -1084634,               -962412,                241752,                  3020,                 -3818,               -154382,                 86572,,                  1575,                -74255,                  1499,                 -7489,                              0,,                -78170,,                224673,                 10997,                    350,               -607905,                 -5919,               -377804,                  5082,               -364320,              1345484,                981164,                981164,,,,,                    500,,                122222,                -10599,,,,,,
1232,2014年01月01日至2014年09月30日,,                715196,                715196,,,                 91123,                    917,                   -103,                 -3180,                  3236,                 -1866,                    108,                              0,                              0,                              0,                 50548,                140783,,,                 37596,               -162171,                 18768,                 10604,               -794430,                -60601,               -950234,,                -86204,                 48498,                -36547,                -10287,                -10450,                -94990,             -1045224,               -904441,               -189245,                  1866,                 -3278,               -150507,               -341164,,                              0,                -52215,                    204,                -14170,                              0,                    500,                -65681,,               -105233,                 35992,                    -50,               -607905,                 -5919,               -683115,                              0,             -1089960,              1345484,                255524,                255524,,,,,,,,,,,,,,
1232,2014年01月01日至2014年06月30日,,                535964,                535964,,,                 66846,                    618,                   -103,                 19440,                  1872,                 -1832,                     -2,                              0,                              0,                              0,                 16827,                103666,,,                 68631,               -165702,                 23296,                 14640,             -1504688,                -30127,             -1593950,,                -43251,                 22722,                -38137,                     74,                -10290,                -68882,             -1662832,             -1559166,             -1023202,                  1832,                 -1914,                -85625,             -1108909,,                              0,                -24976,                      2,                 -8613,                              0,                    500,                -33087,,,,,,                 -5920,                133878,                              0,             -1008118,              1345484,                337366,                337366,               -120095,                259943,                    -50,,,,,,,,,,,
1232,2014年01月01日至2014年03月31日,,                350919,                350919,,,                 40131,                    311,                    -17,                  4167,                    810,                 -1166,                              0,                              0,                              0,,                   -450,                 43786,,,                 -8228,                -58380,                 13429,                  9956,               -768887,                -11604,               -823714,,                -95956,                  3849,                -85410,                 41412,                   -107,               -136212,               -959926,               -916140,               -565221,                  1166,                   -852,,               -564907,,                              0,                -13600,                              0,,                              0,,                -12484,,,                  9999,,,                              0,               -106142,,               -683533,              1345484,                661951,                661951,               -116091,,                    -50,                    616,                    500,,,,,,,,,
1232,2013年度,,                852218,                852218,,,                161815,                    926,                 -2424,                -16111,                  3703,                 -1175,                    911,,                              0,                 -4870,                -25744,,,,                119153,               -125046,                -22595,                 -4674,              1095012,                  1332,              1063182,,                 -5504,                -38373,                 66085,                -57167,,                -36949,              1026233,              1143264,              1995482,                  1175,                 -3832,               -103185,              1889640,,                              0,                -55215,                     96,                    129,                 -1622,,                -56612,,               -171388,               -300000,                    -70,               -447930,                 -1566,               -920954,                  4870,                916944,                428540,              1345484,              1345484,,,,,                              0,,                117031,                 -1990,,,,,,
1232,2013年01月01日至2013年12月31日,,                852218,                852218,,,                161815,                    926,                 -2424,                -16111,                  3703,,                    911,,,                 -4870,                -25744,,,,                119153,               -125046,                -22595,                 -4674,              1095012,                  1332,              1063182,,                 -5504,                -38373,                 66085,                -57167,,                -36949,              1026233,              1144439,              1996657,,                 -3832,               -103185,              1889640,,                              0,                -55215,                     96,                    129,                 -1622,,                -56612,,               -171388,               -300000,                    -70,               -447930,                 -1566,               -920954,                  4870,                916944,                428540,              1345484,              1345484,,,,,,,                118206,                 -1990,                              0,                              0,,,,
1232,2013年01月01日至2013年09月30日,,                599540,                599540,,,                121608,                    652,                 -2539,                  4598,                  2965,                   -624,                    900,,,                 -4423,                -26547,,,,                 95012,                -68055,                -12515,                   -458,                  2002,                -22600,                 -6614,,                -89840,                -37031,                -21264,                -41213,,               -190594,               -197208,               -100618,                498922,                    624,                 -3043,               -100291,                396212,,,                -38963,                     57,                 -6993,                   -908,,                -46807,,,               -300000,,               -447930,                 -1566,               -501328,                  4423,               -147500,                428540,                281040,                281040,                248288,,                   -120,,                              0,,                 96590,                 -1246,,,,,,
