證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應付款－關係人減少,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　　　　 應收票據－關係人（增加）減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　 攤銷費用,　　 支付之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款減少,　　 其他非流動資產增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1235,2015年01月01日至2015年09月30日,,                 23815,                 23815,,,                  1524,                  1653,                    310,                 14933,                 -1064,                -29458,                -16986,                   -928,                   -938,                   -700,                -31654,,,                 -2759,                 12286,                -14526,                 -2690,                -12992,                  7730,                    809,                              0,                -12142,,                   -563,                  2756,                   -186,                   -167,                 -1147,                     -2,                     -9,                    682,                -11460,                -43114,                -19299,                  1064,                 27824,                -14532,                   -304,                 -5247,,               -127360,                  5137,                              0,                              0,                  2393,                   -820,                              0,                    800,               -119850,,                              0,               -210021,                319783,                              0,                 -3354,                     60,                 18606,                              0,                125074,                     38,                     15,                  9455,                  9470,                  9470,,,,,,,,,,,,,,,,,,,
1235,2015年01月01日至2015年06月30日,,                -32155,                -32155,,,                  1060,                  3176,                  2710,                 10212,                 -1064,,                 11213,                   -148,                   -841,                   -500,                 25818,,,                -20052,                 10719,                -14034,                    426,                              0,                  3722,                    972,                   -299,                -18546,,                    -94,                  4230,                    138,                 -1213,                   -628,                     10,                    -16,                  2427,                -16119,                  9699,                -22456,                  1064,,                 -9853,                   -281,                -31526,,               -100611,                  3688,                              0,,                  2549,                   -820,                              0,                    400,                -94794,,                              0,               -176568,                274922,                              0,                 -2089,                     60,                 31042,,                127367,                    -23,                  1024,                  9455,                 10479,                 10479,,,,,,,,,,,,,,,,,,,
1235,2015年01月01日至2015年03月31日,,                    -48,                    -48,,,                    565,                 -1009,                 -5441,                  5604,                    -12,,                 -3182,                   -119,                   -862,                   -500,                 -4956,,,                -17256,                  9532,                 -7883,                    379,                    500,                  1686,                    791,                   -289,                -12540,,                   -501,                  3041,                   -943,                   -522,                   -238,                    -10,                     -9,                    818,                -11722,                -16678,                -16726,                     12,                              0,                 -5653,,                -22367,,                -17906,                  3260,                              0,,                  1853,                    -20,                              0,,                -12813,,                              0,               -241631,                268923,                              0,                   -833,,                  7994,,                 34453,                    -10,                   -737,                  9455,                  8718,                  8718,                              0,,,,,,,,,,,,,,,,,,
1235,2014年01月01日至2014年09月30日,,                137332,                137332,,,                  2970,                  5600,                 -8230,                 11502,                   -522,                -22723,               -111669,                -19734,                    224,                              0,               -142582,,,                -70846,                 22327,                 49132,                     77,                 -4312,                -28358,                  4510,                      4,                -27466,,                 -2560,                  2268,                    463,                    133,                    276,                      2,                   -360,                    222,                -27244,               -169826,                -32494,                    522,                 22723,                -10898,                    -23,                -20170,,               -187113,                 50216,                -33220,                   -285,                              0,                              0,                 -2000,                              0,               -172402,,                314001,                              0,                              0,               -131963,                 -4247,                              0,                  1367,                 15472,                194630,                    -41,                  2017,                 10342,                 12359,                 12359,,,                              0,               -142582,                              0,                   -360,                              0,                              0,                              0,,,,,,,,,,
1235,2014年01月01日至2014年06月30日,,                 63548,                 63548,,,                  1981,                 -5704,                 -7685,                  7456,                   -120,,                -41888,                -18321,                   -695,                              0,                -64976,,,                -30857,                 30789,                 -6272,                -16026,                 -4312,                -31371,                  4462,                    -11,                -53598,,                 -2098,                 22403,                    134,                  3193,                   -110,                      6,                   -240,                 23288,                -30310,                -95286,                -31738,                    120,,                 -7266,                     -2,                -38886,,               -116032,                 39731,                -23220,,                    465,                              0,                 -2000,                              0,               -101056,,                260993,                              0,                              0,               -117424,                 -3019,                              0,                    323,,                140873,                     -3,                    928,                 10342,                 11270,                 11270,,,,,,,,,,,,,,,,,,,
1235,2014年01月01日至2014年03月31日,,                 27664,                 27664,,,                  1001,                 -2404,                 -5053,                  3653,                   -102,,                -21773,                 -2387,                    177,                              0,                -26888,,,                -14848,                  5163,                -12025,                   -280,                              0,                 -4771,                  4481,                     -8,                -22288,,                 -2742,                  1983,                 -1333,                  4404,                    452,                      5,                   -120,                  2649,                -19639,                -46527,                -18863,                    102,                 -4312,                 -3750,,                -22511,,                -35934,                  7620,                -48720,,                    859,                              0,                 -2000,,                -82487,,                172322,                              0,                              0,                -67084,                              0,,                              0,,                104153,                    -44,                   -889,                 10342,                  9453,                  9453,                 -1085,,,,,,,,,,,,,,,,,,
1235,2013年01月01日至2013年09月30日,,                -36303,                -36303,,,                  3366,                     78,                  1984,                 11063,                   -113,                -14888,                 15620,                 12585,                    723,,,,,                    -25,                   -823,                -32868,                  5802,                 10150,                 22061,                 -2272,                   -922,                  9553,,                    142,                -15389,                   -101,                 -9373,                -12933,                  4096,,                -33940,                -24387,                  6030,                -30273,                    113,                  5662,                -10974,                 -1680,                -37152,,               -129737,                 61557,                              0,                              0,                  6123,                    -66,                 -1072,,                -63699,,                 33426,,                 70622,                              0,                              0,,                    469,                              0,                104517,                    -35,                  3631,                 15140,                 18771,                 18771,,,                     -1,                 30417,                  8450,                   -382,                    -78,                     14,                   -440,,,,,,,,,,
1235,2013年01月01日至2013年06月30日,,                -46858,                -46858,,,                  2303,                 -2550,                  3629,                  7284,                    -98,,                 16634,                 10379,                  1462,,,,,                  2418,                  2665,                -28946,                  4117,                 10150,                  6562,                  3232,                     21,                  7850,,                   -248,                -14900,                   -733,                -11864,                 -8715,                     20,,                -36695,                -28845,                 10198,                -36660,                     98,,                 -7489,                 -1665,                -45716,,                -49137,                 18350,                              0,,                  6005,                    -27,                   -839,,                -26166,,                 27338,,                 54815,                              0,                              0,,                  1179,,                 83332,                    -64,                 11386,                 15140,                 26526,                 26526,,,,                 39043,                  8450,                   -255,                    -78,,                   -440,                   -819,,,,,,,,,
1235,2013年01月01日至2013年03月31日,,                -32289,                -32289,,,                  1174,                   -485,                  2665,                  3425,                     -1,,                 11432,                  7815,                  1196,,,,,                  6128,                -10454,                  6567,                  5793,                 10150,                  1262,                -10783,                     21,                  8684,,                   -248,                -19594,                   -781,                -11986,                  3239,                      3,,                -29495,                -20811,                  6410,                -25879,                      1,                              0,                 -3175,,                -29053,,                -26678,                 10918,                              0,,                  5535,,                   -436,,                -10661,,                 38565,,                  5419,                              0,,,                  5947,,                 49931,                    -53,                 10164,                 15140,                 25304,                 25304,                              0,,,                 27221,,                   -128,,,,,,,                -29053,,,,,,
1235,2012年01月01日至2012年09月30日,,                 19722,                 19722,,,                  3661,                 -2245,                 -1217,                  8894,                   -424,                -28770,                 -5111,                  2099,                 -1734,                    590,,,,,                 13226,                   -781,                      1,                   -650,                 -9717,                -11295,                    -40,                 -9256,,                   -641,                 -5301,                  2221,                    901,                 10989,                 16318,,                 24078,                 14822,                 -9432,                 10290,                    424,                 27634,                 -8836,,                 29194,,                -60541,,,                              0,                  3530,                 -2565,,,               -102574,,                              0,                 -9675,                 83621,,,,                              0,,                 73946,                              0,                    566,                 17265,                 17831,                 17831,,,                              0,                -24254,                              0,                   -409,                   -771,                              0,,,,,,                      3,                   -318,                -50769,                 10000,                 -1458,
