證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 其他非流動負債增加,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 其他預付款項減少,　　 預付投資款增加,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 預付設備款減少,　　 其他應付款－關係人減少,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 其他籌資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 其他金融資產增加,　　 其他應付款－關係人增加,　　 現金增資,　　 非控制權益變動,　　 應付租賃款增加,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 處分投資性不動產,　　 處分透過其他綜合損益按公允價值衡量之金融資產
1310,2015年01月01日至2015年09月30日,,                692854,                              0,                692854,,,                141825,                 60886,                 -2058,                    115,                 28764,                 -4721,                -11762,                -26489,                  1928,                -17685,                  6000,                 61888,                -41994,                196697,,,                   -725,                 61718,               -272280,                  3111,                 27974,               -155915,                 49500,                   -420,                 -2606,               -289643,,                -16839,                112459,                 -6363,                 13844,                -14696,                 46965,                  1691,                137061,               -152582,                 44115,                736969,                  4609,                -28110,                    -58,                -25994,                687416,,               -231188,                162599,                   -950,                  9590,                              0,                -73181,                              0,               -509746,                    196,                     27,                    -31,                              0,                -10455,                -60416,                 10901,                -62957,               -765611,,                100000,                              0,                119885,                              0,                408000,               -219713,                              0,                   -241,                 -2067,                    194,                -14000,                392058,                  3370,                317233,              1508244,              1825477,              1825477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2015年01月01日至2015年06月30日,,                623386,                              0,                623386,,,                 86953,                 38711,                 -2086,                    242,                 18491,                 -3806,                 -1367,                -33897,                     73,                -16907,                  6000,                 61888,                -43367,                110928,,,                  3873,                 59193,               -562030,                  5023,                 10370,               -471581,                 23206,                  3131,                   -108,               -928923,,                -10099,                718129,                 -4512,                 54783,                 -8378,                 37930,                  1056,                788909,               -140014,                -29086,                594300,                  3172,                -17802,                    -19,                -25098,                554553,,               -160783,                139037,,                  5390,,                -73181,                              0,               -428898,                              0,                    135,                              0,                              0,                 -7097,,                  1060,                -64297,               -588493,,                125000,                              0,                119904,,                368600,               -213142,                    120,,                   -604,,,                399878,                 -2178,                363760,              1508244,              1872004,              1872004,                     15,                    126,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2015年01月01日至2015年03月31日,,                 43753,,                 43753,,,                 41110,                 16944,                 -2135,                   -498,                  8533,                 -2051,,                  9698,                     43,                   -105,,,                -43806,                 27733,,,                   -568,                 62531,               -316528,                 30540,                  9698,                -39651,                  5576,                  2195,                 -2238,               -248445,,                 -1079,                328556,                 -4877,                 -5323,                -12458,                  1680,                    557,                307056,                 58611,                 86344,                130097,                  1654,                 -8031,                     -5,                 -3872,                119843,,                -69155,                  9877,,,,,                              0,               -237837,                              0,,,,                    -65,                   -715,,                -50000,               -372693,,                 40000,                              0,                 19900,,                156000,                 -6571,                    150,,                              0,,,                209479,                 -1199,                -44570,              1508244,              1463674,              1463674,,,                -20000,                 -4798,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年度,,               -406619,                289788,               -116831,,,                201060,                 85494,                 -3635,                   -242,                 34100,                -10083,                -12151,                -34805,                   -979,               -348008,                  3000,                 14841,                 50866,,,,                 -3132,                -41168,                656474,                 -1809,                -22464,                383712,                221108,                  1770,                  4773,              1199264,,                -10796,             -1136862,                -28554,                -31373,                    620,                 -2150,,             -1215897,                -16633,                -37175,               -154006,                  8518,                -33489,                    -66,                 -1264,               -180307,,               -187708,                242940,                 -6400,                 12000,                  2583,,                482283,               -911495,                 35555,                  2931,,                 51050,,                -36914,                 34151,                  4576,               -274711,,,                165000,,                -19954,              1021000,               -406284,,                -19617,                 -5189,,               -177194,                295610,                  5241,               -154167,              1662411,              1508244,              1511898,                              0,,,,,                              0,                -20542,                 -6782,                              0,                              0,                   -263,                -10800,               -251366,                              0,                     14,                 -3654,,,,,,,,,,,,,
1310,2014年01月01日至2014年09月30日,,                217741,                -30823,                186918,,,                158081,                 67343,                 -2765,                     61,                 25719,                 -7095,                 -6187,                -50819,                 -8096,               -348283,                              0,                              0,                 27859,               -144182,,,                 -3609,                 18968,                500826,                 15971,                -28333,                -29736,                239225,                    683,                  2056,                716051,,                  7334,               -668047,                -20711,                -53612,                -13325,                 -2528,                 -5814,               -756703,                -40652,               -184834,                  2084,                  6801,                -25988,                    -42,                 -1071,                -18216,,               -160977,                226772,                 -5450,                 12000,                  2583,                              0,                482283,               -627546,                 34495,                    922,                -14828,                 51550,                              0,                -18290,                  6187,                  4458,                 -5841,,                              0,               -118138,                              0,                -19954,                828200,               -397213,                     37,                              0,                 -4300,                    990,               -177194,                112428,                  1673,                 90044,              1662411,              1752455,              1752455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年01月01日至2014年06月30日,,                356322,                -30823,                325499,,,                113550,                 44977,                 -2721,                              0,                 18477,                 -5246,                              0,                -19251,                 -7380,               -344044,                              0,                              0,                  6385,               -195253,,,                              0,                 15532,                -44945,                 21809,                -27728,                -49535,                238897,                  1241,                 11746,                167017,,                 11657,               -337994,                 -9602,                -13196,                 -8135,                 10090,                    838,               -346342,               -179325,               -374578,                -49079,                  5361,                -19277,                              0,                   -900,                -63895,,                -86285,                 69793,,                 12000,,                              0,                482283,               -511122,                 33078,                    562,                -14828,                 51050,                              0,,                              0,                  1895,                 38640,,                              0,               -216075,                 99911,,                314000,                -38142,                     37,,                 -3276,,,                156455,                   -168,                131032,              1662411,              1793443,              1793443,                              0,                    214,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年01月01日至2014年03月31日,,                 15788,,                 15788,,,                 58453,                 23708,                 -2767,                              0,                 10013,                 -2621,,                   -853,                    447,                    105,,,                  4100,                 90585,,,                              0,                 12803,                107430,                 -6422,                 -8313,               -137727,                274552,                    749,                 54368,                297440,,                 -8744,               -220002,                -11980,                -37881,                 -9998,                 28460,                    445,               -259700,                 37740,                128325,                144113,                  1732,                -10127,                              0,                    -97,                135621,,                -34958,                              0,,,,,                 -6899,               -123079,                    926,,,,                   -853,                 -2785,,                  1284,               -167322,,                              0,               -247029,                 99760,,                117000,                -19071,                     37,,                 -1946,,,                -51249,                  1522,                -81428,              1662411,              1580983,              1580983,,,                              0,                   -958,,,,,,,,,,,,,,,,,,,,,,,,,
1310,2013年度,,                955665,                -26528,                929137,,,                229534,                 97084,                   -895,                 -5914,                 75574,                -14331,                 -8414,                 -4692,                  4027,                  5388,                 18686,                 50959,               -170151,,,,                 14115,                 -8212,                -64989,                 14022,                  7035,                 59768,               -213552,                  9018,                427391,                244596,,                 -6054,                957491,                -13202,                 71125,                  8673,                 11055,,              1024226,              1268822,              1538816,              2467953,                 15003,                -74610,                              0,                 -4804,              2403542,,                              0,                255469,                   -310,                 27731,                              0,,               -204262,               -234110,                 15784,                  3540,,                  6693,,                -97276,                 23614,                              0,                -62619,,,             -1008310,,                -39984,                 42000,               -436839,,                   -411,                 -9811,,                 -7901,             -1363846,                  5346,                982423,                679988,              1662411,              1662411,                 12750,,,,,                 -6861,                269994,                 -4862,                 67323,                 59259,                  1176,                -16995,                              0,                114405,                              0,                              0,,,,,,,,,,,,,
1310,2013年01月01日至2013年12月31日,,                929137,,                929137,,,                229534,                 97084,                   -895,                 -5914,                 75574,                -14331,                 -8414,                 -4692,                  4027,                  5388,                 18686,                 50959,               -170151,,,,                 14115,                 -8212,                -64989,                 14022,                  7035,                 59768,               -213552,                  9018,                427391,                244596,,                 -6054,                957491,,                 71125,                  8673,                 11055,,              1024226,              1268822,              1538816,              2467953,                 15003,                -74610,,                 -4804,              2403542,,                              0,                255469,                   -310,                 27731,                              0,,               -204262,               -234110,                 15784,                  3540,                -10377,                  6693,                              0,                -86899,                 23614,,                -62619,,,             -1008310,,                -39984,                 42000,               -436839,                              0,                   -411,                 -9811,,                 -7901,             -1363846,                  5346,                982423,                679988,              1662411,              1662411,                 12750,,,                              0,,                 -6861,                269994,                 -4862,                 67323,                 59259,                  1176,                -16995,,                114405,,                              0,,,,                              0,                              0,,                              0,                              0,                              0,                              0,                -13202,                              0,
1310,2013年01月01日至2013年09月30日,,                786343,                -10475,                775868,,,                170189,                 72038,                   -807,                 -5914,                 62234,                 -9141,                              0,                  2519,                  2940,                    -59,                 15396,                    908,                -32354,,,,                 14115,                -16983,                 53322,                 28786,                 -2066,                187980,                 57625,                  4347,                 17124,                344250,,                -10084,                491118,                 10085,                 34062,                -10195,                 19593,,                530817,                875067,              1146139,              1922007,                  6093,                -60316,                              0,                 -2595,              1865189,,                              0,                205732,                   -310,                 26024,                              0,,                -64336,               -211634,                 35756,                  6844,                -10377,                138417,,                 -8402,                              0,                              0,                177350,,,               -883272,,                -39985,                 11815,               -332917,                              0,                 -3311,                 -7890,,                              0,             -1158239,                  1515,                885815,                449484,              1335299,              1335299,                 11463,,,,,                 -6877,                271072,                 -3762,                 45687,,                  2486,                -17084,,                114405,,                              0,,,,,,,,,,,,,
