證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分待出售非流動資產,　　 其他預付款項減少,　　 舉借長期借款,　　 現金減資
1315,2015年01月01日至2015年09月30日,,                230334,                230334,,,                 47638,                 -7850,                 13762,                  7128,                 -1998,                -14194,                    -13,                -28787,                 -1611,                  1794,                 15869,,,                              0,                 19545,                 93144,                   -945,                 15907,                    166,                 -4369,                    338,                   -791,                 19106,                142101,,                -19395,                 37609,                   -376,                  9258,                 -2975,                  4640,                -20621,                  8140,                150241,                166110,                396444,                  1987,                 10464,                 -6778,                -39881,                362236,,                -66599,                 39804,                   -211,                -25758,                    109,                              0,                  1378,                 -1959,                              0,                -53236,,                107965,                              0,                 30000,                -11037,                              0,                   -108,               -209948,                -83128,                 11153,                237025,                465966,                702991,                702991,,,,,,,,,,,,
1315,2015年01月01日至2015年06月30日,,                 37785,                 37785,,,                 32617,                 -5020,                 11063,                  4460,                 -1302,                  1505,                    -10,                -28787,                    866,                  1189,                 16581,,,                              0,                -17957,                 14401,                  1362,                     71,                    128,                -41126,                  6255,                    -48,                 29726,                 -7188,,                -10749,                  8243,                   -376,                -20866,,                  3337,                 -9495,                -29906,                -37094,                -20513,                 17272,                  1302,                  8550,                 -4154,                -22677,                    293,,                -17763,                 39805,                   -211,                -17121,                     24,                              0,                    631,                   -554,                              0,                  4811,,                158781,,,                 -9820,                              0,                   -108,,                148853,                  3162,                157119,                465966,                623085,                623085,                              0,                              0,,,,,,,,,,
1315,2015年01月01日至2015年03月31日,,                  6542,                  6542,,,                 16545,                 -3955,                  7991,                  2127,                   -519,                    655,                    -24,                 -4899,                    227,                    600,                 18748,,,                              0,                 48719,                107146,                  1888,                  5754,                    -16,                 -5095,                 -7306,                    -28,                 -4241,                146821,,                -33254,                 36626,                   -376,                -40586,                   -133,                  2371,                 -1591,                -36943,                109878,                128626,                135168,                    518,                              0,                 -1949,                 -2759,                130978,,                              0,                  6884,                   -211,                -12663,                     25,                              0,                    558,,                    339,                 -5068,,                 24997,,,                 -4711,                              0,                   -108,,                 -9822,                   -792,                115296,                465966,                581262,                581262,,                              0,                -30000,,,,,,,,,
1315,2014年度,,                270412,                270412,,,                 64336,                 -1261,                -14326,                  8832,                 -2988,                -10869,                    754,                -44733,                -21526,                  2323,,,,                    576,                 17223,                 -2921,                  5615,                -12258,                    625,                 36687,                    353,                  5762,                 -9526,                 42136,,                 44025,                 -3124,                 -7431,                    950,                  2126,                 -1775,,                 28795,                 70931,                -30794,                239618,                  2995,                 93249,                 -8935,                -24309,                302618,,                -92760,                 63245,                 -4281,                -38651,                  2328,                 -1773,                              0,,                  1273,                -70619,,,                 -4053,                 59959,                -20706,,                    -28,               -212070,               -388968,                  9267,               -147702,                613668,                465966,                465966,,                              0,                              0,,                -82267,                              0,               -101725,                 -5976,                              0,                              0,                              0,               -212070
1315,2014年01月01日至2014年09月30日,,                182505,                182505,,,                 48192,                 -2245,                              0,                  6532,                 -2348,                -11672,                   -282,                -15738,                 -3861,                  1731,                 20309,,,                 -5593,                 33351,                    523,                   -630,                  7377,                    629,                    910,                -13749,                  4974,                  9904,                 37696,,                 27938,                 40504,                 -7807,                 12495,                   -700,                  7074,                 -6699,                 72805,                110501,                130810,                313315,                  2355,                 10677,                 -6340,                -20678,                299329,,                -69987,                 21344,                 -4388,                -35808,                  1297,                 -1685,                              0,                              0,                  1536,                -87691,,                              0,                -10965,                              0,                -14167,                     70,                              0,               -212070,               -237132,                  6513,                -18981,                613668,                594687,                594687,,,,,,,,,,,,
1315,2014年01月01日至2014年06月30日,,                 27064,                 27064,,,                 31897,                  2068,                              0,                  4421,                 -1707,                  1277,                   -290,                -15738,                  1196,                  1156,                 24280,,,                    576,                -14567,                -81946,                  3468,                  4362,                    526,                -64048,                 -8555,                  4968,                 -4728,               -159944,,                 20926,                 12732,                 -7807,                -14331,,                  1476,                 -4562,                  9352,               -150592,               -126312,                -99248,                  1713,                 10677,                 -4421,                -14942,               -106221,,                -38001,                 21344,                              0,                -26721,                  1285,                   -216,                              0,                              0,                  1096,                -43768,,                 27157,,,                 -6574,                     65,                              0,,                 20648,                 -5525,               -134866,                613668,                478802,                478802,                    918,                 -2555,,,,,,,,,,
1315,2014年01月01日至2014年03月31日,,                  1296,                  1296,,,                 15619,                 -2286,                              0,                  2277,                   -797,                    759,                              0,                              0,                 -2669,                    582,                 13485,,,                   -217,                 14962,                 54256,                   -772,                   -967,                    447,                -46130,                 -5296,                  4741,                    698,                 21722,,                 29727,                 17251,                 -7807,                -40080,                 -1681,                  1332,                    316,                   -942,                 20780,                 34265,                 35561,                    775,                    853,                 -2277,                 -6059,                 28853,,                -31611,                              0,                              0,                -11938,                              0,                    -83,                              0,,                  1036,                -43775,,                  4111,,,                 -1749,                     31,                              0,,                  2393,                 -3404,                -15933,                613668,                597735,                597735,,                 -1179,                              0,,,,,,,,,
1315,2013年度,,                181632,                181632,,,                 62928,                   -993,                              0,                  7982,                 -2866,                 -9807,                    131,                -56355,                  5192,                  2278,,,,                   -130,                 59476,                -34303,                 -2953,                   -954,                   -215,                136249,                 17703,                 -1497,                -66820,                106556,,                -10996,                -11832,                  7807,                 34690,                    295,                -23249,,                 -2441,                104115,                 28239,                209871,                  2863,                 35959,                 -7984,                -35046,                205663,,                              0,                 77994,                              0,                -43610,                    277,                              0,                    746,,                  1431,                176484,,,                -86423,                              0,                -25715,,                 -1682,               -212070,               -298980,                 15939,                 99106,                514562,                613668,                613668,,                 -4248,                 -9997,,                -29809,                -54557,                -75876,                    844,                142532,                  1362,                 36907,                              0
1315,2013年01月01日至2013年12月31日,,                181632,                181632,,,                 62928,                   -993,,                  7982,                 -2866,                 -9807,                    131,                -56355,                  5192,                  2278,,,,                   -130,                 59476,                -34303,                 -2953,                   -954,                   -215,                136249,                 17703,                 -1497,                -66820,                106556,,                -10996,                -11832,                  7807,                 34985,,                -23249,,                 -2441,                104115,                 28239,                209871,                  2863,                 35959,                 -7984,                -35046,                205663,,                              0,                 77994,,                -43610,                    277,,                    746,                              0,                  1431,                176484,,                              0,                -86423,,                -25715,,                 -1682,               -212070,               -298980,                 15939,                 99106,                514562,                613668,                613668,,                 -4248,                 -9997,,                -29809,                -54557,                -75876,                    844,                142532,                  1362,                 36907,
1315,2013年01月01日至2013年09月30日,,                169552,                169552,,,                 47274,                 -2094,,                  6027,                 -2045,                -10414,                    149,                -28908,                  1473,                  1708,,,,                    446,                 35428,                -20131,                    541,                   -858,                    349,                106383,                 12346,                 -1022,                    806,                134288,,                 15216,                 19926,,                 70051,,                -21875,,                 84143,                218431,                177044,                346596,                  2045,                  6150,                 -6029,                -35358,                313404,,                              0,                 40724,                              0,                -22901,                  1358,                              0,                    515,,                    392,                160778,,,                -35014,,                -19240,                              0,                   -174,               -212070,               -237222,                  7869,                244829,                514562,                759391,                759391,                    241,                 -2636,                 -9997,,,                -54557,                -41387,                    584,                142532,                    794,                 39273,
