證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他預付款項增加,　　 其他投資活動,　　 庫藏股票買回成本,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 其他項目,　　 收取之股利,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 發行公司債,　　 其他籌資活動,　　　　 非金融資產減損迴轉利益,　　　　　 持有供交易之金融負債增加（減少）,　　 庫藏股票處分
1316,2015年01月01日至2015年09月30日,,                -83644,                -83644,,,                 10187,                    291,                    -75,                  4185,                 13454,                 -2497,                 12774,                   -878,                              0,                              0,                              0,                    467,                 37908,,,                 -3248,               -130759,                  2810,               -112771,                -70709,                -14779,                  1683,               -327773,,                 47968,                 -2276,                -58895,                189607,                   -577,                175827,               -151946,               -114038,               -197682,                  2497,                -10832,                 -7610,               -213627,,               -108056,                              0,                              0,                 30000,                              0,                -11254,                              0,                 -4213,                  1301,                              0,                 10062,                    -70,                 10574,                 -3627,                 20000,                -55283,,                 66000,                -96587,                              0,                113000,               -113000,                              0,                -14400,                300000,                -20832,                234181,                 -1818,                -36547,                792932,                756385,                756385,,,,,,,,,,,,,,,,,,,,,,
1316,2015年01月01日至2015年06月30日,,                -58072,                -58072,,,                  6828,                    194,                    -74,                  1977,                  9373,                 -1837,                 10170,                   -529,                              0,                              0,                              0,                   -145,                 25957,,,                -14795,               -179772,                    282,                -93703,                -25339,                 -7120,                    437,               -320010,,                 51837,                 48712,                 -7801,                126070,                   -239,                218579,               -101431,                -75474,               -133546,                  1837,                 -6930,                 -6223,               -144862,,               -107061,                              0,,,                              0,,                              0,                 -3643,                     59,,                 11361,                    -70,                              0,                 -1780,,               -101141,,                              0,                -30587,,                113300,                              0,,,                300000,                              0,                382713,                 -6135,                130575,                792932,                923507,                923507,                     -7,                              0,,,,,,,,,,,,,,,,,,,,
1316,2015年01月01日至2015年03月31日,,                -46955,                -46955,,,                  3444,                     84,                    -47,                  2131,                  5044,                   -538,                  7425,                      7,                              0,                              0,,                   -244,                 17306,,,                 -4724,                -43056,                    145,                -95216,                -18488,                -10752,                    221,               -171870,,                 61091,                 64095,                 -6084,                 79050,                   -369,                197783,                 25913,                 43219,                 -3736,                    538,                 -3325,                              0,                 -6523,,                -73936,                              0,,,,,                              0,                 -1688,                     59,                   -597,                              0,                    -70,,                   -526,,                -76758,,                              0,                -30587,,                113300,                              0,,,                300000,                              0,                382713,                 -2944,                296488,                792932,              1089420,              1089420,,,,,,,,,,,,,,,,,,,,,,
1316,2014年01月01日至2014年09月30日,,               -125094,               -125094,,,                 14513,                    507,                  1580,                 -2449,                 13169,                 -1110,                              0,                     85,                  2028,                 -4284,                  3463,                    266,                 27768,,,                 -5126,                 88261,                -23415,               -457275,                  5670,                    546,                    794,               -390545,,                -24079,                -28298,                -14019,                109150,                    976,                 43730,               -346815,               -319047,               -444141,                  1110,                -13082,                -11017,               -467130,,                -57457,                 36019,                -60000,                              0,                 -1200,                              0,                 16339,                 -1404,                    742,                 -1126,                              0,                   -133,                 19458,                   -345,                              0,                -49107,,                318127,               -167020,                -18400,                              0,                -11850,                  1970,                -13951,                              0,                 -1222,                107654,                  2107,               -406476,                772306,                365830,                365830,,,,,,,,,,,,,,,,,,,,,,
1316,2014年01月01日至2014年06月30日,,                -76955,                -76955,,,                  9821,                    335,                  2406,                 -1905,                  9513,                   -875,                              0,                     63,                 -1100,                 -4284,                  3463,                   -131,                 17306,,,                -17424,                 90014,                -19723,               -101810,                -34025,                  6473,                    487,                -76008,,                 -7598,                -32730,                -24445,                 79488,                  2064,                 16779,                -59229,                -41923,               -118878,                    875,                 -7788,                 -6800,               -132591,,                -53326,                 36019,,,                 -1200,,                  9495,                   -837,                    680,,                    148,                   -133,                 19458,                              0,,                 10304,,                 44400,                              0,,                              0,                -11850,,,                              0,                 -1222,                 31298,                 -1067,                -92056,                772306,                680250,                680250,                              0,                    -30,,,,,,,,,,,,,,,,,,,,
1316,2014年01月01日至2014年03月31日,,                -30136,                -30136,,,                  5066,                    162,                              0,                 -2309,                  5488,                   -215,                              0,                    -92,                 -1321,                 -4218,,                 -2806,                   -245,,,                  8776,                 26847,                    646,                -32039,                -31168,                  5444,                    165,                -21329,,                -11935,                 37882,                -20673,                 38148,                    694,                 44116,                 22787,                 22542,                 -7594,                    215,                 -4553,                   -683,                -12615,,                              0,                 35333,,,,,                  3759,                    -96,                    160,                              0,                    892,                              0,,                              0,,                 40048,,                 39400,                              0,,                              0,                 -2689,,,                              0,                 -1222,                 35489,                  7734,                 70656,                772306,                842962,                842962,,,,,,,,,,,,,,,,,,,,,,
1316,2013年01月01日至2013年12月31日,,               -206311,               -206311,,,                 53688,                    579,                    -10,                -11247,                 26298,                 -1088,,                 12328,,                 -3731,                 61994,                 -2311,,,,                -10150,                -11172,                   -384,               -296927,                -61436,                 -4119,                    843,               -383345,,                  3534,                  4907,                 36480,                284104,                    141,                329166,                -54179,                 93167,               -113144,                  1088,                -18375,                -10471,               -140902,,                -49110,                  5772,,,,,,                -14137,                 15581,                -22356,,                -11924,,                 -1821,,                -76093,,                -46013,,,                240741,                -14229,                   -200,                 -1214,                633300,                -97487,                520791,                  9711,                313507,                458799,                772306,                772306,                -30025,,,                  5647,                147346,                              0,                  8433,,,                 12154,,                              0,                  5199,                              0,                              0,                              0,                 11340,                              0,               -194107,,,
1316,2013年01月01日至2013年09月30日,,               -129598,               -129598,,,                 44585,                    436,                  1794,                -10908,                 15149,                   -681,,                 10141,                              0,                 -1670,                  4814,                 -2197,,,,                  8927,                  4185,                    880,               -316338,                -19382,                 -4870,                    632,               -325966,,                 -2377,                 12625,                 -6681,                191769,                  6284,                201620,               -124346,                -51729,               -181327,                    681,                 -5654,                 -8550,               -194850,,                -37816,                      3,,,,,                              0,                -15626,                 13039,                -12587,,                              0,                              0,                              0,                  1066,                -19994,,                105987,,               -194107,                240740,                -10688,                     30,                 -1214,                255300,                -78601,                317447,                  7618,                110221,                458799,                569020,                569020,,,,                 11154,                 72617,                              0,                  8433,                 11340,                              0,                 12154,,,,,,,,,,,,
1316,2013年01月01日至2013年06月30日,,                -76420,                -76420,,,                 32889,                    304,                              0,                 -7903,                 10777,                   -556,,                  3836,                              0,                              0,                  4814,                              0,,,,                -13897,                 18928,                  1990,               -253789,                -23685,                 -1038,                  2657,               -268834,,                -11957,                 11151,                -29063,                131156,                    888,                102175,               -166659,               -122498,               -198918,                    556,                 -3336,                 -4881,               -206579,,                              0,                     58,,,                              0,,                              0,                -14132,                  3366,                   -593,                              0,                              0,                              0,,,                  1146,,                              0,                -60147,,                150000,                -25319,                     30,,                255300,                 -1216,                260832,                  6111,                 61510,                458799,                520309,                520309,,                              0,,,                 44161,,                 12447,,,,                -57816,,,,,,,,,,,
1316,2013年01月01日至2013年03月31日,,                -26784,                -26784,,,                 16584,                    535,                   -237,                 -5152,                  4816,                   -298,,                  2058,                              0,                              0,,                              0,,,,                  5679,                 26742,                  1754,                  4550,                -18315,                 -2790,                  3287,                 20907,,                   -580,                 -2721,                -30792,                 28322,                  2471,                 -3300,                 17607,                 35913,                  9129,                    298,                 -1539,                   -501,                  7387,,                -57816,                              0,,,,,                              0,                 -6046,                  1324,                 -1451,,,,,,                -50542,,               -130000,,,,                -15113,,,                255300,                              0,                110187,                  3794,                 70826,                458799,                529625,                529625,,,,,                 18306,,,,,                 13447,,,,,,,,,,,,
1316,2012年01月01日至2012年12月31日,,               -149021,               -149021,,,                 74344,                  2918,                 -3619,                  5876,                 17454,                 -1168,,                   -745,,                -11007,                  9064,                   -920,,,,                 39685,                 15188,                  6508,                  1544,                 10539,                 -2806,                    829,                 71487,,                  7931,                 14807,                  3316,                    925,                    172,                 27151,                 98638,                209425,                 60404,                  1168,                -14145,                 -3041,                 44431,,               -187753,                144871,,,,,,                -32836,                 10934,                 -1338,,                 -1696,,                -22749,,                -95136,,                -37529,,,                 99133,                -80171,                    165,                -26225,                              0,                -25652,                173559,                 13204,                136058,                322741,                458799,                458799,                              0,,,                              0,                110787,                -39436,                              0,,,                              0,,                    -45,                  3176,                 15459,                     45,                   -360,                 35227,                243838,                              0,,,
1316,2012年01月01日至2012年09月30日,,                -83289,                -83289,,,                 57463,                  2385,                 -1619,                  2263,                 12708,                   -755,,                   -195,,                -11988,                              0,                              0,,,,                 19261,                -25046,                  4885,                 13091,,                 -7982,                    602,                  4811,,                  6396,                 35001,                 13220,                              0,                 -1622,                 52995,                 57806,                121090,                 37801,                    755,                -11238,                   -774,                 26698,,               -137565,                 74095,,,,,,                -25402,                  9682,                 -1819,,                 -1619,,,                 -9358,               -117480,,                              0,                -38769,,                 70000,                -48970,                    135,                -16612,                              0,                -21090,                188532,                 31816,                129566,                322741,                452307,                452307,,,,,                 63284,                              0,                -33989,                  8495,,                              0,,                   -154,                  3176,                              0,                    154,,,                243838,                              0,,,
1316,2012年01月01日至2012年06月30日,,                -40365,                -40365,,,                 41090,                  1887,                   -100,                 -4650,                  7648,                   -652,,                   -662,,                 -7294,,,,,,                 29349,                 49984,                -17614,                   -936,,                  6696,                 19632,                 87111,,                 10198,                  8431,                 18373,                 -3021,                              0,                 35819,                122930,                163373,                123008,                    652,                 -4171,                 -2280,                117209,,                -62098,                 10889,,,,,,                -54259,                  8907,                 -1608,,                 -1616,,,,               -129774,,                   -497,,,                 39338,                              0,                    100,,                              0,                 -6194,                294102,                 10414,                291951,                322741,                614692,                614692,,,,,                 40443,,,,,                -29989,                -21628,,                  3176,                              0,,,,                243838,,                              0,                  1838,                 39145
1316,2012年01月01日至2012年03月31日,,                -27080,                -27080,,,                 20846,                    769,                 -1195,                 -2038,                  4499,                   -330,,                    435,,                 -3294,,,,,,                 26814,                  5081,                 -1366,                 14250,,                -10036,                 -5602,                 29141,,                  7837,                 26189,                -18811,,                 -2775,                 12440,                 41581,                 64449,                 37369,                    330,                 -2473,                              0,                 35226,,                              0,                  4233,,,,,,                -15233,                  4644,                 -1950,,                 -1616,,,,                 -9911,,                -20632,,,                 12129,                              0,,,                              0,                 -9014,                -17417,                 -1861,                  6037,                322741,                328778,                328778,,                    100,,,                 22868,,,,,                     11,,,                  3176,,,,,,,,,
