證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 短期借款減少,　　 存出保證金減少,　　　　　 遞延貸項增加（減少）,　　　　 不動產、廠房及設備轉列費用數
1324,2015年01月01日至2015年09月30日,,                 54871,                 54871,,,                 29227,                    302,                    -46,                -59648,                     17,                 -3114,                    130,                    780,                -32352,,,                -11938,                 -6275,                 -6562,                    914,                 15247,                 -3789,                   -545,                 -5992,                -18940,,                -15003,                 -7285,                  9894,                  1515,                 -3969,                   -172,                -15020,                -33960,                -66312,                -11441,                  2997,                    -28,                 -7695,                -16167,,                    237,                -12605,                              0,                 -8564,                   -535,                -21467,,                              0,                -22537,                -22537,                  1303,                -58868,                322683,                263815,                263815,,,,,,,,
1324,2015年01月01日至2015年06月30日,,                 29240,                 29240,,,                 19854,                    191,                    -52,                -59461,                     13,                 -1785,                    125,                    -70,                -41185,,,                 -3757,                  6035,                 -3289,                   -559,                 14022,                 -2102,                    299,                 -5992,                  4657,,                 -2608,                 -3627,                  4000,                  1328,                  1768,                   -172,                    689,                  5346,                -35839,                 -6599,                  1941,                    -18,                 -3523,                 -8199,,                    252,                -10035,                              0,                 -8614,                   -535,                -18932,,,,,                 -3598,                -30729,                322683,                291954,                291954,,,,,,,,
1324,2015年01月01日至2015年03月31日,,                 11574,                 11574,,,                 10025,                     81,                    -49,                -24296,                      8,                   -764,                              0,                    484,                -14511,,,                 -2085,                 18775,                   -192,                    699,                 12186,                 -4820,                   -224,,                 24339,,                -16846,                 10511,                 -8694,                 -1684,                    977,                   -172,                -15908,                  8431,                 -6080,                  5494,                    946,                    -23,                   -753,                  5664,,                      7,                 -3222,                              0,                   -175,                   -535,                 -3925,,,,,                 -1839,                   -100,                322683,                322583,                322583,,,,,,,,
1324,2014年度,,                 52047,                 52047,,,                 41817,                    262,                 -1011,                 64999,                     39,                 -4038,                    385,                 -2169,,,,                  9843,                 15149,                  8611,                  1078,                  7521,                 12094,                  8629,,                 63107,,                 -9855,                -10265,                  8802,                 -4376,,                     25,                -13838,                 49269,                149553,                201600,                  4047,                    -45,                 -9674,                195928,,,                -35773,                    445,                   -130,                              0,                -35458,,                   -180,                -97658,                -97838,                  4196,                 66828,                255855,                322683,                322683,,                100284,                    182,                  1831,                              0,,,
1324,2014年01月01日至2014年09月30日,,                 42919,                 42919,,,                 31309,                    195,                 -1162,                 54979,                     34,                 -2941,                    385,                 -1964,                 80835,,,                   -611,                 29327,                  4141,                  1687,                 -6067,                  1887,                  8341,                              0,                 38705,,                 -1736,                    896,                  9618,                 -5875,                  2018,                              0,                  4921,                 43626,                124461,                167380,                  2930,                    -47,                 -9637,                160626,,                    104,                -27756,                    438,                              0,                              0,                -27214,,                   -180,                -97658,                -97838,                    354,                 35928,                255855,                291783,                291783,,,,,,,,
1324,2014年01月01日至2014年06月30日,,                 29888,                 29888,,,                 20756,                    129,                    234,                 22005,                     24,                 -1608,                    272,                 -1547,                 40265,,,                 -1102,                 16907,                  2806,                   -193,                -21163,                  8408,                  8061,                              0,                 13724,,                -19227,                  7251,                 -3042,                 -6837,                  1364,                              0,                -20491,                 -6767,                 33498,                 63386,                  1684,                    -43,                 -4834,                 60193,,                    122,                -26133,                    433,                   -180,                              0,                -25758,,,,,                 -2500,                 31935,                255855,                287790,                287790,,,,,,,,
1324,2014年01月01日至2014年03月31日,,                 18515,                 18515,,,                 10403,                     65,                    -55,                -17982,                      8,                   -785,                    245,                    -16,                 -8117,,,                   -457,                 28800,                  2755,                    296,                  4690,                 -5506,                  8071,,                 38649,,                -20246,                 18457,                 -6996,                 -5543,                     61,                              0,                -14267,                 24382,                 16265,                 34780,                    894,                    -22,                    -55,                 35597,,                    109,                -23724,                    174,                              0,                              0,                -23441,,,,,                   -424,                 11732,                255855,                267587,                267587,,,,,,,,
1324,2013年度,,                 54132,                 54132,,,                 45381,                    255,                     70,                -46216,                    101,                 -3363,                      3,                    970,,,,                 -5349,                -33090,                  1633,                   -449,                 -3372,                 -5361,                 -1071,,                -66679,,                 27267,                  7244,                 -7825,                  1800,,                              0,                 30115,                -36564,                -39363,                 14769,                  3410,                   -105,                 -5629,                 12445,,,                -14065,                              0,                              0,                   -567,                -14632,,                    200,                -30049,                -35689,                  7990,                -29886,                285741,                255855,                255855,,                 -2799,                -19620,                  1629,                 -5840,,,
1324,2013年01月01日至2013年12月31日,,                 54132,                 54132,,,                 45381,                    255,,                -46216,                    101,                 -3363,                      3,,,,,                 -5349,                -33020,                  1633,                   -449,                 -2402,                 -5361,                 -1071,,                -65639,,                 27267,                  7244,                 -7825,                  1800,,,                 30115,                -35524,                -39363,                 14769,                  3410,                   -105,                 -5629,                 12445,,,                -14065,,                              0,                   -567,                -14632,,                    200,                -30049,                -35689,                  7990,                -29886,                285741,                255855,                255855,,                 -3839,                -19620,                  1629,                 -5840,,,                              0
1324,2013年01月01日至2013年09月30日,,                 41496,                 41496,,,                 34191,                     68,                    385,                -18126,                     85,                 -2639,                              0,                  1646,,,,                -10976,                 -5587,                  2080,                    653,                -12915,                -19288,                  7221,,                -38435,,                 13407,                 11996,                 -4066,                 -2294,,,                 20055,                -18380,                 -2770,                 38726,                  2770,                    -94,                 -4231,                 37171,,,                 -6923,                              0,,                    -84,                 -7007,,                    200,                -30049,                -35689,                  6132,                    607,                285741,                286348,                286348,,                 15610,                    377,                  1012,                 -5840,,,
