證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款增加,　　 短期借款減少,　　 應付短期票券減少,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 其他項目
1326,2015年01月01日至2015年09月30日,,             28034542,             28034542,,,             12500459,              2486321,                -19042,                   -268,              1713021,               -362768,             -3285815,             -9498365,                215203,                -63876,                              0,              3684870,,,                              0,              3637322,                 -2265,              2371889,                638684,              6734442,              6850439,             -1885046,                -38347,             18307118,,                              0,               -160669,                              0,              3441253,             -3684522,             -3430146,                578197,               -230551,             -3486438,             14820680,             18505550,             46540092,                331320,              6798323,             -1980985,               -368390,             51320360,,             -3881011,              3898633,                -25130,                              0,                 13380,               -600000,                              0,                              0,                              0,            -11806278,                 81286,              4967378,                -77590,             -1877367,             -9306699,,              1983855,               -299775,                              0,             -6000000,             10852428,            -14811048,                 28453,                 43354,                 65994,             -6217846,             -1708087,            -16062672,               -410204,             25540785,             14335920,             39876705,             39876705,,,,,,,,
1326,2015年01月01日至2015年06月30日,,             17781077,             17781077,,,              8360021,              1710723,                 -2748,                 -4665,              1163429,               -222860,                 -3225,             -6423581,                232668,                -63061,                              0,              4746701,,,                              0,              2506641,                 -1674,                686897,             -1458034,                215811,              5762263,              3139574,                515086,             11366564,,                              0,                 -4522,                              0,               -627926,                 72915,               -824559,                 -8372,               -171686,             -1564150,              9802414,             14549115,             32330192,                223160,              1523190,             -1175420,                              0,             32901122,,                 -4401,                 97671,                -25130,                              0,,               -600000,                              0,                              0,                              0,             -6522794,                 62525,              3799370,                              0,             -1450042,             -4642801,,                              0,,                              0,             -6000000,              7496869,            -10370456,                 50311,                -52674,                 31083,                              0,                              0,            -10764807,               -220123,             17273391,             14335920,             31609311,             31609311,                              0,             -1769949,               -149991,                              0,,,,
1326,2015年01月01日至2015年03月31日,,              2531422,              2531422,,,              4131165,                833484,                   -126,                 -6095,                565390,               -101632,                              0,               -282616,                  1574,                -62914,                              0,              5078230,,,                              0,              1217925,                   -592,              1702275,               -256702,               -405578,              9771239,                608552,                470011,             13107130,,                              0,                 61173,                              0,              1651232,               -770296,             -1471793,                265208,               -102744,               -367220,             12739910,             17818140,             20349562,                106044,                              0,               -796221,                              0,             19659385,,                 -4401,                 97671,                -25000,                              0,,               -600000,                              0,                              0,                              0,             -4398539,                 35965,               -941616,                              0,               -455344,             -6291264,,               -149484,                350148,                              0,                              0,              4482742,             -6609369,                 30915,             -1331220,                184730,                              0,                              0,             -3041538,               -573433,              9753150,             14335920,             24089070,             24089070,,,,,,,,
1326,2014年度,,             15694432,             15694432,,,             17082788,              3198337,                  3865,                 -3785,              2584695,               -393860,             -3052980,             -4532308,               -686917,             -2953517,                              0,,,,               -649537,                931966,                  4220,              2784185,              2715348,            -10428047,              4877302,              8927878,                -88020,              9075295,,                   -239,                 33484,                              0,                 78735,             -9432301,              2371447,               -980291,,             -8017686,              1057609,             12303927,             27998359,                390271,             10273419,             -2728102,             -2945660,             32988287,,               -391332,                528262,,                170062,,             -1297031,              3744168,                              0,                              0,            -13960361,                905761,             -4846740,                    -92,             -3050448,            -18197751,,              1190516,                999676,             16000000,             -7800000,             30736861,            -38217959,                 20687,               -398791,                 11439,            -14146357,             -1115345,            -12719273,                805176,              2876439,             11459481,             14335920,             14335920,,,,,,             11246318,                -88521,
1326,2014年01月01日至2014年09月30日,,             20720181,             20720181,,,             12852767,              2396230,                  5256,                 -1609,              1968541,               -322522,             -3052980,             -7014065,               -761498,             -2631703,                              0,              3438417,,,               -429537,                 -9450,                  4269,              2151900,              1661520,             -7144407,                423287,             -1499061,                159155,             -4682324,,                   -239,                 29661,                              0,                527137,             -7059661,                266616,               -745853,                -57327,             -7039666,            -11721990,             -8283573,             12436608,                322189,             10271683,             -1799747,             -2192749,             19037984,,               -257640,                 54944,                              0,                168272,                              0,             -1219480,              3744168,                              0,                              0,             -9656807,                897050,             -4683280,                    -10,             -2348182,            -13300965,,              8368094,              1549387,             16000000,             -7800000,             15321385,            -25087244,                 36369,                850049,                111800,            -13831121,             -1115345,             -5596626,               -234153,                -93760,             11459481,             11365721,             11365721,,,,,,,,
1326,2014年01月01日至2014年06月30日,,             11684065,             11684065,,,              8658045,              1593302,                  3749,                 -3222,              1315815,               -218990,                 -7600,             -4583759,               -764349,             -2610440,                              0,              3382551,,,             -6179976,                151262,                 -2973,               -745343,                234703,             -5722635,              4802195,                179432,                -21716,             -7305051,,                              0,                 54892,                              0,                909704,             -2437849,                589726,             -1820692,                -23433,             -2727652,            -10032703,             -6650152,              5033913,                222025,              1404365,             -1132666,             -2190787,              3336850,,                -32935,                 13455,                              0,                              0,,             -1162877,              3744168,                              0,                              0,             -5663749,                885216,                              0,                    -10,             -1212743,             -3584525,,              1171116,,             10000000,             -3000000,             16784172,            -23797290,                 29719,                              0,                 38048,                              0,                              0,              1433489,               -578000,                607814,             11459481,             12067295,             12067295,               -155050,                              0,               -100018,                307742,,,,
1326,2014年01月01日至2014年03月31日,,              7047876,              7047876,,,              4363135,                795390,                  3197,                     26,                645999,               -113537,                              0,             -2520514,               -178290,             -2604587,                              0,                390819,,,               -400000,              2855669,                  2454,               -853286,              1546724,             -2986902,             -1996041,             -3309477,                 50962,             -5089897,,                              0,                 50407,                              0,              1571995,             -3961874,             -1371872,               -335214,                -20302,             -4066860,             -9156757,             -8765938,             -1718062,                100334,                              0,               -476021,                   -166,             -2093915,,                   -896,                              0,                              0,                              0,,                              0,              3744168,                              0,                              0,             -3133610,                219814,             -4659300,                    -10,               -570914,             -4400748,,              2716622,                -99966,             10000000,                              0,              2684172,             -6757759,                 97951,                653325,                101229,                              0,                              0,              9395574,                321271,              3222182,             11459481,             14681663,             14681663,,,,,,,,
1326,2013年度,,             30306827,             30306827,,,             18110987,              4224724,                  8504,                -50151,              2620766,               -474907,             -1086634,             -9116739,               -213208,               -174705,                763757,,,,                              0,                219695,                  7661,               -649602,               -238098,             -3567595,             -2333811,             -1438209,               -603792,             -8603751,,                              0,                 14939,                              0,              1807562,              1602096,                946894,             -1560549,,              2770849,             -5832902,              8779492,             39086319,                491306,              3086266,             -2673462,               -946225,             39044204,,                              0,                655552,,                 37701,,            -14928029,                              0,               -800000,                122745,            -13162293,                315223,              5859300,                -24287,             -5860947,            -27785035,,              4079510,            -11549004,             15000000,             -7800000,             39036967,            -44540502,                 58475,             -2862903,                -78905,             -3585562,             -1207815,            -13449739,              2087182,               -103388,             11562869,             11459481,             11459481,,,,,,             14612394,                -40093,
1326,2013年01月01日至2013年12月31日,,             30306827,             30306827,,,             18110987,              4224724,                  8504,                -50151,              2620766,               -474907,             -1086634,             -9116739,               -213208,               -174705,                763757,,,,,                219695,                  7661,               -649602,               -238098,             -3567595,             -2333811,             -1438209,               -603792,             -8603751,,,                 14939,                              0,              1807562,              1602096,                254927,               -868582,,              2770849,             -5832902,              8779492,             39086319,                491306,              3086266,             -2673462,               -946225,             39044204,,                              0,                655552,,                 37701,,            -14928029,,               -800000,                122745,            -13162293,                315223,              5859300,                -24287,             -5860947,            -27785035,,              4079510,            -11549004,             15000000,             -7800000,             39036967,            -44540502,                 58475,             -2862903,                -78905,             -3585562,             -1207815,            -13449739,              2087182,               -103388,             11562869,             11459481,             11459481,,,,,,             14612394,                -40093,
1326,2013年01月01日至2013年09月30日,,             25898892,             25898892,,,             13867140,              2943962,                  1582,                -49608,              2012109,               -371982,             -1086634,             -6726596,               -128101,                -48526,                              0,,,,                              0,              1899405,                  8878,             -2592261,                225900,             -1096155,              5588515,             -2467712,             -2310248,               -743678,,                              0,                -15457,                 75136,              1402078,             -5003692,                 49604,               -734591,,             -4184849,             -4928527,              5484819,             31383711,                362809,              3086266,             -1858010,               -569451,             32405325,,                              0,                              0,,                              0,,            -13448426,                              0,,                122745,            -11087949,                259696,              3282500,                              0,             -4669616,            -25541050,,              7762310,            -12048920,             15000000,             -5300000,             18614813,            -22560428,                139418,             -2111781,               -106758,             -3558094,             -1207815,             -5377255,                738869,              2225889,             11562869,             13788758,             13788758,,,,,,             10413346,                 42073,                              0
