證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 其他金融負債增加,　　 庫藏股票買回成本,　　 預付設備款增加,　　 短期借款增加
1338,2015年01月01日至2015年09月30日,,                711197,                711197,,,                318116,                  4992,                    400,                 16017,                -18810,                  3372,                    846,                 12633,                 24782,                362348,,,                -23342,                358191,                -34528,                 29905,                    858,                -16904,                314180,,                -40373,               -381180,                  6279,                 36331,                -24295,                -14378,               -417616,               -103436,                258912,                970109,                 18810,                  5348,                -14237,               -191281,                788749,,                              0,                -57149,               -300591,                 29702,                 -3568,                 26566,               -235719,                  1089,               -539670,,                190796,                194127,                -51242,               -310208,                              0,                106043,                129516,                 10291,                388886,              1607070,              1995956,              1995956,,,,,,,,
1338,2015年01月01日至2015年06月30日,,                477211,                477211,,,                205307,                  2845,                    -20,                 10361,                -10770,                  5471,                 -5124,                  4724,                 -2921,                209873,,,                 20270,                130937,                 39835,                 -5356,                 -7519,                -41077,                137090,,                -39708,               -283065,                   -535,                 50030,                 -1780,                -19828,               -294886,               -157796,                 52077,                529288,                 10770,                  8767,                -11244,               -137801,                399780,,,                -56208,               -178521,                 20333,                 -2584,                 22998,               -127126,                    714,               -320394,,                309337,                 61265,                -30831,                              0,,                106043,                445814,                -46091,                479109,              1607070,              2086179,              2086179,                              0,,,,,,,
1338,2015年01月01日至2015年03月31日,,                237063,                237063,,,                101432,                  1604,                    -11,                  5019,                 -5372,                    161,                   -658,,                   -218,                101957,,,                  4002,                531039,                 36359,                 -9309,                    797,                -22727,                540161,,                -40096,               -322466,                 -1303,                 61875,                -18214,                -40740,               -360944,                179217,                281174,                518237,                  5372,,                 -5908,                -84897,                432804,,,                -20235,                -79302,                 10320,                 -9106,                 19197,                -24140,                    361,               -102905,,                111137,                 62143,                -11695,,,,                161585,                 11651,                503135,              1607070,              2110205,              2110205,,,,,,,,
1338,2014年度,,                889498,                889498,,,                377203,                  8081,                 -2643,                 26303,                -19042,                  3454,                 15857,                  9282,                 55890,,,,                 12641,                 66690,                 40092,                -19769,                 36503,                 60723,                196880,,                 11162,               -296462,                -36219,                -70548,                 17291,                -43565,               -418341,               -221461,                252924,              1142422,                 19042,,                -26012,               -244833,                890619,,                 -3028,               -168121,               -378975,                 86160,                -13881,,                -62386,                 16265,               -473376,,               -347661,                              0,               -324561,               -195250,                713269,                              0,               -265760,                 68179,                219662,              1387408,              1607070,              1607070,,,                474385,                 50590,                              0,               -111557,,
1338,2014年01月01日至2014年09月30日,,                605926,                605926,,,                280145,                  4871,                 -2583,                 23814,                -13676,                  4211,                 18614,                              0,                 42880,                358276,,,                 13723,                281298,                 59011,                 14121,                 39470,                 93074,                500697,,                 22231,               -411282,                  5115,                -77554,                 23325,                -38422,               -476587,                 24110,                382386,                988312,                 13676,                              0,                -21313,               -190866,                789809,,                 -3008,               -170440,               -241496,                 55815,                 -4631,                 47983,                -19733,                 15811,               -319699,,               -563875,                              0,               -311128,               -195250,                713269,                              0,               -356984,                 20158,                133284,              1387408,              1520692,              1520692,,,,,,,,
1338,2014年01月01日至2014年06月30日,,                401916,                401916,,,                186041,                  3325,                 -2464,                 17257,                -10127,                  3692,                 13246,                              0,                 32492,                246166,,,                -10975,               -176117,                 65240,                  7038,                 40421,                 12310,                -62083,,                 -5393,               -222606,                   -999,                -59622,                 25910,                -60499,               -323209,               -385292,               -139126,                262790,                 10127,                              0,                -14655,               -126173,                132089,,,                -69183,               -135281,                  9523,                 -4425,                  6951,                -17429,                 15490,               -194354,,                -41300,                              0,               -100869,               -195250,,                              0,               -337419,                -24877,               -424561,              1387408,                962847,                962847,                  2704,,,,,,,
1338,2014年01月01日至2014年03月31日,,                169537,                169537,,,                 93883,                  1873,                 -2627,                  8884,                 -4798,                  3701,                  3919,,                 13375,                118210,,,                   -351,                140692,                 26471,                 12555,                 30891,               -120416,                 89842,,                  8799,               -456573,                  6008,                -27174,                 24271,                -75733,               -520402,               -430560,               -312350,               -142813,                  4798,,                 -5846,                -70886,               -214747,,,                -27838,                -69396,                  6130,                              0,                   -533,                 -3767,                 15348,                -80056,,                  1439,                              0,                -49866,,,,                -48427,                 -2290,               -345520,              1387408,              1041888,              1041888,,,,,,,,
1338,2013年度,,                612919,                612919,,,                350458,                  6779,                  4181,                 22360,                -27625,                 -7231,                -44779,                              0,                 98424,,,,                -29136,             -1270632,               -271291,                  4331,                 10123,                -13911,             -1570516,,                 27329,                845261,                 24828,                  1940,                  2456,                 86985,                988799,               -581717,               -179150,                433769,                 27625,,                -19405,                -69739,                372250,,                              0,                -48353,               -611524,                192221,                 -2694,,                -36873,                  2294,               -509575,,                299014,                143557,               -195933,               -106500,                              0,                 -2555,                161734,                 64797,                 89206,              1298202,              1387408,              1387408,,,                402567,                 -4646,                 24151,                              0,,
1338,2013年01月01日至2013年12月31日,,                612919,                612919,,,                350458,                  6779,                  4181,                 22360,                -27625,                 -7231,                -44779,,                 98424,,,,                -29136,             -1270632,               -271291,                  4331,                 10123,                -13911,             -1570516,,                 27329,                845261,                 24828,                  1940,                  2456,                 86985,                988799,               -581717,               -179150,                433769,                 27625,,                -19405,                -69739,                372250,,                              0,                -48353,               -611524,                192221,                 -2694,,                -36873,                  2294,               -509575,,                299014,                143557,               -195933,               -106500,                              0,                 -2555,                161734,                 64797,                 89206,              1298202,              1387408,              1387408,,,                402567,                 -4646,                 24151,,,
1338,2013年01月01日至2013年09月30日,,                336524,                336524,,,                258156,                  5156,                  2700,                 14008,                -21955,                 -4070,                -14950,,                 52430,,,,                -10479,             -1044027,               -304003,                 13843,                -37698,                 26797,             -1355567,,                              0,                643898,                 24332,                  2750,                  4079,                 38076,                713135,               -642432,               -350957,                -14433,                 21955,,                -13844,                -33973,                -40295,,                              0,                -25126,               -486803,                114326,                 -2497,                  2408,                -45472,                  1718,               -441446,,                313076,                114452,               -144047,               -106500,                              0,                 -2555,                198536,                 39261,               -243944,              1298202,              1054258,              1054258,,,                291475,,                 24110,,,
