證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 其他非流動資產增加,　　 處分待出售非流動資產,　　 其他金融資產增加,　　 其他預付款項減少
1414,2015年01月01日至2015年09月30日,,                -13189,                -13189,,,                 50452,                    373,                  2787,                  7720,                   -126,                 -8894,                    390,                 -2010,                 10850,                 -7837,                 53705,,,                 -3489,                  9137,                 11248,                 13522,                -26730,                   -455,                  3233,,                              0,                 -5756,                 12555,                -32314,                 -4467,                -29982,                -26749,                 26956,                 13767,                    145,                  8894,                 -7720,                -11135,                  3951,,                -53710,                 41102,                              0,                -17762,                  1178,                              0,                              0,                -23291,                -52483,,                 22171,                              0,                    290,                              0,                -66000,                -43539,                -92071,                154167,                 62096,                 62096,,,,,,,,,,,,,,
1414,2015年01月01日至2015年06月30日,,                -27408,                -27408,,,                 33018,                   -110,                  2660,                  4836,                   -156,,                    390,                 -2010,                 17947,                 -5224,                 51351,,,                 -3489,                 11590,                -23319,                 17723,               -109275,                 -7924,               -114694,,                              0,                 -4712,                 11302,                -15562,                 -3270,                -12242,               -126936,                -75585,               -102993,                    147,,                 -4836,                -11135,               -118817,,                -53710,                 41102,                              0,                -36801,                  1178,                              0,                              0,                 -2469,                -50700,,                147492,                              0,                     70,                              0,,                147562,                -21955,                154167,                132212,                132212,                              0,                              0,,,,,,,,,,,,
1414,2015年01月01日至2015年03月31日,,                -19930,                -19930,,,                 16255,,,                  2261,                    -29,,                  1294,                 -1932,,                 19962,                 37811,,,                 -2604,                  7484,                 35848,                  3589,               -163512,                 -8772,               -127967,,                    210,                  3696,                 -5185,                -22060,                   -803,                -24142,               -152109,               -114298,               -134228,                     48,,                 -2261,                    -24,               -136465,,                -39621,                 40947,                              0,                 -2950,                     79,                              0,                              0,                -19776,                -21321,,                 61843,,                     50,                              0,,                 61893,                -95893,                154167,                 58274,                 58274,                              0,,,,,,,,,,,,,
1414,2014年度,,                 45654,                 45654,,,                 62417,                   -426,                 -2550,                  4781,                 -2077,                -13038,                     19,                 -2939,                 10711,                -10449,,,,,                 -7646,                -66988,                -14319,                 64772,                  3771,                -20410,,                              0,                   -556,                    166,                -34837,,                -33635,                -54045,                 -7596,                 38058,                  2181,                 13038,                 -4781,                   -217,                 48279,,               -179524,                146453,,                -39581,                              0,                              0,               -503297,                -38764,               -398754,,                541482,                              0,                              0,                 -1890,               -110000,                429592,                 79117,                 75050,                154167,                154167,                              0,,,                              0,                 46449,                  1592,                              0,                200302,                  3408,                 12249,                              0,,,
1414,2014年01月01日至2014年09月30日,,                 17080,                 17080,,,                 45534,                   -464,                   -501,                  3056,                 -1936,                 -5784,                     19,                 -1688,                 22981,                 -7837,                 53380,,,                              0,                 11233,                -94171,                  2454,                117794,                  1324,                 38634,,                              0,                    793,                    -41,                -38394,                  1067,                -36575,                  2059,                 55439,                 72519,                  2048,                  5784,                 -3056,                   -204,                 77091,,               -115821,                 93323,                200302,                -27592,                              0,                -18273,               -167716,                -38149,                -73926,,                194256,                              0,                              0,                 -1940,               -110000,                 82316,                 85481,                 75050,                160531,                160531,,,,,,,,,,,,,,
1414,2014年01月01日至2014年06月30日,,                 29234,                 29234,,,                 29742,                   -464,                              0,                  2006,                 -1438,,                     18,                   -648,                  7174,                 -5224,                 31166,,,                              0,                  4137,                -41619,                 -3252,                -19205,                    820,                -59119,,                              0,                 21680,                 -5467,                -59965,                    550,                -43202,               -102321,                -71155,                -41921,                  1480,,                 -2006,                   -137,                -42584,,                -73314,                 33603,                151414,                -15173,                              0,                 11159,               -167716,                -26516,                -86543,,                128075,                              0,                              0,                 -1980,,                126095,                 -3032,                 75050,                 72018,                 72018,                              0,                              0,,,,,,,,,,,,
1414,2014年01月01日至2014年03月31日,,                 21560,                 21560,,,                 14687,,,                    874,                   -626,,                              0,                   -674,,                 -2612,                 11649,,,                              0,                  4753,                -64832,                 -4579,                -33220,                    915,                -96963,,                              0,                  7950,                  4830,                 -8955,                     44,                  3869,                -93094,                -81445,                -59885,                    621,,                   -874,                    -64,                -60202,,                -46774,                  4601,                  5473,                -12659,                              0,                 11249,               -136830,                 -2500,               -177440,,                233586,,                              0,                 -2110,,                231476,                 -6166,                 75050,                 68884,                 68884,                              0,,,,,,,,,,,,,
1414,2013年度,,                129114,                129114,,,                 61324,                   -153,                              0,                  1439,                   -761,                 -9549,                 -3821,                -10739,                              0,                -10449,,,,,                 14374,                    344,                    196,                -59974,                   -727,                -45787,,                   -219,                 -5761,                  4742,                 35662,,                 23855,                -21932,                  6297,                135411,                    649,                  9549,                 -1716,                    -24,                143869,,               -292463,                289224,,                -26703,                 15193,                -12246,                              0,                -18134,               -217831,,                              0,                -84196,                    517,                              0,                -83600,               -167279,               -241241,                316291,                 75050,                 75050,                 27600,,,                    938,                 28229,                -10569,                              0,               -200302,                              0,                              0,                              0,,,
1414,2013年01月01日至2013年12月31日,,                129114,                129114,,,                 61324,                   -153,,                  1439,                   -761,                 -9549,                 -3821,                -10739,,                -10449,,,,,                 14374,                    344,                    196,                -59974,                   -727,                -45787,,                   -219,                 -5761,                  4742,                 35662,,                 23855,                -21932,                  6297,                135411,                    649,                  9549,                 -1716,                    -24,                143869,,               -292463,                288911,,                -26703,                 15193,                              0,,                -18134,               -217831,,                              0,                -84196,                    517,                              0,                -83600,               -167279,               -241241,                316291,                 75050,                 75050,                 27600,,,                    938,                 28229,                -10569,                    313,,                              0,                -12246,                              0,                              0,               -200302,
1414,2013年01月01日至2013年09月30日,,                111049,                111049,,,                 45641,                   -255,                              0,                  1375,                   -217,                 -9549,                 -3896,                -10350,                 -2205,                 -7837,,,,,                 19198,                 -9001,                  2109,                  4652,                  1081,                 18039,,                   -219,                  1030,                  1564,                 35089,,                 26617,                 44656,                 57363,                168412,                    202,                  9372,                 -1672,                     21,                176335,,               -184685,                250048,,                -22150,                 15194,                              0,                              0,                -14556,                 71451,,                              0,               -182600,                    452,                              0,                -83600,               -265748,                -17962,                316291,                298329,                298329,                 27600,,,,                 12707,                -10847,,                              0,,,,,,
1414,2013年01月01日至2013年06月30日,,                 83444,                 83444,,,                 30112,                   -255,,                  1149,                   -123,,                 -3896,                -10148,                              0,                 -5225,,,,,                 21216,                -12011,                  2253,                -93254,                 -2144,                -83940,,                   -219,                  3013,                 -5779,                 40696,,                 26931,                -57009,                -45395,                 38049,                    119,,                 -1305,                     29,                 36892,,               -128969,                 87716,,                              0,                 15194,                              0,                -32862,                              0,                -25689,,                              0,               -157220,                    302,                              0,,               -156918,               -145715,                316291,                170576,                170576,                 27600,                  5632,,,                 11614,                -10780,,                              0,,,,,,
