證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 處分投資性不動產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　 發行公司債,　　　　 金融資產減損損失,　　　　　 應計退休金負債增加（減少）,　　　　 處分投資損失（利益）,　　 取得投資性不動產
1437,2015年01月01日至2015年09月30日,,                 76556,                 76556,,,                107092,                 -5151,                 62836,                -12312,                -26105,                    471,                 -4245,                              0,                 -1240,                -19692,                101654,,,                -12305,                   -948,                 52316,                 23826,                -13980,                   -905,                 48004,,                 -8985,                -13388,                 -5805,                -28178,                 19826,                121480,                198036,                 12260,                 26105,                -65048,                -17455,                153898,,                 -7381,                    803,                  7200,                -69250,                  1240,                 -6155,                  4245,                -20000,                              0,                   -512,                -89810,,              1814073,             -1830407,                              0,                              0,                730000,               -610000,                    -44,                              0,                -79510,                 -6080,                 18032,                  2231,                 84351,                632063,                716414,                716414,,,,,,,,,,,
1437,2015年01月01日至2015年06月30日,,                 56333,                 56333,,,                 72379,                  5008,                 41776,                 -8278,                 -3027,,                 -4236,                              0,,                -19652,                 83970,,,                -21244,                  4445,                 30690,                  9627,                 -3935,                   -807,                 18776,,                 -1704,                -12994,                -17589,                -32287,                -13511,                 70459,                126792,                  8278,                  3027,                -38080,                -17489,                 82528,,                 -1029,                    803,,                -69000,,                 -4773,                  4236,,                              0,                 -1243,                -71006,,                167668,,                  5000,,                390000,               -415000,                    -69,                              0,                -65155,,                 82444,                -11625,                 82341,                632063,                714404,                714404,,,,,,,,,,,
1437,2015年01月01日至2015年03月31日,,                 42513,                 42513,,,                 36516,                  5051,                 20950,                 -4115,                   -982,,,                              0,,,                 57420,,,                -17320,                  5000,                -17984,                  8069,                   -956,                   -105,                -23296,,                   -103,                 -6150,                 -3862,                -10115,                -33411,                 24009,                 66522,                  4115,                    982,                -18954,,                 52665,,,                    803,,,,                 -1242,,,                              0,                 -1190,                 -1629,,                109388,,,                -10000,                210000,               -235000,,,                -48708,,                 25700,                 -6850,                 69886,                632063,                701949,                701949,                     20,,,,,,,,,,
1437,2014年度,,                237115,                237115,,,                139101,                  6415,                 81204,                -10688,                -25333,,                -73966,                -91670,,,,,,                 -4631,                  2956,                 81142,                 38071,                 25031,,                144526,,                  1794,                -12857,                -72879,                -83942,                 60584,                 85647,                322762,                 10688,                 25333,                -82376,                   -702,                275705,,                              0,,                    727,,,                -17922,                 73975,,                107651,                 16585,                180340,,                 51345,,,                 10000,              1435000,             -1730000,,                   -387,                -21373,,               -255479,                 26211,                226777,                405286,                632063,                632063,                    -64,,                              0,                 25063,                  1957,                   -676,                              0,,,,
1437,2014年01月01日至2014年09月30日,,                225016,                225016,,,                107862,                  4555,                 60939,                 -6564,                -24570,                              0,                -73149,                -91670,                              0,                              0,                -22597,,,                 14302,                  2458,                 15407,                 50352,                 23128,                              0,                105647,,                  9331,                -10087,                -55989,                -56745,                 48902,                 26305,                251321,                  6564,                 24570,                -64239,                  1161,                219377,,                              0,                              0,                    727,                              0,                              0,                -14634,                 73149,                              0,                107651,                 13751,                180644,,                165615,                              0,                 10000,                              0,              1350000,             -1645000,                   -165,                   -370,                -21373,                              0,               -141293,                  5393,                264121,                405286,                669407,                669407,,,,,,,,,,,
1437,2014年01月01日至2014年06月30日,,                208164,                208164,,,                 65419,                  3507,                 40600,                 -3750,                -23312,,                -72253,                -91670,,                              0,                -81459,,,                 25120,                 -3909,                -25829,                 41698,                 18295,                              0,                 55375,,                 15813,                 -8009,                -55309,                -47505,                  7870,                -73589,                134575,                  3750,                  2363,                -38028,                   -178,                102482,,                              0,                    727,,                              0,,                 -8330,                 72253,,                107651,                 10413,                182714,,                 80060,,                              0,,              1255000,             -1425000,                   -165,                   -116,                -21373,,               -111594,                 -2877,                170725,                405286,                576011,                576011,,,,,,,,,,,
1437,2014年01月01日至2014年03月31日,,                106831,                106831,,,                 33696,                  1767,                 20371,                 -1779,                 -1256,,,                -91670,,,                -38871,,,                  4166,                 -2804,                -10380,                 21874,                 15029,                 -1154,                 26731,,                  9714,                  1459,                -60240,                -49067,                -22336,                -61207,                 45624,                  1779,                  1256,                -18423,,                 30236,,,                              0,,,,                 -1621,,,                107651,                -15944,                 90086,,                 55665,,,                              0,                235000,               -295000,,,                   -427,,                 -4927,                  5865,                121260,                405286,                526546,                526546,                   -165,,,,,,,,,,
1437,2013年度,,               -519401,               -519401,,,                303200,                 -8472,                 83799,                 -4456,                -25562,,                 40904,                              0,,,,,,                 -3286,                 10530,                 53738,                 71056,                -30306,,                 94718,,                 -8402,                -13272,                 66236,                 44562,                139280,                817732,                298331,                  4456,                 25562,                -80742,                   -536,                247071,,                 -3469,,                  1938,,,                -29969,                    340,,                              0,                   -182,                -31342,,               -107967,,,                -18000,              1900000,             -2635000,,                   -444,                              0,,               -262192,                 20259,                -26204,                431490,                405286,                405286,                   -781,,                289039,                678452,                 -7014,                              0,                600000,,,,
1437,2013年01月01日至2013年12月31日,,               -519401,               -519401,,,                303200,                 -8472,                 83799,                 -4456,                -25562,,                 40904,,,,,,,                 -3286,                 10530,                 53738,                 71056,                -30306,,                101732,,                 -8402,                -13272,                 66236,                 37548,                139280,                817732,                298331,                  4456,                 25562,                -80742,                   -536,                247071,,                 -3469,,                  1938,,                              0,                -29969,                    340,,,                   -182,                -31342,,               -107967,,,                -18000,              1900000,             -2635000,,                   -444,,,               -262192,                 20259,                -26204,                431490,                405286,                405286,                   -781,,                289039,                678452,,,                600000,                              0,                 -7014,                              0,                              0
1437,2013年01月01日至2013年09月30日,,               -130468,               -130468,,,                226881,                 -9487,                 63028,                 -2423,                -24952,,                 31258,                              0,,,,,,                 -1122,                  5217,                 37951,                 19372,                -16814,,                 44604,,                  2212,                  7237,                 32300,                 41749,                 86353,                370658,                240190,                  2423,                 24952,                -62092,                 -4533,                200940,,,,                  1938,,,                -27451,                    110,,                              0,                    931,                -24472,,               -135809,,,                -18000,              1660000,             -2320000,,                   -220,                              0,,               -213805,                 15788,                -21549,                431490,                409941,                409941,                    224,,,                284305,,,                600000,,,,
