證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款（增加）減少,　　　　 處分投資損失（利益）,　　　　　 其他營業資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 存出保證金減少,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　　　　　 應付帳款增加（減少）,　　 其他籌資活動
1438,2015年01月01日至2015年09月30日,,                 17436,                 17436,,,                     11,                     24,                     27,                 -3380,                     -4,                 -3025,                              0,                 -6347,,,                              0,                      4,                  5618,                    695,                -15454,                 -9137,,                   -492,                    645,                    -47,                    -31,                     75,                 -9062,                -15409,                  2027,                  3385,                      4,                 -2339,                  3077,,                              0,                              0,                              0,                              0,                  3077,                166060,                169137,                169137,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年06月30日,,                 13133,                 13133,,,                      9,                     18,                     16,                 -2215,,,                  1878,                   -294,,,                              0,                      4,                  5585,                    631,                -15455,                 -9235,,                   -533,                    903,                    -32,                    -36,                    302,                 -8933,                 -9227,                  3906,                  2221,,                 -2223,                  3904,,,                              0,                              0,                              0,                  3904,                166060,                169964,                169964,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年03月31日,,                 14860,                 14860,,,                      8,                     11,                              0,                 -1094,,,                    816,                   -259,,,,                      4,                  5515,                    577,,                  6096,,                   -533,                    544,                    -16,                    -49,                    -54,                  6042,                  5783,                 20643,                  1088,,                 -2264,                 19467,,,                              0,                              0,                              0,                 19467,                166060,                185527,                185527,,,,,,,,,,,,,,,,,
1438,2014年度,,                  4409,                  4409,,,                     35,                     46,                   -735,,                     -3,,,,,,                180898,                     -4,                  1785,                    301,                -75108,                107872,,                   -141,                   -270,                    -62,                     10,                   -463,                107409,                104388,                108797,                  2602,                      3,                 -1145,                110257,,                  1241,,                  1241,                     -1,                111497,                 54563,                166060,                166060,,                 -2653,                    289,                 -3021,,,,,,,,,,,,,
1438,2014年01月01日至2014年09月30日,,                 -3103,                 -3103,,,                     26,                     34,                   -627,                 -1847,                              0,                              0,                              0,                 -2414,,,                 50979,                              0,                 -1019,                   -121,                 28000,                 77839,,                   -588,                    839,                    -46,                    -52,                    153,                 77992,                 75578,                 72475,                  1850,                              0,                    -83,                 74242,,                  1241,                              0,                  1241,                              0,                 75483,                 54563,                130046,                130046,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年06月30日,,                 -2109,                 -2109,,,                     17,                     23,                   -474,                 -1170,,,                              0,                 -1604,,,                 50979,                              0,                    105,                   -115,                              0,                 50969,,                   -620,                  1199,                    -31,                    -62,                    486,                 51455,                 49851,                 47742,                  1161,,                    -14,                 48889,,,                              0,                              0,                              0,                 48889,                 54563,                103452,                103452,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年03月31日,,                   -838,                   -838,,,                      8,                     11,                   -244,                   -574,,,                              0,                   -799,,,,                              0,                    105,                   -166,,                    -61,,                   -661,                    713,                    -15,                    -69,                    -32,                    -93,                   -892,                 -1730,                    578,,                    -57,                 -1209,,,                              0,                              0,                              0,                 -1209,                 54563,                 53354,                 53354,,,,,,,,,,,,,,,,,
1438,2013年度,,                 32416,                 32416,,,                     35,                     46,                  2736,,                     -4,,,,,,                 46597,                              0,                 17442,                  1837,               -116500,                -50624,,                    695,                 -1329,                 -5916,                     94,                 -6456,                -57080,                -57048,                -24632,                  2966,                      4,                 -4464,                -26126,,                              0,,                              0,                              0,                -26126,                 80689,                 54563,                 54563,,                 -2781,                              0,                     32,,,,,,,,,,,,,
1438,2013年01月01日至2013年12月31日,,                 32416,                 32416,,,                     35,                     46,                  2736,                 -2781,                     -4,,,,,,,,                 17442,                  1831,               -116500,                -50624,,                    695,                 -1329,                 -5916,                     94,                 -6456,                -57080,                -57048,                -24632,                  2966,                      4,                 -4464,                -26126,,,,                              0,                              0,                -26126,                 80689,                 54563,                 54563,,,,                     32,,                              0,                 46597,                              0,                      6,                              0,                              0,                              0,,                              0,                              0,,
1438,2013年01月01日至2013年09月30日,,                 24892,                 24892,,,                     26,                     34,                  3020,                 -2068,                     -4,,,,,,                 46597,,                 14685,                  1556,               -116500,                -53673,,                     46,                   -765,                  2280,                    177,                  1738,                -51935,                -50927,                -26035,                  2380,                      4,                 -3204,                -26855,,                              0,,                              0,                              0,                -26855,                 80689,                 53834,                 53834,,,,                  1008,                    -11,,,,,,,,,,,,
