證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 其他金融資產增加,　　 預付設備款增加,　　 存入保證金增加,　　　　　 其他應收款－關係人（增加）減少,　　 其他金融資產減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　 取得投資性不動產,　　　　　 其他營業負債增加（減少）
1442,2015年01月01日至2015年09月30日,,                478540,                478540,,,                  1460,                    118,                  1727,                    426,                   -879,                   -996,                 -1573,                    283,,,                 10943,                  3505,                    -28,             -1135653,                -50279,                 -1203,                357671,               -815044,,                 -1981,                              0,                691712,                -10266,                 35558,                   -466,                  3853,                 73019,                  6481,                797910,                -17134,                -16851,                461689,                    879,                    996,                   -426,                -59124,                404014,,                -30000,                              0,                   -265,                  8430,                 -3412,                   -964,                -26211,,              2203430,             -2103565,                 -2147,                538780,               -463069,               -450527,               -277098,                100705,                228824,                329529,                329529,,,,,,,,,,,,,,,
1442,2015年01月01日至2015年06月30日,,                384004,                384004,,,                    968,                     57,                  1727,                    288,                   -855,                   -977,                 -1573,                   -365,,,                  5179,                 10835,                     54,               -730503,                -33311,                 -1067,                147544,               -601269,,                 10437,                              0,                617955,                    660,                 25494,                    -36,                    649,                 23373,                    839,                679371,                 78102,                 77737,                461741,                    855,                    977,                   -288,                -45399,                417886,,                -30000,,                   -137,                  8430,                 -1960,                   -964,                -24631,,                299127,               -648525,                 -2147,                346940,               -237647,,               -242252,                151003,                228824,                379827,                379827,                              0,,,,,,,,,,,,,,
1442,2015年01月01日至2015年03月31日,,                 41798,                 41798,,,                    484,                     10,                    877,                    146,                   -438,,                              0,                  1079,,,                  1827,                 11429,                     43,               -677031,                -21044,                    201,                -47501,               -732076,,                 18675,                              0,                513636,                              0,                  4067,                    580,                    977,                189036,                  3818,                730789,                 -1287,                   -208,                 41590,                     28,,                   -146,                 -3832,                 37640,,,,                   -137,                              0,,,                   -137,,                199128,               -336474,                 -1212,                232760,                -71385,,                 22817,                 60320,                228824,                289144,                289144,                              0,,,,,,,,,,,,,,
1442,2014年度,,                484593,                484593,,,                  2003,                     65,                 -7349,                    881,                 -1347,                   -552,                -10494,,,,                -11589,                  4215,                    304,             -1985110,                -40612,                 -7524,               -240431,             -2280747,,                -32070,                -13860,                377791,                 31408,                -63885,                    730,                    771,                404315,                 -8942,                696258,             -1584489,             -1601282,             -1116689,                  1347,                    552,                   -610,               -129747,             -1245147,,,                 -5000,                   -123,                 28333,,                   -114,                 23096,,              1984685,               -906977,                 -6223,              1442580,               -508779,               -856285,              1149001,                -73050,                290874,                217824,                217824,                              0,,                              0,                              0,                -16793,                              0,                              0,                              0,                              0,,,,,,
1442,2014年01月01日至2014年09月30日,,                328519,                328519,,,                  1522,                     50,                -14433,                    727,                   -598,                   -552,                -10494,                -23778,,,                   -300,                 16120,                    369,             -1659592,                -26427,                   -482,               -129471,             -1799783,,                 -8216,                -13860,                189625,                 20580,                -39806,                              0,                     64,                295846,                 -4552,                439681,             -1360102,             -1383880,             -1055361,                    598,                    552,                   -461,               -123859,             -1178531,,                              0,                 -5000,                   -123,                 28333,                              0,                   -114,                 23096,,              1873045,               -666985,                 -4728,              1053160,               -261835,               -856285,              1136372,                -19063,                290874,                271811,                271811,,,,,,,,,,,,,,,
1442,2014年01月01日至2014年06月30日,,                278023,                278023,,,                  1033,                     34,                  2463,                    579,                   -587,                   -326,                -10494,                 -7298,,,                -22028,                 15450,                    369,             -1110509,                -22217,                 -4303,                -36025,             -1179263,,                 -5947,                -13860,                 57006,                 20475,                150393,                              0,                   -308,                104415,                 -7480,                304694,               -874569,               -881867,               -603844,                    587,                    326,                   -310,                -83508,               -686749,,                              0,,                   -123,                 28333,                              0,                              0,                 28305,,                726742,               -396985,                 -3232,                710150,               -225220,,                811455,                153011,                290874,                443885,                443885,                     95,,,,,,,,,,,,,,
1442,2014年01月01日至2014年03月31日,,                169994,                169994,,,                    519,                     17,                  1179,                    422,                     -7,,                    -95,                  2035,,,                  1960,                 16040,                    361,               -463930,                 -2043,                     65,                 -1090,               -448637,,                   -341,                 -3108,                -46048,                 -8190,                  9926,                     15,                   -242,                -37551,                 -1056,                -86595,               -535232,               -533197,               -363203,                      7,,                   -156,                 -2512,               -365864,,,,                              0,                     95,,,                    190,,                453000,               -173066,                 -1738,                175000,               -186608,,                266588,                -99086,                290874,                191788,                191788,                     95,,,,,,,,,,,,,,
1442,2013年度,,              1399634,              1399634,,,                  1525,                    167,                -16238,                  8234,                 -1111,                   -530,                              0,,,,                  6690,                -14080,                   -338,                490217,                 37181,                 12599,               -169220,                363049,,                 53090,                 13860,               -259562,                -17010,                 76019,                              0,                    656,                204249,                  7934,                 79236,                442285,                440305,              1839939,                  1111,                  9246,                 -1064,                -34163,              1815069,,,                 -1250,                   -190,                              0,,                              0,               -176159,,                597341,             -3499626,                 -7636,              1475454,                -54583,               -247726,             -1536776,                102134,                188740,                290874,                290874,                    718,,                    134,                  5839,                 -1980,                 18000,               -189967,                 -3470,                200000,,,,,,
1442,2013年01月01日至2013年12月31日,,              1399634,              1399634,,,                  1525,                    167,                -16238,                  8234,                 -1111,                   -530,,,,,                  6690,                -14080,                   -338,                490217,                 37181,                 12599,               -169220,                363049,,                 53090,                 13860,               -259562,                -17010,                 76019,,                    656,                204249,                  7934,                 79236,                442285,                440305,              1839939,                  1111,                  9246,                 -1064,                -34163,              1815069,,,                 -1250,                   -190,,,,               -176159,,                597341,             -3499626,                 -7636,              1475454,                -54583,               -247726,             -1536776,                102134,                188740,                290874,                290874,                    718,,                    134,                  5839,                 -1980,                 18000,               -189967,                 -3470,                200000,,,                              0,                              0,                              0,
1442,2013年01月01日至2013年09月30日,,              1353650,              1353650,,,                  1145,                    151,                -16791,                  8071,                   -471,                   -530,                              0,,,,                 -2038,                 -7630,                     27,                929530,                 41455,                 12071,               -170600,                802644,,                 34311,                 20790,               -234726,                -25200,                 54485,                  1070,                  1134,                143955,                  9293,                  5112,                807756,                805303,              2158953,                    471,                  9247,                   -906,                -32371,              2135394,,,                 -1250,                   -190,                              0,,                              0,               -171571,,                349615,             -3330300,                 -5780,              1024740,                 -1937,                              0,             -1763662,                200161,                188740,                388901,                388901,                    406,,                    133,                  5839,                 -2453,                 18000,               -188537,,                200000,                   -171,,,,,
