證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 其他應付款－關係人減少,　　 其他應收款－關係人增加,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 庫藏股票處分,　　 取得子公司股權,　　 對子公司之收購（扣除所取得之現金）,　　 應收款項減少,　　 其他非流動資產增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 處分採用權益法之投資,　　 短期借款減少,　　 應付短期票券減少
1447,2015年01月01日至2015年09月30日,,                123303,                123303,,,                416353,                  7076,                 -4326,                 44540,                 47676,                -29240,                -91096,                              0,                -17770,                  5700,                    -15,                 12358,                -91494,                 13601,                 47885,                361248,,,               -152266,                 68512,                826525,               -222907,                201749,                -41585,                -45681,                   -773,                    524,                634098,,                  5788,               -287762,                 19221,                 13633,                 -7293,                    -44,               -256457,                377641,                738889,                862192,                 28472,                133764,                -46927,                -95651,                881850,,                -15284,                    316,                              0,             -1187448,                  1099,                     34,                 -2756,             -1045520,                 12452,             -2237107,,              2251000,                739000,              1000000,                -95027,                    477,                 65543,                              0,              3960993,                 -8944,              2596792,                761186,              3357978,              3357978,,,,,,,,,,,,,,,,,,,,
1447,2015年01月01日至2015年06月30日,,                 29728,                 29728,,,                270476,                  4708,                   -807,                 25871,                 28354,                -17688,                    -60,                              0,                -17041,                  5195,                     -2,                              0,                              0,                 97463,                 30854,                270302,,,               -105139,                 28693,                -50597,               -238779,                138821,                -15212,                -22200,                   -828,                    527,               -264714,,                 83213,                253463,                -43908,                 -4179,                 61646,                    -28,                350207,                 85493,                355795,                385523,                 17621,                  1833,                -27266,                -54032,                323679,,                -11269,                    316,                              0,               -778764,                    944,                     63,                 -2626,               -617200,                  2599,             -1405937,,              2822122,                358000,                500000,                -88916,                    286,,                              0,              3535035,                -20490,              2432287,                761186,              3193473,              3193473,               -157021,                -56457,,,,,,,,,,,,,,,,,,
1447,2015年01月01日至2015年03月31日,,               -136219,               -136219,,,                127984,                  2284,                 -2360,                 10889,                 10348,                 -6537,,,                 -4431,                  5602,                              0,,,                 73257,                 15517,                 75255,,,                -29783,                 65623,                377336,,                100114,                 -8279,                -23489,                  6926,                    388,                488836,,                  3047,                148604,                  9806,                 -4337,                -47732,                    -12,                109376,                598212,                673467,                537248,                  6455,,                 -9243,                   -484,                533976,,,,,               -364596,                    398,                     61,                   -455,             -1331887,,             -2038761,,              2171889,                518000,                146667,                              0,                    183,                 13000,,              2849739,                  8494,              1353448,                761186,              2114634,              2114634,               -157298,,               -213000,               -129282,,,,,,,,,,,,,,,,
1447,2014年度,,                413017,                413017,,,                503464,                 10906,                 -3979,                 -6710,                 67030,                -39242,                 -6043,                  4947,                -91262,                -12096,                 -1196,                 27883,                221612,                  7418,                 67440,,,,                -97651,               -102695,              1168776,,                -61449,                -18064,                  1008,                172522,                    542,              1062989,,                 -4092,               -525140,                -17288,                 -3096,                  7978,,               -550632,                512357,              1262529,              1675546,                 38148,                 33494,                -67787,               -111340,              1568061,,                -22132,                    198,               -105250,               -730868,                 30067,                   -108,                 -5293,                 11770,,             -1402594,,                434509,               -170000,,               -235369,                   -139,                 24976,                  5865,                 59842,                -23007,                202302,                558884,                761186,                761186,,,,               -580978,,                750172,                 -8994,                              0,                              0,                              0,,,,,,,,,,
1447,2014年01月01日至2014年09月30日,,                445198,                445198,,,                376461,                  8488,                 -4893,                -12889,                 53354,                -29620,                 -6043,                  4947,                -82018,                -13222,                 -1198,                 27883,                  3412,                  3132,                 51231,                379025,,,                 25438,                -52802,                977530,                  2172,               -416195,                 -9083,                156428,               -205674,                  5483,                483297,,                105759,               -541545,                 -2773,                 -3160,                128694,                     58,               -312967,                170330,                549355,                994553,                 25073,                 33494,                -52570,               -110418,                890132,,                -22112,                    198,                -16000,               -603993,                 29099,                              0,                              0,             -2132840,               -292284,             -3037932,,              3077509,                120000,                              0,               -199785,                      9,                -86415,                  5865,              2917183,                 -5698,                763685,                558884,              1322569,              1322569,,,,,,,,,,,,,,,,,,,,
1447,2014年01月01日至2014年06月30日,,                213572,                213572,,,                250654,                  5456,                   -573,                -12738,                 35206,                -17721,                 -1856,                  4947,                -39482,                -13221,                 -1214,                 27883,                  9000,                 68383,                 36836,                351560,,,                 -6691,                -74327,                143209,                -35037,               -467695,                  8731,                162743,               -105964,                    940,               -374091,,                  3292,               -396063,                   -780,                 -5746,                 94694,                     37,               -304566,               -678657,               -327097,               -113525,                 13891,                  3578,                -32497,                -69115,               -197668,,                -22112,                              0,                -16000,               -291890,                 28961,                              0,                              0,             -2199065,               -183292,             -2683398,,              3003509,                180000,                100000,               -446452,                      1,,                  5865,              2775508,                  9580,                -95978,                558884,                462906,                462906,                              0,                -67415,,,,,,,,,,,,,,,,,,
1447,2014年01月01日至2014年03月31日,,                276044,                276044,,,                124912,                  3345,                 -2260,                 11173,                 16373,                 -5726,,,                 -4240,                -12970,                 -1093,,,                 85055,                 19066,                232635,,,                -48008,               -116892,                388893,,             -1248478,                 -5180,                -47343,                 39144,                    246,             -1037618,,                  9797,                638583,                  3005,                 -1414,                 46288,                     30,                696289,               -341329,               -108694,                167350,                  4178,,                -13833,                   -498,                157197,,,,,                -49812,                 28847,                              0,                              0,             -2165206,,             -2279740,,              2278991,                              0,                              0,               -310869,                     11,                 23995,,              1992128,                  3310,               -127105,                558884,                431779,                431779,                 -1000,,                              0,                -93569,,,,,,,,,,,,,,,,
1447,2013年度,,              1225861,              1225861,,,                489628,                 19295,                  2870,                -96007,                 65568,                 -9380,               -103122,                              0,                -68165,                -15003,                              0,                              0,                  7740,                -78736,                 67623,,,,                -30000,                 38115,             -1238995,,                185096,               -111146,                 57706,               -156028,                    909,             -1254343,,                -92866,                184986,                  5211,                 13611,                 32149,,                142661,             -1111682,               -829371,                396490,                  9282,                127830,                -65682,                 -3077,                464843,,                -28057,                              0,                              0,               -480595,                 16560,                      4,                 -9084,                              0,,               -593666,,                248043,                155000,,               -364999,                    203,                125415,                              0,                370961,                 27034,                269172,                289712,                558884,                558884,,,,               -134344,,                282311,                   -430,                 41850,                250753,                -43454,,,,,,,,,,
1447,2013年01月01日至2013年12月31日,,              1225861,              1225861,,,                489628,                 19295,                  2870,                -96007,                 65568,                 -9380,               -103122,                              0,                -68165,                -15002,                              0,,                  7740,                -78736,                 67623,,,,                -30000,                 38115,             -1238995,                 20384,                185096,               -120230,               -118804,,                  3813,             -1260621,,                -92866,                184986,                  2577,                 13611,                 32149,,                140027,             -1120594,               -838282,                387579,                  9380,                127830,                -63048,                 -3077,                458664,,                -28057,                              0,,               -471218,                 16560,                      4,,,,               -587487,,                248043,                155000,                100000,               -464999,                    203,                125415,                              0,                370961,                 27034,                269172,                289712,                558884,                558884,                              0,,,               -146626,,                282312,                   -430,                 41850,                250753,                -43454,,                              0,                              0,,,,,,,
1447,2013年01月01日至2013年09月30日,,                960414,                960414,,,                365000,                 14749,                  2810,                -96605,                 53570,                 -2886,               -103073,                              0,                -44467,                -15001,                              0,                              0,                  1315,                 25725,                 48183,,,,                              0,                115695,             -1096604,                -23954,               -527661,                -55482,                -77187,,                    685,             -1664508,,               -109533,                132215,                 -4685,                 24342,                 -3273,,                 38647,             -1625861,             -1376541,               -416127,                  2849,                127830,                -47988,                 -2582,               -336018,,                -28057,                              0,                              0,               -452986,                 16558,,,                              0,,               -495169,,              1046791,                150000,,               -150645,                   -402,                 65789,                              0,              1123871,                   -310,                292374,                289712,                582086,                582086,,,,                -29080,,                249320,                   -419,                 41850,                 12338,,                -43454,,,,,,,,,
