證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 攤銷費用,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 收取之股利,　　　　　 應收票據－關係人（增加）減少,　　 其他金融資產增加
1460,2015年01月01日至2015年09月30日,,                311423,                311423,,,                361961,                              0,                 25419,                   -384,                  6685,                -10560,                  7765,                  4500,                395386,,,                 16228,               -110223,                   -657,                 30598,                102748,                 -8926,                 29768,,                 34840,                -12460,                -39691,                 28438,                -20277,                -14416,                 -7892,                  4639,                -26819,                  2949,                398335,                709758,                    405,                -26151,                 -2550,                681462,,                -72217,                 35104,                 29940,               -655993,                  6322,                 -1056,                  1807,               -656093,,              1874789,             -1773875,              3795669,             -3595755,                340000,               -225000,                  2696,                 -3108,               -306238,                109178,                 -4911,                129636,                251616,                381252,                381252,,,,,,,,,
1460,2015年01月01日至2015年06月30日,,                204172,                204172,,,                242606,                              0,                 16619,                   -296,                  5191,                -10560,                  5941,                    768,                260269,,,                -17338,                 99684,                 -1256,                 50815,                147835,                  8031,                287771,,                  1255,                 -1790,                -83147,                 -3648,                -60457,                -62942,                -15410,                  1864,               -224275,                 63496,                323765,                527937,                    317,                -16352,                 -1884,                510018,,                -72217,                 35104,                 29940,               -415893,                  3975,                   -262,                  1792,               -417561,,              1065476,               -893249,              2397204,             -2497227,                200000,               -200000,                  1757,                 -1768,,                 72193,                -32269,                132381,                251616,                383997,                383997,,,,,,,,,
1460,2015年01月01日至2015年03月31日,,                126538,                126538,,,                122004,                              0,                  8369,                   -214,                  2418,                -10560,                  2941,                    330,                125288,,,                 17262,                -93383,                  1416,                 31120,                111145,                    986,                 68546,,                    826,                 -9452,                -56184,                  7581,                -56437,                -58165,                  5933,                  2700,               -163198,                -94652,                 30636,                157174,                    214,                 -8278,,                149110,,,                 35104,,               -180971,                  2490,                   -251,                    938,               -142690,,                461355,               -425440,              1098546,             -1048569,                 50000,                -25000,                    110,                 -1023,,                109979,                -10916,                105483,                251616,                357099,                357099,,,,,,,,,
1460,2014年度,,                439507,                439507,,,                494648,                 -1001,                 34894,                   -690,                  5462,                -12172,                 75956,,,,,                -21802,               -157666,                  9527,                -22342,               -154001,                 55139,               -291145,,                -33857,                 12130,                -65897,                -33904,                 55845,                -39089,                  5077,,                -94880,               -386025,                204561,                644068,                    669,                -34580,                   -404,                609753,,                -99388,                 38764,,               -716443,                  7978,                -14553,                  4383,               -802688,,              1572585,             -1534334,              2895673,             -2895694,              1150000,             -1093363,                  3324,                 -4605,                -87497,                  6089,                 49456,               -137390,                389006,                251616,                251616,,                              0,                 -6511,                590586,                  4815,                -29940,                  6511,,
1460,2014年01月01日至2014年09月30日,,                252624,                252624,,,                376106,                 -1913,                 26650,                   -452,                  3819,                -12172,                 48220,                   -280,                439978,,,                -19097,               -101670,                 -1684,                -17948,               -174476,                 43476,               -271399,,                 16253,                  2820,                -98731,                -42317,                 56110,                -49896,                 -4837,                  2364,               -118234,               -389633,                 50345,                302969,                    453,                -26294,                   -298,                276830,,                -99388,                 38764,                              0,               -352230,                  8482,                 -7860,                  4588,               -407644,,              1143135,             -1102094,              2096882,             -2097038,              1000000,               -918363,                  2575,                 -3930,                -87497,                 33670,                 16497,                -80647,                389006,                308359,                308359,,,,,,,,,
1460,2014年01月01日至2014年06月30日,,                163724,                163724,,,                252854,                 -2400,                 17995,                   -369,                 -1774,                -12172,                 43462,                 -6087,                291509,,,                -31439,                 58701,                  6202,                 -8674,               -111172,                 32712,                -53670,,                 11025,                  2193,               -101545,                -20649,                 10220,                -64639,                  1800,                    139,               -161456,               -215126,                 76383,                240107,                    370,                -18041,                   -296,                222140,,                              0,                 38764,                              0,               -195767,                  5958,                 -6495,                    325,               -157215,,                400173,               -350838,              1048411,             -1398115,                850000,               -747530,                  1001,                 -1195,,               -198093,                  6165,               -127003,                389006,                262003,                262003,,,,,,,,,
1460,2014年01月01日至2014年03月31日,,                 87980,                 87980,,,                128285,                 -2400,                  9197,                    -53,                 -1081,                 -1840,                 22865,                 -1815,                153158,,,                -15986,                -21119,                 -4066,                -37178,                -95335,                 49210,               -124474,,                 -7060,                 -2028,                -52173,                -31128,                -58991,                -13811,                  4301,                 -2264,               -163154,               -287628,               -134470,                -46490,                     20,                -10174,,                -56644,,,                  2882,,                -92059,                  2310,                 -6092,                     25,                -92934,,                214734,               -182885,                599130,               -799067,                750000,               -485030,                    901,                   -451,,                 97332,                 18835,                -33411,                389006,                355595,                355595,,,,,,,,,
1460,2013年度,,                229911,                229911,,,                531948,                 -1090,                 39840,                   -756,                  2555,                 -1460,                 32268,,,,,                 41922,               -199617,                 -7669,                 34421,               -182991,                 -5582,               -319516,,                -77114,                -70059,                161298,                 34494,                -29959,                 33554,                  1845,,                 58868,               -260648,                340435,                570346,                    787,                -40000,                    -55,                531078,,                              0,                 25910,,               -266589,                  1237,                 -2007,                    388,               -238351,,              3119797,             -3194490,              4994741,             -4595151,              1810000,             -2476151,                  3754,                 -2309,                              0,               -339809,                 -7275,                -54357,                443363,                389006,                389006,,                    488,                 -2710,                601083,                  4809,                              0,                  2710,,
1460,2013年01月01日至2013年12月31日,,                229911,                229911,,,                531948,                 -1090,                 39840,                   -756,                  2555,                 -1460,                 32268,,,,,                 41922,               -199617,                 -7669,                 34421,               -182991,                 -5582,               -319516,,                -77114,                -70059,                161298,                 34494,                -29959,                 33554,                  1845,,                 58868,               -260648,                340435,                570346,                    787,                -40000,                    -55,                531078,,,                 25910,,               -266589,                  1237,                 -2007,                    388,               -238351,,              5370801,             -5445494,              4994741,             -4595151,              1810000,             -2476151,                  3754,                 -2309,,               -339809,                 -7275,                -54357,                443363,                389006,                389006,,                    488,                 -2710,                601083,                  4809,,                  2710,,
1460,2013年01月01日至2013年09月30日,,                144372,                144372,,,                402717,                      2,                 30863,                   -506,                  1233,                   -643,                 14819,,,,,                 18875,               -217467,                -13486,                 28361,               -253431,                 33061,               -404089,,               -102847,                -69881,                 70827,                 72055,                 -6291,                -21515,                  8673,,                -46060,               -450149,                 -1176,                143196,                    537,                -30382,                    -11,                113340,,                              0,                              0,,               -187055,                  1175,                   -543,                    264,               -186159,,              3848975,             -3801981,              3795930,             -3396472,              1199871,             -1793492,                  3354,                 -1909,                              0,               -145724,                 -5861,               -224404,                443363,                218959,                218959,,                    488,,                448973,                  2919,,,                     -2,
1460,2013年01月01日至2013年06月30日,,                121044,                121044,,,                269981,                   -433,                 21707,                   -490,                    621,                   -643,                 14819,,,,,                 15702,               -129083,                 -3118,                 44573,               -201079,                 40084,               -233966,,                -27660,                -23207,                 90902,                 63080,                 -6480,                 15905,                  1088,,                114615,               -119351,                186699,                307743,                    521,                -21415,                    -11,                286838,,,                              0,,                -94564,                    576,                    -29,                    134,                -93883,,              3281379,             -3220203,              2547346,             -2247841,                699871,             -1462212,                  3163,                 -1828,,               -400325,                 26943,               -180427,                443363,                262936,                262936,,                    488,,                306050,                    987,,,                 -1045,
1460,2013年01月01日至2013年03月31日,,                 75161,                 75161,,,                134160,                    423,                 11521,                   -273,                    496,                              0,                  4819,,,,,                 25994,               -168031,                 -8293,                 21913,                -90103,                 58128,               -160392,,                  9442,                -71386,                 13113,                 24568,                -23326,                 -9963,                -14403,,                -69940,               -230332,                -78799,                 -3638,                    273,                -10107,,                -13472,,,                              0,,                -57451,                    577,                    -28,                    104,                -56798,,              2334404,             -2005556,              1198735,               -899001,                699871,             -1330932,                  1126,                 -1828,,                 -3181,                 41934,                -31517,                443363,                411846,                411846,,                    387,,                151533,                  2015,,,,
1460,2012年01月01日至2012年12月31日,,                578227,                578227,,,                554803,                  3183,                 49449,                   -810,                 17937,                     -5,                 37981,,,,,                -22500,                 77367,                  4853,                  6015,               -223565,                -92580,               -250410,,                -22896,                 42881,                -42043,               -108723,                 -7838,                 31552,                  5013,,                -88550,               -338960,                322699,                900926,                    810,                -51926,                   -138,                849672,,,                     12,,               -332870,                 17458,                 -1807,                    117,               -312462,,              5628322,             -5587602,              4077415,             -4227278,              8854744,             -9157706,                  4926,                 -2814,,               -409993,                -52010,                 75207,                368156,                443363,                443363,,                  3749,                 -4628,                661659,                 13504,,                  4628,,
