證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　　　　 其他營業負債增加（減少）,　　 其他投資活動,　　　　 非金融資產減損迴轉利益,　　 應付短期票券減少
1469,2015年01月01日至2015年09月30日,,                  7014,                  7014,,,                  8143,                    342,                  1236,                  8513,                  2044,                 -1991,                 18287,,,                 31732,                 -9394,                -42603,                 -7874,                  6572,                 -1161,                -22728,,                 18963,                 -1377,                 -1143,                    513,                 16956,                 -5772,                 12515,                 19529,                  2033,                 -2075,                   -299,                 19188,,                   -606,                              0,               -125156,               -125762,,                 14850,                 33000,                 47850,                -58724,                116683,                 57959,                 57959,,,,,,,,,,,,
1469,2015年01月01日至2015年06月30日,,                  9823,                  9823,,,                  5473,                    256,                    777,                   -491,                  1224,                 -1416,                  5823,,,                 -7937,                 -9022,                -37035,                -20454,                  6086,,                -68362,,                 12480,                  2666,                  7135,                    615,                 22896,                -45466,                -39643,                -29820,                  1045,                 -1254,                   -299,                -30328,,                   -275,,,                   -275,,                -31150,                 35000,                  3850,                -26753,                116683,                 89930,                 89930,,,,,,,,,,,,
1469,2015年01月01日至2015年03月31日,,                -11412,                -11412,,,                  2647,                    128,                  1333,                   -925,                    566,                   -831,                  2918,,,                 36191,                  2956,                -14468,                -15217,                  3447,,                 12909,,                 -2733,                 -1834,                 -1924,                    572,                 -5919,                  6990,                  9908,                 -1504,                     68,                   -574,,                 -2010,,                   -275,,,                   -275,,                -39150,                 10000,                -29150,                -31435,                116683,                 85248,                 85248,,,,,,,,,,,,
1469,2014年度,,                   -405,                   -405,,,                 11424,                    510,                    386,                   -344,                  2154,                 -1952,,,,                -45026,                 13963,                 58618,                  2149,                -61788,,                -32084,,                -11066,                  2959,                  3119,                      9,                 -4989,                -37073,                -25010,                -25415,                  1952,                 -2169,                  3016,                -22616,,                   -932,                   -879,,                 -1811,,               -100850,                133000,                 32150,                  7723,                108960,                116683,                116683,,                              0,                   -115,                              0,                 12063,                              0,                    -10,                              0,,,,
1469,2014年01月01日至2014年09月30日,,                  7870,                  7870,,,                  8682,                    383,                   -197,                    438,                  1631,                 -1614,                  9323,,,                     95,                  5002,                 13596,                 12121,                 -2223,                              0,                 28591,,                 22343,                  8692,                  4135,                    678,                 35848,                 64439,                 73762,                 81632,                  1523,                 -1672,                              0,                 81483,,                   -759,                   -879,                              0,                 -1638,,               -160000,                142000,                -18000,                 61845,                108960,                170805,                170805,,,,,,,,,,,,
1469,2014年01月01日至2014年06月30日,,                  2852,                  2852,,,                  5941,                    256,                 -1451,                    178,                  1050,                 -1068,                  4906,,,                              0,                  5165,                    801,                  2527,                  1752,,                 10245,,                  6525,                 -1641,                  5277,                    490,                 10651,                 20896,                 25802,                 28654,                    104,                 -1092,                              0,                 27666,,                   -140,,,                   -140,,               -160000,                128000,                -32000,                 -4474,                108960,                104486,                104486,,,,,,,,,,,,
1469,2014年01月01日至2014年03月31日,,                 -4593,                 -4593,,,                  3042,                    128,                   -703,                    -19,                    571,                   -586,                  2433,,,                              0,                 13992,                 51721,                 -3123,                -12527,,                 50063,,                 20251,                 -3321,                    448,                  1022,                 18400,                 68463,                 70896,                 66303,                     79,                   -565,,                 65817,,                   -140,,,                   -140,,               -155418,                 82000,                -73418,                 -7741,                108960,                101219,                101219,,,,,,,,,,,,
1469,2013年度,,                 10188,                 10188,,,                 13031,                    510,                 -1718,                 -1830,                  4162,                   -843,,,,                 96365,                  5981,                -28548,                 44290,                    527,,                118160,,                -23928,                 -5641,                 -5521,                    268,                -35293,                 82867,                 84435,                 94623,                    848,                 -4177,                  3535,                 94829,,                 -1002,                   -202,,                 -1002,,                  8500,               -168000,               -159500,                -65673,                174633,                108960,                108960,,                   -159,                -11752,                    167,                  1568,                   -455,                   -471,                    202,,,,
1469,2013年01月01日至2013年12月31日,,                 10188,                 10188,,,                 13031,                    510,                 -1718,                 -1830,                  4162,                   -843,,,,                 96365,                  5981,                -28548,                 44290,                    527,,                118160,,                -23928,                 -5641,                 -5521,                    268,                -35293,                 82867,                 84435,                 94623,                    848,                 -4177,                  3535,                 94829,,                 -1002,                   -202,,                 -1002,,                  8500,               -168000,               -159500,                -65673,                174633,                108960,                108960,,                   -159,                -11752,                    167,                  1568,                   -455,                   -471,                    202,,                              0,,
1469,2013年01月01日至2013年09月30日,,                 12441,                 12441,,,                  9791,                    383,                    670,                -12335,                  3109,                   -660,,,,                 96331,                 -7972,                -41972,                 29447,                 -3816,,                 72018,,                 -3858,                  9043,                 -2080,                   -378,                  2449,                 74467,                 75425,                 87866,                    660,                 -3073,                              0,                 85453,,                 -1002,                   -202,,                 -1204,,                -38527,                -38000,                -76527,                  7722,                174633,                182355,                182355,,,,,                    958,,,,                   -278,,,
1469,2013年01月01日至2013年06月30日,,                 15195,                 15195,,,                  6529,                    256,                   -595,                -12280,                  2337,                   -386,,,,                 96331,                  1116,                -45824,                  3098,                    308,                              0,                 55029,,                 12253,                 -1928,                 -1256,                  1465,                 10256,                 65285,                 61146,                 76341,                    386,                 -2379,                              0,                 74348,,                 -1002,                   -202,,                 -1204,,                 19500,                -47000,                -27500,                 45644,                174633,                220277,                220277,,,,,                 -4139,,,,                   -278,,,
1469,2013年01月01日至2013年03月31日,,                 17331,                 17331,,,                  3253,                    128,                 -1207,                -19634,                  1134,                   -186,,,,,                 13194,                    166,                -21635,                 -2313,                              0,                -10588,,                 -1896,                  6103,                   -871,                    917,                  4253,                 -6335,                -22847,                 -5516,                    186,                 -1060,                              0,                 -6390,,                   -222,                   -110,,                   -332,,                 31000,                              0,                 31000,                 24278,                174633,                198911,                198911,,,,,                -16512,                              0,,,,,,
1469,2012年01月01日至2012年12月31日,,                 22700,                 22700,,,                 13034,                    509,                 -1593,                  5955,                  4343,                   -531,,,,                              0,                  9165,                 -5103,                 29501,                 11284,,                 44847,,                 13868,                 14163,                 -3316,                 -7490,                 15389,                 60236,                 79251,                101951,                    531,                 -4285,                 -6381,                 91816,,                 -5190,                              0,,                  2954,,                 -3061,                 17000,                 13939,                108709,                 65924,                174633,                174633,,                 -3386,                              0,                    684,                 19015,                              0,                 -1836,                  5480,,                  2664,,
1469,2012年01月01日至2012年09月30日,,                 29508,                 29508,,,                  9807,                    383,                 -1604,                  6437,                  3313,                   -323,,,,                              0,                -44137,                -14354,                 24414,                  5516,                    -91,                -28652,,                 12042,                 17292,                 -3140,                 -4668,                 20246,                 -8406,                  6221,                 35729,                   -323,                 -3287,                 -6360,                 25759,,                 -4901,                              0,,                  3243,,                  2439,                 17000,                 19439,                 48441,                 65924,                114365,                114365,,                 -3386,,,                 14627,,,                  5480,                 -1280,                  2664,,
1469,2012年01月01日至2012年06月30日,,                 18946,                 18946,,,                  6589,                    254,                   -183,                 11263,                  2209,                   -101,,,,                              0,                 -2591,                -54510,                 14022,                  1809,,                -41270,,                 32678,                 13154,                  5343,                 -6492,                 43768,                  2498,                 19143,                 38089,                    101,                 -2160,                 -3367,                 32663,,                 -1235,                              0,,                  6909,,                 44439,                 17000,                 61439,                101011,                 65924,                166935,                166935,,                 -3386,,,                 16645,,,                  5480,                   -915,                  2664,,
1469,2012年01月01日至2012年03月31日,,                 -5596,                 -5596,,,                  3369,                    129,                    502,                  3090,                  1054,                    -22,,,,,                 24291,                 -2827,                -27025,                  3948,,                 -1613,,                 10796,                 18890,                   -873,                 -2098,                 26715,                 25102,                 35684,                 30088,                     22,                 -1020,,                 29090,,                   -677,                              0,,                   -677,,                 33139,,                 32139,                 60552,                 65924,                126476,                126476,,,,,                 10582,,,,,,                  2460,                 -1000
