證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他應付款－關係人減少,　　 處分子公司股權（未喪失控制力）,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 存入保證金增加,　　 其他籌資活動,　　 應付短期票券增加
1475,2015年01月01日至2015年09月30日,,                -57536,                -57536,,,                 26884,                  4304,                    767,                  9148,                    -30,                              0,                   -218,                              0,                              0,                 40855,,,                   -926,                              0,                   -407,                    -65,                     51,                 -3024,                    200,                   -102,                 -4273,,                   -779,                  5155,                  2929,                  3763,                    166,                    447,                 11681,                  7408,                 48263,                 -9273,                     30,                 -8221,                -17464,,                              0,                 -2588,                  7658,                              0,                  7206,                    357,                 12633,,                 45560,                              0,                -41524,                              0,                  4036,                 -4989,                 -5784,                 28567,                 22783,                 22783,,,,,,,,,,,,,,
1475,2015年01月01日至2015年06月30日,,                -48742,                -48742,,,                 18045,                  2936,                    370,                  6025,                    -29,                              0,                   -218,                              0,                              0,                 27129,,,                    642,                              0,                  1316,                    103,                              0,                 -5708,                   -504,                    -13,                 -4164,,                   -520,                  8653,                  3848,                  3659,                   -330,                    258,                 15568,                 11404,                 38533,                -10209,                     29,                 -5398,                -15578,,                              0,                 -1013,                  7658,                              0,,                    307,                 14158,,                 14365,                              0,                -28006,,                -13641,                  4156,                -10905,                 28567,                 17662,                 17662,                              0,                  7206,                              0,                              0,                              0,,,,,,,,,
1475,2015年01月01日至2015年03月31日,,                -22173,                -22173,,,                  9209,                  1574,                    166,                  2558,                     -5,                              0,                    218,                              0,,                 13720,,,                  6743,,                  4027,,                    103,                 -5226,                   -107,                   -249,                  5291,,                   -260,                   -536,                  1129,                 -2241,                    250,                   -147,                 -1805,                  3486,                 17206,                 -4967,                      5,                 -1509,                 -6471,,                              0,                    -73,                  2074,,,,                  9378,,                 -2514,                              0,                -14585,,                -17099,                    450,                -13742,                 28567,                 14825,                 14825,                              0,                  7210,                              0,                              0,                              0,                    167,,,,,,,,
1475,2014年度,,                -73309,                -73309,,,                 39886,                  1207,                    137,                 11278,                 -1116,                    -29,                  1807,                     75,                    717,,,,                 -6607,,                    494,                 -1628,                              0,                  4494,                 -5950,                     66,                 -9131,,                    -92,                 -2455,                 -8210,                              0,                  8473,                 -1133,                 -3417,                -12548,                 41414,                -31895,                  1116,                 -9721,                -40500,,                  1200,                 -3998,                    488,                    682,,,                 12639,,                 12687,                 40933,                -20065,,                 33555,                 -2328,                  3366,                 25201,                 28567,                 28567,                              0,                 14284,                              0,                              0,                              0,,,                 53962,                              0,                              0,                    -17,                              0,,
1475,2014年01月01日至2014年09月30日,,                -63082,                -63082,,,                 30199,                              0,                    -24,                  8229,                 -1068,                    -29,                    604,                     75,                    717,                 38703,,,                 -3628,                   -357,                  4210,                 -1575,                   -690,                  1458,                 -9908,                     80,                -10410,,                    177,                  1553,                  1118,                    440,                  6609,                  1502,                 11399,                    989,                 39692,                -23390,                  1068,                 -7573,                -29895,,                  1200,                 -3769,                    485,                  3215,                 10386,                    428,                 11945,,                -23411,                 91414,                -53427,                  5196,                 19772,                  2795,                  4617,                 25201,                 29818,                 29818,,,,,,,,,,,,,,
1475,2014年01月01日至2014年06月30日,,                -44034,                -44034,,,                 19155,                              0,                    -17,                  5393,                 -1066,                    -29,                              0,                     75,                    717,                 24228,,,                 -3513,                   -357,                  5361,                    933,                   -785,                  8453,                 -7620,                   -122,                  2350,,                    466,                   -566,                 -3759,                 -2498,                  3300,                    145,                 -2912,                   -562,                 23666,                -20368,                  1066,                 -2834,                -22136,,                  1200,                 -3260,                              0,                    -15,,                    288,                 14893,,                 -6391,                 20000,                -19092,,                -10287,                  7305,                -10225,                 25201,                 14976,                 14976,                              0,                 16680,                              0,                 -4804,                              0,,,,,,,,,
1475,2014年01月01日至2014年03月31日,,                -19242,                -19242,,,                  9030,                              0,                    -39,                  2730,                 -1055,                    -29,                              0,                     75,,                 10712,,,                   -330,,                 10801,,                    529,                  6399,                 -3588,                   -589,                 13222,,                  2078,                -11163,                 -6977,                    132,                    -76,                 -1338,                -17344,                 -4122,                  6590,                -12652,                  1055,                 -1344,                -12941,,                  1200,                 -2666,                              0,,,,                 20466,,                 -8390,                 23500,                -11802,,                 -1600,                  2938,                  8863,                 25201,                 34064,                 34064,                              0,                 21783,                              0,                 -4908,                              0,                    149,,,,,,,,
1475,2013年度,,               -155320,               -155320,,,                 44851,                              0,                    -54,                 20465,                 -1297,                    -46,                 13945,                              0,                 36030,,,,                 -1388,,                 13837,                  1214,                              0,                  2255,                 -1183,                  1826,                 19496,,                  1383,                  3703,                 -8741,                              0,                 -1080,                 -2630,                 -7365,                 12131,                126025,                -29295,                  1289,                -18374,                -46391,,                              0,                -16401,                 15417,                 -2234,,,                 64535,,               -154308,                 86902,                -25833,,                -11777,                 -2150,                  4217,                 20984,                 25201,                 25201,                    -11,                 76000,                -20000,               -184623,                283882,,,                113894,                  2935,                 -1200,                 -7047,                  2203,,
1475,2013年01月01日至2013年12月31日,,               -155320,               -155320,,,                 44851,,                    -54,                 20465,                 -1297,                    -46,                 13945,,                 36030,,,,                 -1388,,                 13837,                    880,                    334,                  2255,                 -1183,                  1826,                 19496,,                  1383,                  3703,                 -8741,                              0,                 -1080,                 -2630,                 -7365,                 12131,                126025,                -29295,                  1289,                -18374,                -46391,,,                -16401,                 15417,                 -2234,,                  2203,                 66738,,               -154308,                 86902,                -25833,                              0,                -13980,                 -2150,                  4217,                 20984,                 25201,                 25201,                    -11,                 76000,                -20000,               -184623,                283882,                              0,,                113894,                  2935,                 -1200,                 -7047,                              0,,
1475,2013年01月01日至2013年09月30日,,                -91000,                -91000,,,                 32637,,                    -75,                 17409,                 -1116,                    -50,                 14675,                              0,                              0,,,,                 -2609,                   -139,                 25050,                  1327,                    851,                  3952,                 -4289,                 -2076,                 22086,,                  1738,                  9278,                    212,                    278,                              0,                 -5915,                  5591,                 27677,                 91157,                    157,                  1116,                -20194,                -18977,,                              0,                -20302,                 16286,                 -1472,                 49861,                   -352,                 42821,,               -151975,                 86902,                -17600,                              0,                  8958,                 -3384,                 29418,                 20984,                 50402,                 50402,                    -56,,                -10000,               -184418,                283882,,,                 63480,                     19,                 -1200,,,                  2167,
