證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他預付款項增加,　　 處分避險之衍生金融資產,　　 舉借長期借款,　　 發行公司債,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　 預付設備款增加
1477,2015年01月01日至2015年09月30日,,              2113387,              2113387,,,                215864,                 10263,                  4941,                 17667,                -15245,                              0,                 15393,                  5508,                              0,                  2782,                257173,,,                              0,                    530,                  3663,               -117623,             -1092802,               -111421,             -1317653,,                  1587,                145616,                 -4851,                200932,                 29905,                 12298,                  4372,                389859,               -927794,               -670621,              1442766,                 15588,                -12979,               -402142,              1043233,,                              0,                 17280,               -369657,               -184782,                    581,                -18989,                 -2552,               -558119,,             -1473084,              1037163,                              0,                              0,                 18892,               -417029,                 99545,                167630,              1648409,              1816039,              1816039,,,,,,,,,,,,,,
1477,2015年01月01日至2015年06月30日,,              1329194,              1329194,,,                143695,                  6886,                    294,                 11515,                 -7073,,                  5884,,                              0,                    503,                156120,,,                              0,                    414,                583017,               -492069,             -1204721,                -56836,             -1170195,,                    398,                464569,                  8446,                -12001,                 15989,                 -3310,                  1716,                475807,               -694388,               -538268,                790926,                  7160,                 -8656,               -221001,                568429,,                              0,                 17280,               -216290,                -86092,                    499,                 -8094,                 -1157,               -293854,,,                691318,                              0,,                 18892,                710210,                -27556,                957229,              1648409,              2605638,              2605638,                 -5584,                              0,,,,,,,,,,,,
1477,2015年01月01日至2015年03月31日,,                782926,                782926,,,                 69093,                  3471,                   -865,                  7550,                 -2365,,                   -743,,                              0,                  3501,                 76351,,,                              0,                    185,                359496,                678768,             -1232914,                -13379,               -207844,,                 -3594,               -267581,                -17379,                -75711,                 34400,                  4343,                 21608,               -303914,               -511758,               -435407,                347519,                  2457,                 -6012,                -37376,                306588,,,,                -77885,                  1947,                     43,                 -5304,                 -1157,                -82356,,,                388569,                              0,,,                388569,                -12796,                600005,              1648409,              2248414,              2248414,                 -3291,                              0,,,,,,,,,,,,
1477,2014年度,,              2094872,              2094872,,,                246944,                 12969,                  5787,                 37024,                -13595,                101212,                 23580,,                  5628,                              0,,,,                 98430,                 10856,             -1046074,                127198,               -171385,                 18895,               -962080,,                 -6524,                -43069,                 58481,                141438,                -55777,,                 42751,                162520,               -799560,               -366168,              1728704,                 13292,                -30169,               -320015,              1391812,,                -91050,,               -402972,                 38354,,                 -8123,                -18103,               -548563,,,                100001,             -1200000,              2115000,                -15951,               -311694,                 98785,                630340,              1018069,              1648409,              1648409,                  9752,,,                  4091,                              0,                433392,                 25220,                -66669,             -1310744,                              0,,,,
1477,2014年01月01日至2014年09月30日,,              1609302,              1609302,,,                178092,                  9551,                 10306,                 30907,                -10250,                101212,                 17773,                 11646,                  6149,                  2363,                357749,,,                 87910,                 11293,             -1281848,                -42499,               -423278,                -42628,             -1691050,,                    764,                192285,                 36096,                -46158,                -31114,                 24081,                -27290,                148664,             -1542386,             -1184637,                424665,                 10291,                -25615,               -297636,                111705,,                -91050,                              0,               -306821,                -32390,                  1981,                 -5504,                -18170,               -451954,,             -1310744,                709683,             -1200000,              2115000,                -15951,                297988,                 29862,                -12399,              1018069,              1005670,              1005670,,,,,,,,,,,,,,
1477,2014年01月01日至2014年06月30日,,              1029974,              1029974,,,                116913,                  6146,                 -2213,                 23127,                 -7569,,                 14360,,                  6149,                  2330,                159243,,,                 97910,                 11222,                -92515,               -255636,               -968289,                 26144,             -1181164,,                   -400,                460257,                 63248,                 74966,                -50071,                 16096,                -24677,                539419,               -641745,               -482502,                547472,                  7560,                -18246,               -161207,                375579,,                -91050,                              0,               -178766,                -42966,                  1984,                 -2555,                -13405,               -326758,,,              1526299,             -1200000,,                  1749,                827843,                 -3424,                873240,              1018069,              1891309,              1891309,                              0,                499795,,,,,,,,,,,,
1477,2014年01月01日至2014年03月31日,,                595083,                595083,,,                 57148,                  2990,                  4597,                 12601,                 -3471,,                  5668,,                  6109,                  2535,                 89791,,,                 96793,                 11408,               -172335,                838310,               -852288,                  5696,                -72416,,                 -7792,               -502309,                 15068,                 -1289,                -30822,                 12305,                 12345,               -502494,               -574910,               -485119,                109964,                  3440,                 -9624,                 -5543,                 98237,,,,                -64542,                -29166,                  1182,                   -953,                   -184,                -93663,,,              1337765,             -1200000,,,                437765,                 25345,                467684,              1018069,              1485753,              1485753,                  1614,                300000,,,,,,,,,,,,
1477,2013年度,,              1646309,              1646309,,,                192955,                 10027,                -14073,                 36438,                -24124,                              0,                    866,,                              0,                  1495,,,,                  9528,                -11408,                 56936,               -482847,               -419474,                -33391,               -880656,,                    296,                161629,                  7628,                 79471,                 50792,,                 23328,                305969,               -574687,               -372374,              1273935,                 24566,                -24620,               -280539,                993342,,               -133129,,             -3166541,                  2236,,                -10926,                -24409,             -3404425,,,                -17473,                              0,                              0,                 17700,                170800,                 41770,             -2198513,              3216582,              1018069,              1018069,                   -110,,,                              0,                 -1161,                202313,                -17175,                -71656,             -1029427,              1200000,,,,
1477,2013年01月01日至2013年12月31日,,              1646309,              1646309,,,                192955,                 10027,                -14073,                 36438,                -24124,,                    866,,,                  1495,,,,                  9528,                -11408,                 56936,               -482847,               -419474,                -33391,               -880656,,                    296,                161629,                  7628,                 79471,                 50792,,                 23328,                305969,               -574687,               -372374,              1273935,                 24566,                -24620,               -280539,                993342,,               -133129,,             -3166541,                  2236,,                -10926,                -24409,             -3404425,,,                -17473,,,                 17700,                170800,                 41770,             -2198513,              3216582,              1018069,              1018069,                   -110,,,,                 -1161,                202313,                -17175,                -71656,,              1200000,                              0,             -1029427,,
1477,2013年01月01日至2013年09月30日,,              1275148,              1275148,,,                142153,                  7242,                 -1097,                 26232,                -21039,                              0,                              0,                   -549,                              0,                   -836,,,,                              0,                    -22,                 47959,                 13666,             -1153380,                -42408,             -1134185,,                 -1181,               -103677,                              0,                -85682,                  4981,,                  5842,               -144853,             -1279038,             -1126932,                148216,                 20866,                -17108,               -267374,               -115400,,                              0,,               -167326,               -114162,                  2310,                  4838,                -17014,               -291354,,             -1029427,                204676,                              0,                              0,                 17700,               -807051,                 29618,             -1184187,              3216582,              2032395,              2032395,,,,,,                152106,                 34864,,,,,,,
1477,2013年01月01日至2013年06月30日,,                812951,                812951,,,                 95189,                  4435,                -10093,                 17857,                -14759,,                              0,,                              0,                    386,,,,                              0,                              0,                 63754,               -294574,               -695745,                -25728,               -952293,,                  2932,                458497,                              0,                 19467,                  5773,,                 -5834,                507255,               -445038,               -352023,                460928,                 14402,                -11284,               -149373,                314673,,                              0,,                -98804,                              0,                              0,                 -8629,                -16994,               -124427,,,                -17283,                              0,,                 18000,                    717,                 53271,                244234,              3216582,              3460816,              3460816,,                              0,,,,                 93015,                 26420,,,,,,,
1477,2013年01月01日至2013年03月31日,,                451025,                451025,,,                 44924,                  1785,                 -8052,                  8993,                 -6833,,                              0,,                              0,                  1609,,,,                              0,                    -22,                126798,                565430,               -488625,                  4594,                208175,,                   -863,               -539040,                              0,                -90211,                 12857,,                 -4581,               -609792,               -401617,               -359191,                 91834,                  6430,                 -5513,                -14247,                 78504,,,,                -34012,                              0,,                 -6007,                -14662,                -73136,,,                 68125,                              0,,                 18000,                 86125,                 37704,                129197,              3216582,              3345779,              3345779,                              0,                              0,,,,                 42426,                 12046,                -18455,,,,,,
1477,2012年01月01日至2012年12月31日,,              1438114,              1438114,,,                186109,                  5632,                 15663,                 18416,                -10722,,                              0,,,                 -1260,,,,                -20793,                              0,               -149718,               -110439,              1013132,                -32254,                699928,,                  3151,                 76145,                              0,                 71366,                  2092,,                  9896,                196830,                896758,              1112176,              2550290,                 10403,                -10638,               -286130,              2263925,,                              0,,               -217987,                  4631,,                 -1890,                 -2123,               -248847,,,               -346714,,,                  4118,               -636608,                -42603,              1335867,              1880715,              3216582,              3216582,                  1580,,,,                              0,                215418,                 34180,                -31478,,                              0,                700000,               -994012,,
1477,2012年01月01日至2012年09月30日,,              1196383,              1196383,,,                137120,                 11145,                  6998,                 13348,                 -7890,,,,,                   -712,,,,                -20274,                    -22,                105028,                185517,               -967366,                -79317,               -776434,,                  1920,                 42200,,                 91587,                  2433,,                -25941,                137484,               -638950,               -479961,                716422,                  8043,                 -9818,               -265052,                449595,,,,               -112524,                  2805,,                -17012,                 -1112,               -148483,,               -994012,               -353995,,,                              0,               -648007,                -51454,               -398349,              1880715,              1482366,              1482366,,,,,,                158989,                 25285,,,,                700000,,                 -1020,                -20640
1477,2012年01月01日至2012年06月30日,,                781184,                781184,,,                 91984,                  7031,                 -2440,                  8658,                 -4543,,,,,                 -1222,,,,                -20793,                -13484,                -29378,                166720,               -618635,                 12480,               -503090,,                  3725,                125287,,                136454,                   -621,,                 10553,                292412,               -210678,               -111210,                669974,                  4092,                 -6291,               -150593,                517182,,,,                -84116,                  2563,,                -17031,                              0,                -98584,,                307912,,,,                              0,                307912,                -16426,                710084,              1880715,              2590799,              2590799,,,,,,                 99468,                 17014,,,,,,,
1477,2012年01月01日至2012年03月31日,,                442491,                442491,,,                 45281,                  1440,                -21357,                  6460,                 -2917,,,,,                   -128,,,,                -19777,                    -22,               -117556,                695640,               -479541,                 14148,                 92892,,                  3691,               -562632,,                -24340,                 13013,,                 -3493,               -568542,               -475650,               -446871,                 -4380,                  3056,                 -4939,                -12935,                -19198,,,,                -32717,                    506,,                -10543,                              0,                -42754,,                 44370,,,,                              0,                 44370,                -36405,                -53987,              1880715,              1826728,              1826728,,,,,,                 28779,                  5219,,,,,,,
