證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票處分,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 舉借長期借款,　　　　 已實現銷貨損失（利益）,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 現金減資,　　　　　 應付票據－關係人增加（減少）,　　 停業單位稅前淨利（淨損）,　　　　 金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　 預付設備款減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 遞延貸項增加（減少）
1514,2015年01月01日至2015年09月30日,,                129740,                129740,,,                 23793,                  3144,                  5788,                    513,                  5882,                 -1874,                 -4228,                -33821,                     29,                              0,                              0,                 -3010,                 -3784,,,                 25685,               -282916,                 45108,                -63082,                 37624,                     -3,               -176318,                    -35,                -30863,                   -603,               -445403,,                 38577,                130435,                 66572,                 12010,                 -7633,                  1982,                 78996,                    542,                 -9813,                311668,               -133735,               -137519,                 -7779,                   -266,                 -8045,,                   -326,                              0,                -20787,                              0,                  3422,                 -1161,                 -8297,                   -623,                  2080,                 17428,                 -8264,,              3989538,             -3834515,                 -4300,                    157,                -89834,                              0,                 -5909,                 55137,                  3277,                 42105,                369359,                411464,                411464,,,,,,,,,,,,,,,,,,,,,
1514,2015年01月01日至2015年06月30日,,                 51749,                 51749,,,                 15857,                  2001,                   -215,                  1708,                  3895,                 -1117,,                -21039,                     29,                              0,                              0,                 -2965,                 -1846,,,                -16872,               -164192,                 36636,                   -270,                 27951,                              0,                 17157,,                 -2709,                   -416,               -102738,,                -10119,                -92876,                143727,                 20783,                -28883,                  2070,                  3168,                    382,                 -6522,                 31730,                -71008,                -72854,                -21105,                   -181,                -21286,,                   -326,                              0,                -11887,                              0,,,                 -3212,                   -942,                  1326,                  1200,                -11504,,              2759535,             -2682065,,                    154,,                              0,                 -4012,                 69912,                 -1027,                 36095,                369359,                405454,                405454,                    -23,                  1658,                    679,                 -3700,,,,,,,,,,,,,,,,,
1514,2015年01月01日至2015年03月31日,,                 22148,                 22148,,,                  7894,                  1045,                 -3699,                    965,                  1798,                   -525,,                -11069,                              0,,,,                 -6771,,,                -19185,               -115778,                   -220,                 88129,                 27147,                      6,                 -1485,,                    262,                   -127,                -21263,,                 -5226,               -118815,                 41912,                 -9152,                -35845,                  1409,                -10494,                    467,                 -3230,               -138974,               -160237,               -167008,               -144860,                   -163,               -145023,,                   -694,,                 -5069,                              0,                              0,,                 -1558,                              0,                    527,,                 -5547,,              1254798,             -1075257,                 -1850,                     81,,                              0,                 -1735,                176037,                   -383,                 25084,                369359,                394443,                394443,                    -12,                    905,                    342,,                 -3180,                              0,,,,,,,,,,,,,,,
1514,2014年度,,                115865,                115865,,,                 29727,                  4182,                 13018,                 -1121,                  8107,                 -2166,                 -8272,                -15158,                     68,                    101,                 -8593,                  3180,,,,                 75841,               -236204,                -61734,                -44961,                -68502,                     32,                  8790,                    -35,                -14555,                    184,               -341144,,                  9764,                302596,                -42813,                -21029,                 15459,                 -2611,                 -4043,                   -261,,                236031,               -105113,                -82040,                 33825,                 -5419,                 28406,,                 -4346,                 43610,                -27362,                     24,,,                 -4461,,                  2058,                 16272,                 27417,,              4965332,             -5099709,                 -7400,                    317,                -59611,                 53761,                 -8264,               -155574,                    951,                -98800,                406274,                307474,                307474,                              0,                  3624,,,,,,                 23073,                -21031,                              0,                 -2002,                              0,,,,,,,,,
1514,2014年01月01日至2014年09月30日,,                 49112,                 49112,,,                 22154,                  3199,                  7263,                   -448,                  5857,                 -1520,                 -7298,                -13112,                      8,                    101,                 -1763,                    314,                 14755,,,                 81739,                -77600,                -25830,                -11564,                 -3982,                   -141,               -174920,                    -26,                 -2836,                    -16,               -215176,,                 33064,                173643,                -19579,                -32009,                -11143,                    358,                -12750,                    848,                -18009,                114423,               -100753,                -85998,                -36886,                 -5251,                -42137,,                 -3180,                 13016,                -18859,                     24,                  5414,                              0,                 -1764,                   -757,                  1627,                 15298,                 10819,,              3847968,             -3885253,                 -5550,                    160,                -59611,                 53761,                 -5996,                -54521,                     92,                -85747,                427624,                341877,                341877,,,,,,,,,,,,,,,,,,,,,
1514,2014年01月01日至2014年06月30日,,                 11223,                 11223,,,                 14829,                  2220,                  3849,                    516,                  3927,                   -925,,                -11609,                     10,                    101,                 -1763,                    123,                 11278,,,                 39007,                110990,                -13318,                -35821,                  2048,                    -74,                -50708,,                  3238,                     12,                 55357,,                  4758,                 88418,                 29853,                 -5953,                -13305,                   -436,                 -6764,                    626,                 -6268,                 90929,                146286,                157564,                168787,                 -3030,                165757,,                 -1747,                 13016,                -11497,                     24,,,                 -1024,                   -758,                  1018,                              0,                  3440,,              2488500,             -2622596,,                   -127,,                 53761,                 -4230,                -88392,                   -522,                 80283,                427624,                507907,                507907,                    -17,                  4408,                              0,                 -3700,,,,,,,,,,,,,,,,,
1514,2014年01月01日至2014年03月31日,,                 19852,                 19852,,,                  7341,                  1116,                  2897,                 -2227,                  2019,                   -456,,                 -9333,                      8,,,,                  1365,,,                 46533,                144532,                    911,                -35190,                     22,                    -74,               -199316,,                   -152,                    142,                -42601,,                 -4116,                124104,                  2413,                -33245,                -20214,                   -317,                  6862,                    507,                 -3140,                 72854,                 30253,                 31618,                 51470,                     -3,                 51467,,                 -1748,,                 -4854,                      9,                   -396,,                   -535,                   -384,                    465,,                 -7443,,              1348121,             -1434513,                 -1850,                              0,,                 53759,                 -2162,                -36772,                    -15,                  7237,                427624,                434861,                434861,                     -9,                              0,                              0,,                              0,                   -127,,,,,,,,,,,,,,,
1514,2013年度,,                 66095,                 66095,,,                 29905,                  5148,                 11167,                   -211,                  8154,                 -1429,                              0,                 12710,                 -1063,                              0,                    271,                    -67,,,,                -48078,                -68824,                 21790,                  1396,                 21606,                     -2,                220703,                    -21,                -16203,                    276,                132681,,                 -3780,               -436323,                 40644,                 10159,                 -9341,                   -794,                 10191,                    101,,               -401913,               -269232,               -204647,               -138552,                -19235,               -157787,,                              0,                     83,                -25706,                  3338,,,                 -2871,,                  2918,                  4000,                -44726,,              4936014,             -4561791,                 -7400,                      1,                -97104,                              0,                 -8106,                254672,                  1700,                 53859,                352415,                406274,                406274,                     38,                  5955,,,,,,                 64585,                -12770,                 -5942,                -26501,                 -6942,,,,,,,,,
1514,2013年01月01日至2013年12月31日,,                 66095,                 66095,,,                 29905,                  5148,                 11167,                   -211,                  8154,                 -1429,,                 12710,                 -1063,                              0,                    271,                    -67,,,,                -48078,                -68824,                 21790,                  1396,                 22682,,                220703,                    -21,                -16203,                    276,                133759,,                 -3780,               -436323,                 40644,,                 -9341,                   -794,                 10191,                    101,,               -401913,               -268154,               -203569,               -137474,                -20401,               -157875,,,                     83,                -25706,                  3338,,,                 -2871,,                  3006,                  4000,                -44638,,              4936014,             -4561791,                 -7400,                      1,                -97104,,                 -8106,                254672,                  1700,                 53859,                352415,                406274,                406274,                     38,                  5955,,,,                              0,,                 64585,                -12770,                 -5942,                -26501,                 -6942,,                              0,                              0,                 10159,                              0,                              0,                              0,,
1514,2013年01月01日至2013年09月30日,,                 65695,                 65695,,,                 22623,                  3913,                  3631,                  1010,                  5817,                   -985,,                 -2115,                 -1176,                              0,                              0,                    273,,,,                -33339,               -322754,                 13161,                 13370,                 -1228,                   -673,                156994,                    -16,                  5094,                     76,               -169315,,                  4511,               -394616,                 58480,                 52039,                 -2715,                   -137,                 62208,                    958,,               -228921,               -398236,               -365245,               -299550,                -20387,               -319937,,                              0,                              0,                -21302,                  3035,                 -5361,,                 -1649,                   -900,                    853,                  4000,                -21324,,              3680600,             -3261561,                 -5550,                      1,                -97102,                              0,                 -6026,                310362,                  1273,                -29626,                352415,                322789,                322789,,,,,,,,                 32991,                 -9649,,,,,,,,,,,,
