證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預收款項增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 存入保證金增加,　　　　 攤銷費用,　　　　 不動產、廠房及設備轉列費用數,　　　　　 應收票據－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分無活絡市場之債券投資,　　 收取之股利,　　　　　 應付建造合約款增加（減少）,　　 取得無活絡市場之債券投資,　　　　 金融資產減損迴轉利益,　　　　　 其他金融資產（增加）減少,　　 取得採用權益法之投資,　　 取得無形資產,　　 其他投資活動,　　 處分採用權益法之投資,　　　　　 其他應付款－關係人增加（減少）,　 匯率變動對現金及約當現金之影響,　　　　　 應付票據－關係人增加（減少）
1529,2015年01月01日至2015年09月30日,,                -49556,                -49556,,,                  2258,                   -747,                 15868,                  1640,                    -86,                    -10,                    248,                      6,                     11,                 19500,                              0,                 38688,,,                  1083,                   -997,                    503,                     17,                  5046,                -14608,                              0,                 -6932,                    -56,                              0,                    281,                -15663,,                  2436,                  6169,                  6537,                   -856,                     29,                    -37,                 14278,                 -1385,                 37303,                -12253,                     95,                   -302,,,                -12460,                -12460,,                 -3070,                  7923,                              0,                    900,                 -1417,                              0,                              0,                  2373,                -23918,                -17209,,                 -1000,                 -3457,                   -591,                              0,                 -1660,                  4700,                 -2008,                -31677,                 53051,                 21374,                 21374,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年01月01日至2015年06月30日,,                -34417,                -34417,,,                  1503,                    780,                  8574,                  1107,                    -68,,                   -123,                      6,,                 16000,                              0,                 27779,,,                 -1980,                 -8471,                 -5911,                    -31,                  5047,                  7850,,                    484,                   -211,                    295,                              0,                 -2928,,                    398,                 -1063,                  1492,                   -980,                     47,                    117,                     11,                 -2917,                 24862,                 -9555,                     93,                   -301,,,                 -9763,                 -9763,,,                    532,,,                   -440,                              0,,                  2315,                -24031,                -24704,,                 -1000,                 -2297,,,                 -1115,,                 -5003,                -39470,                 53051,                 13581,                 13581,                              0,                              0,                 -3080,                              0,                              0,                   -591,,,,,,,,,,,,,,,,,,,,,
1529,2015年01月01日至2015年03月31日,,                 -7046,                 -7046,,,                    757,                    676,                  2197,                    561,                    -33,,                    722,                              0,,,,                  4880,,,                   -817,                 -8110,                 -8068,                    -17,                  5048,                  2530,,                 -3490,                    -83,,                -17771,                -30778,,                    954,                  3258,                              0,                   -713,                     53,                    -62,                  3490,                -27288,                -22408,                -29454,                     51,,,,,                -29403,,,                     33,,,                              0,,,                  1280,,                 -7474,,                 -1000,                 -1146,                   -394,,                   -562,,                 -3102,                -39979,                 53051,                 13072,                 13072,,,                 -8787,,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
1529,2014年度,,                -28128,                -28128,,,                  3347,                  4050,                   -323,                  3546,                   -449,                   -130,                    265,                -23420,,                              0,                   -604,,,,                   -864,                  5768,                    -65,                   -161,                  1122,                 14097,,                  3802,,,                    361,                 24060,,                   -301,                  3896,                   -972,                 -1011,                   -109,                    118,                  1621,                 25681,                 11963,                -16165,                    545,                   -423,,,,                -16043,,,,               -160000,,                    -90,                 71177,,                 21614,,                -95210,,                -33020,                 -4483,                   -348,                133500,                 -3584,,                 92065,                -19188,                 72239,                 53051,                 53051,                              0,,                -34236,,,,                              0,,                              0,,                              0,                              0,                              0,                -13718,                  6047,                    278,,,,,,,,,,,
1529,2014年01月01日至2014年09月30日,,                -32017,                -32017,,,                  2602,                 10553,                  3500,                  2968,                   -164,                   -108,                  1129,                -23416,                              0,                              0,                   -661,                 -3597,,,                     56,                -18022,                 -1210,                  1947,                    200,                 10465,                              0,                   -275,                   -246,                    320,                              0,                 -6765,,                 -1585,                  7949,                  2885,                   -105,                  3889,                    191,                 13224,                  6459,                  2862,                -29155,                    263,                   -421,,,                -29313,                -29313,,                -20245,                  5478,                -50000,                              0,                    -90,                 71167,                 -2373,                              0,                              0,                  3937,,                -33020,                 -3344,                   -348,                133500,                 -3009,                              0,                 93779,                 68403,                 72239,                140642,                140642,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年01月01日至2014年06月30日,,                -34409,                -34409,,,                  1804,                  3069,                    -83,                  2118,                   -122,,                  1251,                     -8,,                              0,                   -392,                  7637,,,                 -1589,                -21698,                    140,                      9,                    105,                  2673,,                 -1418,                   -186,                              0,                    813,                -21151,,                  1430,                  4653,                  4811,                 -1424,                  3962,                    123,                 13690,                 -7461,                    176,                -34233,                    193,                     24,,,                -34016,                -34016,,,                              0,,,                    -80,                              0,,                  3244,                              0,                  3661,,                 -1020,                 -2220,,,                 -2136,,                 -5380,                -35735,                 72239,                 36504,                 36504,                    135,                              0,                              0,                  1505,                 -1008,                     -4,,,,,,,,,,,,,,,,,,,,,
1529,2014年01月01日至2014年03月31日,,                 -5891,                 -5891,,,                    901,                   -431,                 -1698,                  1079,                    -37,,                    951,                     14,,,,                    416,,,                    -34,                  1413,                    868,                 -1224,                     48,                 -3830,,                -17156,                    -10,,                   -771,                -20773,,                     22,                    308,                   -808,                   -561,                     69,                    158,                   -812,                -21585,                -21169,                -27060,                  1404,,,,,                -25656,,,                 -1422,,,                    -90,,,                    995,,                 -2244,,                 -1020,                 -1105,                              0,,                 -1083,,                 -3208,                -31108,                 72239,                 41131,                 41131,,,                 -1727,,,,                     50,                   -413,                    -77,,,,,,,,,,,,,,,,,,
1529,2013年度,,                -80118,                -80118,,,                  4050,                 38856,                   -638,                  4693,                 -3131,                              0,                  1332,                 -3381,,                              0,                 22246,,,,                 51467,                  7941,                  6383,                   -196,                 10696,                 11783,,                  1356,,,                -41544,                 47909,,                 -2617,                 -1920,                 -5776,                    529,                     16,                   -182,                -10762,                 37147,                101281,                 21163,                  3003,                              0,,,,                 24166,,,,                              0,,                -23768,                  3980,,                    319,,                -24523,,                   -670,                 -4335,                 -3250,                              0,                 -4817,,                -13072,                -13429,                 85668,                 72239,                 72239,                   -812,,                 -5498,,,,                    107,,                     23,,                              0,                              0,                              0,                 64134,                    444,                              0,,,,,,,,,,,
1529,2013年01月01日至2013年12月31日,,                -80118,                -80118,,,                  4050,,                   -638,                  4693,                 -3131,,                  1332,                 -3381,,                              0,,,,,                 51467,                  7941,                  6383,                   -196,                 10696,                 18535,,                  1356,                    412,,                -49254,                 47807,,                 -2617,                 -1920,                 -5776,                    529,,                   -182,                 -8962,                 38845,                 96227,                 16109,                  3003,                              0,,,,                 16109,,,,,,                -23768,                  3980,,                    319,,                -16466,,                   -670,                 -4335,                 -3250,,                 -4817,,                -13072,                -13429,                 85668,                 72239,                 72239,                   -812,                  1816,,,,,                    107,,                     23,,                              0,,                 54350,                 57382,,,,,,                    444,                              0,,,                              0,,,
1529,2013年01月01日至2013年09月30日,,                -68685,                -68685,,,                  2788,,                   -250,                  3541,                 -2347,,                    727,                 -2979,,                              0,,,,,                 49592,                -25388,                  6205,                  1323,                 10548,                    -87,,                 -2156,                 -3906,,                -25979,                 10692,,                  1797,                 -1895,                 -6444,                 -1021,,                    142,                 -9776,                    916,                 39510,                -29175,                    231,,,,,                -29175,,,,,,                 -1480,                  3973,,                  1715,,                  4439,,                   -670,                 -3239,,,                 -3661,,                 -7570,                -32306,                 85668,                 53362,                 53362,                    627,                 -3026,,,,,                     96,,                     23,,                              0,,                 37018,                 38594,,,,,                              0,                    517,                              0,,,                              0,                     44,,
