證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 存出保證金減少,　　 現金增資,　　 現金減資,　　 取得子公司股權,　　 其他預付款項減少,　　 非控制權益變動,　　 對子公司之收購（扣除所取得之現金）,　　　　 金融資產減損損失
1531,2015年01月01日至2015年09月30日,,                169000,                169000,,,                113691,                  3038,                 19183,                              0,                  2841,                -23335,                   -198,                   -121,                  4004,                -41956,                  6864,                 84011,,,                              0,                -36626,               -214632,                -19462,                -14433,                 11192,               -273961,,                -18019,                -10048,                -25268,                  5442,                -47893,               -321854,               -237843,                -68843,                 22232,                 -3395,                -79861,               -129867,,               -178000,                158131,               -377628,                398201,               -145644,                    812,                   -538,                 -1997,                -20371,               -167034,,                409100,               -265550,                              0,               -148006,                -34575,                -39031,                 33198,               -302734,              1078234,                775500,                775500,,,,,,,,,,,,,,
1531,2015年01月01日至2015年06月30日,,                 90267,                 90267,,,                 76532,                  1969,                 -8037,                              0,                    948,                -16731,                   -196,                    -28,                    193,                  3889,                  4471,                 63010,,,,               -156747,                -64617,                -98458,                -24695,                  8295,               -336222,,                 -4581,                 34537,                -15137,                 -1690,                 13129,               -323093,               -260083,               -169816,                 18031,                 -1517,                -58961,               -212263,,                -61000,                 56028,               -106617,                320217,               -134366,                    786,                    -15,                   -457,                 -7433,                 67143,,                254550,               -265550,                              0,,                -34575,                -45575,                -24560,               -215255,              1078234,                862979,                862979,,,,,,,,,,,,,,
1531,2015年01月01日至2015年03月31日,,                 29873,                 29873,,,                 38791,                  1033,                 -5030,                              0,                    562,                 -8919,                    -31,                    -21,                    193,                -11637,                  2679,                 17620,,,,                -55114,               -119581,                -51157,                -14247,                 10451,               -229648,,                 10945,                 60472,                -27146,                  9648,                 53919,               -175729,               -158109,               -128236,                  9572,                 -1294,                 -1614,               -121572,,                -61000,                 46021,               -104609,                219262,                -55157,                    327,                    -17,                    -57,                   -210,                 44560,,                100000,               -110000,                              0,,                -34575,                -44575,                   -120,               -121707,              1078234,                956527,                956527,,,,,,,,,,,,,,
1531,2014年度,,                212359,                212359,,,                161845,                  3723,                -36885,                    336,                  8009,                -32558,                   -166,                 -1373,                  4466,                -19038,                  2372,,,,                 22640,                 83479,               -196344,                431363,                 11315,                 13950,                366403,,                 -7744,                -85632,                 27266,                 -3339,                -69449,                296954,                387685,                600044,                 31417,                 -8543,                -81998,                540920,,               -267121,                363494,,,                -97214,                    220,                 -6012,                 -2754,                 -1980,               -109543,,                261350,               -454575,                -12067,               -193151,               -159268,               -557711,                 39293,                -87041,              1165275,              1078234,              1078234,,                              0,                 90731,               -405904,                307728,                              0,                              0,                              0,                              0,                              0,,,,
1531,2014年01月01日至2014年09月30日,,                146287,                146287,,,                122450,                  2710,                -32278,                    336,                  6478,                -23154,                   -166,                 -1209,                  3998,                 -8717,                  7374,                 77822,,,                 22640,                -19176,               -173627,                394795,                  3276,                 24068,                251976,,                 -9474,               -110024,                -11382,                   -482,               -131362,                120614,                198436,                344723,                 21629,                 -6743,                -74727,                284882,,               -252120,                253237,               -217559,                288428,                -35143,                    219,                 -5961,                 -1832,                 -4924,                 24345,,                211350,               -302600,                -12067,               -193151,                              0,               -296468,                 13238,                 25997,              1165275,              1191272,              1191272,,,,,,,,,,,,,,
1531,2014年01月01日至2014年06月30日,,                109802,                109802,,,                 83604,                  1726,                -27620,                  1888,                  4560,                -15618,                    -92,                   -352,                  3713,                 10271,                  4388,                 66468,,,,                -66665,               -203567,                287463,                 21909,                 27102,                 66242,,                 -5231,               -205185,                -14740,                 -1804,               -226960,               -160718,                -94250,                 15552,                 16404,                 -4703,                -63031,                -35778,,               -137120,                 44688,                -25184,                288428,                -10081,                    122,                 -5955,                 -1403,                   -524,                152971,,                211350,               -302600,                -12067,,                              0,               -103317,                  1549,                 15425,              1165275,              1180700,              1180700,,,,,,,,,,,,,,
1531,2014年01月01日至2014年03月31日,,                 90586,                 90586,,,                 42087,                    830,                -18125,                    557,                  2384,                 -8821,                     30,                              0,                    374,                -19203,                  1961,                  2074,,,,                -88914,               -143169,                 36771,                  4326,                 25894,               -165092,,                 -6860,                -37301,                -28585,                   -314,                -73060,               -238152,               -236078,               -145492,                  7071,                 -1929,                   -529,               -140879,,                -71336,                              0,                -25184,                              0,                 -4696,                              0,                    -48,                   -315,                   -112,               -101691,,                 60000,                              0,                -12067,,                              0,                 47933,                 25847,               -168790,              1165275,                996485,                996485,,,,,,,,,,,,,,
1531,2013年度,,                398674,                398674,,,                168200,                  2577,                  2557,                -12968,                  5752,                -34852,                   -847,                 -4323,                  5333,                  2038,                 -8699,,,,                              0,                -95179,                -87682,                -40773,                -16173,                -17561,               -257368,,                    655,                192355,                -11690,                 10585,                191905,                -65463,                 42893,                441567,                 34214,                 -5515,               -115198,                355068,,               -759598,                814800,,,               -412509,                  5991,                              0,                 -5081,                 -1225,               -743240,,                444650,               -298050,                -65046,               -231781,                              0,               -851236,                 62583,             -1176825,              2342100,              1165275,              1165275,,                -16412,                108356,               -385760,                              0,                   -723,                    865,                -69702,               -143073,               -488234,,,,
1531,2013年01月01日至2013年12月31日,,                398674,                398674,,,                168200,                  2577,                  2557,                -12968,                  5752,                -34852,                   -847,                 -4323,                  5333,                  2038,                 -8699,,,,,                -95179,                -87682,                -40773,                -17398,                -17561,               -258593,,                    655,                192355,                -12647,                 10585,                190948,                -67645,                 40711,                439385,                 34214,                 -5515,               -115198,                352886,,               -759598,                814800,,,               -411552,                  5991,,                 -5081,                              0,               -741058,,                444650,               -298050,                -65046,               -231781,,               -851236,                 62583,             -1176825,              2342100,              1165275,              1165275,,                -16412,                108356,               -385760,                              0,                   -723,                    865,                -69702,               -143073,               -488234,                              0,,,                              0
1531,2013年01月01日至2013年09月30日,,                367366,                367366,,,                126706,                  1994,                -16448,                 -8570,                  4670,                -27539,                   -736,                 -4140,                  3602,                  4267,                 -5651,,,,                              0,               -132841,               -193437,                 45922,                -26202,                -17161,               -323719,,                   -984,                273031,                -24626,                  6743,                254164,                -69555,                 -7812,                359554,                 26305,                 -4661,               -107551,                273647,,               -632320,                752339,,,               -410294,                  5865,                              0,                 -2414,,               -281198,,                296700,               -298050,                -65046,               -231781,,               -510952,                 36882,               -481621,              2342100,              1860479,              1860479,,                -16412,                 61743,                              0,                  3862,                   -723,                  2487,,               -143073,,                              0,                -69702,,
