證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分按攤銷後成本衡量之金融資產,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 存入保證金增加,　　 現金增資,　　　　　 應收票據（增加）減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得無活絡市場之債券投資,　　　　 金融資產減損損失,　　 非控制權益變動
1558,2015年01月01日至2015年09月30日,,                908700,                908700,,,                150145,                 48235,                 12814,                  3330,                    388,                 -7786,                  1576,                 -2870,                  6273,                212105,,,               -461198,                 25861,                 51052,                  6990,                -26751,                 63267,                -69174,               -409953,,                -52299,                 39569,                -55847,                 -9295,                 -8442,                -86314,               -496267,               -284162,                624538,                  7786,               -224928,                407396,,                  1468,                -19096,                              0,                  2480,               -133093,                  1435,                    123,                -21548,                              0,                              0,               -168231,,                400000,                              0,                 30000,                              0,                              0,               -544974,                 -2168,                   -388,                 -8554,               -126084,                 12316,                125397,              1587267,              1712664,              1712664,,,,,,,,,,,,,,
1558,2015年01月01日至2015年06月30日,,                414758,                414758,,,                 98197,                 33316,                 12814,                  1134,                              0,                 -5306,                  1571,                 -2870,                  1040,                139896,,,               -214858,                  7629,                -11176,                  7084,                  9612,                 65418,                -38623,               -174914,,                -12973,                -65273,                -60787,                  6368,                 -3323,               -135988,               -310902,               -171006,                243752,                  5306,               -145664,                103394,,                  1468,,,                  2480,               -138295,                  1436,                     25,                -12659,                              0,,               -145545,,,                              0,,                              0,                              0,,,                              0,                 -8554,                 -8554,                 -9147,                -59852,              1587267,              1527415,              1527415,                              0,                              0,,,,,,,,,,,,
1558,2015年01月01日至2015年03月31日,,                153496,                153496,,,                 46630,                 16382,                    344,                  2382,                              0,                 -1856,                    252,                              0,                  2555,                 66689,,,                167948,                 13774,               -136727,                  2592,                 28535,                 62199,                -23768,                114553,,                 -3182,                -89331,                -71032,                 -3884,                 -2068,               -169497,                -54944,                 11745,                165241,                  1856,                -28463,                138634,,                     14,,                              0,,               -110585,                  1318,                     12,                 -9072,,,               -118313,,,                              0,,                              0,                              0,,,                              0,,                              0,                 -3923,                 16398,              1587267,              1603665,              1603665,,,,,,,,,,,,,,
1558,2014年度,,              1076779,              1076779,,,                158550,                 41093,                    509,                  1839,                    420,                -13029,                 18831,                 -2331,                  9386,,,,               -231951,                -35347,                 10584,                -21464,                -37475,                -66242,                -61855,               -443750,,                   -610,                 84108,                 26272,                  8445,,                116952,               -326798,               -111530,                965249,                 13029,               -175958,                802320,,,,                  2961,,               -457086,                 18046,                              0,                -22814,                     34,                 -1857,               -462646,,                182530,               -462530,                              0,               -100000,                 -1947,               -544974,,                   -420,                 -9776,               -937117,                 20404,               -577039,              2164306,              1587267,              1587267,,                 -2007,,                              0,                215268,                 -1263,                     77,                              0,                              0,,,,,
1558,2014年01月01日至2014年09月30日,,                789990,                789990,,,                110772,                 26283,                    509,                 -5176,                    146,                -10649,                 10841,                 -2331,                  2500,                132895,,,               -706965,                 -8673,                -44099,                 -7920,                -47818,                    163,                -72354,               -887666,,                 17048,                212538,                 17380,                 -3683,                    -59,                243224,               -644442,               -511547,                278443,                 10649,               -158590,                130502,,                  1535,                              0,                  2961,                              0,               -418820,                 14088,                  1202,                 -9976,                     34,                   -930,               -409906,,                              0,               -280000,                              0,               -100000,                 -1947,               -544974,                              0,                   -146,                 -9776,               -936843,                  1658,             -1214589,              2164306,                949717,                949717,,,,,,,,,,,,,,
1558,2014年01月01日至2014年06月30日,,                415312,                415312,,,                 73107,                 15437,                    509,                 -5849,                    146,                 -9226,                  1872,                 -2331,                  2710,                 76375,,,                -10722,                 -8331,                -54986,                 -3920,                -53574,               -198110,                -27885,               -357528,,                  1133,                 86469,                   -484,                 12095,                    511,                 99724,               -257804,               -181429,                233883,                  9226,                -91766,                151343,,                  1535,,,                              0,               -311590,                 13847,                              0,                 -8568,                     34,,               -301787,,,               -280000,,               -100000,                 -1947,,,                   -146,                 -9776,               -391869,                -12207,               -554520,              2164306,              1609786,              1609786,                  2961,                     -6,,,,,,,,,,,,
1558,2014年01月01日至2014年03月31日,,                187301,                187301,,,                 35817,                  7061,                              0,                 -2212,                    146,                 -4224,                  1031,                 -2331,                    913,                 36201,,,                229867,                -11610,                 27001,                 -3286,                -11561,               -108572,                -17896,                103943,,                 -9930,                -56796,                -30515,                  2037,                    215,                -94989,                  8954,                 45155,                232456,                  4224,                -11589,                225091,,                    895,,                  2961,,               -181202,                  3094,                     10,                 -6576,,,               -180818,,,               -280000,,               -100000,                 -1947,,,                   -146,,               -382093,                 -5417,               -343237,              2164306,              1821069,              1821069,,,,,,,,,,,,,,
1558,2013年度,,                922495,                922495,,,                138489,                 33691,                -25263,                 -9999,                  1552,                 -7219,                 22563,                              0,                   -501,,,,                 -3729,                  7782,                -78452,                -12694,                  2630,                 40885,                -20262,                -63840,,                 14298,                112051,                 49282,                 -3889,,                161509,                 97669,                294452,              1216947,                  7219,               -162089,              1062077,,,,                              0,,               -423398,                  4653,                  5286,                 -4987,                              0,                              0,               -418087,,              1065000,               -940000,                540000,               -440000,                              0,               -387520,,                 -1552,                 -4277,                636088,                 10904,              1290982,                873324,              2164306,              2164306,,                              0,,                 43470,                196783,                -10233,                    359,                     53,                804384,,,,,
1558,2013年01月01日至2013年12月31日,,                922495,                922495,,,                138489,                 33691,                -25263,                 -9999,                  1552,                 -7219,                 22563,,                   -501,,,,                 -3353,                  7782,                -78452,                -12694,                  2630,                 40885,                -20262,                -63840,,                 14298,                112051,                 49282,                 -3889,,                161509,                 97669,                294452,              1216947,                  7219,               -162089,              1062077,,,,,,               -423398,                  4653,                  5286,                 -4987,,                              0,               -418087,,              1065000,               -940000,                540000,               -440000,                              0,               -387520,,                 -1552,                 -4277,                636088,                 10904,              1290982,                873324,              2164306,              2164306,,                              0,,                 43470,                196783,                -10233,                    359,                     53,                804384,                   -376,                              0,                              0,                              0,                              0
1558,2013年01月01日至2013年09月30日,,                744577,                744577,,,                105620,                 26404,                              0,                 -8448,                    589,                 -4512,                 17624,                              0,                  1608,,,,               -432093,                  6178,                -12782,                 -9043,                -30152,                 32851,                 -3754,               -448764,,                 28778,                261115,                  5868,                   -636,,                296284,               -152480,                -13595,                730982,                  4512,               -147614,                587880,,,,                              0,,               -356948,                  1487,                  5281,                 -4829,                              0,                              0,               -354619,,                115000,                              0,                110000,                              0,,               -387520,,                   -589,                 -4277,               -167351,                 32253,                 98163,                873324,                971487,                971487,,,,,                138885,                  1159,                    390,                     35,,                     31,,,,
