證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 發放現金股利,　　 預付設備款減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加,　　 員工執行認股權,　　 其他籌資活動,　　 其他投資活動,　　　　　 其他營業負債增加（減少）,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 員工購買庫藏股,　　 存出保證金增加,　　 庫藏股票買回成本,　　　　 其他項目
1583,2015年01月01日至2015年09月30日,,                806342,                806342,,,                129326,                  2820,                 -1685,                 13850,                 44329,                 -4716,                   -427,                 14176,                  1621,                199294,,,                 -8495,                              0,                 13843,                    385,                 38923,                    201,               -538324,                -32181,                -64614,                  4481,               -585781,,               -104658,                  1643,                -17469,                  1554,                 -6914,                 -2012,                 -9926,                -66716,                     25,               -204473,               -790254,               -590960,                215382,                  4716,               -234449,                -14351,,                   -371,                    754,                  9537,                   -641,                     15,                              0,               -153886,                  5137,                  4953,                 -5107,                 44350,                    427,                -94832,,                118645,                -46794,                993060,               -423340,                 -3902,                              0,                -25535,                 48014,                660148,                 12178,                563143,              1484801,              2047944,              2047944,,,,,,,,,,,,,,,,,,,,
1583,2015年01月01日至2015年06月30日,,                359822,                359822,,,                 86085,                  1912,                  9795,                  9655,                 27719,                 -3389,,                 13156,                   -254,                144679,,,                 76770,                              0,                 51072,                 -3583,                 36869,                     13,               -321127,                -50868,                 -5964,                  8268,               -208550,,                -18105,                    540,                 43791,                   -381,                  9469,                  1388,                  8359,                -53830,                    -11,                 -8780,               -217330,                -72651,                287171,                  3389,               -151677,                138883,,,,                  9537,                   -641,                     15,                              0,                -92073,                  3319,                  4863,                    -87,                 41054,,                -33600,,               -199578,                  3247,                993060,               -285552,                    264,                              0,                -22841,,                488600,                -24799,                569084,              1484801,              2053885,              2053885,                   -340,                    753,                              0,,,,,,,,,,,,,,,,,
1583,2015年01月01日至2015年03月31日,,                210822,                210822,,,                 40357,                    994,                    352,                 -1827,                 12700,                 -1065,,                  9160,,                 60671,,,                 49201,                     -3,                 31261,                    497,                -93189,                     16,               -281523,                 -9126,                  8065,                  5229,               -289572,,                -51381,                    225,                169503,                   -781,                -29700,                  3325,                 -8691,                -52816,                    -22,                 29662,               -259910,               -199239,                 11583,                  1065,                -44974,                -32326,,                   -328,,,                   -160,,                              0,                -44164,                    952,                  4301,                    -88,,,                -40300,,,               -289601,                598679,                -35918,                  6703,                              0,                -13183,                              0,                 73140,                -18944,                -18430,              1484801,              1466371,              1466371,,,,                   -813,               -193540,,,,,,,,,,,,,,,
1583,2014年度,,              1097905,              1097905,,,                166967,                  4303,                  8484,                 -4612,                 47306,                 -5028,                   -353,                 16681,                   -158,,,,               -157248,                     58,               -705837,                 -8947,                -60134,                   -216,                  6738,                -83107,                 10399,                 -4619,             -1002913,,                344171,                    284,                120094,                    829,                 67475,                 10925,                115478,                 54718,,                714241,               -288672,                -54665,              1043240,                  5028,               -124629,                923639,,                   -228,                  2894,,                -66636,,                  3070,               -418611,                  3693,                  3422,                 -1927,,                    353,               -512646,,,                151985,,                  3240,                 -3296,                -16366,                -47692,                              0,               -100192,                 41548,                352349,              1132452,              1484801,              1484801,,,               -261206,                -38676,                171827,,                    417,                234007,                    267,                              0,                  3870,               -102554,,,,,,,,
1583,2014年01月01日至2014年09月30日,,                651444,                651444,,,                124006,                  3203,                 -5674,                 -3215,                 34979,                 -3592,                   -353,                   -741,                   -524,                148089,,,               -220021,                     58,               -414683,                 -2293,                -11833,                   -466,               -153611,                -56961,                -23666,                 -4832,               -888308,,                249489,                    808,                134048,                    -47,                 19373,                 10377,                225321,                 -4993,                      7,                634383,               -253925,               -105836,                545608,                  3592,               -109642,                439558,,                              0,                  2591,                              0,                -32894,                              0,                  3070,               -257082,                  1064,                  7659,                 -1149,                -13553,                    353,               -289941,,                 58945,                 20060,                              0,                 74605,                  7593,                    337,                -35403,               -102554,                 23583,                  5541,                178741,              1132452,              1311193,              1311193,,,,,,,,,,,,,,,,,,,,
1583,2014年01月01日至2014年06月30日,,                401593,                401593,,,                 82921,                  2136,                 -7486,                 -5442,                 22298,                 -2418,,                   -674,                              0,                 91335,,,               -203913,                     58,               -287950,                -15485,                -11552,                              0,                -61679,                -21124,                  2764,                 -2630,               -601511,,                229439,                    237,                 73926,                  1022,                 21231,                  7259,                 20214,                -16026,                     10,                337312,               -264199,               -172864,                228729,                  2418,                -59754,                171393,,,,                              0,                -32894,                              0,                  3070,               -185096,                  1064,                  7577,                   -888,                 -6322,,               -213489,,               -120161,                    107,                              0,                 11355,                  1370,                     32,                -22599,,               -129899,                -17593,               -189588,              1132452,                942864,                942864,                              0,                              0,                     -3,,,,,,,,,,,,,,,,,
1583,2014年01月01日至2014年03月31日,,                200757,                200757,,,                 41453,                  1076,                  3052,                 -5209,                 10649,                 -1038,,                   -674,,                 49309,,,                -98401,                     55,                -67076,                -21796,                -11356,                              0,                -79718,                -10625,                -11002,                 -2482,               -302401,,                 45945,                     48,                125681,                    -47,                -42399,                  5556,                 27738,                -10457,                     17,                152082,               -150319,               -101010,                 99747,                  1038,                 -4528,                 96257,,                              0,,,                -26836,,                  3070,               -152981,                  1064,                  7745,                   -494,,,               -164855,,,                     11,                              0,                -60797,                  9971,                    365,                -10190,                              0,                 19173,                 -1583,                -51008,              1132452,              1081444,              1081444,,,,                  3577,                 79813,,,,,,,,,,,,,,,
1583,2013年度,,                680676,                680676,,,                171055,                  5558,                 29876,                 -2054,                 40149,                 -4473,                   -308,                 -7280,                   -583,,,,               -105134,                    -58,                186272,                              0,                    708,                              0,               -208538,                -24478,                  4618,                  9114,               -137496,,                -66601,                     47,                 52402,                     47,                 -4187,                 -8409,                 38584,                  9449,,                 21282,               -116214,                116298,                796974,                  4473,               -203347,                598100,,                    -40,                    102,,                -21006,,                              0,               -550179,                 21218,                  1226,                 -3303,,                    308,               -737768,,,                229393,,                 -7392,                -15430,                  4770,                -39359,               -100427,                382645,                 41039,                284016,                848436,              1132452,              1132452,,,               -195936,                  2047,                583341,,                    572,                232512,                    -50,               -188141,                  3720,                -80035,,,,,,,,
1583,2013年01月01日至2013年12月31日,,                680676,                680676,,,                171055,                  5558,                 29876,                 -2054,                 40149,                 -4473,                   -308,                 -7280,                   -583,,,,               -105134,                    -58,                186272,,                    708,,               -208538,                -24478,                  4618,                  9114,               -137496,,                -66601,                     47,                 52402,                     47,                 -4187,                 -8409,                 38584,                  9449,,                 21282,               -116214,                116298,                796974,                  4473,               -203347,                598100,,                    -40,                    102,,                -21006,,,               -550179,                 21218,                  1226,                 -3303,,                    308,               -737768,,,                229393,,                 -7392,                -15430,                  4770,                -39359,               -100427,                382645,                 41039,                284016,                848436,              1132452,              1132452,,,               -195936,                  2047,                583341,,                    572,                232512,                    -50,               -188141,                  3720,                -80035,,,                              0,                              0,                              0,,,
1583,2013年01月01日至2013年09月30日,,                476195,                476195,,,                128646,                  4520,                  6749,                 -1840,                 30042,                 -2756,                   -307,                 -2745,                    -42,,,,               -116336,                              0,                239262,                              0,                -14716,                              0,               -325354,                -24686,                -20573,                 10190,               -252213,,                 26960,                              0,                 55704,                              0,                -37438,                 -3189,                  1987,                 -8967,,                 35330,               -216883,                -54616,                421579,                  2756,               -196368,                227967,,,,,                              0,,                              0,                -99397,                  9124,                  3889,                 -3169,,                    307,                -59317,,,                 59498,,               -215538,                -26688,                  4640,                -29490,                -92995,               -130598,                  4318,                 42370,                848436,                890806,                890806,                    -39,                     67,               -275971,                 29901,                445946,,,                162267,                    273,,,,,,,,,,,
