證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 現金增資,　　 停業單位稅前淨利（淨損）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得透過其他綜合損益按公允價值衡量之金融資產
1590,2015年01月01日至2015年09月30日,,              1489598,              1489598,,,                461236,                 11936,                 44007,                -22049,                 64286,                -20600,                 11182,                  1856,                  9502,                              0,                  2410,                563766,,,                 68691,               -478817,                 84513,                -69636,               -106466,               -501715,,                 50773,                -73838,                  2354,                 24108,                    634,                  4031,               -497684,                 66082,              1555680,                 21878,                -62407,               -406862,              1108289,,             -4476770,              4265118,                -68585,                125446,                100000,             -1920582,                 13839,                -14226,                  7898,                -15276,                              0,             -1983138,,                999332,                -15000,                860000,                -17257,               -818400,                -10659,                998016,                218978,                342145,              1644721,              1986866,              1986866,,,,,,,,,,
1590,2015年01月01日至2015年06月30日,,              1075597,              1075597,,,                298106,                  8351,                 28139,                -13034,                 40299,                -15394,                  7723,                  1931,                  2112,,                  1603,                359836,,,,               -329872,                137027,               -102960,                -74436,               -370241,,,                 14346,                 31035,                 37191,                    423,                 82995,               -287246,                 72590,              1148187,                 16155,                -38495,               -325167,                800680,,             -2824681,              2916788,                -68229,                 85036,                100000,             -1372394,                 11655,                -12646,                  4109,                -15426,                              0,             -1175788,,                514571,                -20000,                560000,                -11482,,,              1043089,                -40419,                627562,              1644721,              2272283,              2272283,,,,,,,,,,
1590,2015年01月01日至2015年03月31日,,                366869,                366869,,,                147648,                  2798,                 15599,                 -6892,                 19885,                 -7311,                  2784,                  4297,,                     67,                    808,                179683,,,                163068,                -72648,                -50141,               -158788,                -56085,               -174594,,                  3609,                -11523,                -22185,                 -9089,                    493,                -38695,               -213289,                -33606,                333263,                  7392,                -17778,               -140239,                182638,,             -1595326,              1879595,                -63268,                 48456,                100000,               -870342,                  6081,                 -4927,                    702,                 -4082,                -19402,               -522513,,                307341,                              0,                480000,                 -5729,,,                781612,                 12807,                454544,              1644721,              2099265,              2099265,,,,,,,,,,
1590,2014年度,,              2388542,              2388542,,,                539605,                 11251,                 -1381,                -18223,                 69265,                -18228,                  4532,                  4966,                 51652,                              0,                  3150,,,,               -252593,               -225217,                 41064,               -216499,                -79186,               -732431,,                 -7892,                -38038,                 -9550,                 60356,,                   -797,               -733228,                -86639,              2301903,                 15381,                -68450,               -717070,              1531764,,             -4071342,              3451904,,,,             -2518198,                  9397,                 -8522,                  6175,                -41897,               -151644,             -3386117,,              2240812,                -60000,              1708347,               -802842,             -1074150,                -10659,              2001508,                 27872,                175027,              1469694,              1644721,              1644721,,                646589,                 -5673,               -193349,                131359,                              0,                              0,,,
1590,2014年01月01日至2014年09月30日,,              1862962,              1862962,,,                396059,                  8174,                 20629,                 -9089,                 65572,                -12909,                  3739,                  4571,                    586,                              0,                  2348,                479680,,,               -314013,               -329246,                 43801,               -183824,                -97797,               -881079,,                  2044,                -62813,                    606,                  1604,                   -147,                -58706,               -939785,               -460105,              1402857,                 10812,                -54231,               -484379,                875059,,             -2209225,              1412320,               -166043,                 89249,                              0,             -2310725,                 14882,                 -2068,                  1716,                -31177,                              0,             -3201071,,              2168921,                -20000,              1708638,               -797099,             -1074150,                -10659,              1975651,                -17127,               -367488,              1469694,              1102206,              1102206,,,,,,,,,,
1590,2014年01月01日至2014年06月30日,,              1335784,              1335784,,,                255278,                  5270,                 15014,                 -3328,                 38479,                 -8381,                  2430,                  2885,                              0,,                  1569,                309216,,,,               -735551,                 53109,               -148502,                -62419,               -893363,,,                -17232,                -76434,                 20742,                    363,                -72561,               -965924,               -656708,                679076,                  5760,                -36882,               -327904,                320050,,               -861737,                663044,               -110948,                              0,                              0,             -2008423,                  6855,                 -3520,                              0,                -29807,                              0,             -2344536,,                921621,                -30000,              1708638,               -791378,,,              1808881,                 10785,               -204820,              1469694,              1264874,              1264874,,,,,,,,,,
1590,2014年01月01日至2014年03月31日,,                540093,                540093,,,                126895,                  2285,                -14018,                 -1509,                 17505,                 -4286,                  1473,                    102,,                  9884,                    796,                139127,,,               -135098,               -126044,                 14163,               -148251,                 -4920,               -400150,,                 -2696,                -47011,                -42265,                  6024,                    194,                -85754,               -485904,               -346777,                193316,                  3582,                -16566,               -141436,                 38896,,               -243760,                245735,                -67064,                              0,                              0,               -820570,                  4175,                              0,                    120,                -14785,                              0,               -896149,,                576274,                 20000,                              0,                              0,,,                596274,                  9405,               -251574,              1469694,              1218120,              1218120,,,,,,,,,,
1590,2013年度,,              2366757,              2366757,,,                423196,                  8088,                 18750,                 -4692,                 51708,                -13063,                 12447,                -28335,                 17238,                              0,                  3089,,,,               -208612,               -371466,                -20061,               -419814,                -16288,             -1036241,,                 -1944,                116347,                176583,               -123181,,                145080,               -891161,               -402735,              1964022,                 13063,                -50650,               -497647,              1428788,,               -657766,                775369,,,,             -2751906,                136262,                -10804,                              0,                -23809,               -130228,             -2662882,,               -212071,                -50000,                780000,                -22501,               -570000,                              0,              1885428,                -43442,                607892,                861802,              1469694,              1469694,,                488426,                -22725,                              0,                              0,                              0,              1960000,,,
1590,2013年01月01日至2013年12月31日,,              2366757,              2366757,,,                423196,                  8088,                 18750,                 -4692,                 51708,                -13063,                 12447,                -28335,                 17238,                              0,                  3089,,,,               -208612,               -371466,                -20061,               -419814,                -16288,             -1036241,,                 -1944,                116347,                158592,               -105190,,                145080,               -891161,               -402735,              1964022,                 13063,                -50650,               -497647,              1428788,,               -657766,                775369,,,,             -2751906,                136262,                 -9822,,                -24791,               -130228,             -2662882,,               -212071,                -50000,                780000,                -22501,               -570000,                              0,              1885428,                -43442,                607892,                861802,              1469694,              1469694,,                488426,                -22725,,,                              0,              1960000,,,
1590,2013年01月01日至2013年09月30日,,              1772516,              1772516,,,                307643,                  5813,                  6698,                 -3495,                 42381,                 -9528,                 12367,                -33800,                  6903,                              0,                  2316,,,,               -233904,               -481584,                 -4862,               -246759,                -46526,             -1013635,,                161265,                131524,                150717,                -43749,,                398611,               -615024,               -277726,              1494790,                  8809,                -41352,               -346156,              1116091,,               -539101,                677573,,,,             -2071220,                129525,                 -9105,                              0,                -20353,               -211607,             -2044288,,              1126047,                -50000,                780000,                -16844,               -570000,                              0,              1269203,                -24904,                316102,                861802,              1177904,              1177904,,                337298,                 -1146,                              0,                              0,,,,,
1590,2013年01月01日至2013年06月30日,,              1103480,              1103480,,,                197830,                  3557,                  2554,                 -2607,                 25245,                 -5840,                  7278,                    273,                  5134,,                  1534,,,,,               -692056,                  1668,               -121077,                -51491,               -862956,,,                265530,                120977,                 43853,,                428477,               -434479,               -199521,                903959,                  5147,                -24339,               -221750,                663017,,               -345031,                578066,,,,               -652291,                  4543,                -28506,,                 -7809,                -49402,               -500430,,                572934,                -50000,                              0,                -11209,,,                511725,                 30329,                704641,                861802,              1566443,              1566443,,                234958,                 -1883,                              0,,,,,,
1590,2013年01月01日至2013年03月31日,,                368956,                368956,,,                 95620,                  1725,                 -1620,                 -1985,                 12443,                 -2259,                  3084,                    109,,                  2979,                    759,,,,,               -140273,                  3164,                -59678,                -21453,               -218240,,,                 10174,                  8148,                -33479,,                -16583,               -234823,               -123968,                244988,                  1587,                -11548,                -48295,                186732,,               -341042,                423859,,,,               -342156,                  5608,                -16768,                              0,                -12296,,               -282795,,                150267,                -35113,,                 -5594,,,                109560,                 16065,                 29562,                861802,                891364,                891364,,                110855,                 -1426,                              0,,,,,,
1590,2012年01月01日至2012年12月31日,,              1507500,              1507500,,,                322750,                  6165,                 15381,                -10219,                 43721,                 -8882,                     50,                  6479,                              0,                 -2034,                  2998,,,,                105181,               -332286,                -14875,               -118608,                 -6315,               -366903,,                     -9,                 25654,                 37582,                -57727,,                -21775,               -388678,                -12269,              1495231,                  8882,                -44418,               -391854,              1067841,,             -1967658,              1945939,,,,             -1795146,                 26562,                              0,,                -12551,                 -9988,             -2100893,,              1448524,                 83522,                              0,                -40909,               -795000,                -13857,                682280,                -50571,               -401343,              1263145,                861802,                861802,,                376409,                -27275,,,               -288051,                              0,,,
1590,2012年01月01日至2012年09月30日,,              1163068,              1163068,,,                230938,                  4521,                 11277,                 -8826,                 31915,                 -6300,                              0,                  3941,                  1188,                 -2368,                  2251,,,,                 70628,               -426680,                -25655,                -54223,                -87022,               -522952,,                 96033,                 24960,                111031,                -57779,,                142811,               -380141,               -111604,              1051464,                  6300,                -32644,               -300501,                724619,,             -1510244,              1376278,,,,             -1456912,                  1231,                              0,,                -13086,,             -1602733,,              1401178,                 53421,                              0,                -35350,               -795000,                -13857,                610392,                -22052,               -289774,              1263145,                973371,                973371,,                268537,                -31434,,,,,                              0,                              0,
1590,2012年01月01日至2012年06月30日,,                765284,                765284,,,                147670,                  2958,                  8032,                 -5130,                 19528,                 -4431,                              0,                    739,                              0,                 -2368,                  1500,,,,,               -305612,                -43292,                -30669,               -166352,               -545925,,,                 91970,                 27707,                 14128,,                108273,               -437652,               -269154,                496130,                  4431,                -11662,               -207751,                281148,,               -792154,                607671,,,,               -967463,                  9799,,,                -10480,,             -1152627,,                618161,                  2203,,                -12051,,,                608313,                -18866,               -282032,              1263145,                981113,                981113,,                168498,                -25532,,,,,,                              0,
1590,2012年01月01日至2012年03月31日,,                345071,                345071,,,                 71401,                  1465,                  1155,                 -2353,                  9731,                 -1813,                              0,                    521,,                 -1310,                    751,,,,,                -68545,                -26573,                -82048,               -196379,               -373545,,,                 66930,                -30875,                 33843,,                 73294,               -300251,               -220703,                124368,                  1813,                -10046,               -111068,                  5067,,,                228583,,,,               -492978,                    155,,,                -10125,,               -483359,,                431073,                -17471,,                 -5509,,,                408093,                -34984,               -105183,              1263145,              1157962,              1157962,,                 79548,                  3396,,,,,,,               -208994
