證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 短期借款增加,　　 對子公司之收購（扣除所取得之現金）,　　 應付短期票券增加,　　 存出保證金增加,　　 存出保證金減少,　　 存入保證金增加,　　 存入保證金減少
1604,2015年01月01日至2015年09月30日,,                498937,                498937,,,                102396,                 12659,                 -8836,                  3968,                 10564,                 -4579,                -11678,                              0,               -295727,                 12362,                     25,                              0,                   -404,                              0,                 11323,               -167927,,,                -33200,                  2719,                -10302,                421317,                  7839,                -20717,                     -4,                117651,                146096,                631399,,                145568,                 43293,               -324306,                -13623,                -46801,                 -2089,                -13126,                 21935,                 -7062,               -196211,                435188,                267261,                766198,                  4579,                -10541,                -14650,                745586,,                              0,                -20000,                 21663,                              0,                 15000,                -55727,                  7478,                -20542,                 -8000,                -12311,                274495,                202056,,                -75000,                -20004,                200000,                -60000,                -11135,               -511951,               -243609,                              0,                 -7626,               -729325,                  8151,                226468,                615708,                842176,                842176,,,,,,,,,,,,,,,,,,,,
1604,2015年01月01日至2015年06月30日,,                362646,                362646,,,                 68574,                  7082,                 13885,                     61,                  7425,                 -3110,                -10262,                              0,               -213335,                 12606,                     25,                   -524,,                              0,                              0,               -128561,,,                -13612,                 16178,                 -9815,               -151132,                  8659,                -18272,                              0,                 14126,                112173,                -41695,,                170209,                 47050,               -186605,                 12679,                -54193,                 -1822,                  1642,                 22220,                -10328,                    852,                -40843,               -169404,                193242,                  3110,                 -7412,                -13627,                175313,,                              0,,,                              0,                 15000,                -28426,                  3646,                -13092,,,                 10262,                -32736,,                 32000,                -39949,                 60000,                -60000,,,                              0,                              0,                 -3795,                -19069,                -13391,                110117,                615708,                725825,                725825,                -10988,                -26000,                  5874,                 -7325,,,,,,,,,,,,,,,,
1604,2015年01月01日至2015年03月31日,,                158984,                158984,,,                 35221,                  3764,                -10857,                              0,                  2346,                   -214,,                              0,               -103784,                              0,                     25,                   -428,,                              0,                              0,                -80950,,,                 17151,                 54457,                 -6151,                359391,                  8760,                 -8340,                              0,               -178701,                 90152,                336719,,                 61888,                -11817,               -148145,                 19395,               -263934,                 -1715,                 -9037,                 15544,                 10527,               -327294,                  9425,                -71525,                 87459,                    214,                 -2333,                 -2179,                 83161,,                              0,,,,                 15000,                -15837,                              0,                 -1575,,,,                 -1926,,                125000,                      8,,                              0,                 -8467,,,                              0,                              0,                116541,                 -5007,                192769,                615708,                808477,                808477,                 -7023,                              0,                    486,,                              0,,,,,,,,,,,,,,,
1604,2014年度,,                669536,                669536,,,                156875,                 16326,                 -5414,                 -1655,                 13709,                 -7168,                 -6580,                 21752,               -424239,                   -333,                              0,                 -1886,,                     52,                 10163,,,,                -58251,                 98783,                  3162,                 20471,                 -3204,                    602,                     25,                366246,                  7760,                435594,,                 16911,                 14833,                 68922,                 12241,                -15723,                  2097,                 -6431,                 -7289,,                 35344,                470938,                242540,                912076,                  7168,                -13956,                -16273,                889015,,                 78754,,                 18607,                -95250,,                -96862,                  5303,                -48009,,                -91924,                201079,                -26751,,                              0,               -114927,                              0,               -325000,                              0,               -373100,               -123352,                 43910,                    207,               -837343,                 23819,                 48740,                566968,                615708,                615708,                              0,                  1551,,                  9919,,,                              0,               -228398,                -50217,                              0,                              0,                              0,                              0,                 45000,,,,,,
1604,2014年01月01日至2014年09月30日,,                602222,                602222,,,                121498,                 11933,                 -8687,                    -37,                 10655,                 -3696,                 -6580,                 12172,               -351120,                   -273,                              0,                 -1886,                              0,                     52,                 16330,               -199639,,,                 -5095,                120279,                  4451,                228635,                   -926,                -11384,                   -169,                714206,                 88326,              1138323,,                135972,                 44222,               -237335,                    610,                -97283,                              0,                 -6706,                  6344,                -33586,               -187762,                950561,                750922,              1353144,                  3696,                 -7762,                -16186,              1332892,,                 78754,                              0,                 18607,                -95250,                              0,                -60683,                  4848,                -45470,                   -252,                -13385,                191775,                 78944,,                -40000,               -124921,                              0,               -325000,                 -2317,               -363796,               -123352,                 27788,                -18413,               -970011,                  4897,                446722,                566968,              1013690,              1013690,,,,,,,,,,,,,,,,,,,,
1604,2014年01月01日至2014年06月30日,,                361520,                361520,,,                 82308,                  6570,                  3846,                    -72,                  7548,                 -1798,                 -3079,                 12172,               -238763,                   -331,                              0,                 -5787,,                     52,                  4192,               -133142,,,                    117,                101119,                  4432,                -70219,                 -2828,                -25633,                     26,                390194,                 99412,                496620,,                126529,                 36863,                -74280,                 23266,               -115761,                              0,                  8079,                    441,                -27600,                -22463,                474157,                341015,                702535,                  1798,                 -7762,                -15153,                681418,,                 73567,,,                -80250,                              0,                -48498,                  1016,                -35504,,,                  3079,                -82718,,                -34000,               -144882,                              0,               -325000,,,               -123352,                 27788,                 -5733,               -605113,                -10417,                -16830,                566968,                550138,                550138,                              0,                   -252,                  4124,                     66,,,,,,,,,,,,,,,,
1604,2014年01月01日至2014年03月31日,,                164362,                164362,,,                 42699,                  3087,                -14924,                     15,                  3919,                   -148,,                 12172,               -122211,                   -313,                              0,                 -5637,,                     52,                 10920,                -70369,,,                 -2998,                124672,                  4532,                386349,                 -2553,                -24920,                     56,                123919,                 26096,                635153,,                110417,                 -9905,                -81124,                 15485,               -286844,                              0,                 -9069,                 11434,                 -2512,               -252118,                383035,                312666,                477028,                    148,                 -4132,                 -2777,                470267,,                 52350,,,,                              0,                -15395,                    730,                 -3039,,,,                 36442,,                -50000,               -129879,,               -325000,                  1263,,,                 27788,                 -1967,               -477795,                  1142,                 30056,                566968,                597024,                597024,                              0,                     48,                  1748,,                              0,,,,,,,,,,,,,,,
1604,2013年度,,                585369,                585369,,,                169105,                 13044,                   -428,                   -274,                 28372,                 -9503,                 -7035,                  9810,               -272780,                 -4076,                    461,               -193872,,                              0,                 19313,,,,                -24074,                210629,                 -3788,                243933,                 28037,                 40902,                  5296,                269490,                -41252,                729173,,                -94964,                  7475,               -103210,                 -8928,               -145934,                              0,                 11134,                -24174,,               -398845,                330328,                 82445,                667814,                  9503,                -29075,                 -9861,                638381,,                186527,,                 21196,                              0,,                -90766,                 14782,                -14010,,                -28921,                181616,              1292146,,               -322662,               -444281,                900000,             -1567834,                 -2163,               -329760,               -209528,                 36779,                   -726,             -1940175,                 52149,                 42501,                524467,                566968,                566968,                              0,                769045,,                              0,,,                    -20,               -247883,                -40244,                              0,                  6840,                185960,                 59877,                              0,,,,,,
1604,2013年01月01日至2013年12月31日,,                585369,                585369,,,                169105,                 13044,                 -5513,                   -274,                 28372,                 -9503,                 -7035,                  9810,               -272780,                 -4076,                    461,               -193872,,                              0,                 19313,,,,                -24074,                210629,                 -3788,                243933,                 28037,                 45987,                  5296,                269490,                -41252,                734258,,                -94964,                  7475,               -103210,                 -8928,               -113242,                              0,                 11134,                -24174,,               -366153,                368105,                115137,                700506,                  9503,                -29075,                 -9861,                671073,,                186527,,                 21196,,,                -90766,                 14782,                -14010,,,                181616,              1292146,,               -322662,               -444281,                900000,             -1567834,                 -2163,               -329760,               -209528,                  4087,                   -726,             -1972867,                 52149,                 42501,                524467,                566968,                566968,                              0,                769045,                -28921,,,,                    -20,               -252968,                -40244,                              0,                  6840,                185960,                 59877,                              0,                              0,                              0,,,,
1604,2013年01月01日至2013年09月30日,,                570433,                570433,,,                127079,                  9805,                 14233,                   -164,                 21403,                 -1486,                 -7035,                  9810,               -202953,                 -4010,                    450,               -205099,,                              0,                 19313,,,,                 -4388,                315217,                 -7981,                602107,                 18415,                 26157,                   -359,                210505,                -17497,              1142176,,                 84848,                 81552,               -238126,                 -7691,               -219366,,                 -1276,                 -6311,,               -318125,                824051,                605397,              1175830,                  1486,                -21650,                    792,              1156458,,                163270,,                    672,                              0,,                -72989,                 11004,                -12480,                              0,                -33818,                181616,              1182939,,               -372662,               -570000,                900000,             -1856584,                              0,               -329760,                              0,                  4087,                   -726,             -2216352,                 40475,                163520,                524467,                687987,                687987,,                759704,,                  9293,,,,               -218654,                -11755,,,                185960,,,,,,,,
1604,2013年01月01日至2013年06月30日,,                304564,                304564,,,                 83168,                  5687,                  8158,                    -90,                 17549,                 -1251,                 -1007,                  9810,               -149870,                 -6934,                    450,                 13019,,                              0,                  7292,,,,                 -1247,                202184,                    249,                -57718,                -17019,                 27792,                   -133,                289773,                 33564,                477445,,                 96209,                 71347,               -151740,                 14921,               -231584,,                 18059,                -13857,,               -193418,                284027,                270008,                574572,                  1251,                -17784,                  1301,                559340,,                 14197,,,                              0,,                -47632,                 13688,                 -6086,,,                  1007,                731949,,               -180662,               -370001,                900000,             -1532750,,,                              0,                 36779,                   -726,             -1144666,                 54119,                200742,                524467,                725209,                725209,,                767063,                -10288,                  2694,,,,                -14019,                  3227,                              0,,,,,,,,,,
1604,2013年01月01日至2013年03月31日,,                124514,                124514,,,                 40635,                  3044,                -10128,                   -376,                 11204,                    -98,,                  9810,                -69835,                  1467,                    461,                     16,,                              0,                              0,,,,                    699,                183716,                 -1087,                198112,                 -9967,                -10440,                 -5391,                246180,                 21538,                623360,,                 17153,                  5256,                -93446,                  8292,               -314147,                              0,                 -1627,                 20503,,               -345033,                278327,                259496,                384010,                     98,                -13464,                  1423,                372067,,                              0,,,,,                -24763,                     29,                 -4812,,,,                731035,,               -319162,               -330000,,               -414500,                  7376,,,                 36779,                              0,             -1019507,                 30274,                113869,                524467,                638336,                638336,                 -5031,                767060,                 -6479,,,,,                -18831,                 12983,,,,,,,,,,,
1604,2012年01月01日至2012年12月31日,,                512733,                512733,,,                165746,                 13350,                  8252,                -63675,                 49176,                -34755,                -30009,                    900,               -314496,                 -2765,                              0,                 -8059,,                 90515,                              0,,,,                167525,                -71118,                    162,                -40331,                   -849,                130436,                    203,               -112166,                 26125,                 99987,,                -65084,                 -3778,               -244344,                  8877,                -23061,                   -447,                 47235,                  4389,,               -321498,               -221511,               -388888,                123845,                 34755,                -49162,                -77849,                 31589,,                251156,,                 20643,,,               -204655,                 10167,                -14059,,,                168110,                632475,,                              0,                              0,                500000,               -765199,                -20610,               -171442,               -264438,                  8173,               -129242,               -619504,                -45193,                   -633,                525100,                524467,                524467,                -34302,                118229,                153751,,,,                 -7255,               -167377,                -45285,                -54500,                              0,                208172,                  3346,                210279,                -27885,                 12975,,,,
1604,2012年01月01日至2012年09月30日,,                575234,                575234,,,                118337,                  8551,                  3236,                -63925,                 38790,                 -9098,                -30013,                    900,               -217479,                -33278,                              0,                 98186,,,                              0,,,,                156118,                139919,                 -4256,                221000,                   -635,                -22349,                     53,                268432,                 42264,                800546,,                122925,                 35759,               -376136,                   -136,                 15898,                 53595,                 41826,                  9818,,               -125620,                674926,                552817,              1128051,                  9098,                -39910,                -70233,              1027006,,                241763,,                  2800,,,               -118153,                 10821,                -11917,,                              0,                168114,                466286,,               -120383,               -495540,                100000,               -654700,                -18541,               -171442,                -65260,                  1144,                -13533,             -1445823,                -53641,                 -6172,                525100,                518928,                518928,                -36316,                118150,                 26354,                              0,,,,               -122109,                -29169,                -52500,,                 94613,                  3346,,                -27885,,               -695294,                706074,                 42842,                -50410
1604,2012年01月01日至2012年06月30日,,                406733,                406733,,,                 80469,                  6228,                 18248,                -63711,                 28129,                 -6924,                 -9995,                              0,               -152577,                -32416,                              0,                 93016,,,                              0,,,,                150513,                  8138,                    532,               -109564,                -35333,                -55413,                 -2180,                280326,                 31216,                268235,,                -20487,                  3296,                 12519,                 14275,                -19477,                 51040,                 41115,                 21130,,                 72698,                340933,                258625,                665358,                  6924,                -27577,                -70137,                574568,,                190418,,,,,                -92829,                  8084,                 -5091,,                              0,                  9995,                256024,,                              0,               -299944,                100000,               -387800,                -19495,,                -65260,                              0,                -13805,               -671979,                -29685,                128928,                525100,                654028,                654028,                -42775,                 99316,                 23085,                              0,,,,                -82308,                -30713,                -52500,,                 94545,                  3346,                 22345,                -27885,,                   -856,                  6396,                 26275,                -34295
1604,2012年01月01日至2012年03月31日,,                222797,                222797,,,                 41170,                  3432,                  6557,                -22398,                 14710,                 -2370,                 -2800,                              0,                -80707,                -31456,                              0,                 -8293,,,,,,,                  6642,                 93925,                    246,                -31022,                 22732,                -35919,                    307,                282805,                 81361,                421077,,               -118126,                -31091,                -33741,                  2661,               -130490,                 51924,                 24555,                 39413,,               -194283,                226794,                134221,                357018,                  2370,                -15194,                -63998,                280196,,                  3007,,,,,                -32199,                  5556,                 -3864,,                              0,                  2800,                125177,,                              0,               -137000,                100000,               -373300,                -19115,,,                              0,,               -341550,                -42113,                 21710,                525100,                546810,                546810,                -10418,                 98048,                  1023,                              0,                              0,,,                -92573,                    612,                -14000,,                 89096,                  3346,                 86473,                -27885,,                   -246,                    495,                  1452,                    -60
