證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　 存出保證金減少,　　 取得投資性不動產,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分投資性不動產,　　 其他非流動資產增加,　　　　　 持有供交易之金融資產（增加）減少,　　 短期借款減少,　　 應付短期票券增加
1617,2015年01月01日至2015年09月30日,,                 41010,                 41010,,,                 44056,                     69,                    837,                     62,                 16069,                -15690,                   -482,                  1034,                 11207,                              0,                -15039,                   -283,                  9997,                 51837,,,                 20374,                116364,                  2882,                  2763,                 30391,                   -304,                 -2130,                 -1023,                169317,,                     32,                -32912,                    -89,                -23616,                    -80,                 -3600,                -60265,                109052,                160889,                201899,                 14484,                    482,                -15422,                 -5489,                195954,,               -111316,                101325,                  8434,                 18534,                -55073,                  3570,                   -342,                 22340,                              0,                -12528,,                148260,                -20000,                -94741,                 10000,               -141586,                -43270,                 -5174,                 -4107,               -150618,                 17694,                 50502,              1015484,              1065986,              1065986,,,,,,,,,,,,,,,,
1617,2015年01月01日至2015年06月30日,,                  4473,                  4473,,,                 29790,                     46,                    510,                     53,                 10468,                -10877,,                  1165,                 -4063,,                 29275,,                  1998,                 58365,,,                  9423,                 79994,                  2146,                 -4289,                 -2085,                    440,                 -1344,                   -284,                 84001,,                    486,                -12852,                 -1307,                -22517,                    595,                 -2070,                -37665,                 46336,                104701,                109174,                 11700,,                 -9983,                 -4108,                106783,,                -72057,                 47321,                  8434,,                -33497,                  3351,,                              0,                  1920,                -44528,,                166889,                 -5000,,                              0,                -45085,,,,                116804,                -44756,                134303,              1015484,              1149787,              1149787,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1617,2015年01月01日至2015年03月31日,,                  3792,                  3792,,,                 14928,                     23,                    360,,                  5269,                 -5252,,                    -91,                 -4702,,                 27370,,,                 37905,,,                  6034,                 85932,                  3659,                  1246,                -33978,                    222,                   -876,                   -229,                 62010,,                     26,                 11027,                   -201,                -20461,                 15803,                              0,                  5617,                 67627,                105532,                109324,                  5209,,                 -4880,                 -1505,                108148,,                -36096,                 30035,                     20,,                -20710,                    250,,                  4975,,                -21526,,                 64180,                -10000,,                              0,                -25043,,,,                 29137,                -32223,                 83536,              1015484,              1099020,              1099020,                              0,                     35,,,                   -612,,,,,,,,,,,
1617,2014年度,,                 72214,                 72214,,,                 60873,                    211,                 -5761,                  1545,                 23589,                -15499,                 -1117,                 -2144,                    580,                 35909,                  8870,,,,,,                 -9858,                 97831,                  3245,                 10757,                 41365,                    712,                   -417,                    134,                143769,,                   -364,                 -1211,                 -1310,                 10877,                  7014,,                 12717,                156486,                263542,                335756,                 11482,                  1117,                -22280,                 -9265,                316810,,               -113370,                121140,                  2547,,                -51178,                 15137,,                 -4470,                    705,                -35418,,                  3417,                 10000,                              0,                              0,               -148918,,,,               -135501,                  8997,                154888,                860596,              1015484,              1015484,                              0,                              0,,,                              0,,                107056,                              0,                 -2289,                              0,                   -797,                              0,                 -5132,,,
1617,2014年01月01日至2014年09月30日,,                 59189,                 59189,,,                 44750,                    176,                    612,                  1295,                 17994,                -11726,                 -1103,                 -4286,                    144,                 19384,                 31464,                              0,                              0,                 98704,,,                -14867,                 50335,                 -4347,                 16725,                 -3572,                    645,                 -1507,                   -161,                 43251,,                     22,                 32952,                 -1405,                 -3207,                  1312,                 -2710,                 26964,                 70215,                168919,                228108,                  8955,                  1103,                -16697,                 -6997,                214472,,                -89205,                104884,                    482,                              0,                -42875,                  4977,                              0,                 -4470,                    490,                -25717,,                 15482,                 10000,                              0,                              0,                -96377,                              0,                              0,                              0,                -70895,                -25143,                 92717,                860596,                953313,                953313,,,,,,,,,,,,,,,,
1617,2014年01月01日至2014年06月30日,,                 27998,                 27998,,,                 29376,                    118,                    327,                    937,                 12234,                 -8295,,                 -4288,                    -29,,                 43364,,                              0,                 73744,,,                -11871,                 61315,                 -6257,                 12213,                 26987,                    431,                 -7225,                   -435,                 75158,,                   -290,                 35137,                 -2852,                 -8249,                   -292,                 -1807,                 21647,                 96805,                170549,                198547,                  6757,,                -11364,                 -3212,                190728,,                -51373,                 82115,                    204,,                -18313,                  5449,,                              0,                              0,                 18575,,                 -5598,                 10000,,                              0,                -75085,,,,                -70683,                -39492,                 99128,                860596,                959724,                959724,                              0,                              0,                    493,                              0,,,,,,,,,,,,
1617,2014年01月01日至2014年03月31日,,                 23078,                 23078,,,                 14426,                     59,                     12,,                  6142,                 -3027,,                    -34,                   -256,,                 30906,,,                 48228,,,                -13763,                109924,                   -915,                 19868,                 -8393,                    219,                   -379,                 -2220,                104341,,                   -356,                 -6220,                 -3023,                -12415,                  3029,                              0,                -19424,                 84917,                133145,                156223,                  2433,,                 -5602,                 -1571,                151483,,                -11742,                 73753,                              0,,                 -9837,                     78,,                    504,,                 52756,,                 12138,                              0,,                              0,                -10042,,,,                  2096,                -23707,                182628,                860596,              1043224,              1043224,                              0,                    464,,,                   -903,,,,,,,,,,,
1617,2013年度,,                 28936,                 28936,,,                 53936,                    236,                 -2127,                    438,                 26633,                 -5925,                 -1687,                 -1182,                   -879,                 11780,                 33705,,,,,,                 12743,                 71320,                -11967,                  1493,                 18525,                    673,                 14792,                    472,                119578,,                    283,                -79452,                  3685,                 -7141,                   -804,,                -87960,                 31618,                146546,                175482,                  6285,                  1687,                -25604,                 -4243,                153607,,               -162890,                 91032,                              0,,                -68538,                  5926,,                 10902,                  5933,               -117668,,               -191337,                -60000,                              0,                375000,               -254048,,,,               -130385,                -24991,               -119437,                980033,                860596,                860596,                     57,                 -3337,,,                              0,,                114928,                 11470,                 -1194,                     62,                              0,                    -95,                              0,,,
1617,2013年01月01日至2013年12月31日,,                 28936,                 28936,,,                 53936,                    909,                 -2127,,                 26633,                 -5925,                 -1687,                 -1182,                   -879,                 11780,                 33705,                              0,                    438,,,,                 12743,                 71320,                -11967,                  1493,                 18525,                   -673,                 14792,                    472,                118232,,                    283,                -79452,                  3685,                 -7141,                   -804,,                -87960,                 30272,                145873,                174809,                  6285,                  1687,                -25604,                 -4243,                152934,,               -162890,                 91032,                              0,,                -68633,                  5926,,                 10902,                  5933,               -117668,,               -191337,                -60000,                              0,                375000,               -254048,,,,               -130385,                -24318,               -119437,                980033,                860596,                860596,                     57,                              0,,,                 -3337,,                115601,                 11470,                 -1194,                     62,,,,,,
1617,2013年01月01日至2013年09月30日,,                 33680,                 33680,,,                 40332,                    177,                 -3265,                    840,                 19943,                 -3483,                 -1673,                 -1253,                 -1790,                              0,                 42643,,,,,,                  6067,                 77751,                 -6150,                 10285,                 16955,,                 -1662,                    502,                104298,,                     17,                -88524,                  2403,                 -9454,                 13564,,                -81994,                 22304,                114775,                148455,                  3164,                  1673,                -18970,                 -4987,                129335,,               -141509,                 67271,                              0,,                -52380,                  5446,,                 10925,                  6338,               -103909,,               -139573,                -50000,,                275000,               -133851,,,,                -48424,                -35438,                -58436,                980033,                921597,                921597,                    550,,,,,,                 92471,,,,,,,,,
