證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 預付設備款增加
1702,2015年01月01日至2015年09月30日,,              1251898,              1251898,,,                471955,                 -2893,                    997,                111335,                -65481,                  2804,                              0,                              0,                518717,,,                -51373,               -309083,                146456,                220604,               -113724,               -142724,               -249844,,                   -537,                 61066,                276355,                              0,                 19618,                   -432,                 39474,                395544,                145700,                664417,              1916315,                 65481,               -113059,               -361457,              1507280,,                              0,                              0,               -804441,                 10070,                              0,                133322,               -661049,,              8351721,             -7745421,                 14994,              1119807,               -900065,                 36657,               -691563,                186130,                 38611,              1070972,              4461887,              5532859,              5532859,,,,,,
1702,2015年01月01日至2015年06月30日,,                863648,                863648,,,                327994,                 -6207,                    168,                 76227,                -45545,                  2522,,                              0,                355159,,,                -15450,                -28918,                 19127,                124668,                 66872,                 -2676,                163623,,                   -280,                125315,                 48065,                              0,                 27569,                 -2706,                  7392,                205355,                368978,                724137,              1587785,                 45545,                -77951,               -271055,              1284324,,,,               -525181,                  8692,                              0,                136474,               -380015,,                 51607,,                 10000,                891843,             -1077527,                 40459,,                -83618,                 16396,                837087,              4461887,              5298974,              5298974,                              0,,,,,
1702,2015年01月01日至2015年03月31日,,                368199,                368199,,,                168610,                  4471,                   -392,                 37440,                -17750,                  1430,,                              0,                193809,,,                -12035,                 19839,                 29359,                 64344,                 30826,                -72986,                 59347,,                   -161,                -34425,                -49827,,                 13084,                 -1852,                 24653,                -48528,                 10819,                204628,                572827,                 17750,                -39164,                -84933,                466480,,,,               -231472,                  5187,                              0,                 14577,               -211708,,                214856,,                 10006,                954906,               -983942,                 11896,,                207722,                 -5105,                457389,              4461887,              4919276,              4919276,,,,,,
1702,2014年度,,              1578603,              1578603,,,                609544,                    368,                 -2803,                125961,                -47373,                  4392,                -25930,                 20000,,,,                -28353,                 54112,                 43122,                -75207,               -101610,                -45697,               -153633,,                  1055,                 17773,                 45156,                  1825,                  6502,,                 40181,                115803,                -37830,                646329,              2224932,                 47373,               -124188,               -441113,              1707004,,                 43490,                 30666,             -2078746,                 50597,               -168987,,             -2122980,,              1460002,,                 55043,              4165804,             -2909591,                              0,               -641179,              2124455,                232433,              1940912,              2520975,              4461887,              4461887,                 -5624,,                684159,                  3311,,
1702,2014年01月01日至2014年09月30日,,              1170577,              1170577,,,                446126,                  7179,                 -2703,                 94313,                -31705,                  1486,                -25930,                  1399,                490165,,,                -64417,               -344649,                 60349,                -69593,               -125937,               -108189,               -652436,,                     36,                131352,                 68220,                  1825,                  2668,                  1747,                 14036,                219884,               -432552,                 57613,              1228190,                 31705,                -96403,               -335367,                828125,,                 43490,                 30666,             -1536284,                 40842,                -65412,                              0,             -1486698,,              8260191,             -6282723,                194978,              3289157,             -3098653,                  4780,               -641179,              1726551,                 45992,              1113970,              2520975,              3634945,              3634945,,,,,,
1702,2014年01月01日至2014年06月30日,,                768375,                768375,,,                298300,                  3376,                 -3577,                 54934,                -20080,                  1161,,                  1399,                335513,,,                -18545,               -104655,                  4125,                145701,               -257029,                -70984,               -301387,,                              0,                 56407,                 21488,                  1825,                -14403,                   -438,                 28711,                 93590,               -207797,                127716,                896091,                 20080,                -54934,               -221769,                639468,,,,               -525169,                 15237,                 -4080,                              0,               -514012,,                618246,,                 90024,                960634,               -819054,                              0,,                847528,                -30022,                942962,              2520975,              3463937,              3463937,                 -2322,,,,,
1702,2014年01月01日至2014年03月31日,,                310955,                310955,,,                155969,                  1871,                 -3460,                 26472,                 -9058,                   -171,,                  1399,                173022,,,                 10644,                129417,                 12573,                162973,                -67025,                -76098,                172484,,                              0,                 72297,               -249995,,                 -6576,                     76,                 31606,               -152592,                 19892,                192914,                503869,                  9058,                -28418,                -67669,                416840,,,,               -266685,                 13244,                -27184,                              0,               -280625,,                189165,,                 40009,                100000,               -163658,                 29789,,                195305,                 13309,                344829,              2520975,              2865804,              2865804,,,,,,
1702,2013年度,,              1328097,              1328097,,,                577980,                     23,                  4127,                 94047,                -22502,                 20415,                              0,                 55000,,,,                 51017,                -57079,                 33764,               -339420,                 30930,                -18449,               -299237,,                     61,                141989,                 65983,                   -174,                -40699,,                156894,                320203,                 20966,                750056,              2078153,                 22502,                -96856,               -359792,              1644007,,                              0,                              0,               -829809,                  9739,                -21201,,               -841271,,                542111,,                 29954,                700000,               -753026,                 30145,               -338776,                210408,                 36783,              1049927,              1471048,              2520975,              2520975,                              0,,                729090,                 -3851,,
1702,2013年01月01日至2013年12月31日,,              1328097,              1328097,,,                577980,                     23,                  4127,                 94047,                -22502,                 20415,,                 55000,,,,                 51017,                -57079,                -12116,               -339420,                 30930,                -18449,               -345117,,                     61,                141989,                 65983,                   -174,                -40699,,                156894,                320203,                -24914,                704176,              2032273,                 22502,                -96856,               -359792,              1598127,,                              0,,               -829809,                  9739,,                -21201,               -841271,,                542111,,                 29954,                700000,               -753026,                 30145,               -292896,                256288,                 36783,              1049927,              1471048,              2520975,              2520975,,,                729090,                 -3851,                              0,
1702,2013年01月01日至2013年09月30日,,                996762,                996762,,,                433510,                  7352,                    424,                 69653,                -15656,                  7197,                              0,                 12783,,,,                 30538,               -202327,                 48752,               -245599,                 17555,               -121233,               -472314,,                    333,                177395,                 33469,                   -174,                 10578,,                118292,                342320,               -129994,                385269,              1382031,                 15656,                -71323,               -241603,              1084761,,                              0,                              0,               -528943,                 10322,                 -6847,,               -525468,,                308935,,                 94972,                320158,               -358016,                  3155,               -294305,                 74899,                 16783,                650975,              1471048,              2122023,              2122023,,,                515263,                  2427,,
