證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分不動產、廠房及設備,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 其他預付款項增加,　　 應付短期票券減少,　　　　　 預收款項增加（減少）,　　 應付短期票券增加
1710,2015年01月01日至2015年09月30日,,                 78743,                 78743,,,                419908,                 18635,                   -420,                  4550,                 62158,                -40205,                -88804,                447722,                  2356,                -63816,                              0,                -12188,                273694,                  8100,              1031690,,,                 -8954,             -1095725,                -14541,                542619,             -1317030,               -482847,               -272678,             -2649156,,                920523,               -359531,                230843,                 -7524,                784311,             -1864845,               -833155,               -754412,                 60814,                 67773,                -76058,                -61189,               -763072,,                 -6465,                138972,                   -229,                              0,               -360173,                              0,                              0,             -1009778,                 -6239,                -50371,                              0,             -1128307,             -2422590,,              3639687,             -3458105,              4785128,             -2878376,                  7387,                              0,                -13460,               -871949,                              0,              1210312,                 -4090,             -1979440,              3066613,              1087173,              1087173,,,,,,,,,,,,
1710,2015年01月01日至2015年06月30日,,                496622,                496622,,,                270987,                 12430,                    185,                  2217,                 41550,                -34479,                -14202,                165082,                  2354,                -64424,                              0,                -44838,                -50122,                  5393,                292133,,,                  3788,                -10209,                -23794,                334636,             -1245383,                -17710,               -475346,             -1434018,,                653905,                 -3377,                 12852,                 -5010,                658370,               -775648,               -483515,                 13107,                 23138,                              0,                -29638,                 -2148,                  4459,,,                138972,                   -229,                              0,               -360173,,                              0,                 -9106,                 -6232,                -40317,                              0,             -2055682,             -2332457,,                              0,               -451897,              2029961,                              0,                  3835,                -21801,,,                              0,              1560098,                -51335,               -819235,              3066613,              2247378,              2247378,                    310,,,,,,,,,,,
1710,2015年01月01日至2015年03月31日,,                 13020,                 13020,,,                135272,                  6483,                    420,                   -959,                 21705,                -19274,,                 99077,                  2354,                -60991,,                -32660,                 -2339,                  2725,                151813,,,                 24323,                -36189,                -24496,                504796,               -530946,               -120882,               -139334,               -322728,,                178230,                -24090,                 13427,                 -2529,                165038,               -157690,                 -5877,                  7143,                 12030,,                -19714,                   -129,                   -670,,,                138972,                    -12,                              0,,,                              0,                 -3014,                 -5803,                 -1517,,             -1267804,             -1138865,,               -541078,,              1208022,,                   -485,                -21524,,,,                644935,                -31367,               -525967,              3066613,              2540646,              2540646,                    313,,,,,,,,,,,
1710,2014年度,,                 43041,                 43041,,,                519636,                 25298,                   -100,                 -9293,                 68712,                -65243,                -74775,                700215,                  2840,               -181273,                 71444,                              0,                 75409,                  8362,,,,                 23345,                -50355,                 30467,                 34303,               -446412,                -37978,               -732826,             -1179456,,               -189196,                 57169,                -40293,                 -9718,               -183564,             -1363020,               -221788,               -178747,                 41895,                 79091,                -55407,               -324074,               -437242,,,                561198,,,               -360175,               -414987,              1088818,                -25966,                 -4460,                   -939,,             -6581278,             -5723184,,              1758231,,              6896150,               -636418,                 11146,                 26518,,             -1046340,                624072,              7633359,                113028,              1585961,              1480652,              3066613,              3066613,                              0,,                              0,              1141232,                 -1526,                              0,                 16234,                              0,                 -1629,                              0,,
1710,2014年01月01日至2014年09月30日,,                267534,                267534,,,                384798,                 18791,                 -1279,                 -6873,                 46773,                -45587,                -60108,                427809,                     82,               -114848,                 33391,                              0,                  4372,                  5717,                693038,,,                  8326,                -67582,                237133,                 86210,               -574753,               -179978,               -312528,               -803172,,                 57706,                 18523,                -13859,                 -7224,                 55146,               -748026,                -54988,                212546,                 29353,                 64377,                -44445,               -324072,                -62241,,                              0,                430979,                              0,                 16234,                              0,               -414987,              1088818,                 -6527,                   -448,                              0,                381692,             -4720232,             -3224471,,              1009503,                              0,              4084985,               -542304,                  4397,                 29292,                              0,             -1046340,                624072,              4163605,                 24367,                901260,              1480652,              2381912,              2381912,,,,,,,,,,,,
1710,2014年01月01日至2014年06月30日,,                131845,                131845,,,                253603,                 12394,                    635,                -12973,                 29407,                -25030,                   -827,                359262,                     82,                -31422,                  8754,                              0,                  1091,                  3144,                598120,,,                  5112,                -30612,                -75275,                 72494,               -182039,                 56735,                -97876,               -251461,,               -124452,                 79900,                -30555,                 -4828,                -79935,               -331396,                266724,                398569,                 19662,                  4317,                -29586,               -167907,                225055,,,                173436,                              0,                 16234,                              0,,              1088818,                 -3585,                   -127,                              0,                493768,             -2906038,             -1137494,,              1091156,                              0,                879388,               -543366,                    860,                 18779,,,                624072,              2070889,                -32569,              1125881,              1480652,              2606533,              2606533,                              0,,,,,,,,,,,
1710,2014年01月01日至2014年03月31日,,                 50201,                 50201,,,                125916,                  6186,                    146,                 -2944,                 14152,                -10400,,                247165,                              0,                -22792,,                 -5909,                 19116,                    564,                371200,,,                -11683,                -41549,                 17136,                 91229,                -86444,               -102264,                 -9805,               -143380,,               -400035,                268568,                -21333,                 -2450,               -155250,               -298630,                 72570,                122771,                  9773,,                -15337,                   -128,                117079,,,                104712,                              0,                 10543,,,              1088818,                              0,                              0,                 -4038,,               -446383,                753652,,                405325,,                349926,,                    335,                  6442,,,,                762028,                 10668,              1643427,              1480652,              3124079,              3124079,                              0,,,,,,,,,,,
1710,2013年度,,              1538767,              1538767,,,                537042,                 22552,                    209,                -11416,                 46845,                -21766,                -66472,                283275,                 -3180,                 -7398,                              0,                -54141,                -10775,                  4562,,,,                  2300,                  9939,                -44679,               -131775,                442123,                 76084,                 70522,                424514,,                306945,                -26593,                 71178,                 -8710,                339730,                764244,              1503581,              3042348,                 21339,                 69191,                -46690,               -189330,              2896858,,,                 54712,,,               -750349,             -1002784,                              0,                 -2481,                              0,                -92623,,               -355321,             -1997718,,             -1248380,,              2183747,               -178133,                  2429,                 23670,,             -1046339,                              0,               -290092,                 36495,                645543,                835109,              1480652,              1480652,                153049,,                 20000,                739337,                 -3090,                -16247,                              0,                 14326,                              0,                -27086,,
1710,2013年01月01日至2013年12月31日,,              1538767,              1538767,,,                537042,                 22552,                    209,                -11416,                 46845,                -21766,                -66472,                283275,                 -3180,                 -4556,                              0,                -54141,                -10775,                  4562,,,,                   -542,                  9939,                -44679,               -131775,                442123,                 76084,                 70522,                421672,,                292385,                 -8094,                 71178,                 -8710,                343669,                765341,              1507520,              3046287,                 21339,                 69191,                -46690,               -189330,              2900797,,                              0,                 54712,,,               -750349,             -1002784,,               -361741,                              0,                -92623,,,             -2001657,,             -1248380,,              2183747,               -178133,                  2429,                 23670,,             -1046339,,               -290092,                 36495,                645543,                835109,              1480652,              1480652,                153049,,                 20000,                742179,                 -3090,                -16247,,                 14326,,                -27086,,
1710,2013年01月01日至2013年09月30日,,              1084325,              1084325,,,                404741,                  5172,                    509,                 -7387,                 33011,                -14725,                -66472,                234386,                    372,                 -5873,                              0,                -48302,                -68526,                  3422,,,,                 12987,                -20759,                -63927,               -198156,                610318,                -51317,                 69499,                358645,,                241761,                -63197,                 71553,,                243779,                602424,              1072752,              2157077,                 14321,                 37548,                -33752,               -189304,              1985890,,,                              0,,,               -750349,               -179304,                              0,                 -2410,                              0,                -75175,                              0,               -185998,             -1180939,,                 64830,,              1186053,               -535212,                  2439,                 20848,,             -1046339,                              0,               -329467,                 24663,                500147,                835109,              1335256,              1335256,                  3981,,,                470328,,                   -247,                              0,                  8563,,                -22086,                 -6338,
