證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票處分,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 持有供交易之金融負債增加（減少）,　　 取得採用權益法之投資,　　 存出保證金增加,　　 應付短期票券減少,　　 其他金融負債減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 存入保證金減少,　　 應付款項減少,　　 員工購買庫藏股,　　 對子公司之收購（扣除所取得之現金）,　　　　　 其他營業負債增加（減少）
1712,2015年01月01日至2015年09月30日,,                203526,                203526,,,                509416,                  3195,                    -90,                 91023,                 -9953,                 -2010,                  3514,                  2253,                              0,                 12718,                              0,                -72949,                537117,,,                -36127,               -241973,                 80994,                -43904,                -86261,                -24194,               -351465,,                 15305,                305208,                122392,                 -9311,                 18144,                451738,                100273,                637390,                840916,                  9953,                  2010,                -78783,               -122688,                651408,,                 -1005,                              0,               -772599,                  1741,                 17168,                 13167,                -78768,               -820296,,                              0,               -304041,                -25000,                              0,              3300000,             -2546113,                  2989,                 33439,               -308401,                              0,                 -2161,                              0,                  1966,                152678,                -60917,                -77127,              1515806,              1438679,              1438679,                              0,,,,,,,,,,,,,,,
1712,2015年01月01日至2015年06月30日,,                133857,                133857,,,                336654,                  2595,,                 60106,                 -8010,                 -1892,                  2988,                  1936,                              0,                 27277,                              0,                 18197,                439851,,,                    974,               -290857,                 74171,                160304,                 13633,                -44414,                -86189,,                -43249,                 -6415,                  3399,                -93366,                 12025,               -128143,               -214332,                225519,                359376,                  8010,,                -53225,                -51797,                262364,,                 -1005,                              0,               -552941,                    322,                 69283,                -58411,,               -542752,,               -182128,                              0,                              0,,                500000,                -30688,                  1452,                 20487,,                              0,,                              0,                 -2166,                281957,                -55172,                -53603,              1515806,              1462203,              1462203,,                   -537,                              0,                              0,                -25000,,,,,,,,,,,
1712,2015年01月01日至2015年03月31日,,                -73317,                -73317,,,                166647,                  1995,,                 28969,                 -5878,,                  1732,                    900,                              0,                              0,                              0,                -48707,                145658,,,                -25930,               -666418,                 41125,                315005,                -89362,                -15730,               -441310,,                -17302,               -260745,               -114437,                117657,                  2986,               -273171,               -714481,               -568823,               -642140,                  5878,,                -27426,                 10076,               -653612,,                 -1005,                              0,               -303238,                    251,                 14632,                  9026,,               -280334,,,                -20587,                 30000,,                400000,                -15317,                    535,                 -7518,,                              0,,                              0,                              0,                387113,                 -9390,               -556223,              1515806,                959583,                959583,,                 -1330,,                              0,,                              0,,,,,,,,,,
1712,2014年度,,                660898,                660898,,,                630932,                  6194,,                109135,                -16952,                 -1171,                 -3042,                -22644,                 -2187,                              0,                 -5588,                 -3606,,,,                 21524,                 44287,                -76225,               -611993,                -12084,                 -5380,               -639871,,                 53234,                141469,                -57928,                 23593,,                160174,               -479697,                211374,                872272,                 16951,,               -106691,               -140390,                642142,,                 -8103,                 19587,               -975381,                176111,                -83612,                -29537,               -392353,             -1293288,,                554374,,,                              0,                880000,               -277590,                    581,                -20085,               -266980,                              0,,                              0,                 -1448,                993852,                 43800,                386506,              1129300,              1515806,              1515806,                              0,                  2324,                              0,,                125000,,,                              0,                691071,                 -2518,                              0,                              0,                              0,                              0,,
1712,2014年01月01日至2014年09月30日,,                491837,                491837,,,                423273,                 11729,                 -3005,                 81099,                 -9979,                 -1171,                  1882,                -22772,                 -2187,                              0,                 -4636,                -14506,                459727,,,                  2636,               -128501,                -19914,               -180665,               -126610,                -45955,               -499009,,                -16232,                293415,                -90297,                 29557,                 10090,                226533,               -272476,                187251,                679088,                  9979,                  1171,                -82875,               -123147,                484216,,                 -5900,                 17342,               -687786,                 43886,                 10605,                -13415,               -277400,               -912668,,                276847,                              0,                100000,                              0,                621702,               -244909,                     41,                  5259,               -266979,                              0,                              0,                              0,                 -2653,                489308,                 -4217,                 56639,              1129300,              1185939,              1185939,                              0,,,,,,,,,,,,,,,
1712,2014年01月01日至2014年06月30日,,                386887,                386887,,,                277532,                  4915,,                 52731,                 -6883,                 -1135,                  2827,                -22817,                 -1324,                              0,                 -9686,                 13596,                309756,,,                -17130,               -437835,                 17949,                -67179,               -131277,                -29060,               -664532,,                  5626,                167610,                126511,                -53835,                 10895,                253526,               -411006,               -101250,                285637,                  6883,,                -54524,                -82197,                155799,,                 -5900,                 11411,               -323711,                 43886,                              0,               -103507,,               -379180,,                 43639,                              0,                              0,,                412390,               -244458,                    425,                  4172,,                              0,,                              0,                              0,                166168,                -16871,                -74084,              1129300,              1055216,              1055216,,                 -3281,                              0,                 -1359,                -50000,,,,,,,,,,,
1712,2014年01月01日至2014年03月31日,,                244640,                244640,,,                137395,                    600,,                 25417,                 -3349,,                  1387,                -22822,                   -706,                              0,                 -8958,                -31812,                 97152,,,                -38511,               -637386,                -32141,                 34553,                -49453,                -58097,               -781035,,                -20998,                 80444,               -194094,                 91076,                  9884,                -34408,               -815443,               -718291,               -473651,                  3349,,                -27199,                 -3373,               -500874,,                 -5900,                  5510,               -156609,                 42006,                  8274,                -48330,,               -155049,,,                -32487,                150000,,                300000,                -11555,                    341,                  1611,,                              0,,                              0,                              0,                407910,                  4654,               -243359,              1129300,                885941,                885941,,                   -720,,                              0,,                              0,,,,,,,,,,
1712,2013年度,,                597712,                597712,,,                499318,                  5025,,                 76606,                -12510,                 -1547,                  3469,                   -976,                 10328,                 26546,                              0,                  9536,,,,                  8681,                -36849,                283229,               -737788,                -30295,                -48551,               -561573,,                  3629,                176785,                 45849,                100921,,                366585,               -194988,                420807,              1018519,                 12510,,                -74796,               -148351,                807882,,                 -9521,                 17516,             -1177116,                 29932,                 20308,                118755,               -553075,             -1553201,,                456363,,,              1194825,              1850000,             -2159407,                  9581,                  6554,               -266954,                              0,,                 18750,                -11414,              1035758,                 31099,                321538,                807762,              1129300,              1129300,                              0,                  4798,                              0,,                -90000,,,                              0,                615795,                 34603,                              0,                              0,                              0,                 27460,,
1712,2013年01月01日至2013年12月31日,,                597712,                597712,,,                499318,                  5025,,                 76606,                -12510,                 -1547,                  3469,                  3718,                  7820,                 26546,,                  9536,,,,                  8681,                -36849,                283229,               -737788,                -30295,                -48551,               -561573,,                  3629,                176785,                 45849,                 98735,,                364399,               -197174,                420807,              1018519,                 12510,,                -74796,               -148351,                807882,,                 -9521,                 17516,             -1177116,                 29932,                 20308,                118755,               -553075,             -1553201,,                456363,,,              1194825,              1850000,             -2159407,                  9581,                  6554,               -266954,                              0,,                 18750,                -11414,              1035758,                 31099,                321538,                807762,              1129300,              1129300,                              0,                  4798,                              0,,                -90000,,,                              0,                617981,                 34603,                              0,                              0,                              0,                 27460,,
1712,2013年01月01日至2013年09月30日,,                451103,                451103,,,                358672,                  3193,,                 50897,                 -6797,                 -1547,                  5383,                 -1602,                 10359,                 10559,                              0,                 26410,,,,                 10746,                -44203,                297785,               -351270,                -67911,                -69584,               -224437,,                -18686,                303886,                -44347,                -57552,,                225170,                    733,                456260,                907363,                  6797,,                -47877,                -57735,                808548,,                 -9521,                 17516,               -757138,                 26457,                 30993,                -83524,               -278284,             -1245845,,                878921,,                              0,              1194825,                750000,             -1642089,                  6368,                 41679,               -266954,                  6660,,                 18750,                    346,                798506,                -22900,                338309,                807762,              1146071,              1146071,                              0,                   -360,                              0,                              0,               -190000,                              0,,,                455527,                 42229,,                              0,,,               -192344,
