證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　 預收款項增加－處分資產,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 發放現金股利,　　 庫藏股票買回成本,　　　　　 預付款項（增加）減少,　　　　 處分投資性不動產損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 預付設備款增加,　　 其他應付款－關係人減少,　　 處分子公司股權（未喪失控制力）,　　 其他預付款項增加
1714,2015年01月01日至2015年09月30日,,                234857,                234857,,,                813700,                  9005,                 -9432,                 -1026,                605578,                -80670,                 -2166,                -39602,                -22297,               -508226,                              0,                -28143,                -35803,                700918,,,                -62656,                110094,                840692,                560593,                 44447,                -83193,                182450,                 86919,               -564107,              1115239,,                 51400,             -1424500,                 -7508,                249800,                -76186,                173298,                  6051,             -1027645,                 87594,                788512,              1023369,                 80670,                 28364,               -631088,               -184017,                317298,,                    593,                -37954,                493021,               -476408,                 64904,                -52855,               -142226,                              0,                    -77,                133553,                              0,                 84250,                -32402,               -283912,               -249513,,                              0,             -1945551,                              0,               -424234,                712453,             -3000534,              1317107,                              0,                -57003,             -3397762,                 36840,             -3293137,              7347539,              4054402,              4054402,,,,,,,,,,,,,,,,,,,
1714,2015年01月01日至2015年06月30日,,                 -8754,                 -8754,,,                554886,                  5968,                 -9354,                 -2177,                460997,                -55887,,                -15904,                -12040,,,                -27921,                -35803,                723802,,,                -72960,                219374,                839826,                333019,                159970,                -85165,                -56515,                -53521,                 -9206,              1274822,,                   -866,               -411082,                179034,                153927,                -66503,                -45583,                 -3508,               -194581,              1080241,              1804043,              1795289,                 55887,,               -339915,               -115513,              1395748,,,                              0,                104187,               -445438,                 19462,               -136401,               -251110,,                    -76,                133553,               -114168,,,               -254115,               -780855,,,             -1172777,,               -424234,                620520,             -2440915,                              0,,                -57003,             -3474409,               -361972,             -3221488,              7347539,              4126051,              4126051,               -138963,                140310,                 22941,,,,,,,,,,,,,,,,
1714,2015年01月01日至2015年03月31日,,               -132557,               -132557,,,                282604,                  3024,                              0,                 -2047,                238209,                -26319,,                 -8658,                 -5101,,,                -28675,                -28998,                424039,,,                              0,                176523,                552648,                531985,                 21187,                  3635,                343375,                596279,               -315968,              1909664,,                   -918,               -712626,                 -6108,               -109600,                -48831,                312926,                    541,               -564616,              1345048,              1769087,              1636530,                 26319,,               -189181,                -54354,              1419314,,,,,               -337017,                 12102,,               -214087,,                              0,                133553,,                209086,,               -156587,               -344422,,,             -1071457,,               -100000,                187960,             -1331316,                              0,,                -25442,             -2340255,                -30577,             -1295940,              7347539,              6051599,              6051599,,,                  8528,,,,,,,,,,,,,,,,
1714,2014年度,,             -1017618,             -1017618,,,                749337,                  8123,                -30084,                    880,                685194,                -97936,                 -1372,               -144489,                   -328,                   -493,                691196,,                120787,,,,                150493,                -63492,               -296573,               -131307,                -41836,                 64416,                 46820,               -596177,                 90999,               -776657,,                -30208,              1060919,                  2703,                180769,                 62781,                 -3074,                 37458,              1311348,                534691,              2530614,              1512996,                 97936,                 30562,             -1031494,               -301706,                308294,,                    742,                -45449,                     59,             -2223179,                 23061,,,                 59490,                -27849,,             -2400502,,                -77451,,             -4919659,,              5757067,,                     99,,              1801913,             -2285764,                441140,                 10374,                -26201,              5651357,                167639,              1207631,              6139908,              7347539,              7347539,,,,,                 15108,              1995923,                              0,               -228581,                              0,                -47271,,,,,,,,,
1714,2014年01月01日至2014年09月30日,,                -14728,                -14728,,,                526112,                  5157,                -14031,                   -863,                458008,                -57151,                 -1372,                -98675,                    223,                              0,                154572,                              0,                              0,                971980,,,                 50374,               -124322,               -290777,               -131307,                -43750,                 62601,             -1455601,               -455697,                463597,             -1924882,,                -29200,                890983,                  4471,               -188198,                 55044,                469681,                 44599,              1247380,               -677502,                294478,                279750,                 57151,                 29736,               -460219,               -254350,               -347932,,                    742,               -220059,                     59,             -1694313,                  7106,                              0,                              0,                 71250,                -27142,                              0,             -1443423,                              0,                -64931,                              0,             -3370711,,              3620692,                              0,                     74,                              0,                539149,             -1480119,                129015,                 10374,                -26201,              2792984,                114834,               -810825,              6139908,              5329083,              5329083,,,,,,,,,,,,,,,,,,,
1714,2014年01月01日至2014年06月30日,,                 80271,                 80271,,,                339634,                  3314,                -14031,                 -1965,                280672,                -33604,,                -90955,                     44,,,                154572,                              0,                637681,,,                150375,               -127569,               -294222,                734528,                -55673,                 18672,             -1585666,               -576514,                  2708,             -1733361,,                -30820,               -268495,                 -3326,                -36243,                103284,                413009,                  8652,                186061,             -1547300,               -909619,               -829348,                 33604,,               -391939,               -168464,             -1356147,,,               -216087,                              0,             -1220201,                  4054,                              0,                112093,,                   -646,                              0,               -448083,,,                              0,             -1843200,,,              3419992,,                -99891,                539679,             -1263074,                172078,,                -26201,              2742583,                -40890,               -497654,              6139908,              5642254,              5642254,                              0,                              0,                -74330,,,,,,,,,,,,,,,,
1714,2014年01月01日至2014年03月31日,,                142412,                142412,,,                171429,                  1659,                 -9081,                   -774,                134605,                -17238,,                -66901,                    108,,,                              0,                              0,                213807,,,                150375,               -102369,               -623345,                756103,                -19559,                 15264,               -878760,               -830881,                 14184,             -1518988,,                -30623,               -522166,                 -1696,                -76719,                  2959,               -145849,                 -3968,               -778062,             -2297050,             -2083243,             -1940831,                 17238,,                -79437,                -77374,             -2080404,,,,,               -745222,                  3922,,                  9081,,                   -494,                              0,,               -271500,,                              0,               -997920,,,              1706739,,               -199891,                276636,                -62522,                174451,,                -26201,              1869212,                -10194,             -1219306,              6139908,              4920602,              4920602,,,                  6293,,,,,,,,,,,,,,,,
1714,2013年度,,                598166,                598166,,,                653663,                 19457,                -43804,                 -1456,                349324,                -79096,                 -1693,                -78451,                  7438,                 -7497,                124189,,                -11866,,,,               -164958,                124666,               -101293,              1371262,                116047,                  4556,             -1176067,               -793259,               -132724,               -751770,,                 11148,               -152289,                  1238,                223141,                -34059,                119267,                -28856,                139590,               -612180,                348028,                946194,                 79096,                 11300,               -762299,               -235017,                 39274,,                              0,               -103624,                              0,             -2479871,                  4104,,,                  3373,                 -2072,,               -789632,,                 27978,,             -3318124,,                485209,,                199853,,              2236657,             -1388173,                344664,                              0,                 32679,              1736994,                204542,             -1337314,              7477222,              6139908,              6139908,,,,,                 30000,                960208,                 21620,                              0,               -173895,                              0,,,,,,,,,
1714,2013年01月01日至2013年12月31日,,                598166,                598166,,,                653663,                 19457,                -43804,                 -1456,                349324,                -79096,                 -1693,                -78451,,                 -7497,                124189,                              0,                -11866,,,,               -164958,                124666,               -101293,              1371262,                116047,                  4556,             -1176067,,               -132724,               -751770,,                 11148,               -152289,                  1238,                223141,                -34059,                119267,                -28856,                139590,               -612180,                348028,                946194,                 79096,                 11300,               -762299,               -235017,                 39274,,,               -103624,,             -2479871,                  4104,,,                  3373,                 -2072,                              0,               -789632,,,,             -3318124,,                485209,,                199853,,              2236657,             -1388173,                344664,,                 32679,              1736994,                204542,             -1337314,              7477222,              6139908,              6139908,,,                 27978,,                 30000,                960208,                 21620,                              0,               -173895,,               -793259,                  7438,                              0,                              0,                              0,,,,
1714,2013年01月01日至2013年09月30日,,                534958,                534958,,,                449471,                 17822,                 -6168,                 -2665,                245132,                -56848,                 -1039,                -18242,                  1212,                 -4877,                              0,,,,,,                -84903,                101059,                204730,              1201394,                    624,                 -2179,             -1048466,               -955726,                -37805,               -621272,,                -19097,                192188,                  1697,                213842,                -17411,                506899,                -14218,                863900,                242628,                866426,              1401384,                 56848,                 15221,               -602276,               -165859,                705318,,                              0,               -102791,                              0,             -2271027,                  3638,,,                 64248,                 -1653,,               -340480,,                 31586,,             -2605520,,               -634920,,                199903,,              1586368,               -917752,                              0,                              0,                103016,                336615,                 33549,             -1530038,              7477222,              5947184,              5947184,,,,,,                623798,                 10959,,,,,,,,,,,,
