證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 其他各項負債準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 處分承受擔保品提存損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 出售及攤銷不良債權之損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借銀行同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 取得投資性不動產,　　 已收現之出售不良債權,　　 其他資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 央行及同業融資減少,　　 應付短期票券增加,　　 應付商業本票增加,　　 償還金融債券,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 員工執行認股權,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 應付公司債匯率影響數,　　　　 資產證券化損失（利益）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付短期票券減少,　　 處分子公司股權（未喪失控制力）,　　 停業單位稅前淨利（淨損）,　　 支付之股利,　　 員工購買庫藏股,　　　 不影響現金流量之收益費損項目,　　　　 各項保險負債淨變動,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　 發行金融債券,　　 央行及同業融資增加,　　 應付商業本票減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 處分承受擔保品損失（利益）,　　 處分採用權益法之投資,　　　　 金融資產重分類淨損失（利益）,　　　　 營業外金融商品按公允價值衡量之損失（利益）,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　 匯率變動對現金及約當現金之影響,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 以成本衡量之金融資產（增加）減少,　　　　　 無活絡市場之債券投資（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付佣金增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 負債準備增加（減少）,　　 營業保證金減少,　　 交割結算基金減少,　　 其他資產增加,　　 其他借款減少,　　 附買回票券及債券負債減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 其他金融負債減少,　　 其他籌資活動
1718,2015年01月01日至2015年09月30日,,              3898889,              3898889,,,                630876,                 73748,                164315,               -191397,              3267193,             -8728595,                -52880,                              0,                  3900,                              0,                137597,                -23457,                              0,                -10293,                -44754,                              0,               -238002,                 -2742,                 -2157,             -5016648,,,             -1509273,            -22343281,              1928076,               -652257,                -93885,                -65213,                879579,                -11433,            -21867687,,                799886,                 70030,              1325899,              1433336,                572108,             34339510,                  3591,                  2130,             38546490,             16678803,             11662155,             15561044,              8674107,                 52880,             -3039755,               -787796,             20460480,,             -3455806,              2757780,                              0,             -4088257,                              0,                450000,                              0,                 16107,                              0,                 20156,                              0,             -4647903,                    861,               -258317,                -51562,                              0,                    -39,                 84921,                    481,                487904,             -8683674,,             -1129120,                              0,                      7,                -69265,                              0,              1502000,             -1206203,                -54091,                 27041,                -22403,                -54146,                 -9872,             -1016052,             10760754,             80704189,             91464943,             16002264,             70635687,              4826992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年01月01日至2015年06月30日,,              2879551,              2879551,,,                419398,                 48207,                 69696,               -315797,              2158461,             -5764932,                   -398,                              0,                  3900,,                 31374,                -15309,,                 -7795,                -21603,                              0,                 12064,                 -2742,,             -3385476,,,             -1356175,             -9528217,              1093796,               -766934,                -73677,                -63942,              2413028,                              0,             -8282121,,                749140,                158853,              5166378,             -2842408,                 -5007,              7318273,                  5275,                  4198,             10554702,              2272581,             -1112895,              1766656,              5844816,                    398,             -2116738,               -424093,              5071039,,               -546050,              1522380,             -2749587,,                              0,                250000,,                              0,                              0,,,             -4530372,                    831,                -26487,                -32070,                              0,                    -39,                 84921,                    484,                533489,             -5492500,,                217585,                              0,,                -39762,                              0,              1250216,               -898351,                -57837,                 27041,,                -54155,,                445044,                 23583,             80704189,             80727772,             11463924,             64984294,              4279554,                              0,                              0,                              0,                      7,                    300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年01月01日至2015年03月31日,,              1460089,              1460089,,,                210338,                 23567,                 68014,               -143001,              1073386,             -2888401,                     -9,                              0,                  3900,,                -23634,                 -8943,,                              0,                -21603,,                 47627,                 -2742,,             -1661501,,,                -94900,             -8932411,                358868,               -244341,               -124234,                -35182,              7578972,                 30001,             -1463227,,                690472,                 54531,              5995131,             -2917339,                187649,                420877,                  2591,                   -292,              4433620,              2970393,              1308892,              2768981,              2890061,                      9,               -912736,                -24721,              4721594,,               -536146,                              0,             -1975708,,                              0,                250000,,                              0,,,,             -4105370,                    725,                -47136,                -13832,,                              0,                 84921,               -161187,                -52913,             -6556646,,                175351,                              0,,                    414,,                700000,               -665784,                -19069,                              0,,,                    300,                218253,             -1616799,             80704189,             79087390,             11191539,             64445856,              3449995,,,,,,                              0,                              0,                 27041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年度,,              4615276,              4615276,,,                900811,                 81577,              1982970,               -139964,              4188195,            -11157662,                -94963,                    800,,                  1435,               -181762,             -1052627,,                  2358,             -1024043,                287444,                -49604,                -68712,,,,,             -1736108,               -607497,             -2880977,                324174,                361578,               -222851,            -23605307,                 50577,            -28316411,,                -85196,                 50903,              2355879,              2932381,                384315,             26220500,                205806,,             32058603,              3742192,             -2581555,              2033721,             11797411,                 94963,             -4133992,               -656688,              9135415,,             -2148465,                674733,,               -812943,              2942200,                300000,                 -3000,                 12435,             -1756732,                              0,,             -3450795,              1801681,                -93950,                -76332,                    808,                -37897,                343494,                 27852,                              0,             -2276911,,                387344,             -2086000,,                234540,                -49900,              1396830,               -546138,                 78297,,                 -7365,,               -395380,               -687925,              6170579,             74533610,             80704189,             11780810,             67378018,              1545361,,,,,,,                              0,,,                              0,                              0,                              0,             -6323747,                 -5985,                              0,                              0,                299847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年01月01日至2014年09月30日,,              3773519,              3773519,,,                679729,                 58382,                833447,               -109056,              3139902,             -8270709,                -59147,                    800,                              0,                  1435,                  4924,                 -7927,               -528781,                  2358,               -507747,                 -2243,               -149992,                -68712,                              0,             -4983337,,,             -3381134,              1840370,             -1825513,               -495025,                -68871,                -46044,            -16536773,                 51961,            -20461029,,                -96084,                  3081,               -759908,                642676,                379913,             11816639,                -11428,                 -5479,             11969410,             -8491619,            -13474956,             -9701437,              8270709,                 59147,             -3111649,               -723400,             -5206630,,             -2138142,                718933,                              0,                              0,              2465400,                300000,                 -3000,                 12435,                 -5000,                              0,                529200,             -1145027,                 12252,                -71782,                -48019,                    808,                -37153,                343494,               -150072,               -267887,                516440,,                520631,             -2086000,                299717,                195257,                -49900,                986761,                              0,                 65352,                              0,                              0,                              0,                              0,                -68182,             -4758372,             74533610,             69775238,              9025403,             60264020,                485815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年01月01日至2014年06月30日,,              2039576,              2039576,,,                437990,                 35422,                764183,               -189184,              2088489,             -5423847,                   -449,                    800,                              0,,                 48557,                 -7769,,                     43,               -454956,                 -2243,                -32243,                -68712,,             -2802484,,,             -2777099,               -162655,             -1722389,               -964594,               -116102,                -41102,            -11979389,                 28124,            -17735206,,               -101276,                -37145,              3266401,              1032233,                129975,              7077543,                 -8941,                 -3673,             11355117,             -6380089,             -9182573,             -7142997,              5359004,                    449,             -2038820,               -261366,             -4083730,,             -1710504,                718933,                              0,,              2465400,                              0,,                    757,                 -5000,,,             -1349029,                 11179,                -85641,                -30508,                    808,                -35074,                343494,                 28336,               -298176,                 54975,,              1797354,             -1936665,,                399487,                -49900,                722959,                              0,                 61571,                              0,,                              0,,                994806,             -3033949,             74533610,             71499661,              7838723,             62006678,              1654260,                  1435,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年01月01日至2014年03月31日,,              1139136,              1139136,,,                196613,                 12809,                608509,                  8630,              1032914,             -2682294,                     -9,                  1300,                              0,,                 19924,                 -7751,,                     43,               -464080,,                -53548,                -68712,,             -1395652,,,             -2381839,            -10370156,               -786030,               -892365,                -99861,                -12777,             -1992997,                 51569,            -16484456,,                -97881,                -28184,              5483519,                467888,                  2088,              6748691,                 -3828,                 -1514,             12570779,             -3913677,             -5309329,             -4170193,              2678579,                      9,               -868186,                -32503,             -2392294,,               -254254,                712400,                              0,,              2465400,                              0,,                    757,,,,             -1130174,                  8034,                -38227,                -29697,,                -35074,                343494,                 28241,             -3518402,             -1447502,,              1078761,             -1172020,,                300000,,              1517000,             -1106973,                 21631,                              0,,,                              0,                638399,             -3201397,             74533610,             71332213,              8527439,             57628811,              5175963,,,,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2013年度,,              3738538,              3738538,,,                704809,                 26469,              1864173,               -266804,              3821363,             -9950721,                -44745,                              0,,                 80660,                175476,                 -2584,,                  4640,               -701778,                              0,               -194186,                              0,,,,,             -1999449,             -5079143,             -1979034,                253175,                 83728,               -124823,            -40633827,                -90137,            -49569510,,                 94724,               -436659,              3189960,             -4671278,               -178738,             44199475,                -28768,,             42159156,             -7410354,            -12120452,             -8381914,              9945136,                 73331,             -3655365,               -480142,             -2498954,,             -3545627,              2842748,,                              0,              5802240,                550000,                -68880,                  1090,                              0,                105437,,             -3504127,                 57848,                152731,                -65424,                102281,                -77029,                              0,              1060241,                              0,              3457769,,                375837,                198400,,                104136,             -2561664,              3104018,               -897738,                159814,,                              0,,               -172167,              5810636,              6769451,             67764159,             74533610,              7686056,             62296753,              4550801,,,,,,,                              0,,,                              0,                -43929,               -182941,             -4710098,                 -9560,                    311,                 43929,              5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2013年01月01日至2013年12月31日,,              3738538,              3738538,,,                704809,                 26469,              1864173,               -266804,              3821363,             -9950721,                -44745,,,,               -175476,                 -2584,                              0,                  4640,               -701778,,               -194186,,,,,,             -1999449,             -5079143,             -1628082,                253175,                 83728,               -124823,            -40633827,                -90137,            -49218558,,                 94724,               -436659,              3189960,             -4671278,               -178738,             44199475,                -28768,                 -9603,             42159156,             -7059402,            -12120452,             -8381914,              9945136,                 73331,             -3655365,               -480142,             -2498954,,             -3545627,              2842748,,                              0,              5802240,                550000,                -68880,                  1090,,                105437,                              0,             -3504127,                 57848,                152731,                -65424,                102281,                -77029,,              1060241,,              3457769,,                375837,                              0,,                104136,             -2561664,              3104018,               -897738,                159814,,                              0,,               -172167,              5810636,              6769451,             67764159,             74533610,              7686056,             62296753,              4550801,,,,,                              0,,,,,,                -43929,               -182941,             -5061050,                     43,                    311,                 43929,              5500000,                198400,,,                              0,                 80660,                              0,,,,,,,,,,,,,,,,,,,,,,
1718,2013年01月01日至2013年09月30日,,              3372069,              3372069,,,                528440,                 18268,              1018743,               -135643,              2822583,             -7326612,                -43727,                              0,,                 17014,                174474,                 -4086,                              0,                  4639,               -691898,                -37007,                -76403,                              0,,,,,             -1464571,             -5194412,             -1201303,                 46772,                339498,                -69046,            -33145919,                -56663,            -40745644,,                 -9997,               -309543,              7762147,             -5223768,                106286,             29937928,                 -8761,                 -7209,             32247083,             -8498561,            -12273705,             -8901636,              7321027,                 42640,             -2664778,               -640242,             -4842989,,             -3545627,              2841805,,,              5802240,                550000,                -68880,                  1090,                              0,,                              0,             -3307060,                 46808,                131251,                -49502,                 19993,                -77029,                              0,                -98106,              1118756,              3409668,,                382670,                182300,,                 34900,             -2561664,              1582858,,                108439,,,,,              2229503,                796182,             67764159,             68560341,              7572758,             55960108,              5027475,,,,,,,,,,,                -43929,,             -3775144,,,                 43929,              2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
