證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 預付款項（增加）減少,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 存出保證金減少,　　 其他非流動資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1736,2015年01月01日至2015年09月30日,,                220195,                220195,,,                220372,                 31392,                 31153,                -18742,                 61797,               -298935,                  1997,                 29034,,,                    978,                    946,                -35108,                -73178,               -986923,                -30185,                 -6445,                203480,                -15752,               -942187,,                -29248,                -28528,               -350380,                  6676,                    900,                152517,                118228,               -129835,             -1072022,             -1042988,               -822793,                298935,                -56816,               -302477,               -883151,,               -288767,                  8158,               -133163,                              0,               -413772,,              1947797,               -974731,                 50000,                              0,               -159385,                              0,                863681,                 26558,               -406684,              5096716,              4690032,              4690032,,,,,,,,,
1736,2015年01月01日至2015年06月30日,,                -49487,                -49487,,,                146565,                 19592,                    302,                -14797,                 41150,               -187043,                     95,                  5864,,,                    978,                  6810,              1362525,                  5427,               -499826,                -43179,                 15651,                203480,                 33173,              1085039,,                -29248,                -44016,               -766226,               -311929,                  1287,                119842,                 33057,               -997233,                 87806,                 93670,                 44183,                187043,                -37891,               -196772,                 -3437,,                -96797,                  6491,                -31896,                              0,               -122202,,                997938,               -984936,                 50000,                109952,                 -3921,,                169033,               -515425,               -472031,              5096716,              4624685,              4624685,,,,,,,,,
1736,2015年01月01日至2015年03月31日,,                -51849,                -51849,,,                 74490,                  9310,                  6670,                 -6935,                 21302,               -102674,                   -333,                  1830,,,                -28270,                  1205,              1265567,                -59216,                -39076,                -23826,                 -3233,                203480,                 58404,              1375035,,,                -56934,               -798170,               -360221,                   -437,                 23805,                 24545,             -1167412,                207623,                209453,                157604,                102674,                -19476,                -64293,                176509,,                -56173,                  1794,                 -4321,,                -58700,,                379077,               -967267,,                154516,,,               -433674,               -505152,               -821017,              5096716,              4275699,              4275699,,,,,,,,,
1736,2014年度,,              3277242,              3277242,,,                331271,                 41903,                 22816,                 23314,                 89488,               -346353,                 -7706,,,,                -10567,                  8746,             -1485425,               -230279,               -525251,                -86156,                -59696,                -51239,               -135307,             -2575174,,,                 56852,                376830,                311877,                    983,                 -9862,                228752,                964658,             -1610516,             -1455783,              1821459,                346353,                -90191,               -226634,              1850987,,               -188552,                159156,                 -7868,,                -37264,,              2038618,                -39042,,                 54882,               -375033,               -402896,              1276529,                 69854,              3160106,              1936610,              5096716,              5096716,,                154733,                   -774,,,,,,
1736,2014年01月01日至2014年09月30日,,                844510,                844510,,,                270159,                 33279,                  3241,                  1672,                 62676,               -247624,                -11408,                111995,,,                  9040,                 10589,               -190061,                 -2538,               -364048,                -48378,                -30838,                152241,                -21101,               -485094,,                -19607,                 -1673,                -83330,               -186732,                  1991,              1693270,                 38762,              1442681,                957587,              1069582,              1914092,                247624,               -115106,               -223750,              1822860,,               -109032,                162178,                 -4462,                    119,                 48803,,              2331113,                -32279,                              0,                 19076,               -156204,               -402896,              1758810,                -31966,              3598507,              1936610,              5535117,              5535117,,,,,,,,,
1736,2014年01月01日至2014年06月30日,,                534332,                534332,,,                172126,                 23460,                  3875,                 16831,                 40065,               -163479,                  1388,                 94266,,,                  9040,                  2144,                375444,                 18587,                -15300,                -77982,                  7469,                152241,                -13937,                457706,,                -19607,                -30261,               -602387,               -278838,                  2578,              1000353,                 15167,                 87005,                544711,                638977,              1173309,                163479,                -44498,               -147750,              1144540,,                -69919,                 14284,                 -2927,                    119,                -58443,,                406436,                -20438,                              0,                  1198,                -75231,,                311965,                -19420,              1378642,              1936610,              3315252,              3315252,,,,,,,,,
1736,2014年01月01日至2014年03月31日,,                347936,                347936,,,                 84319,                 11553,                  3828,                 14182,                 19701,                -60297,                    628,                 73914,,,                -10567,                  6179,                325898,                 18175,                134740,                 -9587,                 22322,             -1485961,                -19205,             -1018006,,,                -27750,               -632018,               -359323,                  2668,                -26522,              1177945,                135000,               -883006,               -809092,               -461156,                 60297,                -19834,                -34201,               -454894,,                -34111,                    752,                 -1674,,                -35033,,                370180,                -12050,,                 30894,,,                389024,                 56648,                -44255,              1936610,              1892355,              1892355,,,,,,,,,
1736,2013年度,,                922251,                922251,,,                350189,                 52162,                  1772,                -17607,                 85609,               -194404,                    427,,,,                -26377,                 17483,               -130097,                 22405,                -16365,                 -3408,                  1554,               -152241,                  4825,               -282221,,,                 11320,                -91063,                108557,                    261,                -37937,                -16983,                -26632,               -308853,                -30705,                891546,                194404,                -79800,               -233402,                772748,,               -176151,                 20943,                -11094,,               -166302,,                160367,               -296040,,                 89896,               -163578,               -300572,               -509927,                 99144,                195663,              1740947,              1936610,              1936610,,                278148,                   -787,,,,,,
1736,2013年01月01日至2013年12月31日,,                922251,                922251,,,                350189,                 52162,                 37215,                -17607,                 85609,               -194404,                    427,,,,                -26377,                 17483,               -166946,                 22405,                -16365,                 -3408,                  1554,               -152241,                  4825,               -319070,,,                 11320,                -91063,                108557,                    261,                -37937,                -16983,                -26632,               -345702,                -32111,                890140,                194404,                -79800,               -233402,                771342,,               -176151,                 20943,                -11094,,               -166302,,                160367,               -296040,,                 89896,               -163578,               -300572,               -509927,                100550,                195663,              1740947,              1936610,              1936610,,                313591,                   -787,,,,,,                              0
1736,2013年01月01日至2013年09月30日,,                182714,                182714,,,                261895,                 41989,                 -9861,                -26501,                 62159,               -127614,                     17,,,,                -26377,                 12962,                880027,                 14892,               -196020,                -49045,                -11391,                              0,                -11328,                613720,,,                 -3018,               -350104,                -46039,                              0,               -169032,                 62413,               -505780,                107940,                310024,                492738,                127614,                -77151,               -179949,                363252,,               -171935,                  9857,                -13378,                              0,               -175456,,                 89854,               -139178,,                 80748,                              0,                              0,                 31424,                 79107,                298327,              1740947,              2039274,              2039274,,                202084,,,,,,,
