證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 舉借長期借款,　　 其他應收款－關係人減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 預付投資款增加,　　 其他非流動負債減少,　　 其他非流動負債增加,　　 應付短期票券減少,　　　　 處分採用權益法之投資損失（利益）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金減少,　　 其他金融資產減少,　　　　　 持有供交易之金融資產（增加）減少
1810,2015年01月01日至2015年09月30日,,                158839,                158839,,,                157685,                  4333,                  5625,                   -612,                 57701,                -10648,                -77118,                  4131,                 -1041,                 -2291,                -11918,                 -5619,                120228,,,                  5181,                126224,                -24370,               -139813,                -16955,                    424,                -49309,,                   -746,                 99839,                -71798,                    312,                -27368,                -66466,                -66227,               -115536,                  4692,                163531,                 10648,                 77118,                -59200,                -37445,                154652,,               -135678,                108692,                -26495,                 31792,                   -576,                    160,                -21274,               -149856,                  2464,                  3206,                -20000,                 -5688,                -13485,                 46382,                 12654,                  7348,                              0,               -160354,,                 66885,                -60000,                -86527,                   -266,               -110956,               -190864,                 25607,               -170959,                752851,                581892,                581892,,,,,,,,,,,,,,,,,,
1810,2015年01月01日至2015年06月30日,,                101596,                101596,,,                103905,                  2835,                  3221,                   -524,                 38454,                 -2210,                -20685,                  4505,                   -309,                              0,                -12089,                 -3595,                113508,,,                 32222,                -32928,                -11475,                 20808,                  2483,                              0,                 11110,,                -11035,                 23772,                 62459,                 14698,               -131853,                -34871,                -76830,                -65720,                 47788,                149384,                  2210,                 20685,                -38428,                -23673,                110178,,                -83000,                 81014,                -19380,                 30280,                   -306,                              0,,                -95416,                    799,                  9541,                    351,                 -1287,,                -13372,                   -271,                -19324,,               -110371,,                 19287,                 10000,               -174913,                   -443,,               -146069,                 -9129,               -155391,                752851,                597460,                597460,                              0,,,,,,,,,,,,,,,,,
1810,2015年01月01日至2015年03月31日,,                 21679,                 21679,,,                 50627,                  1382,                  3277,                   -550,                 19577,                 -1370,                   -294,                  3927,                   -172,                              0,                -10786,                  3804,                 69422,,,                 53196,                101823,                 -8306,                 23626,                -21202,                              0,                149137,,                -43884,                -47219,                -59163,                              0,                -45646,                -12102,               -208014,                -58877,                 10545,                 32224,                  1370,                    294,                -19389,                 -3527,                 10972,,                -54000,                 40006,                -12032,                 25742,                   -159,                              0,,                -47361,                    894,                  5187,,                   -594,,                              0,                 -2641,                  4842,,                -66394,,                 68819,                 10000,                -59370,                      4,,                 19453,                 -5455,                -41424,                754542,                713118,                713118,                              0,                -26278,                              0,,,,,,,,,,,,,,,
1810,2014年度,,                245541,                245541,,,                204928,                  4787,                 15843,                -19382,                 79537,                 -3844,                -61892,                  2190,                -40894,                 -2785,                 -7057,                -16764,,,,                -13131,                150053,                  6547,                -36460,                 24036,                 -4355,                126690,,                 -9982,               -104897,                -13590,                   -263,                 59448,,               -102155,                 24535,                205358,                450899,                  3844,                 61892,                -79643,                -48813,                326287,,                -56598,                              0,                -85877,                 94225,                    -68,                  4769,                  4067,               -333396,                108044,                 -1476,                  4081,                   -790,,                 25612,                 -2735,                 20790,,               -162787,,                203460,                  5000,               -281440,,               -122052,               -173285,                 17146,                  7361,                745490,                752851,                752851,                 21747,,,,                 26156,                180823,                -32871,                              0,                 -5327,                              0,,,,,,,,
1810,2014年01月01日至2014年09月30日,,                235411,                235411,,,                151454,                  5580,                 12322,                   -110,                 59711,                 -2696,                -46655,                  2135,                -40129,                 -2785,                -22365,                -11887,                104575,,,                108569,                 43277,                -10235,                    605,                 -7308,                     31,                134939,,                -33859,                -41163,                -33519,                   -923,                 -2039,                -22372,               -133875,                  1064,                105639,                341050,                  2696,                 46655,                -59487,                -49584,                281330,,                -30959,                              0,                -70064,                 91536,                    -68,                  4502,                              0,               -250114,                106743,                 -3375,                  1265,                    -64,                 -5530,                 25612,                 -4725,                  5806,                 -5328,               -134763,,                167253,                -35000,               -143981,                   -350,               -122052,               -134130,                  2954,                 15391,                745490,                760881,                760881,,,,,,,,,,,,,,,,,,
1810,2014年01月01日至2014年06月30日,,                212619,                212619,,,                100735,                 18157,                  5508,                   -274,                 40269,                 -1801,                -32248,                  2079,                -40009,                 -2785,                -21026,                 -2791,                 65814,,,                 35344,                 27052,                -26667,                100304,                -35840,                     31,                100224,,                -23640,                -87064,                -47599,                   -456,                  3521,                -15202,               -170440,                -70216,                 -4402,                208217,                  1801,                 32248,                -40045,                -29983,                172238,,                -24980,                              0,                -53526,                 76836,                    -68,                  4502,,               -102916,                105049,                 -1770,                   -329,                 -3122,,                 25612,                   -760,                -60024,,                -35496,,                 24105,                 30000,               -124466,                   -350,,                -49087,                   -727,                 86928,                745490,                832418,                832418,                 21624,,,,,,,,,,,,,,,,,
1810,2014年01月01日至2014年03月31日,,                 15138,                 15138,,,                 51002,                  9536,                  2745,                   -146,                 20334,                   -767,                              0,                     86,                   -747,                 -2785,                -20912,                 -6155,                 52191,,,                 22189,                130775,                -18486,                 60548,                -10494,                    -12,                184520,,                -45592,                -91909,                -82059,                 -9522,                -19799,                 -8481,               -257362,                -72842,                -20651,                 -5513,                    767,                              0,                -19911,                 -3399,                -28056,,                -12990,                              0,                 -8690,                 37405,                              0,                    273,,                -53369,                    995,                 -3541,,                    -12,,                 25612,                  3996,                -12695,,                -22271,,                 63257,                              0,                -33026,                   -351,,                 51377,                  1062,                  2112,                745490,                747602,                747602,                 21497,                    745,                              0,,,,,,,,,,,,,,,
1810,2013年度,,                219216,                219216,,,                234829,                 43754,                  6973,                   -368,                 86731,                 -3282,                -38609,                  2159,                -25521,                -29649,                    276,                  1350,,,,                -18639,                 89191,                 21315,                 79404,                 12136,                  2914,                186321,,                 36115,                -26590,                 69682,                 -2979,                -27020,,                 20046,                206367,                485010,                704226,                  3282,                 38609,                -86866,                -34724,                585918,,               -220000,                189000,                -31729,                  1859,                              0,                              0,                              0,               -410795,                 77639,                -19511,                  3622,                   -665,,                177145,                -23089,                -58725,,               -288007,,                138361,                -15000,                -96720,,                              0,                 51598,                  7474,                356983,                388507,                745490,                745490,                 26787,,,,                              0,                278643,                -29162,                -11367,                              0,                 -1830,,,,,,,,
1810,2013年01月01日至2013年12月31日,,                219216,                219216,,,                234829,                 43754,                  6973,                   -368,                 86731,                 -3282,                -38609,                  2159,                -25521,                -29649,                    276,                  1350,,,,                -18639,                 89191,                 21315,                 79404,                 12136,                  2914,                186321,,                 36115,                -26590,                 69682,                 -2979,                -27020,,                 20046,                206367,                485010,                704226,                  3282,                 38609,                -86866,                -34724,                585918,,               -220000,                189000,                -31729,                  1859,                              0,,                              0,               -410795,                 77639,                -19511,                  3622,                   -665,                              0,                177145,                -23089,                -58725,,               -288007,,                138361,,                -96720,                              0,                              0,                 51598,                  7474,                356983,                388507,                745490,                745490,                 26787,,,,,                278643,                -29162,                -11367,,                 -1830,,                -15000,,,,,,
1810,2013年01月01日至2013年09月30日,,                123981,                123981,,,                151115,                  4375,                  6137,                   -247,                 66025,                 -1030,                -38212,                  2327,                -25865,                -29825,                 -2137,                -12478,,,,                 24051,                 19965,                -39252,                 51094,                  2874,                 -1645,                 57087,,                -13983,                -53139,                -21650,                              0,                -14876,,               -121987,                -64900,                 55285,                179266,                  1030,                 38212,                -66123,                -21327,                131058,,               -146000,                105418,                -14768,                  2179,                              0,                              0,,               -394891,                 83339,                -45668,                              0,                              0,                              0,                177320,                 27207,                  7412,                              0,               -198452,,                 99686,                150000,               -110833,                   -345,                              0,                261081,                  3477,                197164,                388507,                585671,                585671,                122573,,,,,                120185,                -18339,,,,,,,,,,,
