證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 無活絡市場之債務商品投資到期還本,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 長期應收租賃款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他非流動負債減少,　　 處分無活絡市場之債券投資,　　 取得無活絡市場之債券投資,　　　　　 其他金融資產（增加）減少,　　 其他應收款－關係人減少,　　 其他投資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1905,2015年01月01日至2015年09月30日,,                652832,                652832,,,                696089,                    848,                 15151,                 49818,                -21810,                -40379,                   -959,                    209,                   -359,                 13562,                -35254,                    521,                677437,,,                 -8769,                -49764,                -77574,               -106452,               -103405,                -43742,               -389706,,                110397,                 10302,                 42638,                -10103,                 41545,                -33113,                              0,                161666,               -228040,                449397,              1102229,                 21989,                -50498,                -15700,              1058020,,             -6138016,              6109985,                  4646,               -262944,                475068,                              0,                 13950,                              0,                  3097,               -723365,                  2015,                265456,                112626,               -860254,                 66805,               -930931,,               -215508,                388807,                 20000,                -12484,               -120921,                              0,                 59894,                    789,                187772,                376748,                564520,                564520,,,,,,,,,,,,,,,,,,,,
1905,2015年01月01日至2015年06月30日,,                347116,                347116,,,                466292,                    848,                -18386,                 33142,                -12980,,                 14124,                    257,                   -151,                 11602,                  1364,                    477,                496589,,,                -65914,                -61954,               -239076,                -45262,                -73799,                 26506,               -459499,,                -35331,                -23109,                 -5942,                -19647,                 17830,                -20189,                              0,                -86388,               -545887,                -49298,                297818,                 15845,                -35771,                 -1048,                276844,,             -4989666,              3797678,                  4646,               -262944,                206880,                              0,                 13950,                              0,                  3097,               -476256,                              0,                565413,                143587,               -494704,                 15630,             -1472689,,,                588826,                720000,                -12385,,                              0,              1725549,                 -4353,                525351,                376748,                902099,                902099,                429108,,,,,,,,,,,,,,,,,,,
1905,2015年01月01日至2015年03月31日,,                160944,                160944,,,                232816,,                -11111,                 16882,                 -7924,,                 18162,                    257,                     91,,                  4217,                   -186,                247320,,,                -24794,                  1016,               -138135,                -32671,                -50628,                   -211,               -245423,,                 72778,                -22549,                -94687,                -26986,                 47409,                -62766,,                -86801,               -332224,                -84904,                 76040,                  8013,                -20079,                     -8,                 63966,,             -2872686,              1674867,                  4646,,                206880,,,                  3097,,               -193540,                              0,                119197,                135950,               -325402,,             -1246991,,,                   -286,              1220000,                -14204,,,              1291232,                 -1452,                106755,                376748,                483503,                483503,                 85722,                 -5884,,,,,,,,,,,,,,,,,,
1905,2014年度,,                 13202,                 13202,,,                978255,                  8610,                 29070,                 63568,                -39560,                -19271,                -31448,                -45811,                   -310,                -40445,                -21454,                -33001,,,,               -169415,                 18776,                 -9766,               -165964,                 71769,                 86562,               -168038,,                125291,                -89051,                -72515,                -31192,                 94483,                 57526,,                 67137,               -100901,                747302,                760504,                 41327,                -62256,                 -5310,                734265,,             -3344973,              3318466,                              0,,,               -250000,                 11000,                 -3097,,               -642323,                 71218,               -183406,               -282418,,                 28630,             -1038206,,               -544460,,                560000,,,               -329183,                300665,                  6773,                  3497,                373251,                376748,                376748,                              0,,,                848203,                -17405,                -36119,                274816,                              0,                              0,                              0,                              0,                609964,                              0,                  4344,,,,,,
1905,2014年01月01日至2014年09月30日,,               -210118,               -210118,,,                745564,                  2370,                 12187,                 46907,                -32560,                -19271,                -12416,                -45864,                   -153,                -32780,                -13449,                -32637,                617898,,,               -141061,                 66883,                157543,               -368374,                 80695,                 38927,               -165387,,                 15264,                  5421,                -14277,                -15377,                 48078,                 54845,                 -8045,                 85909,                -79478,                538420,                328302,                 25995,                -43735,                 -5495,                305067,,             -1664078,              1657017,                              0,                              0,                158859,               -250000,                              0,                 -2794,                              0,               -434916,                 71194,               -128855,                  4386,                -89703,                 28630,               -650260,,               -231409,                329880,                560000,                  2353,                              0,               -329183,                331641,                  2218,                -11334,                373251,                361917,                361917,,,,,,,,,,,,,,,,,,,,
1905,2014年01月01日至2014年06月30日,,               -155846,               -155846,,,                513337,                  2370,                   -354,                 29378,                -19795,,                 -4269,                -46137,                    -30,                -40207,                  8088,                -33606,                408775,,,               -347890,                -31619,               -109298,                -81173,                 -6056,                163658,               -412378,,                225525,                 35704,               -109996,                -20114,                 37290,                -11577,                 -8045,                148787,               -263591,                145184,                -10662,                 21403,                -25702,                 -5447,                -20408,,               -502114,                408128,                              0,                -23514,                              0,               -250000,                              0,                 -1195,                              0,               -290133,                 71194,                 78396,                  4937,                -57558,                  9254,               -552605,,,                -99978,              1260000,                  2011,,               -329183,                956695,                 14757,                398439,                373251,                771690,                771690,                123845,,,,,,,,,,,,,,,,,,,
1905,2014年01月01日至2014年03月31日,,                -36646,                -36646,,,                262687,,                 10033,                 13158,                -10639,,                 14100,                -46137,                              0,,                 -9985,                -32022,                169601,,,               -165151,                -96540,                -77876,                -54067,                -42536,                 88577,               -347593,,                 25985,                 -6377,               -126262,                -27016,                 24559,                 -9540,,               -118651,               -466244,               -296643,               -333289,                  5504,                 -9610,                 -4805,               -342200,,                -10438,                    248,                              0,,                128986,,,                              0,,               -137457,                 71194,                 -2714,                  7059,                -37322,,                 19556,,,                209961,                              0,                 -1028,,,                380806,                -26603,                 31559,                373251,                404810,                404810,                171873,                -31594,,,,,,,,,,,,,,,,,,
1905,2013年度,,               -681178,               -681178,,,              1017602,                    100,                 25135,                 37129,                -47661,                -18022,                -37848,                    -35,                -12958,                 26696,                 -9130,                -14321,,,,                -84229,               -393068,                198597,               -172069,                 11580,                -85812,               -525001,,                115754,               -106504,                -27514,                -13176,                -17516,                 35799,,                -35395,               -560396,                406291,               -274887,                 57245,                -38206,                   -797,               -256645,,                -42841,                 23764,                542354,,,                 -3674,                 15000,                              0,,               -630532,                     77,             -1122471,                 48156,,                 21237,               -372239,,                              0,,                              0,,,                              0,                365709,                -12630,               -275805,                649056,                373251,                373251,                357778,,,                966687,                -22238,               -525000,              1603184,               -329000,                 22955,                  6600,                 -2048,                 29961,                 -5157,                -16873,,,,,,
1905,2013年01月01日至2013年12月31日,,               -681178,               -681178,,,              1017602,                    100,                 25135,                 37129,                -47661,                -18022,                -37848,                    -35,                -12958,                 26696,                 -9130,                -14321,,,,                -84229,               -393068,                198597,               -172069,                 11580,                -89393,               -525001,,                115754,               -106504,                -27514,                -13176,                -17516,                 35799,,                -35395,               -560396,                406291,               -274887,                 57245,                -38206,                   -797,               -235408,,                -42841,                 23764,                542354,,,                 -3674,                 15000,,,               -630532,                     77,             -1122471,                 48156,,                 21237,               -393476,,,,,,,,                365709,                -12630,               -275805,                649056,                373251,                373251,                357778,,,                966687,                -22238,               -525000,              1603184,               -329000,                 22955,                  6600,                 -2048,                 29961,                 -5157,                -16873,,,                  3581,                              0,                              0,
1905,2013年01月01日至2013年09月30日,,               -485230,               -485230,,,                766171,                    180,                 26426,                 28443,                -34929,                -18022,                -13662,                              0,                 -1182,                 39208,                  4249,                -37521,,,,                -49144,               -104551,                 89258,               -127746,                -44334,               -164305,               -400822,,                148182,                -67527,                 31429,                -31789,                -15325,                 -4466,,                 37662,               -363160,                396201,                -89029,                 46028,                -27759,                              0,                -52738,,                -38011,                 10920,                247325,,,                 -3674,,                              0,,               -438493,                              0,             -1100613,                  8711,,                 18022,               -234764,,                              0,,                              0,                 -6873,,                              0,                884417,                -13688,                583227,                649056,              1232283,              1232283,              1045043,,,                759361,                -22842,               -230000,,               -329000,,                  6600,,                209963,               -363716,,              1631471,,,,,
