證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　　　　 應付帳款增加（減少）,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 預收款項增加－處分資產,　　 採用權益法之被投資公司減資退回股款,　　 取得投資性不動產,　　 應收款項減少,　　 應付短期票券增加
2007,2015年01月01日至2015年09月30日,,               -396322,               -396322,,,                267595,                 -3302,                129904,                   -845,                   -375,                 17020,                  4342,                  1208,                 46889,                 -2828,                459608,,,                 -5657,                 -1400,                -62802,                  7100,                  8042,                -22371,                 48567,                -26147,                -54668,,                -13317,                119969,                 19973,                -16112,                -16877,                  3809,                 97445,                 42777,                502385,                106063,                    839,                    375,               -126982,                    132,                -19573,,                              0,               -632312,                110513,               -521799,,                641837,                              0,                              0,                478000,               -569250,                  1800,                552387,                 11015,                577368,                588383,                588383,,,,,,,,,,,,,,,,,,
2007,2015年01月01日至2015年06月30日,,               -247395,               -247395,,,                179023,                    -92,                 87929,                   -726,                   -375,                 13875,                  2586,                    176,,                 -2828,                279568,,,                -13625,                              0,                -17302,                  5785,                 18590,,                -17386,                 -3461,                142799,,                -21194,                 12925,                  8412,                -10164,                    -83,                  2537,                    612,                143411,                422979,                175584,                    714,                    375,                -85722,                    144,                 91095,,,               -342183,                   -690,               -342873,,                535233,,,                261000,               -379500,,                416733,                164955,                577368,                742323,                742323,                170198,                  8179,,,,,,,,,,,,,,,,
2007,2015年01月01日至2015年03月31日,,               -112728,               -112728,,,                 89297,                     58,                 43528,                   -141,,                  2636,                  1277,                    384,,                 -2828,                134211,,,                  2167,                 -3136,                -79738,                  4501,                  1669,,                -18092,                -15444,                 44076,,                -11455,                 33872,                  2399,                -14851,                -19046,                  1265,                  4882,                 48958,                183169,                 70441,                    128,,                -41350,                     56,                 29275,,,               -148356,,               -148346,,                634714,,               -220000,,               -189750,,                224964,                105893,                577368,                683261,                683261,                152149,                 12698,                     10,,,,,,,,,,,,,,,
2007,2014年度,,               -627009,               -627009,,,                352703,                  1035,                159087,                 -2536,                   -405,                 18485,                  5053,                   -456,                 17228,,,,,                 -4544,                     32,                 53762,                 -8514,                -19531,,               -213037,                 31703,               -269211,,                 33791,,                  6391,                 16957,                 44626,,                106584,               -162627,                386664,               -240345,                  2612,                    405,               -211539,                 -8654,               -457521,,                -19872,               -181845,                -38010,               -519106,,                              0,             -1533012,                -30000,              4961000,             -2242200,,              1155788,                179161,                398207,                577368,                577368,               -109082,                   -131,                              0,,                              0,                   -278,                   -625,                549291,                  4950,               -280000,                              0,                              0,                    621,,,,,
2007,2014年01月01日至2014年09月30日,,               -463072,               -463072,,,                264364,                    603,                111264,                 -1905,                   -405,                 14108,                  3873,                   -117,                              0,                              0,                391785,,,                    117,                     32,                -31265,                 -4911,                -11246,                 -4551,               -135174,                 18848,               -168150,,                 31113,                    378,                 20236,                  8173,                 20252,                  3701,                 83853,                -84297,                307488,               -155584,                  1952,                    405,               -126670,                 -8587,               -288484,,                -12256,               -111625,                239855,                115974,,                              0,             -2064370,                -30000,              4961000,             -2052450,                              0,                814180,                641670,                398207,              1039877,              1039877,,,,,,,,,,,,,,,,,,
2007,2014年01月01日至2014年06月30日,,               -295286,               -295286,,,                176569,                    268,                 83113,                 -1457,                   -405,                  6700,                  2668,                              0,,                              0,                267456,,,                 -3000,                     32,                -64982,                 -6162,                -12181,,               -104621,                 77742,               -155688,,                 10169,                 22190,                 24029,                    915,                 39249,                  2460,                 98881,                -56807,                210649,                -84637,                  1504,                    405,                -81089,                 -3172,               -166989,,,                -68537,                              0,                -68537,,                789329,,,                              0,               -487700,,                301629,                 66103,                398207,                464310,                464310,                -42516,                   -131,,,,,,,,,,,,,,,,
2007,2014年01月01日至2014年03月31日,,               -166097,               -166097,,,                 88027,                    348,                 42886,                   -733,,                  5193,                  1444,                              0,,                              0,                137165,,,                              0,                    -50,                 -1054,                              0,                 -1188,,                -28767,                 -1129,                -93043,,                 13437,                              0,                -18668,                   -527,                 23499,                  1227,                 18837,                -74206,                 62959,               -103138,                    752,,                -41501,                 -3209,               -147096,,,                -31461,,                -31461,,                421236,,                              0,,               -233850,,                187386,                  8829,                398207,                407036,                407036,                -60855,                   -131,                              0,,,,,,,,,,,,,,,
2007,2013年度,,               -849580,               -849580,,,                354135,                   -749,                207166,                 -2210,                   -450,                 11147,                  8952,                   -424,                 15600,,,,,                 10426,                     30,                 32296,                  6928,                 -2387,,                258802,                -70136,                131126,,                -23386,,                  5907,                 -7175,                -17046,,                -46157,                 84969,                681233,               -168347,                  2156,                  1150,               -203943,                   -214,               -369198,,                              0,                -84548,                              0,                -84518,,              1233134,                              0,                              0,                              0,               -781769,,                451365,                 -2351,                400558,                398207,                398207,               -104833,                 -8990,                  6000,,                 11324,                              0,                 -8227,                596264,                  4533,                -26903,                 20433,                    500,                              0,,,,,
2007,2013年01月01日至2013年12月31日,,               -849580,               -849580,,,                354135,                   -749,                207166,                 -2210,                   -450,                 11147,                  8952,                   -424,                 15600,,,,,                 10426,                     30,                 39224,,                 -2387,,                258802,                -70136,                131126,,                -23386,,                  5907,                 -7175,                -17046,,                -46157,                 84969,                681233,               -168347,                  2156,                  1150,               -203943,                   -214,               -369198,,,                -84548,,                -84518,,              1233134,,,,               -781769,,                451365,                 -2351,                400558,                398207,                398207,               -104833,                 -8990,                  6000,,                 11324,,                 -8227,                596264,                  4533,                -26903,                 20433,                    500,,,                              0,                              0,                              0,                              0
2007,2013年01月01日至2013年09月30日,,               -625335,               -625335,,,                265840,                   -563,                154253,                 -1610,                   -450,                  8459,                  6562,                   -300,,,,,,                  2302,                      1,                 31153,,                -90766,,                259005,                -13404,                188291,,                -16014,,                 11326,                 -7865,                 27913,,                  9629,                197920,                634160,                  8825,                  1424,                    450,               -152246,                   -141,               -141688,,                              0,                -84092,                -84443,               -175005,,                920454,                              0,                              0,                              0,               -547919,,                372535,                 55842,                400558,                456400,                456400,,                 -9121,                              0,,                  4049,,,                436240,                  3390,                -26903,                 20433,,,,,,,
