證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得持有至到期日金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分持有至到期日金融資產,　　 其他非流動資產增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　　　 金融資產減損迴轉利益,　　 預付設備款減少,　　 其他預付款項減少,　　　　　 應付建造合約款（增加）減少,　　 取得無形資產,　　 存入保證金增加,　　 取得透過其他綜合損益按公允價值衡量之金融資產
2010,2015年01月01日至2015年09月30日,,                292437,                292437,,,                240644,                 37696,                -10043,                  3668,                 39020,                -34339,                -22210,                -63177,                 -3506,                     -2,                 54064,                241815,,,                101981,                756741,               -403045,                -24040,                492143,                -97763,                  7423,                              0,                  2068,                835508,,                -49780,                146749,               -234688,                -85547,                  3741,                535554,                   -841,                  4290,                319478,              1154986,              1396801,              1689238,                 35469,                 22210,                -42740,               -116422,              1587755,,                      2,                              0,                              0,               -189907,                  4272,                              0,                  8261,               -684131,                              0,                -24052,               -885555,,                              0,               -873624,                 57997,                    -28,               -323828,                 24585,             -1114898,                 21186,               -391512,                890269,                498757,                498757,,,,,,,,,,,,,,,,,,,
2010,2015年01月01日至2015年06月30日,,                216922,                216922,,,                161744,                 25716,                 -8507,                 -7784,                 27129,                -23972,,                -48141,                 -2732,                     -2,                 54064,                177515,,,                226374,,                381175,                 -1761,                415347,                -64248,                  4639,                              0,               -252825,                851432,,                -59809,                162319,                -29181,                -84144,                  3214,                155583,                   -672,                  1569,                -76244,                775188,                952703,              1169625,                 23015,,                -29538,                -69048,              1094054,,,,                              0,               -124048,                  3030,                              0,                  7672,               -255553,                 -2008,,               -386402,,                              0,             -1077288,,                   -574,,                -16617,             -1094479,                -34854,               -421681,                890269,                468588,                468588,                142731,               -225123,                      2,                              0,                -15497,                              0,,,,,,,,,,,,,
2010,2015年01月01日至2015年03月31日,,                109496,                109496,,,                 81701,                 12327,                -30922,                 -4386,                 14577,                 -5296,,                -16242,                 -2683,                     -2,,                 49074,,,                 69794,                 76157,                479337,                    -27,                210194,                -90044,                 10229,                              0,                 65046,                820686,,                -38341,                140960,                -21497,               -106288,                  2196,                128766,                  3582,                  1148,                -30633,                790053,                839127,                948623,                  6688,,                -15385,                 -6207,                933719,,,,,                -18168,                  2705,                              0,                  7256,               -274541,                 -6417,,               -295151,,                              0,               -840717,,                   -694,,                 -7453,               -848864,                -12944,               -223240,                890269,                667029,                667029,,               -141159,                      2,                              0,                 -5988,                              0,,,,,,,,,,,,,
2010,2014年度,,                532505,                532505,,,                328028,                 43533,                  6260,                 -5863,                 68655,                -19413,                -18889,                -73250,                 -8522,                 -3643,                 54276,,,,               -212911,                -27408,               -170874,                 39887,                102895,                 59182,                   -660,               -400125,                784162,                174148,,               -156118,               -236934,                 19988,                 10838,                    789,                 16377,                 -1949,,                150818,                324966,                696138,              1228643,                 15971,                 18889,                -66483,                -93878,              1103142,,,                159375,                  3643,               -199452,                 16621,                 -3876,,,                -28297,                -57129,               -103289,,                 83961,,,                 -7283,               -777186,                 36872,               -726633,                -47445,                225775,                664494,                890269,                890269,,                455291,                    826,,,                -62997,,                              0,                371172,                 42536,                              0,                  5000,,,,,,,
2010,2014年01月01日至2014年09月30日,,                381161,                381161,,,                242935,                 41952,                 12961,                 -2246,                 50701,                -13947,                -18889,                -49462,                 -6693,                 -3644,                 54276,                307944,,,               -257597,               -804532,                840985,                  5431,               -243455,                  8264,                 -7948,               -199008,                    189,               -657671,,               -182281,                -14573,                342433,                -13754,                  3303,                 -4341,                 15636,                -41855,                104568,               -553103,               -245159,                136002,                 12825,                 18889,                -49274,                -88692,                 29750,,                    825,                -25500,                  3643,               -150688,                 12506,                 -5388,                              0,                              0,                -13624,                -27398,               -205624,,                724538,                              0,                136981,                 -1848,               -777143,                  8987,                 91515,                -13039,                -97398,                664494,                567096,                567096,,,,,,,,,,,,,,,,,,,
2010,2014年01月01日至2014年06月30日,,                231764,                231764,,,                161423,                 25153,                 13450,                  1996,                 32210,                -10721,,                -32000,                 -5689,                 -3644,                 54276,                236454,,,                -22738,,               -865213,                 13980,               -380280,                 42223,                 -4239,               -199952,                457373,             -1401636,,                -17983,                 84492,                 30055,                 10708,                  2864,                 14728,                   -877,                  6754,                571270,               -830366,               -593912,               -362148,                  5957,,                -30950,                -55620,               -442761,,,,                  3643,                -96819,                 10589,                 -5559,                              0,                              0,                -27706,,                -96117,,                451946,                              0,,                 -1347,,                  2386,                389988,                -57530,               -206420,                664494,                458074,                458074,               -442790,                440529,                              0,                 34315,                -14580,                -62997,,,,,,,,,,,,,
2010,2014年01月01日至2014年03月31日,,                103556,                103556,,,                 77473,                 13181,                  4459,                  3319,                 15350,                 -5570,,                 -9297,                 -1103,                              0,,                 97812,,,                 17006,                -97549,               -130661,                  9243,               -504234,                 34788,                 -2724,               -266745,                159211,               -781665,,                 69071,                241467,                 25903,                -77254,                  1744,                    538,                  2696,                  3446,                570902,               -210763,               -112951,                 -9395,                  3706,,                -13792,                -29965,                -49446,,,,,                -45446,                  2610,                 -3964,                              0,                              0,                -11039,,                  1154,,                111036,                              0,,                   -983,,                 16414,                 63470,                -27530,                -12352,                664494,                652142,                652142,,                303291,                              0,                 66275,                 -7282,                -62997,,,,,,,,,,,,,
2010,2013年度,,                532476,                532476,,,                293436,                 39796,                  8789,                 -7937,                 51996,                -26030,                -17458,                -84334,                 -4182,                    505,                 49927,,,,                107410,               -217526,               -245308,                -61482,                  4728,                 19676,                -13470,                -77982,                273448,               -210506,,                 58372,                 64814,                 39049,                 21470,                   -606,                 17032,                    944,,                286728,                 76222,                384095,                916571,                 26031,                 17458,                -52060,                -72227,                835773,,,               -108581,                              0,               -605368,                  5829,                 -1072,,,                -15524,                -30168,               -760881,,                 46052,,,                -10394,               -323757,                 16480,               -408614,                 40483,               -293239,                957733,                664494,                664494,,                104673,                      3,,,               -136995,,                  3365,                307873,                -19020,                 -6000,                              0,,,,,,,
2010,2013年01月01日至2013年12月31日,,                532476,                532476,,,                293436,,                  8789,                 -7937,                 51996,                -26030,                -17458,                -34407,                 -4182,                    505,                 39796,,,,                107410,               -217526,               -245308,                -61482,                  4728,                 19676,                -13470,                -77982,                273448,               -210506,,                 58372,                 64814,,                 21470,                   -606,                 17032,                    944,,                286728,                 76222,                384095,                916571,                 26031,                 17458,                -52060,                -72227,                835773,,                      3,               -108581,,               -605368,                  5829,                              0,                 -1072,,                -15524,                -30168,               -760881,,                 46052,                              0,,                -10394,               -323757,                 16480,               -408614,                 40483,               -293239,                957733,                664494,                664494,,                104673,,,,               -136995,,                  3365,                307873,                -19020,                 -6000,                              0,,,,                 39049,                              0,                              0,
2010,2013年01月01日至2013年09月30日,,                349310,                349310,,,                216004,,                    590,                 -4183,                 38554,                -14597,                -17458,                  2096,                 -3829,                     -3,                 34345,,,,                136319,               -278034,                -92973,                    833,                 23364,                -35674,                -48680,                 40613,                221444,                -32788,,                122235,                275230,                 39547,                -40071,                  4318,                 12101,                  1124,,                420955,                388167,                643482,                992792,                 14096,                 17458,                -41385,                -72181,                910780,,                      3,               -535081,                              0,               -393326,                  5439,                 -3549,,,                -16434,                -36361,               -979309,,,               -273773,                      2,                 -9070,               -323757,                 11487,               -595111,                 81080,               -582560,                957733,                375173,                375173,,                 28635,,,,,,                  3796,                255315,                -22164,,,,,,,,,
