證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分待出售非流動資產,　　 短期借款增加,　　 應付短期票券減少,　　　　 非金融資產減損迴轉利益,　　　　 不動產、廠房及設備轉列費用數,　　 償還長期借款,　　 存入保證金增加
2028,2015年01月01日至2015年09月30日,,               -927158,               -927158,,,                223239,                  3535,                 -7895,                 78638,                   -316,                -10208,                  1991,                138364,                427348,,,                 10729,                520690,                 40253,                469111,                 26672,              1067455,,                548319,               -236449,                -79091,                -12551,                -13457,                  1443,                208214,              1275669,              1703017,                775859,                    316,                 10208,                -83805,                      6,                702584,,                    833,               -177368,                    723,                              0,                363058,                187246,,               -927656,                              0,               -927656,                -37826,                 64943,                 27117,                 27117,,,,,,,,,,,,,,,
2028,2015年01月01日至2015年06月30日,,               -428009,               -428009,,,                157014,                  2370,                              0,                 47923,                   -311,,,,                206996,,,                 -1358,                372292,                 37685,                190075,                 24109,                622803,,                 57133,                261542,                -51958,                 -7136,                 -3889,                    921,                256613,                879416,              1086412,                658403,                    311,,                -52977,                    -29,                605708,,,               -135251,                      5,                              0,                              0,               -196164,,               -434235,,               -434235,                -24691,                 64943,                 40252,                 40252,                              0,                -60918,,,,,,,,,,,,,
2028,2015年01月01日至2015年03月31日,,               -205341,               -205341,,,                 81859,                  1197,,                 23994,                    -26,,,,                107024,,,                  7270,                370168,                 21090,                -23151,                -22451,                352926,,                 30271,                 67841,                -41296,                 -6284,                 15307,                    455,                 66294,                419220,                526244,                320903,                     24,,                -23832,                     -1,                297094,,,                -57561,                      8,                              0,,               -107166,,               -211988,,               -211988,                -22060,                 64943,                 42883,                 42883,                              0,                -49613,,,,,,,,,,,,,
2028,2014年度,,               -613063,               -613063,,,                311687,                  4971,,                 90172,                   -785,,,,,,,                 47707,               -155723,                 -4441,                635736,                 59400,                582679,,                -33513,               -145069,                  2502,                              0,               -145755,,               -311149,                271530,                677575,                 64512,                    987,,                -91970,                    -44,                -26515,,,               -309749,                  1809,                    -68,,               -331926,,,                357368,                399511,                 41070,                 23873,                 64943,                 64943,,                -23918,,                              0,                              0,                406045,                 10573,                    113,                              0,                 42143,                              0,,,,
2028,2014年01月01日至2014年09月30日,,               -471306,               -471306,,,                228917,                  3736,                              0,                 65299,                   -553,                              0,                              0,                              0,                297399,,,                 53702,               -203183,                 16649,                459277,                  3228,                329673,,                 -5983,                -52024,                -41937,                  4860,               -150125,                  1658,               -243551,                 86122,                383521,                -87785,                    756,                              0,                -68425,                    -21,               -155475,,                              0,               -232139,                  1582,                    -68,                 58818,               -171807,,                -35985,                357368,                321383,                 -5899,                 23873,                 17974,                 17974,,,,,,,,,,,,,,,
2028,2014年01月01日至2014年06月30日,,               -310368,               -310368,,,                150383,                  2490,                 -3616,                 42288,                   -479,,,,                191066,,,                 53714,                143732,                 -1368,                276361,                 39543,                511982,,                 17294,                311386,                 -7993,                  4763,               -123019,                  1089,                203520,                715502,                906568,                596200,                    223,,                -45857,                     37,                550603,,,               -132624,                              0,                    -68,                 19315,               -111872,,               -403470,,               -403470,                 35261,                 23873,                 59134,                 59134,                  1505,                              0,,,,,,,,,,,,,
2028,2014年01月01日至2014年03月31日,,               -111976,               -111976,,,                 75756,                  1244,,                 21545,                   -154,,,,                 98391,,,                 42530,                167845,                  4655,                231093,                -13741,                432382,,                -37919,                 38396,                -41597,                  2300,                 80549,                    541,                 42270,                474652,                573043,                461067,                     24,,                -24454,                     51,                436688,,,                -51634,                              0,                    -68,,                -56338,,               -368665,,               -368665,                 11685,                 23873,                 35558,                 35558,                 -2104,                 -2532,,,,,,,,,,,,,
2028,2013年度,,               -354465,               -354465,,,                266446,                  4818,,                 80805,                   -592,,,,,,,                 -1972,                206951,                  3363,               -782481,                -55832,               -629971,,                -91395,                 87999,                 70943,                  2254,               -323747,,               -252481,               -882452,               -516777,               -871242,                    390,,                -76599,                    -35,               -947486,,,               -469959,                  1906,                 -1434,,                -71610,,,                              0,                958670,                -60426,                 84299,                 23873,                 23873,,               -173008,,                 23099,                 -8901,                365675,                              0,                  1465,                570885,              1073670,               -115000,,,,
2028,2013年01月01日至2013年12月31日,,               -354465,               -354465,,,                266446,                  4818,,                 80805,                   -592,,,,,,,                 -1972,                206951,                  3363,               -782481,                -55832,               -629971,,                -91395,                 87999,                 70943,                  2254,               -323747,,               -252481,               -882452,               -516777,               -871242,                    390,,                -76599,                    -35,               -947486,,,               -469959,,                 -1434,,                -71610,,                              0,,                958670,                -60426,                 84299,                 23873,                 23873,                  1906,               -173008,,                 23099,,                365675,,                  1465,                570885,              1073670,               -115000,                 -8901,                              0,                              0,                              0
2028,2013年01月01日至2013年09月30日,,               -315730,               -315730,,,                191134,                  3584,,                 59292,                   -207,,,,,,,                  7288,                174382,                  9811,               -791987,                -67614,               -668120,,                -82250,                 11220,                 49388,                  1921,               -115084,,               -133708,               -801828,               -556926,               -872656,                    207,,                -56789,                    -19,               -929257,,,               -367097,,                   -934,,                 48110,,                              0,                              0,                847650,                -33497,                 84299,                 50802,                 50802,                  1894,               -156638,,,,                244902,,                  1097,                570885,                962650,               -115000,                 -8901,,,
