證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 短期借款減少,　　　　　 避險之衍生金融負債增加（減少）,　　 其他非流動資產減少,　　 存入保證金減少,　　　　 非金融資產減損迴轉利益
2049,2015年01月01日至2015年09月30日,,              1772719,              1772719,,,                998499,                 13612,                  5124,                 25185,                128776,                -14096,                -17685,                   -968,                 14008,                108170,               -254399,                    112,              1006338,,,                -13563,               -198049,                 95052,             -1198732,               -154660,             -1469952,,                 -5653,                438708,                -35652,                -11114,                    -57,                386232,             -1083720,                -77382,              1695337,                 17362,               -137637,               -676870,                898192,,               -240853,             -1208273,                  1614,                -20705,                 52723,                 -2295,               -945772,                              0,                  3248,             -2360313,,                827633,              1870270,             -1310293,                -15191,                  1468,               -836593,                239502,                776796,                -54908,               -740233,              2460006,              1719773,              1719773,,,,,,,,,,,,,,
2049,2015年01月01日至2015年06月30日,,              1126731,              1126731,,,                654709,                  8097,                  4646,                  3412,                 86013,                 -8733,                 -7991,                   -334,                  9508,                 37775,                -27348,                    112,                759866,,,                -13563,                -77167,               -274548,               -784965,               -115494,             -1265737,,                 -5955,                464015,               -124498,                -34911,                     38,                298689,               -967048,               -207182,                919549,                 14753,                -83820,               -493569,                356913,,               -240853,               -627314,                    715,                 -6924,                 45113,                 17766,               -547615,,                  3224,             -1355888,,                401071,              1225740,             -1028475,                -10871,                  1277,,                239502,                828244,                -92542,               -263273,              2460006,              2196733,              2196733,,,,,,,,,,,,,,
2049,2015年01月01日至2015年03月31日,,                555403,                555403,,,                319845,                  3967,                  3698,                 -6322,                 43889,                 -6111,                 -3675,                   -183,,                 21228,                -16335,                    112,                360113,,,                -13563,                 29414,               -144546,               -454549,               -143427,               -726671,,                  8022,                233932,               -208673,                 -9188,                     42,                 24135,               -702536,               -342423,                212980,                  4624,                -41650,               -147864,                 28090,,,               -286743,                    196,                 -3253,                 48278,                 -3653,               -225076,,,               -727158,,                607847,                 79000,               -301459,                 -5414,,,                              0,                379974,                -98564,               -417658,              2460006,              2042348,              2042348,               -256907,                              0,,,,,,,,,,,,
2049,2014年度,,              2910942,              2910942,,,              1091917,                 14587,                 -1272,                 13563,                172112,                -14401,                -10055,                    820,                  9200,                 16741,               -164532,                    111,,,,                 -2792,                 -1396,               -698485,                -86133,                 18292,               -770514,,                -10458,                333689,                300888,                 19434,,                643809,               -126705,              1002086,              3913028,                  6516,               -173214,               -527065,              3219265,,,               -733419,                  1731,                185481,               -346922,                -60385,               -589636,                -97102,,             -1640252,,,              2226380,             -1429649,                -21279,,               -685316,                321032,               -292651,                -12029,              1274333,              1185673,              2460006,              2460006,,,,                              0,              1128791,                    256,                              0,                              0,                              0,               -703819,,,,
2049,2014年01月01日至2014年09月30日,,              2047582,              2047582,,,                815810,                 11167,                 -1741,                  6956,                129496,                 -8521,                 -8466,                  1490,                              0,                 34252,                -32038,                    111,                948516,,,                 -2792,                -24201,               -375031,               -162108,                  3886,               -560246,,                 -9886,                 41324,                123912,                 23233,                     54,                178637,               -381609,                566907,              2614489,                  4014,               -139822,               -511736,              1966945,,                              0,               -481976,                  1523,                185714,               -362640,                -42061,               -462390,                -18019,                              0,             -1179849,,               -221235,              1790570,               -803341,                -15904,                              0,               -685316,                168127,                232901,                -36268,                983729,              1185673,              2169402,              2169402,,,,,,,,,,,,,,
2049,2014年01月01日至2014年06月30日,,              1144632,              1144632,,,                543219,                  7364,                  8815,                    -51,                 85753,                 -4666,                 -4298,                  1507,                              0,                    460,                 13132,                    111,                651346,,,                 -2792,                 48863,               -215165,               -459764,                113249,               -515609,,                -13009,                 67702,                 -4746,                 40283,                     13,                 90243,               -425366,                225980,              1370612,                  2929,                -86443,               -313520,                973578,,                              0,               -190105,                  1523,                 -3328,               -314429,                -24249,               -329788,,                              0,               -860376,,                409947,              1085740,               -702052,                -10556,                              0,,                168127,                951206,                 -3169,              1061239,              1185673,              2246912,              2246912,,,,,,,,,,,,,,
2049,2014年01月01日至2014年03月31日,,                640663,                640663,,,                269903,                  3338,                -16922,                    928,                 41502,                 -1266,                 -3786,                    554,,                  3742,                -79624,                    111,                218480,,,                 -2792,                 26406,               -268291,               -310588,                 41758,               -513507,,                -14035,                 27487,                -41842,                 -1477,                     21,                -29846,               -543353,               -324873,                315790,                  1181,                -41882,                -55186,                219903,,,               -171031,                    656,                -76389,                              0,                -27034,                -72448,,,               -354656,,                628508,                 83000,               -145130,                 -5257,,,                168127,                729248,                  2070,                596565,              1185673,              1782238,              1782238,                              0,                 -8410,,,,,,,,,,,,
2049,2013年度,,              2504310,              2504310,,,              1056257,                 16626,                -25816,                  2792,                149030,                 -2781,                -11069,                  2456,                              0,                 41857,                -28789,                              0,,,,                 -1611,                -25020,               -309225,               -173460,                -85756,               -595072,,                 17434,                220423,                 91187,                 48376,,                377484,               -217588,                973205,              3477515,                  2781,               -149458,               -712570,              2618268,,,             -2194289,                  2698,               -206260,                              0,                -44402,               -486386,                              0,,             -2913813,,,                929280,             -1065902,                -20172,,               -665355,                190720,                159817,                  4312,               -131416,              1317089,              1185673,              1185673,,,,                 -9770,              1190793,                     64,                 39195,                 -3369,                -21000,                791246,,,,
2049,2013年01月01日至2013年12月31日,,              2504310,              2504310,,,              1056257,                 16626,                -25816,                  7674,                149030,,                -11069,                  2456,                              0,                 41857,                -28789,,,,,                 -6493,                -25020,               -309225,               -173460,               -192340,               -706538,,                 17434,                220423,                 21239,                 48376,,                307536,               -399002,                799454,              3303764,,               -149458,               -712570,              2441736,,                              0,             -2124341,                  2698,               -206260,,                              0,               -486386,,,             -2737281,,                791246,                929280,             -1065902,                -20172,,               -665355,                190720,                159817,                  4312,               -131416,              1317089,              1185673,              1185673,,,,                 -9770,              1198456,                     64,                 39195,                 -3369,                -21000,,,                 62182,                              0,
2049,2013年01月01日至2013年09月30日,,              1585733,              1585733,,,                787152,                 12443,                 48585,                    859,                113277,,                 -7646,                  2583,,                 61938,                  8885,                              0,,,,                 -1610,                 21397,                231305,               -267957,                -60920,                -77785,,,               -267237,                -97050,                 42667,,               -313083,               -390868,                627439,              2213172,,               -113848,               -654472,              1444852,,,             -1391519,                    800,                 -8925,                 14789,               -131925,               -349479,                              0,,             -1835533,,,                200000,               -569115,                -14952,,               -665355,                190721,                247538,                   -514,               -143657,              1317089,              1173432,              1173432,,,,                 -9769,              1018307,                    117,                 39195,                 -3369,                 -5100,              1106239,                  8420,,,
