證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 持有至到期日金融資產到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 預付設備款減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 預付設備款增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　 存入保證金增加,　　　　　 其他營業資產（增加）減少,　　　　　 預收款項增加（減少）,　　　　 非金融資產減損迴轉利益,　　 庫藏股票買回成本,　　 取得無活絡市場之債券投資,　　 其他籌資活動
2101,2015年01月01日至2015年09月30日,,                868719,                868719,,,                771030,                  5902,                  6945,                  5146,                 84650,                -33359,                 -6668,                 86141,                -91950,                -39213,                 -6613,                              0,                782011,,,                 18518,                 15889,                    -41,                 12337,                -15945,                    749,                 91150,                 19328,                  1871,                143856,,                -12977,                 26128,                 48783,                              0,                 -6570,                -23604,                 31760,                175616,                957627,              1826346,                 25511,                -83180,               -211293,              1557384,,                              0,                 10000,               -410508,                165214,                 55037,               -130000,                    -63,               -321083,                -81608,               -161898,                  6668,                 49877,               -818364,,                211431,                 69945,             -1343200,              1200000,               -300000,                   -744,                              0,               -162568,                 26112,                602564,              2740813,              3343377,              3343377,,,,,,,,,,,,,,,,
2101,2015年01月01日至2015年06月30日,,                540597,                540597,,,                521377,                  3934,                  6945,                -10166,                 55076,                -20692,,                 73115,                -91566,                -39213,                 -6613,                              0,                492197,,,                 18486,                 14817,                    671,               -323042,                 -6641,                 15093,                149295,                 13492,                  2492,               -115337,,                -13270,                 35456,                -27889,,                 -2152,                -15897,                -23752,               -139089,                353108,                893705,                 20314,                -54528,               -133895,                725596,,                              0,                 10000,               -266974,                139589,                -25837,,                    -63,               -321083,,,,                 49642,               -596294,,                 71332,                 29968,             -1343200,              1200000,                              0,                   -666,,                -42566,                -70947,                 15789,              2740813,              2756602,              2756602,               -104239,                -77329,,,,,,,,,,,,,,
2101,2015年01月01日至2015年03月31日,,                153093,                153093,,,                269395,                  2010,                              0,                -11067,                 26123,                 -9768,,                 67911,                -88958,                -39213,,                              0,                216433,,,                 18512,                  4655,                    519,                -15293,                 -6722,                 25764,                237351,                  9221,                 -2281,                271726,,                 -7591,                -30564,                -82740,                              0,                 -8294,                 -7937,               -137126,                134600,                351033,                504126,                  7352,                -26252,                 -4641,                480585,,                              0,,               -113656,                  3546,                -83691,,                    -63,,,,,,               -256529,,,                    -53,             -1343200,              1200000,                              0,                   -605,,               -270049,                -34232,                -80225,              2740813,              2660588,              2660588,                -14289,                -48376,               -126191,,,,,,,,,,,,,
2101,2014年度,,                549808,                549808,,,              1119525,                  7989,                 -1816,                -21306,                125173,                -33409,                 -5764,                 47885,                  2578,,,                    896,,,,,                 67299,                   -205,                195585,                -10605,                -13640,                117265,                -16991,                 -4340,                334443,,                 -7069,                -35220,                 86679,                 -3000,                 21599,,                 30122,                364565,              1606316,              2156124,                 35318,               -101831,               -281420,              1808191,,,,               -488902,                 55591,,,                              0,,                 54585,,                  5764,,               -455056,,,                              0,,                              0,               -100000,,               -879874,               -779434,                136668,                710369,              2030444,              2740813,              2740813,,                -66649,                223061,,              1241751,                     75,                -32867,                 41341,                -56786,                -22621,,,,,,
2101,2014年01月01日至2014年09月30日,,                517862,                517862,,,                837617,                  5975,                 -1816,                 -4926,                 97282,                -24707,                 -5764,                 52010,                   -190,                              0,                              0,                    672,                956153,,,                     75,                118451,                 -1485,                 51200,                -12236,                  4672,                232648,                -77637,                 -6902,                308786,,                 -7685,                  4078,                 43384,                 -4224,                  6751,                -24836,                 17468,                326254,              1282407,              1800269,                 28917,                -81371,               -261029,              1486786,,                 17518,                              0,               -333525,                 11050,                -51908,                              0,                              0,                              0,                 24667,                -26581,                  5764,                              0,               -353015,,                235613,                     46,                              0,                              0,               -100000,                   -786,               -879874,               -745001,                 15598,                404368,              2030444,              2434812,              2434812,,,,,,,,,,,,,,,,
2101,2014年01月01日至2014年06月30日,,                490884,                490884,,,                561865,                  3992,                 -1816,                 -9328,                 64951,                -19158,,                 44773,                   -190,                              0,                              0,                    448,                645537,,,                     75,                111075,                   -598,               -618843,                -10004,                  5050,                578175,                -53287,                 -2956,                  8687,,                  8469,                 -9409,                 68114,,                -14159,                -16892,                 36123,                 44810,                690347,              1181231,                 22159,                -51722,               -187660,                964008,,                 17953,                              0,               -196842,                 11049,                   -616,,                              0,                              0,,,,                              0,               -211743,,                -30153,                     20,                              0,                              0,               -100000,                   -545,,               -130678,                -35125,                586462,              2030444,              2616906,              2616906,                  4864,                -48151,,,,,,,,,,,,,,
2101,2014年01月01日至2014年03月31日,,                178538,                178538,,,                285053,                  2013,                              0,                -20349,                 31451,                -10119,,                   -172,                     62,                              0,,                    224,                288163,,,                              0,                  6390,                   -412,               -298185,                 -5218,                -10469,                106815,                  3569,                 -2058,               -199568,,                -11007,                -54797,                -23577,                              0,                 -9741,                 -8046,               -107168,               -306736,                -18573,                159965,                 12340,                -23147,                -32909,                116249,,                 17479,,                -99107,                  9600,                  1261,,                              0,,,,,,               -110412,,,                 29859,                              0,                              0,               -100000,                   -882,,                692581,                 58956,                757374,              2030444,              2787818,              2787818,                -17170,                -22475,                763604,,,,,,,,,,,,,
2101,2013年度,,                609588,                609588,,,              1148357,                  7697,                -33094,                -29360,                123769,                -16118,                 -4302,                -27642,                  3769,,,                    942,,,,,                 26897,                  1546,               -118260,                   -951,                -12896,              1742219,                 -3938,                 -1344,              1633273,,                -40404,                 75554,                -81668,                  1035,                 27734,,                -48340,              1584933,              2758951,              3368539,                  7987,               -100188,                -16469,              3259869,,,,               -600349,                 15107,,,                   -186,,                 16443,,                  4302,,               -568833,,,                -79852,,                100000,               -100000,,                              0,             -1292737,                106761,              1505060,                525384,              2030444,              2030444,,                              0,             -1235640,,              1174018,                              0,                -30591,                 -5341,                  1191,                 22755,,,,,,
2101,2013年01月01日至2013年12月31日,,                609588,                609588,,,              1148357,                  7697,                -33094,                -29360,                123769,                -16118,                 -4302,                -27642,                  3769,,                              0,                    942,,,,,                 26897,                  1546,               -118260,                   -951,                -12896,              1742219,                 -3938,                 -1344,              1633273,,                -40404,                 75554,                -85059,                  4426,                 24498,,                -48340,              1584933,              2758951,              3368539,                  7987,               -100188,                -16469,              3259869,,,,               -600349,                 15107,,,                   -186,,                 16443,,                  4302,                 -5341,               -568833,,             -1235640,                -79852,,                100000,               -100000,                              0,                              0,             -1292737,                106761,              1505060,                525384,              2030444,              2030444,,,,,              1174018,,                -30591,,                  1191,                 22755,                              0,                  3236,                              0,                              0,,
2101,2013年01月01日至2013年09月30日,,                378019,                378019,,,                865641,                  5732,                -33803,                -10571,                 93746,                 -5927,                 -4302,                 -1448,                  3883,,,                    718,,,,,                 89961,                  1609,               -282588,                  2740,                -19845,              1708110,                -81430,                 -2674,              1415883,,                -26501,                 89605,                -46703,                 -3938,                 16871,,                  6727,              1422610,              2336279,              2714298,                  2556,                -80204,                -15000,              2621650,,,,               -626998,                 13739,                  1720,,,,                -48661,                150006,                  4302,,               -511049,,               -712279,                     75,,                100000,               -100000,                 22518,                              0,               -689686,                 65452,              1486367,                525384,              2011751,              2011751,,,,,                913669,                              0,                -22607,                 -5157,,,,,,,,
2101,2013年01月01日至2013年06月30日,,                 84214,                 84214,,,                573844,                  3805,                -29418,                   -249,                 62981,                 -1066,,                 16451,                    282,,,                    494,,,,,                 94923,                    264,               -520724,                  1803,                -21514,              1571892,                 20043,                 -1727,              1144960,,                -40862,                103318,                -86430,                 -2550,                  1783,,                -39592,              1105368,              1732492,              1816706,                    840,                -52832,                 -4623,              1760091,,,,               -389172,                  6858,                  2012,,,,,,,,               -318236,,               -728600,                     42,,                100000,               -100000,                   -354,,               -728912,                 28480,                741423,                525384,              1266807,              1266807,                -25398,                 69014,,,                627124,,                -14851,                 18450,,,                              0,                              0,,,,
2101,2013年01月01日至2013年03月31日,,                -16871,                -16871,,,                283760,                  1885,                -35614,                 -8303,                 31597,                   -362,,                  4026,                    319,,,                    230,,,,,                 50401,                    488,                179178,                   -631,                 14328,                713565,                 -8886,                 -1254,                947189,,                 29637,                -12720,                -85153,                 -1096,                  1529,,                -74837,                872352,              1149890,              1133019,                    286,                -28378,                    194,              1105121,,,,               -180044,                  2157,                  2995,,,,,,,                              0,               -197103,,,                    125,,,                              0,                   -303,,               -584863,                 19431,                342586,                525384,                867970,                867970,                -21811,                   -400,               -584685,,                277538,,                 -7034,,,,,,,,,
2101,2012年01月01日至2012年12月31日,,                360798,                360798,,,              1124874,                  9128,                -52405,                 34258,                204233,                 -2848,                 -8194,                 21723,                  7063,,                   -663,                    919,,,,,                 45109,                 -1464,                170170,                 14404,                -26995,                735646,                 95422,                  1548,              1103338,,                 11267,               -541529,               -289531,                    314,                 -8752,,               -864364,                238974,              1552532,              1913330,                  3558,               -183998,               -122498,              1610392,,,,             -1026715,                 15711,,,                              0,,                264056,,                  8194,                              0,               -723792,,               -968164,                 49968,,                100000,               -100000,                   -541,               -360205,             -1499915,               -114680,               -727995,              1253379,                525384,                525384,,,,,              1313558,,                -30949,,                 14962,                              0,                 69498,                 -5184,                -24530,               -220973,,
2101,2012年01月01日至2012年09月30日,,                495535,                495535,,,                843867,                  6875,                -14186,                 18299,                164860,                 -2355,                 -8194,                -90732,                 -5308,,                   -663,                    689,,,,,                 85068,                    164,                 16828,                 -8264,                  1273,                -26560,                 53973,                   -205,                192084,,                 18360,               -373531,               -267769,                 -3802,                  3607,,               -656025,               -463941,                444389,                939924,                  2991,               -151030,                -95037,                705042,,,,               -741868,                  8173,                217474,,,,                    460,                -70376,                  8194,,               -586137,,,                    -10,,                              0,                              0,                   -841,,               -308484,                -97243,               -286822,              1253379,                966557,                966557,,,                -86660,,                908330,,                -24229,,,,                 69807,                 -8661,                 -4822,,                              0,               -220973
