證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無形資產,　　　　 其他項目,　　　　 未實現外幣兌換損失（利益）,　　 短期借款增加,　　　　 股利收入,　　 取得投資性不動產,　　 應付短期票券減少
2207,2015年01月01日至2015年09月30日,,             10392972,             10392972,,,              6720907,                 13629,                661452,                 35585,                 47430,                -98221,             -1795027,                 -1934,                              0,                 11029,                 54971,                -21542,              5628279,,,                808383,             -9288395,                249946,               -994895,               -810942,                  6123,            -10029780,,                118186,                260552,                -73239,                553064,                858563,             -9171217,             -3542938,              6850034,                 91387,              2265502,                -30298,             -1775294,              7401331,,                              0,                              0,                              0,                              0,             -9413457,              3499424,               -251777,             -6165810,,             -5171293,              7960132,                              0,              2409599,               -650000,             -5734881,               -394245,             -1580688,                 31042,               -314125,              7288563,              6974438,              6974438,,,,,,,,,,,
2207,2015年01月01日至2015年06月30日,,              7548576,              7548576,,,              4478845,                  9251,                329137,                 77771,                 32589,                -69685,             -1263776,                 -2721,                              0,                -14725,                 83714,                -21542,              3638858,,,                260343,             -9637119,                225122,               -842941,               -356813,                  6675,            -10344733,,              4319943,                158817,                  5111,                491974,              4975845,             -5368888,             -1730030,              5818546,                -63509,                210360,                -30924,             -1089493,              4844980,,                              0,                              0,                              0,                              0,             -6667400,              2288948,               -287506,             -4665958,,             -2016806,              3188334,                              0,              1801954,               -650000,                              0,                              0,              2323482,                 40822,              2543326,              7288563,              9831889,              9831889,,,,,,,,,,,
2207,2015年01月01日至2015年03月31日,,              3856462,              3856462,,,              2237160,                  4731,                198091,                167079,                 18153,                -34123,               -591542,                   -551,                              0,                -26713,                 65637,                -21542,              2016380,,,,             -4566098,                 34746,             -1114928,               -100995,                 -9985,             -5046917,,              3320831,               -491504,                -44607,                 90101,              2874821,             -2172096,               -155716,              3700746,                 27754,                              0,                 -9669,                -28518,              3690313,,                              0,                              0,                              0,                              0,             -3271241,              1093643,                258845,             -1918753,,             -1621574,                633624,                              0,              1434214,               -400000,                              0,                              0,                 46264,                 15799,              1833623,              7288563,              9122186,              9122186,                710343,,,,,,,,,,
2207,2014年度,,             12228936,             12228936,,,              8577071,                 19498,                745889,                -27468,                376268,               -150459,             -2036268,                 -1565,                 -1938,                 25221,                 21543,                -11914,,,,,            -12048556,                887171,              2257019,               -162873,                 18156,            -10104007,,             -3435753,                752492,                990678,                975356,               -717227,            -10821234,             -3283685,              8945251,                149733,              1147073,               -338335,             -1881074,              8022648,,                   -552,             -3228968,                  9526,                -63257,            -16196791,              4409710,               -460420,            -15530752,,               -623652,              9201949,              1000000,              5928374,             -3291394,             -6881858,               -346368,              4987051,                -36070,             -2557123,              9845686,              7288563,              7288563,             -1054924,,                  1671,              7537549,                              0,,,,,,
2207,2014年01月01日至2014年09月30日,,              9536040,              9536040,,,              6323791,                 14739,                537298,                 33583,                 54005,               -114887,             -1301654,                 -1284,                 -1938,                -46858,                 32453,                -11914,              5517334,,,               -424148,            -12933798,                884228,              1155171,               -162807,                 13471,            -11467883,,             -1696535,                753596,                573430,                875286,                505777,            -10962106,             -5444772,              4091268,                111011,              1147073,                -32108,             -1734339,              3582905,,                              0,             -2212900,                  9526,                -63257,            -12582339,              3750916,               -244092,            -11342146,,               -449420,              8954185,                              0,              4356640,             -3291394,             -6881858,               -346368,              2341785,                 -4260,             -5421716,              9845686,              4423970,              4423970,,,,,,,,,,,
2207,2014年01月01日至2014年06月30日,,              6315457,              6315457,,,              4203987,                  9660,                357797,                128877,                 33447,                -78403,               -814622,                   -803,                              0,                -45598,                 26445,                -11914,              3808873,,,                271000,             -7677472,                453313,                591715,               -186224,                 -8751,             -6556419,,                 29394,                344438,                286249,                405206,              1065287,             -5491132,             -1682259,              4633198,                 75932,                 31361,                 -4482,             -1090432,              3645577,,                              0,             -2212900,                              0,                -63257,             -8079815,              2207325,               -296707,             -8445354,,             -1395100,              5353616,                              0,              1973766,               -946550,                              0,                  5880,              4991612,                 37847,                229682,              9845686,             10075368,             10075368,,,,,,,,,,,
2207,2014年01月01日至2014年03月31日,,              3026018,              3026018,,,              2088389,                  5108,                174227,                 47073,                 17281,                -35621,               -152476,                      1,                              0,                 10785,                 32434,                -11914,              2175287,,,,             -1493734,                -27760,                922550,                -93227,                 14144,               -678027,,             -1755861,                -49472,                121178,                112483,             -1571672,             -2249699,                -74412,              2951606,                 37317,                  8500,                -22485,                -69538,              2905400,,                              0,                              0,                              0,                              0,             -3780704,              1187864,               -117131,             -2709971,,             -2454254,              2503035,                              0,                700000,               -558587,                              0,                  5880,                196074,                 20335,                411838,              9845686,             10257524,             10257524,                              0,,,,,,,,,,
2207,2013年度,,             10571264,             10571264,,,              7885172,                 26504,                513822,               -115802,                238788,               -145229,             -1358993,                 -5005,                              0,               -331286,                 11914,                 -6920,,,,,             -6519748,                -54198,               -646686,                -44223,                 59060,             -7050024,,              2425070,                271968,                778337,              1447110,              4922485,             -2127539,              4585426,             15156690,                146212,              1481318,               -218368,             -1795269,             14770583,,                              0,             -2981430,                              0,                              0,            -14883511,              4290923,               -429903,            -14035151,,              1505674,              1675199,                              0,              3896545,             -2346956,             -4915613,               -261348,               -446499,                -41056,                247877,              9597809,              9845686,              9845686,                155771,,                              0,              6712965,                -31230,,,,,,
2207,2013年01月01日至2013年12月31日,,             10571264,             10571264,,,              7885172,                 26504,                513822,               -115802,                238788,               -145229,             -1358993,               -106375,,,,                 -6920,,,,                155771,             -6519748,                -54198,               -646686,                -44223,                 59060,             -7050024,,              2425070,                271968,                778337,              1447110,              4922485,             -2127539,              4484056,             15055320,                146212,              1481318,               -218368,             -1795269,             14669213,,,             -2981430,,,            -14883511,              4392293,               -429903,            -13933781,,,              1675199,,              3896545,             -2346956,             -4915613,               -261348,               -446499,                -41056,                247877,              9597809,              9845686,              9845686,,,,              6611595,                -31230,               -331286,                 11914,              1505674,,,
2207,2013年01月01日至2013年09月30日,,              7990855,              7990855,,,              5785057,                 21292,                355734,                 10648,                171804,               -110636,               -874516,                -38345,                              0,,                 12670,                 -6920,,,,               -183871,             -5394009,                403630,                153850,               -245754,                 32525,             -5233629,,                497579,                459908,                470946,              1134035,              2562468,             -2671161,              2424617,             10415472,                118406,              1481318,               -177384,             -1698066,             10139746,,,               -155299,                              0,                              0,            -11008694,              3228098,               -351004,             -8313638,,               -229622,              1544731,,              2819642,             -1350000,             -4915613,               -294748,             -2425610,                -19599,               -619101,              9597809,              8978708,              8978708,,,,              5095778,                -26739,               -231010,,,,,
