證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他金融負債增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款減少,　　 庫藏股票處分,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 持有至到期日金融資產到期還本,　　 取得待出售非流動資產,　　 其他應收款增加
2303,2015年01月01日至2015年09月30日,,             10925697,             10925697,,,             32126194,              1407684,               -186409,                155452,                364522,               -268900,               -686199,                  1245,                125438,                -95844,                -41203,             -2120332,              1223025,              1021010,               -133932,                              0,                -26539,             32865212,,,               -261488,              3030937,               -112219,               -814856,               -481892,                452901,              1813383,,               -128981,                402691,               -147828,                 15789,                534956,                676627,              2490010,             35355222,             46280919,                259522,                909352,               -590309,             -2245027,             44614457,,               -136146,                              0,             -2796625,              1373147,                -95063,                              0,               -110544,                              0,                              0,                414958,               -834955,                303719,                641866,            -47153743,                146663,             -1501607,                158083,               -922844,                  1583,             -1478290,                318532,            -51671266,,             10551420,            -13429862,             18340920,                              0,              3834460,             -4162275,                 47348,                 -6764,              6107635,             -6939016,                289413,             -2203442,                677017,               -935089,                -15343,             12156422,                830706,              5930319,             46212423,             52142742,             52142742,                              0,,,,,,,,,,
2303,2015年01月01日至2015年06月30日,,              9534506,              9534506,,,             21033063,                909268,               -182668,               -165778,                236503,               -163522,               -112805,                  1130,                -33269,                -82255,                -41203,             -1508388,                479044,                225530,               -216718,                              0,                -18881,             20359051,,,                -27058,                840193,               -109167,               -572008,               -372070,               -742043,               -982153,,                138663,              1055520,               -219345,                 13016,                243471,              1231325,                249172,             20608223,             30142729,                162657,                229118,               -535055,             -1670918,             28328531,,                -77650,                              0,             -2562094,                727910,                -94823,                              0,                -60000,                              0,,                414958,               -834955,                  9688,                641866,            -26926609,                 54960,             -1388698,                102255,               -693046,                  1583,               -577583,                  6859,            -31255379,,              9549918,            -13429862,             18341764,                              0,              3827160,             -3483650,                 34930,                 -5047,              6107635,,                289413,,                677017,,                 69406,             21978684,             -1218210,             17833626,             46212423,             64046049,             64046049,                              0,,,,,,,,,,
2303,2015年01月01日至2015年03月31日,,              4354110,              4354110,,,             10310797,                437399,                 -9429,               -129825,                101040,                -74095,                              0,                    120,                -41806,                -52113,                -41203,               -189697,                 63090,                225530,                -12705,                              0,                 -9866,             10577237,,,               -148100,              2039066,                 80238,               -417462,                479637,                800844,              2834223,,                -32722,               -177072,               -316993,                  7226,                    586,               -518975,              2315248,             12892485,             17246595,                 93767,                113069,               -217609,               -366011,             16869811,,                              0,,             -1897155,                208591,                -74894,,                              0,                              0,                -90824,                414958,,                  9782,                641866,            -14892734,                 44214,                -79739,                 79110,               -344092,,               -519349,                  2304,            -16497962,,              5334629,             -4468155,,                              0,              3404410,             -2554183,                 32868,                 -2002,              6107635,,                214943,,,,                 84530,              8154675,               -775643,              7750881,             46212423,             53963304,             53632056,                331248,,,,,,,,,,
2303,2014年度,,             13513296,             13513296,,,             38785576,              1871778,                104841,                -54228,                687178,               -495730,               -706719,                 24382,                -45521,                -81811,,             -2377910,                304517,                596678,                481037,                -13944,                -41090,,,,                -23235,             -6013039,                -18507,             -1893932,               -861497,               -985505,             -9795715,,               -711229,              2032810,                158440,,                 -3178,              1501941,             -8293774,             30745260,             44258556,                494148,                888281,               -565845,               -286888,             44788252,,               -180966,                 22292,             -1941739,              3311317,               -489035,                677339,               -182184,                 74394,,                              0,,                131172,                -15617,            -43237007,                338196,                -94112,                231107,             -1153356,,               -340611,                242996,            -42605814,,              9879359,             -5744551,              4994910,            -14137308,              6284000,             -3858996,                133172,                -26026,,             -6253150,                370811,                              0,                 61653,                              0,                 38261,             -8257865,              1457172,             -4618255,             50830678,             46212423,             45701335,                511088,,             39039034,                 25098,                              0,                              0,,,,,
2303,2014年01月01日至2014年09月30日,,              8137972,              8137972,,,             28693525,              1300779,                 57823,                -85092,                569146,               -389654,               -701546,                  1310,                -41789,                -54929,                              0,             -1738828,                256638,                596678,                174076,                -13944,                -31225,             28592968,,,                 19373,             -5084019,               -229731,               -276392,               -498351,             -4795985,            -10865105,,               -678615,                247010,                 32239,                 17300,                 11942,               -370124,            -11235229,             17357739,             25495711,                335110,                842799,               -494978,               -226818,             25951824,,                -89946,                 22292,               -167483,              2198986,               -747066,                674124,               -120756,                 74378,                -30000,                              0,                -15617,                 79470,                              0,            -27028655,                252660,                -66922,                168369,               -871064,                              0,               -323245,                174363,            -25816112,,              4661162,             -2297520,              4994910,            -10306392,              1824000,             -1735313,                 98399,                -24249,                              0,             -6253150,                313273,                              0,                              0,                              0,                 38261,             -8686619,                464201,             -8086706,             50830678,             42743972,             42743972,                              0,,,,,,,,,,
2303,2014年01月01日至2014年06月30日,,              5145646,              5145646,,,             18971528,                827380,                 72465,                -47529,                432214,               -260258,                -94944,                  1267,                -96248,                -53398,                              0,             -1159030,                163211,                              0,                -23104,                -13944,                -20890,             18698720,,,               -203828,             -4915724,                  8160,                128072,               -929899,             -4641756,            -10554975,,               -547549,              1236847,                107391,                 11243,                   -663,                807269,             -9747706,              8951014,             14096660,                220981,                218931,               -421859,               -202191,             13912522,,                -60036,                 22292,               -115422,              1630929,               -464359,                477596,               -121016,                 74378,,                              0,                -15617,                 35257,                              0,            -14161448,                251973,                -34525,                106293,               -603179,                              0,               -274378,                118915,            -13132347,,              8866950,             -5531578,              4994910,            -10306392,              1000000,             -1255964,                 65877,                -21389,                              0,,                121310,,                              0,,                 38261,             -2028015,                 51425,             -1196415,             50830678,             49634263,             49634263,                              0,,,,,,,,,,
2303,2014年01月01日至2014年03月31日,,              1291583,              1291583,,,              9450230,                400083,                -18135,                -15545,                147307,               -124278,                 -1328,                    822,                 35381,                -58020,                              0,               -367003,                 92519,                              0,                150465,                  1204,                 -7909,              9685793,,,               -203828,             -1958514,                105717,               -381433,               -446167,             -1456482,             -4340707,,               -280293,               -326466,                200297,                  5303,                 -4209,               -405368,             -4746075,              4939718,              6231301,                 98916,                143872,               -203641,                -38808,              6231640,,                -29900,,                -68197,                528724,               -136323,,                -60700,                  4000,                              0,                              0,,                              0,                              0,             -6276591,                 73489,                -17477,                 53307,               -175070,,                 -8249,                 13016,             -6099971,,              5367850,             -2567731,,                -57180,                              0,               -475232,                 35958,                 -2443,                              0,,                 85352,,,,                  8261,              2394835,                573590,              3100094,             50830678,             53930772,             53915155,                 15617,,,,,,,,,,
2303,2013年度,,             14361794,             14361794,,,             37241788,              1190524,                -36821,               -191686,                596232,               -301726,               -789583,                 28337,               -748601,                -40897,,             -2195070,              1275775,                 56693,                399230,                -83629,             -7197630,,,,                    460,                886762,                 89343,               -112589,                373795,             -1889239,               -651468,,                845365,               -176478,                -16168,,                 62928,                730667,                 79199,             29282135,             43643929,                282564,                808564,               -446070,               -816526,             43472461,,                -79758,                104302,               -733034,              2965245,             -1263269,                 84120,                 -8560,                    161,,              2641314,,                372550,                -93284,            -32911352,                576634,               -184306,                277333,             -2881754,,               -430857,                 13548,            -31516164,,             13149006,            -14371089,              9987990,             -2153438,              2737337,             -6199532,                171267,                -33865,,             -5061303,                442423,             -2245445,                              0,               -343989,                 -4618,             -3924289,                310180,              8342188,             42488490,             50830678,             50830678,                              0,,             29202936,                 15020,                 34803,                    967,,,,,
2303,2013年01月01日至2013年12月31日,,             14361794,             14361794,,,             37241788,              1190524,                -36821,               -191686,                596232,               -301726,               -789583,                 28337,               -748601,                -40897,,             -2195070,              1275775,                 56693,                399230,                -83629,             -7197630,,,,                    460,                886762,                 89343,               -112589,                373795,             -1889239,               -651468,,                845365,               -176478,                -16168,,                 62928,                730667,                 79199,             29282135,             43643929,                282564,                808564,               -446070,               -816526,             43472461,,,,               -733034,              2965245,             -1263269,                 84120,                 -8560,                    161,,              2641314,                -93284,                372550,,            -32911352,                576634,               -184306,                277333,             -2881754,,               -430857,                 13548,            -31516164,,             13149006,            -14371089,              9987990,             -2153438,              2737337,             -6199532,                171267,                -33865,,             -5061303,                442423,             -2245445,,               -343989,                 -4618,             -3924289,                310180,              8342188,             42488490,             50830678,             50830678,,,             29202936,                 15020,                 34803,                    967,                -79758,                104302,                              0,                              0,
2303,2013年01月01日至2013年09月30日,,             13279287,             13279287,,,             28070597,                793828,                -36827,               -142168,                447321,               -205770,               -784172,                 29199,               -526514,                -18946,,             -1209746,                659950,                   -265,                361108,                -84670,             -7189628,,,,                    460,               -940914,                -54209,               -315100,                -38132,             -2525715,             -3873610,,              1055049,               -473881,                 25721,,                 44925,                663103,             -3210507,             16952790,             30232077,                182324,                801448,               -378462,               -802019,             30035368,,                -50000,                104348,               -561212,              2060029,               -833542,                 84250,                   -613,                              0,                              0,              2641314,,                272847,                              0,            -25160576,                533622,               -139912,                211441,             -2567777,,               -425267,                 17901,            -23778344,,              9525227,            -10286380,              9987990,               -181953,              7887481,            -10968944,                134553,                -20168,,             -5061303,                399667,             -2245445,,               -303059,                 -5618,             -1136985,                 96639,              5216678,             42488490,             47705168,             47705168,,,             20163297,                 11289,                 34803,                    967,,,,,
