證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得按攤銷後成本衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 處分子公司,　　 其他非流動資產增加,　　 短期借款減少,　　 員工執行認股權,　　　　　 其他金融資產（增加）減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 其他籌資活動
2308,2015年01月01日至2015年09月30日,,             18205405,                              0,             18205405,,,              5092217,              1071158,                207732,                -75048,                338385,               -482919,               -908388,                 -7806,                227347,                 14422,              5477100,,,                 12764,             -1143024,             -2810810,               -233572,               -489535,                 62026,              1354233,                 52899,               -425068,               -502210,             -4122297,,                              0,             -1287698,               -160227,               -795069,                583029,               -289261,             -1949226,             -6071523,               -594423,             17610982,                482919,                749034,               -537800,             -2419028,             15886107,,                -94512,             -1421945,                595475,                 50101,                -69801,                 68426,                    540,                              0,            -13857180,             -5495929,                124267,               -228482,               -178149,                611516,            -19895673,,              6293907,             32093833,            -26406727,            -16331540,            -11974091,             -2968364,            -19292982,                600849,            -22701699,             73459818,             50758119,             50758119,,,,,,,,,,,,,,,,,
2308,2015年01月01日至2015年06月30日,,             10589523,,             10589523,,,              3361894,                602226,                221436,                -49683,                187561,               -338637,               -602787,                -13056,                240990,                 14422,              3624366,,,                 -8932,               -176663,              3672246,               -384602,                133065,                 22250,              1226387,               -697891,                 -6680,                258753,              4037933,,                              0,             -4061454,                 89470,              1381239,               -286183,                -76389,             -2953317,              1084616,              4708982,             15298505,                338637,                749034,               -180404,             -1786646,             14419126,,                -94512,               -316675,                353281,,,,                    540,                              0,            -14062629,             -3820965,                108862,               -180303,               -164206,                -74427,            -18252305,,              2125976,             20854202,            -26382860,,,             -2872049,             -6274731,             -3093031,            -13200941,             73459818,             60258877,             60258877,                 -1271,                              0,,,,,,,,,,,,,,,
2308,2015年01月01日至2015年03月31日,,              5083137,,              5083137,,,              1658762,                234053,                109823,                -94574,                 57080,               -158251,               -297586,                 23547,                 78019,                              0,              1610873,,,                -28310,                 70670,              5777347,               -443085,                 59431,                -10738,                432420,               -531752,                 -7786,                 63745,              5381942,,                              0,             -5355207,                -40438,               -126997,               -286089,                -61956,             -5870687,               -488745,              1122128,              6205265,                158251,                              0,                -37998,               -919827,              5405691,,                -94512,               -166273,                126777,,                 -1239,,,                              0,                -68155,             -1696521,                 68470,               -130120,,                192977,             -1751536,,              6127170,             20499821,            -26383204,,,             -2903365,             -2659578,             -1138654,               -144077,             73459818,             73315741,             73315741,,,                 17060,,,,,,,,,,,,,,
2308,2014年度,,             26514857,                              0,             26514857,,,              6613373,              1022608,                249547,                 61827,                162480,               -949336,               -979988,                 11725,                -57117,                 28420,,,,                -59439,               -435439,             -2731916,                481531,                -56029,                114063,             -3530146,               -499479,                -27820,               -113808,             -6858482,,                   -808,                874379,                 56643,              1666867,              1081930,                 91773,              3770784,             -3087698,              2988927,             29503784,                949336,                799053,               -162395,             -3254540,             27835238,,                -28844,             -1654042,              1020122,                 18112,               -342878,,                    306,                104144,             -2646215,             -5531856,                177119,               -400617,                              0,                 92972,             -9410618,,              1239576,             26423380,            -18800236,            -14137739,,             -2182681,             -7457700,              3469028,             14435948,             59023870,             73459818,             73459818,,                              0,               -106993,,               -141714,                              0,                 54800,                              0,              6076625,               -111948,                              0,                              0,                              0,                              0,,,
2308,2014年01月01日至2014年09月30日,,             20239643,                              0,             20239643,,,              4939094,                854659,                269569,                 -2648,                109196,               -737921,               -790606,                  7224,               -156094,                 24564,              4517037,,,                -70022,               -440161,             -2814350,                170123,               -141050,                132571,             -2468713,                -11615,               -115657,                 43565,             -5715309,,                   -808,              1012517,                 25656,               -895449,              1075535,                 27872,              1245323,             -4469986,                 47051,             20286694,                737921,                657399,               -109110,             -2323222,             19249682,,                -28844,               -320994,                768316,                 18112,                              0,                              0,                    306,                 13261,             -2646215,             -4125695,                133558,               -179713,               -105383,                 -8335,             -6481626,,              2589727,             20564600,            -18782687,            -14137739,                              0,             -1389553,            -11155652,              2180368,              3792772,             59023870,             62816642,             62816642,,,,,,,,,,,,,,,,,
2308,2014年01月01日至2014年06月30日,,             12889534,,             12889534,,,              3266828,                493687,                187492,                -20596,                 65463,               -509694,               -482834,                  9503,               -119430,                 15549,              2905968,,,                -94930,               -252213,              1297067,                -94211,               -106944,                129898,               -674442,                178748,                -53222,                 20684,                350435,,                   -808,             -2078236,                 82327,              1028679,                448108,                -20032,               -539962,               -189527,              2716441,             15605975,                509694,                657399,                -75752,             -1419010,             15278306,,                -28844,               -135103,                536964,,,,                              0,                 13261,                   -349,             -2419934,                 49223,               -128565,                  4175,               -133736,             -2210695,,              1217080,              6471000,            -18751044,,,                -16979,            -11079943,               -507046,              1480622,             59023870,             60504492,             60504492,                              0,                 32213,,,,,,,,,,,,,,,
2308,2014年01月01日至2014年03月31日,,              5912931,,              5912931,,,              1749940,                256653,                144021,                 14302,                 37391,               -242872,               -220061,                 17599,                 14311,                 15549,              1786833,,,                -11341,                 27926,              3577190,                  6169,                -55806,                 53195,               -176763,               -287825,               -107012,               -117956,              2907777,,                   -190,             -3987668,                 39194,               -186541,                447817,                 11042,             -3676346,               -768569,              1018264,              6931195,                242872,                              0,                -45126,               -512397,              6616544,,                -28844,                -38000,                163913,,                              0,,,                 13261,                              0,             -1077386,                 26129,               -121954,,                 -6945,             -1069099,,              6770812,              5372000,            -18737325,,,                -17015,             -6611528,                858054,               -206029,             59023870,             58817841,             58817841,,,                    727,,,,,,,,,,,,,,
2308,2013年度,,             22496554,                132798,             22629352,,,              7227049,              1114557,                177496,                -56480,                242701,               -724410,               -880788,                  9303,                400298,                 42012,,,,                -15515,               -214819,             -6554316,                450800,                 43592,                 75440,             -2753789,             -1672894,                171821,                -79596,            -10549276,,                    808,              6293187,                -49045,              3062366,               -184513,                 24936,              9147739,             -1401537,              5206979,             27836331,                724410,                308122,               -226124,             -3220469,             25422270,,               -114700,               -362670,                801448,                              0,                              0,,                              0,                    939,               -605843,             -8823567,                443672,               -398634,                              0,                              0,             -9067286,,                              0,             18324619,            -16396307,            -12843202,,               -803844,            -11197251,              2770009,              7927742,             51096128,             59023870,             59023870,,                970000,                -12841,,               -140180,                -25989,                 32141,               -809194,              6608516,                              0,               -644799,               -320291,               -576247,              1097730,,,
2308,2013年01月01日至2013年09月30日,,             16054000,                132798,             16186798,,,              5547490,                969040,                151309,                -38603,                189209,               -513146,               -720059,                -31816,                217083,                 35762,,,,                -24435,               -214553,             -3909978,                255048,               -108990,                165920,             -1600887,             -1235835,                -86685,               -347642,             -7108037,,                              0,              4259325,                 38317,                913909,                  4424,                -39861,              5176114,             -1931923,              3039163,             19225961,                513146,                635299,               -220445,             -3222859,             16931102,,                -96700,               -214517,                532083,                              0,,,                              0,                              0,               -455843,             -7374596,                393913,               -237486,,                646423,             -6737964,,                              0,             20173000,            -16754495,            -12843202,,                  3750,             -9066954,              2749232,              3875416,             51096128,             54971544,             54971544,,                720000,                 -6443,,,                -25989,,               -809194,              4971086,,               -644798,                              0,               -270364,                624357,,,
2308,2013年01月01日至2013年06月30日,,             10197471,                119628,             10317099,,,              3702370,                588818,                 23214,                -11181,                101926,               -296034,               -426299,                -32520,                142669,                 35762,,,,                              0,               -470171,                -68128,               -495642,               -270568,                118675,             -1248990,             -1064543,               -202730,                -67197,             -3769294,,                              0,              2746688,                124073,              2437239,                107652,                 49293,              5464945,              1695651,              4689193,             15006292,                296034,                635299,               -156210,             -1537564,             14243851,,                -89992,               -178930,                403886,,,,,                              0,               -455843,             -4599891,                341559,               -194139,                 16248,                346510,             -5715694,,                              0,                              0,            -10940992,,,                              0,            -10837786,              5157242,              2847613,             51096128,             53943741,             53943741,,                              0,,,,                -25989,,               -809194,              2993542,,             -1305102,                              0,               -321693,                424899,,,
