證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　　 預付款項（增加）減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他預付款項減少,　　 短期借款增加,　　 應付短期票券增加,　　　　　 預收款項增加（減少）
2317,2015年01月01日至2015年09月30日,,            128619074,            128619074,,,             54405179,                694604,                461746,                652356,             12889381,            -17835789,               -894647,             -2015137,               -304048,                -28375,             -4094537,                              0,              4961680,             48892413,,,            -10942502,                686526,            204068204,               -473394,              6018204,           -127071447,             -4447315,             67838276,,            -30234342,              3195064,            -18530744,                -92006,               -784554,                 17543,            -46429039,             21409237,             70301650,            198920724,            -39309447,            159611277,,             -6500000,             -2473186,              4500534,            -11140057,                  9089,             -5903722,                297760,              3433375,            -39192856,              3744981,               -949984,                -56610,            -11085823,            -19054829,               -126666,             16798368,                894647,               -421528,            -67226507,,           -142318684,                              0,             42012658,            -13500000,              1266833,             -7982873,                376549,                              0,                              0,            -11317351,              1555223,           -129907645,              5732338,            -31790537,            679037301,            647246764,            647246764,,,,,,,,,,,
2317,2015年01月01日至2015年06月30日,,             80785260,             80785260,,,             36627427,                459158,                507524,              3852204,              8080506,            -11060988,               -543967,             -1688765,               -137138,                -28375,             -2287685,                              0,              3323672,             37652693,,,             -1652853,                260482,            326479730,              7135267,              5715223,            -84513924,                202965,            253626890,,           -133796218,             -8060756,            -37708426,               -147880,             -9223464,                 13349,           -188923395,             64703495,            102356188,            183141448,            -30678153,            152463295,,,             -2447279,              3352107,             -3171807,                  3668,             -1325248,                              0,              3433375,            -28827839,              2592321,               -696029,                -68941,           -177626328,             -2945065,                -92820,             10386840,                543967,               -934421,           -197823499,,            -21940865,                              0,             33012658,             -3000000,                805833,             -3375893,                 89282,                              0,,             -6064610,                502511,                 28916,            -19183985,            -64515273,            679037301,            614522028,            614522028,                549120,,,,,,,,,,
2317,2015年01月01日至2015年03月31日,,             40247534,             40247534,,,             17395776,                226272,,              3448834,              4249079,             -5071763,               -332687,               -850084,                -44932,                -28375,               -220657,,              2373321,             21144784,,,             -2199598,                  3916,            298891428,              4650800,              6269395,            -10024887,,            296731500,,           -190576617,             -3533738,            -40322441,               -136772,             -3539905,                  9822,           -238099651,             58631849,             79776633,            120024167,            -10792717,            109231450,,,             -2473965,                541817,               -925151,                  2619,                -37500,,              3433375,            -18939052,              1989904,             -1151258,                -12331,                              0,             -1590068,                -37152,              4630990,                332687,             -1277509,            -13008362,,            -51501531,                              0,             15562658,             -3000000,                508833,             -2882727,                              0,                -50078,,             -3279983,                970348,            -43672480,            -12431296,             40119312,            679037301,            719156613,            719156613,,               -859554,              2504232,,,,,,,,
2317,2014年度,,            174120372,            174120372,,,             69402883,                828967,                298790,             -2374063,             14861301,            -26053459,               -676006,             -2980013,               -565745,,             -3010171,                332577,              1373640,,,,              1364986,               -118291,            -20273246,             -4145708,             -5024877,            -56411721,,            -88628245,,             11008696,             11252862,             42818053,                268543,             23185244,,             88539118,                -89127,             51349574,            225469946,            -34794235,            190675711,,,            -15493910,              4318161,             -1173338,                475330,            -14047766,                181120,,            -27565013,              1006829,               -475107,               -128600,            -35926990,               -980840,               -150405,             25844433,              1615892,                485217,            -62250365,,           -146255411,            -20000000,             53118404,             -6410000,              1338490,             -8110433,                              0,               -266032,            -23631672,            -14026640,              6024812,           -158218482,             14803392,            -14989744,            694027045,            679037301,            679037301,,             -4019388,,,             51438701,                  5720,               -235378,                              0,                              0,                              0,
2317,2014年01月01日至2014年09月30日,,             99767176,             99767176,,,             52575409,                630922,                751724,             -2502742,             10815489,            -19726086,               -623777,             -2664439,               -160667,                              0,               -313296,                188616,              1444260,             40415413,,,             -2488266,                629688,            219252669,              1525112,             -6554975,           -135175588,             -3120468,             74068172,,            -76485189,              6250199,              3220679,                258669,             10113795,                -37810,            -56679657,             17388515,             57803928,            157571104,            -29139095,            128432009,,                              0,            -12414019,                428814,             -1555311,                493755,            -13047225,                118426,                              0,            -19771328,                877245,               -963869,               -114989,            -78999136,             -4956902,                -30706,             19525631,                623777,                513949,           -109271888,,           -157006089,            -19982517,             44206748,                              0,                978490,             -8110433,                              0,               -371041,            -23631672,            -10360410,              3587220,           -170689704,                962545,           -150567038,            694027045,            543460007,            543460007,,,,,,,,,,,
2317,2014年01月01日至2014年06月30日,,             57958053,             57958053,,,             35847017,                402479,                              0,               -852416,              6719364,            -12332773,                -77909,             -1229850,               -244530,                              0,               -367490,                 87730,              1010776,             28962398,,,            -54244877,                348706,            284543973,              8314567,             -5349218,            -18474417,             -1894799,            213243935,,           -223345206,             -2944947,            -19618510,                190105,              4646005,                 42973,           -241029580,            -27785645,              1176753,             59134806,            -23809777,             35325029,,,               -179327,                175833,             -1413039,                 33872,               -541163,                116866,                              0,             -6819840,                829653,               -330000,                -60380,             -2494242,             -2699454,                -32513,             12112696,                 77909,             -1498060,             -2721189,,           -153312743,            -16985883,             22443461,                              0,                552000,             -2699233,                              0,               -593398,,             -6449631,              2348523,           -154696904,             -3948465,           -126041529,            694027045,            567985516,            567985516,                              0,,,,,,,,,,
2317,2014年01月01日至2014年03月31日,,             25540869,             25540869,,,             18045556,                218233,,                 91940,              3154474,             -5330805,                   -221,               -204313,                -47840,                              0,                -62845,,                              0,             15864179,,,             -6884105,                169125,            314055320,             10340075,             -6645635,              6303416,,            316332363,,           -209682866,             -9064446,            -24898188,                 65476,              1457461,                -21563,           -242144126,             74188237,             90052416,            115593285,             -6592423,            109000862,,,               -179327,                 34295,               -629841,                              0,               -134502,,                              0,             -2751904,                418843,               -530000,                              0,             -1740450,               -482760,                -32941,              5201227,                    221,               -937131,             -1764270,,            -46493128,             -7996237,              6000000,                              0,                140000,             -2699233,                881572,                              0,,             -3400411,              1881821,            -51685616,              5517925,             61068901,            694027045,            755095946,            755095946,,             -1005833,                              0,,,,,,,,
2317,2013年度,,            136295697,            136295697,,,             72686853,                926373,                227523,                311994,              9117464,            -10845494,               -419216,             -4838075,                559393,,             -1427121,                              0,                577807,,,,             -1411995,               -582757,           -129827318,             15521393,             -1707015,             37097551,,            -79656853,,             80186615,             -5853108,             14011616,             -1057944,            -11180975,,             76019776,             -3637077,             63240424,            199536121,            -26784550,            172751571,,,               -488977,              1401164,             -2060666,                456764,             -1408714,              2436170,,            -44395165,              9106480,                              0,             -9180000,             -3394991,                830897,               -563668,             10475314,              1552262,              1327042,            -33906088,,                              0,                              0,             28242000,            -32477430,             17761410,            -26877214,                834513,                              0,            -17753800,             -8188197,              3930733,             31695726,             17958880,            188500089,            505526956,            694027045,            694027045,,              1253288,,,             66877501,                -86428,                              0,                              0,             54232791,             11990920,
2317,2013年01月01日至2013年12月31日,,            136295697,            136295697,,,             72686853,                926373,                227523,                311994,              9117464,            -10845494,               -419216,             -4838075,                559393,,             -1427121,,                577807,,,,             -1411995,               -582757,           -129827318,             15521393,             -1707015,             37097551,,            -79656853,,             80186615,             -5853108,             14011616,             -1057944,               -641479,,             76019776,             -3637077,             63240424,            199536121,            -26784550,            172751571,,,               -488977,              1401164,             -2060666,                456764,             -1408714,              2436170,,            -44395165,              9106480,,             -9180000,             -3394991,                830897,               -563668,             10475314,              1552262,              1327042,            -33906088,,,,             28242000,            -32477430,             17761410,            -26877214,                834513,,            -17753800,             -8188197,              3930733,             31695726,             17958880,            188500089,            505526956,            694027045,            694027045,,              1253288,,,             66877501,                -86428,,                              0,             54232791,             11990920,            -10539496
2317,2013年01月01日至2013年09月30日,,             83900661,             83900661,,,             53913951,                636695,                227523,                 -2949,              6746719,             -6423821,               -379271,             -3088117,                252370,,             -1215702,                              0,                 28875,,,,               -324769,                -27191,            155801790,              8489195,             -4880682,            -15410365,,            144595258,,           -103417591,             -8276053,            -20662534,             -1403312,              2220532,,           -151824021,             -7228763,             43467510,            127368171,            -23497697,            103870474,,,               -132000,              1371924,               -249461,                 54749,             -1078665,              2432610,,            -39866543,              8811471,                              0,                              0,             -1738987,               -128758,                -71130,              6847191,                379271,              1154910,            -22213418,,             24193862,              4985905,             15292000,                              0,             17259080,            -20821740,,                748314,                              0,             -5375377,                956232,             37238276,              9060768,            127956100,            505526956,            633483056,            633483056,,                947280,,,             50696273,                -64535,,                              0,,,            -20220528
