證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 已實現銷貨損失（利益）,　　 其他非流動資產減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 員工執行認股權,　　 預付投資款增加,　　　　　 其他營業負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 發放現金股利
2337,2015年01月01日至2015年09月30日,,             -2516937,             -2516937,,,              4310537,                129182,                              0,                218132,                -23539,                -95417,                255744,                 18028,                 -5889,                 -7491,                   -112,               -100861,              4698314,,,                     95,               -499061,                  7117,                -14327,               -933377,                150609,             -1288944,,                 -4285,                -85889,                -13871,               -644529,                 10131,                 59324,                 -7512,                  2179,               -684452,             -1973396,              2724918,                207981,                 24454,                 95063,               -217085,               -130782,                -20369,,                              0,                 28209,                              0,             -1380855,                  8277,                -15893,                 17569,                -30107,                    542,                 -2222,             -1374480,,              7320798,             -7820270,             10851747,            -12911269,                     46,                -13214,                   -141,                    -51,             -2572354,                150081,             -3817122,              7636201,              3819079,              3819079,,,,,,,,,,,,,,,,,
2337,2015年01月01日至2015年06月30日,,             -1570962,             -1570962,,,              2887083,                 92160,                              0,                138374,                -18418,                -35399,                156674,                 13121,                 -4655,                 -7491,                     35,                 59533,              3281017,,,                     51,               -386858,                216905,                  5945,             -1110231,                 22062,             -1252126,,                 -7113,                 -7365,                  1805,               -635409,                  4654,                 22483,                 -6009,                    259,               -626695,             -1878821,              1402196,               -168766,                 19661,                 35398,               -138603,               -122559,               -374869,,                              0,                 28209,                              0,             -1011856,                  5402,                -16004,                 15724,                -20546,                -16090,,             -1017215,,              5434900,             -5243320,              8872827,            -11444508,                     36,                -13214,                              0,                    113,             -2393360,                -39948,             -3825392,              7636201,              3810809,              3810809,                              0,                 -2054,                   -194,,,,,,,,,,,,,,
2337,2015年01月01日至2015年03月31日,,               -353696,               -353696,,,              1441062,                 49928,,                 65062,                -10267,                 -3815,                 52460,                  6163,                   -117,,                     41,                 -5449,              1595068,,,                     95,                -40533,                215683,                 42670,               -563593,               -121406,               -467084,,                 -7113,               -173673,                 -3873,               -568152,                  5550,                  3889,                 -6701,                 -1147,               -751220,             -1218304,                376764,                 23068,                 11311,                  3815,                -66987,               -120445,               -149238,,,,,               -452767,                    120,                -16006,                 15724,                -18635,                    439,,               -473144,,              2164090,             -2393320,              1251900,             -1662005,                     36,                -13214,                    -17,                     61,               -652469,                -15008,             -1289859,              7636201,              6346342,              6346342,,                 -2019,,,,,,,,,,,,,,,
2337,2014年度,,             -6469401,             -6469401,,,              7315609,                249211,                    271,                281388,                -58375,                -89780,                 60496,                 24097,                  9479,                -39076,                   -114,                -91680,,,,                  1263,                233408,                 10990,                -18092,               -513835,                -58567,               -337720,,,                -44524,                -25857,               -543590,,                  9337,                  3751,,               -482679,               -820399,              6965912,                496511,                 58670,                 89780,               -283104,                -68675,                293182,,                  5770,                  3481,                -29343,             -1659991,                  6194,                 -1340,                  1063,               -172671,                  1120,,             -1877897,,              3593320,             -2053590,              2739172,             -7092783,                 14337,,                    507,                    -71,             -2799108,                 41450,             -4342373,             11978574,              7636201,              7636201,,                -32180,,,                124785,                              0,              7786311,                  7113,                118204,                              0,                              0,,,,,,
2337,2014年01月01日至2014年09月30日,,             -4178965,             -4178965,,,              5493037,                187204,                    271,                210578,                -45814,                -89634,                 17652,                 15082,                  9535,                -39035,                    -89,                -23485,              5735302,,,                  1315,               -478274,               -982182,                -47197,               -765948,                 32678,             -2239608,,                  2544,                 64303,                -23851,               -781896,                  9306,                -24273,                 33438,                 76149,               -644280,             -2883888,              2851414,             -1327551,                 45913,                 88836,               -212646,                -60681,             -1466129,,                  5730,                  3481,                -29343,             -1395577,                  6137,                   -460,                    529,               -165397,                     90,                -31256,             -1606066,,              1963322,             -1203590,              2742372,             -5176519,                 13154,                              0,                    360,                     38,             -1660863,                 11364,             -4721694,             11978574,              7256880,              7256880,,,,,,,,,,,,,,,,,
2337,2014年01月01日至2014年06月30日,,             -3080688,             -3080688,,,              3665516,                122559,                    271,                140330,                -33443,                -47877,                     45,                  6926,                  9853,                -21213,                              0,                  4195,              3847149,,,                    445,               -405268,                162572,                  6921,               -863197,                -80877,             -1179404,,                              0,               -186202,                -13805,               -626143,                  3314,                -14251,                 -8025,                 51392,               -793720,             -1973124,              1874025,             -1206663,                 33878,                 47877,               -143175,                -60051,             -1328134,,                  5735,                  3481,                -50687,               -788246,                     14,                   -466,                    434,               -150678,                   -209,,             -1003388,,                791663,               -603590,              2222372,             -4633565,                              0,                              0,                    227,                    101,             -2222792,                 19050,             -4535264,             11978574,              7443310,              7443310,                    -13,                -22766,                              0,,,,,,,,,,,,,,
2337,2014年01月01日至2014年03月31日,,             -1282424,             -1282424,,,              1827086,                 59327,,                 70050,                -18395,                              0,                     22,                              0,                  2196,,                              0,                -21773,              1918513,,,                  1358,                -98189,                132151,                 15050,               -710798,               -149865,               -810293,,                  2924,               -284931,                -21337,               -339439,                  8666,                 -3289,                 -4629,                 25659,               -616376,             -1426669,                491844,               -790580,                 17652,                              0,                -71666,                -12273,               -856867,,,,,               -339141,                     13,                    -25,                    289,                -92864,                   -234,,               -453416,,                              0,               -522312,                122248,               -664514,                              0,                              0,                    166,                      6,             -1064406,                 22424,             -2352265,             11978574,              9626309,              9626309,,                -21454,,,,,,,,,,,,,,,
2337,2013年度,,             -6353152,             -6353152,,,              7521836,                222073,                  4127,                334896,               -122360,                -60821,                    411,                              0,                  7923,                 -2973,                              0,                 86271,,,,                  4841,                136131,                -40385,                -27788,             -1935491,                -55228,             -1917920,,,                170953,                -50175,               -396110,,                 49230,                -27831,,               -146120,             -2064040,              5927465,               -425687,                124708,                 60821,               -334616,                 -5097,               -579871,,                  9538,                 15928,                              0,             -4318034,                  3766,                   -419,                    805,               -177199,                 46020,,             -4501016,,              1724911,             -1214336,              2800000,             -5224749,                    220,,                    823,                    772,             -1912265,               -124936,             -7118088,             19096662,             11978574,             11978574,,                -71883,,,                              0,                    122,              7991505,                              0,                107813,                 -9538,                     94,,,,,,
2337,2013年01月01日至2013年12月31日,,             -6353152,             -6353152,,,              7521836,                222073,                  4127,                334896,               -122360,                -60821,                    411,,                  7923,                 -2973,,                 86271,,,,                  4841,                136131,                -40385,                -27788,             -1935491,                -54945,             -1917637,,,                170953,                -50175,               -396110,,                 49230,                -27831,,               -146120,             -2063757,              5927748,               -425404,                124708,                 60821,               -334616,                 -5097,               -579588,,                  9538,                 15928,,             -4318034,                  3766,                   -419,                    805,               -177199,                 46020,,             -4492330,,              1724911,             -1214336,              2800000,             -5233718,                    220,                              0,                    823,                    772,             -1921234,               -124936,             -7118088,             19096662,             11978574,             11978574,,                -63197,,,                              0,                    122,              7991505,,                107813,                 -9538,                     94,                              0,                              0,                              0,                              0,                              0,                              0
2337,2013年01月01日至2013年09月30日,,             -4843639,             -4843639,,,              5716397,                167458,                  2964,                256676,                -98804,                -60825,                    371,                              0,                   -418,                 -2957,,                -77478,,,,                  6199,               -334927,               -749885,                -87638,             -1849661,                -92989,             -3108901,,,                359406,                 53902,               -671766,,                  2215,                201587,,                 28050,             -3080851,              2822533,             -2021106,                101634,                 60825,               -256690,                 -3149,             -2118486,,                  9462,                  8775,                              0,             -3106728,                  3144,                   -245,                    627,               -146600,                 42444,                -10311,             -3208894,,              1571765,               -388891,              1200000,             -3400622,                    220,,                  2279,                    687,             -1014562,                 28690,             -6313252,             19096662,             12783410,             12783410,                              0,,,,,,              5903384,,                 82706,,,                 -9462,,,,,
