證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 採用權益法之被投資公司減資退回股款,　　 發行公司債,　　　　 處分待出售非流動資產損失（利益）,　　 因合併產生之現金流入,　　 員工執行認股權,　　 庫藏股票買回成本,　　　　　 其他流動負債增加（減少）
2353,2015年01月01日至2015年09月30日,,                695320,                695320,,,                524343,                751626,              1346911,                293479,               -207998,               -240181,                149697,               -103634,                  1855,                  3714,                              0,                              0,               -446429,                -21801,                              0,              2051582,,,              1433995,                -20431,               -741020,                286827,                 45894,              1005265,,            -12552700,                -11171,                 14013,             -2152415,               -130754,            -14833027,            -13827762,            -11776180,            -11080860,                196276,               -214899,            -11099483,,               -335640,                 11948,                110635,                              0,                              0,               -172761,                 56777,                    -29,                -55302,                -50635,                              0,                240181,               -194826,,                175004,                              0,             -3677046,             -1800000,              5400000,               -144359,                -46401,                156888,            -11183822,             47558651,             36374829,             36374829,,,,,,,,,,
2353,2015年01月01日至2015年06月30日,,                367830,                367830,,,                349876,                501985,              2162644,                230422,               -153672,                    -60,                124401,                -45126,                  2294,                  3506,,                              0,               -385706,,                -41317,              2749247,,,             10783692,                -16997,             -2342241,                354858,                 45065,              8824377,,            -12598492,                 -2181,             -6191791,             -2083616,               -122372,            -20998452,            -12174075,             -9424828,             -9056998,                145767,               -181628,             -9092859,,               -187755,                 11948,                113287,                              0,                              0,                -74687,                  5634,                      9,                -19353,                -80331,,                     60,               -231188,,,               -317000,             -3196658,             -1800000,              5400000,               -117437,                -31095,             -1802852,            -11157994,             47558651,             36400657,             36400657,,,,,,,,,,
2353,2015年01月01日至2015年03月31日,,                333728,                333728,,,                177918,                253633,                -16624,                130304,                -72529,                    -60,                 72059,                -36617,                  3413,                    172,,                              0,,,                -11948,                499721,,,              9403920,                    175,             -1401461,                118913,                 45075,              8166622,,            -10601869,                   -957,             -3184043,             -1396423,               -110969,            -15294261,             -7127639,             -6627918,             -6294190,                 68388,               -160542,             -6386344,,               -110591,                 11948,                 33699,,,                -33687,                  1898,                     -6,                 -2390,               -170573,,                     60,               -269642,,               -287000,,,,              5400000,                -73877,              5039123,             -1742574,             -3359437,             47558651,             44199214,             44199214,,,,,,,,,,
2353,2014年度,,              2614419,              2614419,,,                791209,              1202555,             -1988511,                651206,               -283592,               -131140,                350285,                200218,               -125629,                -65727,                              0,                -41495,                              0,,              2195273,,,,              2913298,                 -1125,             -1087115,                533462,                -45523,              2312997,,               -392949,                 13428,                153180,             -1548319,                103911,             -1670749,                642248,              3396900,              6011319,                283326,               -671046,              5623599,,                -70000,                              0,                 80109,                -20462,                 41195,               -228752,                590954,                      8,               -103873,                177098,,                139854,                778261,,                              0,                -72989,                              0,             -1800000,,               -260250,             -2133239,                306367,              4574988,             42983663,             47558651,             47558651,,                              0,              2754652,                172130,                              0,,,,,
2353,2014年01月01日至2014年09月30日,,              1723925,              1723925,,,                607343,                942823,             -1848503,                502599,               -187138,               -124831,                164821,                 53297,                 -7800,                -64938,                 13291,                -41495,                              0,                  7131,              2167141,              2183741,,,             -4678697,                -29229,             -4270829,                162150,                 -1256,             -8817861,,              3706460,                   -512,               -270198,             -1391389,                -88134,              1956227,             -6861634,             -4677893,             -2953968,                187166,               -549919,             -3316721,,                -70000,                              0,                 90568,                 -6000,                 41495,               -153399,                568580,                     -9,                -11521,                              0,                136000,                133545,                729259,,                              0,               -179997,                              0,                              0,                              0,               -208031,               -388028,               -762964,             -3738454,             42983663,             39245209,             39245209,,,,,,,,,,
2353,2014年01月01日至2014年06月30日,,                673717,                673717,,,                429528,                657394,                 32200,                480691,               -124410,                   -868,                100154,                 -5436,                 -5486,                -64168,,                -41495,                              0,,              2187563,              3645667,,,             -4707937,                 -6576,              2172977,                215755,                 -1716,             -2327497,,             -4582655,                   -532,              1725493,               -964417,                -72570,             -3894681,             -6222178,             -2576511,             -1902794,                123086,               -318529,             -2098237,,                -70000,                              0,                 19950,                 -6000,                 41495,               -101951,                301423,                              0,                -11521,               -126169,,                  6528,                 53755,,,                -15656,                              0,                              0,                              0,               -150400,               -166056,               -227192,             -2437730,             42983663,             40545933,             40545933,,,,,,,,,,
2353,2014年01月01日至2014年03月31日,,                145944,                145944,,,                221141,                328038,                111572,                153739,                -56518,                   -868,                 50242,                 59994,                 -1592,                -32709,,                 13291,,,                  7131,                853461,,,              1571372,                 -1665,              7329232,                238344,                    727,              9138010,,             -9228477,                    767,             -1440831,               -552633,                -71320,            -11292494,             -2154484,             -1301023,             -1155079,                 56191,               -128135,             -1227023,,                -70000,                              0,                              0,,,                -67395,                171351,                              0,                -10753,               -150743,,                    868,               -126672,,                689749,,,,                              0,                -62943,                626806,                489766,               -237123,             42983663,             42746540,             42746540,,,,,,,,,,
2353,2013年度,,            -21063736,            -21063736,,,                947566,              1751961,               -517236,                909476,               -324821,               -205303,                306597,                236923,                 -5175,               -105317,               -227722,                              0,                 73972,,                 38995,,,,              6737926,                 18571,              7710531,               -111992,                 16569,             14371605,,            -16421367,                   -593,              2481522,               -544348,                197756,            -14287030,                 84575,             13052466,             -8011270,                324568,               -964282,             -8650984,,                              0,                273062,                147743,                              0,                              0,               -377087,                684807,                              0,               -191985,                -21743,,                213269,                728066,,                 40015,                              0,             -6669074,                              0,,               -396800,             -1025859,              1319876,             -7628901,             50612564,             42983663,             42983663,,             10087975,             12967891,                              0,              6000000,,,,,
2353,2013年01月01日至2013年12月31日,,            -21063736,            -21063736,,,                947566,              1751961,               -517236,                909476,               -324821,               -205303,                306597,                236923,                 -5175,               -105317,               -227722,                              0,                 73972,,                 38995,,,,              6737926,                 18571,              7710531,               -111992,                 16569,             14371605,,            -16421367,                   -593,              2481522,               -544348,                197756,            -14287030,                 84575,             13052466,             -8011270,                324568,               -964282,             -8650984,,,                273062,                147743,                              0,,               -377087,                684807,                              0,               -191985,                -21743,,                213269,                728066,,                 40015,,             -6669074,,,               -396800,             -1025859,              1319876,             -7628901,             50612564,             42983663,             42983663,,             10087975,             12967891,,              6000000,,                              0,                              0,                              0,
2353,2013年01月01日至2013年09月30日,,            -12708846,            -12708846,,,                698662,              1349393,               -220659,                531453,               -256361,               -203072,                255148,                208191,                 -4673,               -106792,               -218705,                              0,                 73972,                              0,                              0,,,,              3967905,                 14304,              1299401,             -1066623,                 17771,              4232758,,            -19184716,                   -406,              1027028,             -1840188,                214928,            -19783354,            -15550596,             -3500689,            -16209535,                256632,               -821909,            -16774812,,                              0,                264045,                 85817,                              0,                              0,               -298649,                658046,                      6,               -146635,,                157461,                209048,                929139,,,               -284974,             -6669074,,,               -231536,             -1185584,                367673,            -16663584,             50612564,             33948980,             33948980,,              9943350,             12049907,,              6000000,                              0,,,,
2353,2013年01月01日至2013年06月30日,,                -83445,                -83445,,,                466142,                913510,             -1621900,                386077,               -173711,                              0,                184181,                298763,                 -5136,               -100393,               -187208,                              0,,                              0,                              0,,,,              2264993,                 14346,             -6801454,               -751584,                 17771,             -5255928,,             -2007326,                 -1900,              3010282,             -1056181,                159346,                104221,             -5151707,             -4991382,             -5074827,                173840,               -569697,             -5470684,,                              0,                232548,                 82900,                              0,                              0,               -164231,                607729,,                -79939,                  8275,,                              0,                687282,,,               -279974,,,,               -186426,              5533600,                683504,              1433702,             50612564,             52046266,             52046266,,,                160325,,              6000000,,,,,
2353,2013年01月01日至2013年03月31日,,                449997,                449997,,,                232743,                499118,               -935037,                192792,                -77641,                              0,                102236,                223637,                 -2994,                -75081,               -187208,,,,                              0,,,,              1496205,                 -5158,              3474942,             -1288346,                  7191,              3684834,,             -8770211,                  8589,                110070,               -842861,                 85270,             -9409143,             -5724309,             -5751744,             -5301747,                 77327,               -388076,             -5612496,,                              0,                232548,                 36275,,,                -57240,                478770,,                -73272,                 15537,,                              0,                632618,,              1061288,,,,,               -108582,                952706,                788124,             -3239048,             50612564,             47373516,             47373516,,,                -27435,,,,,,,
2353,2012年01月01日至2012年12月31日,,             -2270899,             -2270899,,,                908830,              2431866,              1362775,                904097,               -503021,               -167547,                475708,               -408723,               -108406,               -775222,                 -7752,               -475312,                 69164,,                  9205,,,,             16041918,                 47342,             -3426365,              1643856,                 31943,             14338694,,             -5458048,             -7439946,             -5895492,                907341,                671360,            -17214785,             -2876091,              4335685,              2064786,                503038,             -1426806,              1141018,,,                  7752,                491118,                 -5577,,               -812619,              2981558,                 15342,               -180353,                 71451,,                175646,             -1720342,,                 -8146,,             -5283113,,,               -417297,             -5878858,             -1021835,             -7480017,             58092581,             50612564,             50612564,,              3496114,              7211776,,                              0,,             -4464660,                100880,               -271182,
