證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 無活絡市場之債務工具投資到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 處分投資性不動產,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 無活絡市場之債務商品投資到期還本,　　 處分採用權益法之投資,　　 其他投資活動,　　 償還公司債,　　 其他應付款－關係人減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分投資性不動產損失（利益）,　　 收取之股利,　　 處分待出售非流動資產,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2356,2015年01月01日至2015年09月30日,,              5971169,              5971169,,,              2932367,                736249,                  7562,                782000,             -1694298,                  6397,                 50428,               -102694,               -231015,                -24169,                   -214,              2462613,,,                111294,              7716953,              2461043,             -4896510,                575602,              5968382,,                -27189,                              0,            -14269185,              1196940,                282909,              2394285,                -32344,            -10454584,             -4486202,             -2023589,              3947580,              1716871,               -752736,             -1703047,              3208668,,            -19741330,             19661341,                 35371,                              0,                -26409,                              0,                 88354,               -367399,             -3713922,                338857,               -185289,              1300459,                524342,             -2085625,,             -4704309,              2361382,               -406482,                 13398,             -6278081,                              0,             -9014092,               -564075,             -8455124,             37731741,             29276617,             29276617,,,,,,,,,,,,,,,,,,
2356,2015年01月01日至2015年06月30日,,              3156647,              3156647,,,              1927219,                512128,                  6252,                386434,             -1135182,                  4233,                 29730,                 48260,               -152008,               -142352,                   -250,              1484464,,,                308279,             12070600,                152668,              1174137,                286022,             13991706,,                144456,                              0,            -14987447,             -1765813,                137740,              1178826,                -22726,            -15314964,             -1323258,                161206,              3317853,              1088712,               -540501,             -1180112,              2685952,,            -11326534,             12856125,                              0,                              0,                              0,,                 88354,                              0,             -2613755,                 69007,                -98069,,                 62982,               -961890,,             -2561064,              1211665,             -2824471,                  5329,,                              0,             -4168541,               -689604,             -3134083,             37731741,             34597658,             34597658,,,,,,,,,,,,,,,,,,
2356,2015年01月01日至2015年03月31日,,              1770105,              1770105,,,                973382,                248752,                 -1670,                 99236,               -598156,                  2017,                 10626,                  4331,                -61950,,                              0,                534069,,,                159790,             12971665,                 87921,               -941804,                537638,             12815210,,                 83436,                              0,            -12611850,             -2101987,                 72670,                388479,                -10335,            -14179587,             -1364377,               -830308,                939797,                356628,               -325562,               -188105,                782758,,             -2608578,              5561527,,                              0,,,,                              0,             -1221834,                 55189,                -42258,,                145468,              1904055,,             -1466374,                              0,             -2181705,,,                              0,             -3649446,               -495605,             -1458238,             37731741,             36273503,             36273503,               -142499,                 14541,                 -1367,,,,,,,,,,,,,,,
2356,2014年度,,              9680698,              9680698,,,              3813990,              1222212,                 15856,              1251417,             -2864110,                  9575,                 56450,                162409,               -383461,              1454743,                -38264,,,,               -227010,              6006396,                -27568,              8914388,             -1646819,             13019387,,                -64739,,            -31253048,              2366838,                581934,              1638197,,            -26787186,            -13767799,             -8957392,                723306,              2942046,               -944491,             -1904967,                815894,,            -33777739,             29491624,                  6650,,               -144403,                  1268,,                   -939,             -4781393,                 93680,               -378368,,                438857,             -8774694,,             -9035069,              1982345,                              0,                 19090,             -5739960,                 19175,            -12754419,              1512290,            -19200929,             56932670,             37731741,             37731741,,                              0,,,                109590,              4810407,                -26239,                -30129,                208740,                 67329,                              0,                              0,                              0,                              0,,,,
2356,2014年01月01日至2014年09月30日,,              7110195,              7110195,,,              2841588,                914419,                 14287,              1029468,             -2228280,                  7965,                 -2258,                -21174,               -183021,                  6650,                    343,              2379987,,,                -26100,              7542622,                284936,              4214267,             -1148830,             10866895,,                 11706,                -14107,            -25210029,                222374,                387923,                500165,                -23482,            -24125450,            -13258555,            -10878568,             -3768373,              2400489,               -786276,             -1695537,             -3849697,,            -24661678,             18371998,                  6650,                169735,                -60000,                  1268,                              0,                   -939,             -3575957,                 94889,               -274549,                              0,                534250,             -9394333,,             -9444720,                876814,                              0,                 19104,             -5739960,                215680,            -14073082,                235182,            -27081930,             56932670,             29850740,             29850740,,,,,,,,,,,,,,,,,,
2356,2014年01月01日至2014年06月30日,,              4828528,              4828528,,,              1883707,                591420,                 -8272,                649207,             -1547020,                  3306,                  5497,                 21130,               -154712,                  6650,                    417,              1451330,,,                -50698,                591141,                 87115,              7758410,               -523738,              7862230,,                -42697,                -14107,            -20786587,                -67192,                215974,                258982,                -18858,            -20454485,            -12592255,            -11140925,             -6312397,              1578310,               -659477,             -1191369,             -6584933,,            -14888507,             15038438,                  6650,                169735,                -60000,,                              0,                   -939,             -2315248,                 77655,               -168497,,                 56451,             -2084262,,             -5418179,                314064,                 -9500,                 -2556,,                 -7468,             -5123639,               -274495,            -14067329,             56932670,             42865341,             42865341,,,,,,,,,,,,,,,,,,
2356,2014年01月01日至2014年03月31日,,              2704985,              2704985,,,              1026861,                284413,                 -5469,                378413,               -678494,                  1499,                  1022,                  6109,                -43676,,                    344,                976424,,,               -204317,               -860685,                135060,              9211785,                -48323,              8233520,,                 14372,                -14107,            -19549050,               -903863,                120536,                -14330,                 -4835,            -20351277,            -12117757,            -11141333,             -8436348,                400401,               -262587,               -227516,             -8526050,,             -8568317,              5824220,,                169735,,,,                   -939,               -740435,                 40826,                -98369,,               -104597,             -3477876,,                622864,                540064,                              0,,,                 -6058,              1155736,                449569,            -10398621,             56932670,             46534049,             46534049,                  5402,                              0,                 -1134,,,,,,,,,,,,,,,
2356,2013年度,,              8924326,              8924326,,,              3963000,              1113915,                  9105,                661981,             -1483583,                 18183,                280024,                -70755,               -250756,              1691988,                -40531,,,,                -31237,             -3297610,                125498,             -2994479,              1320864,             -4876964,,                 94561,,              9808744,              2077346,                171760,                452245,,             12489419,              7612455,             13889462,             22813788,                876604,               -634400,             -1948630,             21107362,,            -24049791,             21373540,                 15000,,                              0,                              0,,                              0,             -3013220,                 62711,               -296392,,             -1317501,             -7084132,,              4198824,              3311250,               -484000,               -713934,             -2869980,              2230899,              4655814,              2050013,             20729057,             36203613,             56932670,             56932670,,                110611,,,                384436,              6277007,                -26239,                -88998,                360000,                              0,               -329090,                 -6830,             -1010415,                              0,,,,
2356,2013年01月01日至2013年12月31日,,              8924326,              8924326,,,              3963000,              1113915,                  9105,                661981,             -1483583,                 18183,                280024,                  4228,               -250756,              1691988,                -40531,,,,                -31237,             -3297610,                125498,             -2994479,              1320864,             -4876964,,                 94561,,              9808744,              2077346,                171760,                452245,,             12489419,              7612455,             13889462,             22813788,                876604,               -634400,             -1948630,             21107362,,            -24049791,             21373540,                 15000,,                              0,,                              0,,             -3013220,                 62711,               -296392,,             -1317501,             -7084132,,              4198824,              3311250,               -484000,               -713934,             -2869980,              2230899,              4655814,              2050013,             20729057,             36203613,             56932670,             56932670,,                110611,,,                384436,              6277007,                -26239,                -88998,                360000,,               -329090,                 -6830,             -1010415,                              0,                -74983,                              0,,
2356,2013年01月01日至2013年09月30日,,              6744416,              6744416,,,              2940593,                824160,                 53283,                442304,               -838757,                 15785,                110651,                -69285,               -161151,                317250,                 -3583,,,,                 22672,            -10186466,               -339501,             -2890730,                709982,            -12684043,,                 83086,                -14107,             11141398,              1013812,                 55342,               -248638,,             11999788,               -684255,              3298036,             10042452,                446462,               -416800,             -1875263,              8196851,,            -17535308,             14342304,                              0,,                              0,                              0,                 15000,                              0,             -2480547,                 31460,               -152499,,               -308639,             -5618656,,              4516821,                932500,               -484000,                  2219,             -2869980,              1606484,              2686012,              1106405,              6370612,             36203613,             42574225,             42574225,,                109573,,,                351041,              3982291,,                -31105,                360000,,,                 -6830,             -1011202,,,,,
