證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 員工執行認股權,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分子公司,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少,　　 採用權益法之被投資公司減資退回股款,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　　 其他金融負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 預付設備款減少,　　 短期借款減少,　　 發放現金股利,　　　　 股利收入,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加
2392,2015年01月01日至2015年06月30日,,              1130162,              1130162,,,              1677302,                 36264,                 21966,                              0,                146399,                -56029,               -155612,                 22116,             -1322527,                              0,                369879,,,                     79,                 15408,              3023922,                213327,                244000,                 20437,               -609981,               -695311,               -280374,               -464319,              1467188,,                              0,                 10059,             -2001860,                -67692,                305873,                 65191,                172402,             -1516027,                -48839,                321040,              1451202,                 56029,               -154605,               -611699,                740927,,              1567310,                -30860,               -900000,                    602,             -2324924,                112554,                -48413,                    112,                              0,             -1623619,,               -393080,                292413,                              0,                              0,                              0,                              0,               -100667,               -280902,             -1264261,              7435487,              6171226,              6171226,,,,,,,,,,,,,,,,,,
2392,2015年01月01日至2015年03月31日,,                557609,                557609,,,                830854,                 17958,                -17052,                     10,                 72840,                -29628,                -48098,                  5008,               -450179,                              0,                381713,,,                     79,                 14733,              4850934,                184008,                442009,               -528309,                474285,                 23493,                -31676,                -13183,              5416373,,                              0,                 10842,             -4763987,                -70771,               -174250,                -83198,                 21637,             -5059727,                356646,                738359,              1295968,                 29628,                -82985,               -351830,                890781,,                478212,                -31300,,,             -1630032,                 29601,                -26039,                    813,                              0,             -1178143,,               -336716,                 40946,                              0,                              0,,                              0,               -295770,                -30522,               -613654,              7435487,              6821833,              6821833,                    602,,,,,,,,,,,,,,,,,
2392,2014年01月01日至2014年06月30日,,                480509,                480509,,,              1671801,                 25329,                -63459,                 -1000,                149105,                -41041,               -134834,                  7282,                -27577,                    -10,              1585596,,,                              0,                -15667,              7350331,                336236,                353778,                  4188,              2774032,                 84721,                 17993,                112588,             11018200,,                -10338,                  6157,             -8867926,                -88806,             -1652613,                203577,                 -3771,            -10413720,                604480,              2190076,              2670585,                 41041,               -150406,               -535398,              2025822,,                  1240,               -500000,                              0,                              0,             -1652144,                 78112,                -22914,                              0,                 43104,             -2052602,,               -777121,                              0,                -98035,                209485,                -10464,                 47208,               -628927,               -436229,             -1091936,              7917337,              6825401,              6825401,,,,,,,,,,,,,,,,,,
2392,2014年01月01日至2014年03月31日,,                307168,                307168,,,                852682,                 12692,                -29073,                    488,                 75141,                -18348,                -84828,                  5114,                   -259,                      5,                813614,,,                              0,               -102925,              4257679,                354530,                138580,                  2411,              2074139,                220655,                 14038,                235481,              7194588,,                -10338,                 92012,             -6978388,                    638,             -1445741,                408645,                -11906,             -7945078,               -750490,                 63124,                370292,                 18348,                -75254,               -279066,                 34320,,                    937,               -500000,,,               -881093,                 53131,                -12816,                              0,                 43104,             -1296737,,                290462,                              0,                -98038,                160997,,                 99209,                452630,               -117406,               -927193,              7917337,              6990144,              6990144,                              0,,,,,,,,,,,,,,,,,
2392,2013年01月01日至2013年12月31日,,              2997128,              2997128,,,              3627361,                 67308,                -55673,                 10388,                290868,                -63012,               -353691,                 89805,                -64002,,,,,,                -11566,               -595946,               -513155,                266817,                139914,               -588583,               -103533,                170804,                498403,               -736845,,,                     -2,              3441059,                 51796,                750639,               -705906,,              3545777,              2808932,              6358308,              9355436,                 63012,               -299294,               -911654,              8375529,,                421554,                 -3000,                              0,,             -4916023,                 47030,                -30458,                  2181,                168029,             -3221096,,,              5696826,             -5800000,                379550,               -552136,               -104873,             -6559591,                743141,               -662017,              8579354,              7917337,              7917337,                237704,,              3549376,,                830586,,,                  1429,                 -1405,                  8191,                -30000,                -10811,                230141,             -4943543,             -1235415,,,
2392,2013年01月01日至2013年09月30日,,              1733082,              1733082,,,              2722673,                 51592,                -34888,                -13576,                224267,                -48070,               -229285,                 80293,                -35400,,,,,,                 -9116,              3465373,               -523787,                759334,                144231,             -1338551,                  8591,                 -3974,                378350,              2880451,,,                 39509,             -1765083,                -75298,                489430,               -288345,,             -1591596,              1288855,              4169029,              5902111,                 48070,               -228139,               -634924,              5087118,,                 19378,                 -3000,                              0,,             -3964536,                342146,                -18110,                  2663,,             -2680907,,,              5525151,             -5800000,                 62894,               -552136,               -126914,             -4861859,                -51364,             -2507012,              8579354,              6072342,              6072342,                  7907,,              2880174,                  8191,                800577,,,,                 -1400,,                -30000,                              0,                162068,             -2735439,             -1235415,                163968,,
2392,2013年01月01日至2013年06月30日,,              1089028,              1089028,,,              1840422,                 28324,                -35792,                 28368,                150144,                -33787,               -137387,                 55334,                   -535,                    645,,,,,                 -5809,              6499003,               -109469,                922283,                -22054,                446195,                212069,                -15758,                184102,              8110562,,,                  5649,             -5451772,                -77489,               -635667,               -358543,,             -6517822,              1592740,              3488476,              4577504,                 33787,               -160946,               -582522,              3867823,,                 19173,                 -3000,,,             -2943752,                 75330,                -12885,                  1579,                              0,             -2062978,,             -4407581,              5567632,             -5800000,                 36071,               -552136,               -127713,             -5283727,                888322,             -2590560,              8579354,              5988794,              5988794,,,              1895736,                              0,                800577,,,,,,,,,,,,,
2392,2013年01月01日至2013年03月31日,,                769069,                769069,,,              1006331,                 24037,                -33960,                 18642,                 79117,                -12414,                -82369,                  5217,                    343,                 -1390,,,,,                    657,              5605129,                 91300,                696539,                -16289,               -995036,                484018,                -23903,               -161409,              6473157,,,                 20582,             -5746320,               -178197,               -683496,               -137496,,             -6705884,               -232727,                770827,              1539896,                 12414,                -82199,               -267036,              1203075,,                    439,                              0,,,             -1843171,                 94668,                 -9746,,,             -1757810,,             -1962398,              5661101,             -5800000,                 22894,,                -10045,             -2088448,                562511,             -2080672,              8579354,              6498682,              6498682,,,              1003554,                 19043,,                792151,                              0,,,,,,,,,,,
2392,2012年01月01日至2012年12月31日,,              3331832,              3331832,,,              3641654,                 73409,                -16094,                 -8373,                361225,                -89121,               -300459,               -205348,                  1640,,,,,,                  4237,             -3631249,                -70046,                175042,               -112589,                -25173,               -190018,               -386564,               -134781,             -4371141,,,                 -2380,              3401478,               -159721,             -1289666,                 31952,,              1975531,             -2395610,              1026499,              4358331,                 89121,               -344405,               -830385,              3473986,,                 21239,                 -1281,               -150000,,             -4420428,                852564,                -60491,                 15502,                201324,             -6185009,,,                300000,               -468484,                448307,                              0,                682172,              3192341,                187238,                668556,              7910798,              8579354,              8579354,                 17129,,              3422109,,                              0,,,                              0,                -36424,                 -6132,               -799984,             -1437020,               -222239,              3433763,             -1203417,,,
2392,2012年01月01日至2012年09月30日,,              1298812,              1298812,,,              2738271,                 53191,                -69206,                -38701,                284124,                -71237,               -205037,               -206633,                 -6589,,,,,,                  2377,             -3002852,                 89480,                 48780,               -129193,             -1893546,               -243123,               -443698,                -82643,             -5654418,,,               -842215,              3666911,               -271546,                249261,                -28063,,              2768216,             -2886202,               -208469,              1090343,                 71237,               -267304,               -550483,                343793,,                 21239,                -14928,               -150000,,             -2865910,                424175,                -61750,                 15502,,             -4842832,,,                300000,               -147126,                386370,                              0,               -162617,              2736149,                265649,             -1497241,              7910798,              6413557,              6413557,                 17129,,              2677733,                 -6132,                              0,,,,                 -1774,,                              0,             -1437010,               -791279,              3562939,             -1203417,                201324,,
