證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 償還長期借款,　　　　　 持有供交易之金融資產（增加）減少,　　　　 其他項目,　　 其他金融資產增加,　　 舉借長期借款,　　 非控制權益變動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2402,2015年01月01日至2015年09月30日,,                 31636,                 31636,,,                378424,                  3956,                  3657,                 10275,                 42665,               -109894,                              0,                125830,                 12257,                 -3314,                              0,                -11549,                452307,,,                911283,                 27740,                -28472,                   -679,                909872,,                 -9334,               -396210,               -173053,                -11166,               -589763,                320109,                772416,                804052,                 55255,                -42003,               -105215,                712089,,             -2213700,              2192136,             -1441133,                 16048,                              0,                -77339,                 51406,                  2011,               -248487,                              0,             -1719058,,              8714821,             -7861708,                              0,                  1391,               -683986,               -264227,                  8600,                -85109,                 82228,             -1009850,              2525422,              1515572,              1515572,,,,,,,,,,,,,,
2402,2015年01月01日至2015年06月30日,,                  1611,                  1611,,,                252852,                  2634,                  1195,                -42180,                 27861,                -71616,                              0,                 94414,                  9106,                 -2835,                              0,                  8887,                280318,,,              1198675,                 72941,                -47668,                   -461,              1223487,,                 -4214,               -613171,               -135840,                -21482,               -774707,                448780,                729098,                730709,                 48547,                -27920,                -69622,                681714,,               -746000,              1207302,             -1201954,                 16048,                              0,                -31058,                 44639,                  2185,               -131453,                              0,               -840291,,              4729305,             -4169319,,                              0,,               -159620,                 10400,                410605,                -45607,                206421,              2525422,              2731843,              2731843,                   -161,,,,,,,,,,,,,
2402,2015年01月01日至2015年03月31日,,                -85978,                -85978,,,                128379,                  1330,                  3706,                -20315,                 13636,                -32004,,                 46263,                 10868,                 -4760,,                 -6389,                140714,,,                939625,                 32859,                 72523,                   -232,              1044775,,                 -4059,               -443735,               -129204,                 -4098,               -581096,                463679,                604393,                518415,                 22109,                -12947,                  1015,                528592,,               -458000,                489522,               -543630,,,                -15357,                  1048,                  2292,                -20590,,               -544715,,              1916505,             -1364883,,                    171,,,                 12900,                564693,                -27509,                521061,              2525422,              3046483,              3046483,,,,,,,,,,,,,,
2402,2014年度,,              1333548,              1333548,,,                563771,                  6066,                 57316,                  4358,                 34880,                -53233,                   -358,                 72550,                 73127,                 -5292,               -137230,                 91401,,,,,                 63399,                 -2472,                   -272,               -374131,,                  4453,               -113662,                171511,                 16499,                 78801,               -295330,                412026,              1745574,                 42470,                -34955,               -225956,              1527133,,             -1848620,              1413851,,                     58,                327541,                -65564,                 75440,                  9552,               -304920,                    358,             -1851614,,              5952765,             -6476129,              2000000,                  2343,               -199226,,                 86600,              1366353,                220236,              1262108,              1263314,              2525422,              2525422,,,                707356,               -434786,                              0,             -1459310,                              0,                              0,,,,,,
2402,2014年01月01日至2014年09月30日,,              1099036,              1099036,,,                410201,                  3810,                 84866,                  7245,                 22244,                -30750,                   -358,                 28462,                 46198,                 -4777,               -137230,                122379,                552290,,,               -469554,                 93224,                 85765,                   -826,               -291391,,                  3720,                 53627,                 18371,                      4,                 75722,               -215669,                336621,              1435657,                 24801,                -18490,               -174544,              1267424,,             -1240000,                650261,               -496623,                     58,                327541,                -47507,                 65886,                 13626,               -196706,                    358,               -923106,,              2851085,             -3389708,              2000000,                  1751,               -199226,                              0,                 80000,              1343902,                 13298,              1701518,              1263314,              2964832,              2964832,,,,,,,,,,,,,,
2402,2014年01月01日至2014年06月30日,,                789876,                789876,,,                273478,                  2548,                 12888,                 11960,                 14392,                -19700,                   -358,                              0,                 28466,                   -201,               -137230,                142106,                328349,,,               -420552,                 92188,                 99572,                   -572,               -229364,,                  3712,                  4870,                  3158,                  1201,                 12941,               -216423,                111926,                901802,                 14484,                -14160,               -121816,                780310,,               -430000,                475404,               -229729,                     58,                327541,                -24017,                 43551,                 14082,               -146996,                    358,                 30252,,              2338177,             -2111163,,                  1603,,                              0,                              0,                228617,                 -9168,              1030011,              1263314,              2293325,              2293325,                              0,,,,,,,,,,,,,
2402,2014年01月01日至2014年03月31日,,                265147,                265147,,,                137040,                  2065,                    143,                 33060,                  6690,                 -8683,,                              0,                   -784,                    -92,,                 26767,                196206,,,                 -4958,                 44544,                 88517,                   -306,                127797,,                  4916,                -58131,                -42630,                 46310,                -49535,                 78262,                274468,                539615,                  4926,                 -3748,                -16680,                524113,,               -275000,                240092,               -305886,,,                 -9044,                  9270,                 14557,                -74575,,               -400586,,              1156844,               -512203,,                    107,,,                              0,                644748,                 31233,                799508,              1263314,              2062822,              2062822,,,,,,,,,,,,,,
2402,2013年度,,                442675,                442675,,,                551115,                  5067,                 14530,                -20719,                 20598,                -16866,                 -1192,                              0,                 58782,                   -179,                -32344,                120123,,,,,               -208272,               -118410,                 -1225,               -758152,,                 -7915,                393854,                 68726,                  4541,                458278,               -299874,                399041,                841716,                 15621,                -19761,                -75372,                762204,,               -460000,                500180,,                              0,                 15307,                -42874,                 60082,                              0,               -222545,                  1192,               -167698,,              1644623,             -1370333,                              0,                  2302,               -166022,,                              0,               -366310,                159354,                387550,                875764,              1263314,              1263314,,,                698915,               -430245,                   -928,                              0,                -19040,               -476880,,,,,,
2402,2013年01月01日至2013年09月30日,,                309870,                309870,,,                418196,                  3716,                  3840,                 -2793,                 15377,                -12862,                 -1192,                              0,                  5198,                   -173,                 -5224,                121412,,,,,               -327571,                 64642,                   -950,                 53541,,                 -4897,                341075,                 61876,                 13401,                410527,                464068,              1009563,              1319433,                 11146,                -14555,                -32785,              1283239,,               -420000,                460173,,                              0,                              0,                -25186,                 28915,                              0,               -199693,                  1192,               -322736,,              1135953,               -992712,                              0,                    429,               -166022,,                              0,               -262352,                125568,                823719,                875764,              1699483,              1699483,,,                545495,                321937,                   -928,               -149101,                -19036,               -240000,                 -4517,,,,,
2402,2013年01月01日至2013年06月30日,,                205830,                205830,,,                282552,,                  6601,                  2874,                 10678,                 -7295,                 -1192,,                 -2197,                    -65,                 -5224,                 57922,,,,,               -207112,                -33378,                   -653,                141610,,                 -1374,                 66033,                 59228,                 10929,                133888,                275498,                622614,                828444,                  6245,                -11078,                -23500,                800111,,               -180000,                185065,,                              0,                              0,                -11215,                 11981,                              0,                -68673,                              0,                -81581,,                899393,               -904002,,                    493,,,,               -244116,                 94220,                568634,                875764,              1444398,              1444398,,,                347116,                385788,                   -928,                              0,                -18739,               -240000,                 -3035,                  2462,,,,
