證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得採用權益法之投資,　　 應付短期票券增加,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產增加
2406,2015年01月01日至2015年09月30日,,              1006419,              1006419,,,                482727,                  5340,                 62917,                174777,                126324,                -11033,                -20746,                              0,                  1432,                 -6427,                 21743,                  7125,                 31875,                876054,,,               -798736,             -1166150,                  1214,                -28513,                              0,                795554,                150322,                -14571,             -1060880,,                 -5879,                              0,                 -8065,                 -1985,                -34413,                 -7083,                  1165,                -56260,             -1117140,               -241086,                765333,                 10422,               -308125,                467630,,                 14776,                  5724,                 -1633,               -397703,               -375825,                    618,                              0,               -456474,                215288,                   -132,                 20746,               -974615,,              5043533,             -4796225,                178450,                800000,               -328666,                372504,               -108876,                              0,                 -8031,                -72552,               -408741,                              0,                671396,                112011,                276422,              2027249,              2303671,              2303671,,,,,,,,,,,,,,,,,
2406,2015年01月01日至2015年06月30日,,                263343,                263343,,,                323234,                  3343,                 10933,                 12526,                 78710,                 -7399,,                              0,                      5,                 -1010,                              0,                  1374,                 92536,                514252,,,               -348134,               -570657,                  1214,                 11364,                              0,                299906,                -24572,                -19098,               -649977,,                 -3793,                              0,                 92399,                 -1985,                444550,                 10405,                    790,                542366,               -107611,                406641,                669984,                  6806,               -218812,                457978,,                 14776,,,,               -300335,                      4,                              0,                -10235,                232128,                 -1495,,                -65157,,              1979454,             -1683025,                   -851,                              0,                              0,                343264,                -82085,                              0,                 -8998,                -43569,               -419622,                              0,                 84568,                 16446,                493835,              2027249,              2521084,              2521084,                              0,,,,,,,,,,,,,,,,
2406,2015年01月01日至2015年03月31日,,                148732,                148732,,,                148784,                  1675,                  5540,                -60013,                 36244,                 -2735,,                              0,                      5,                   -948,                              0,                  1042,                 92536,                222130,,,               -477728,                282739,                    969,                 -4046,                              0,                 57658,                  9960,                -21877,               -152325,,                 -7825,                              0,                -23108,                 -1985,                 -5980,                 -5117,                    501,                -43514,               -195839,                 26291,                175023,                  2271,                   -531,                176763,,                 11704,,,,               -221777,                      4,                              0,                -10040,                  4711,                   -312,,               -215710,,                782126,               -948763,                   -437,,                              0,                177072,                -55295,                    729,                              0,                -18679,                   -275,                              0,                -63522,                 22120,                -80349,              2027249,              1946900,              1946900,,,,,,,,,,,,,,,,,
2406,2014年度,,                915663,                915663,,,                603570,                  8090,                104482,               -277176,                 88484,                -10049,                -10481,                    -42,                 16657,                    113,                  5964,                     99,                -10000,,,,               -712017,               -547409,                    129,                -67843,                              0,             -1790941,               -166866,                 45010,             -3239937,,                -86346,                    -75,               -230940,                 -2148,                146996,                334580,,                164382,             -3075555,             -2479018,             -1563355,                  9676,               -120413,             -1674092,,,,                 -1708,,             -1527723,                 15702,                 -3071,                -34643,                              0,                -25068,                 10481,             -1537586,,              3522220,             -3315782,                 -1500,              2250000,               -126624,              1657184,               -355362,                 25145,,                -52642,                -92482,                -45297,              3464860,                -31941,                221241,              1806008,              2027249,              2027249,                              0,,                 76826,                596537,                  2315,                              0,                 28444,                              0,                              0,                              0,,,,,,,
2406,2014年01月01日至2014年09月30日,,                680552,                680552,,,                448380,                  6062,                 66893,               -250514,                 58316,                 -6102,                 -7820,                   -275,                 -9142,                   -136,                  1509,                     99,                              0,                307270,,,               -358466,               -361353,                     25,                -76746,                   -753,             -1141434,               -339017,                 35571,             -2242173,,                -81818,                    -30,                344116,                 -2608,                 65545,                 44209,                  1571,                370985,             -1871188,             -1563918,               -883366,                  5572,               -118665,               -996459,,                  6332,                              0,                              0,                              0,               -661943,                 12346,                 -2160,                -32937,                              0,                -18689,                  7820,               -689231,,              2481881,             -2578988,                 -1168,              2250000,               -126624,              1159800,               -340277,                 40421,                              0,                -39520,                -92276,                -45297,              2707952,                -19403,              1002859,              1806008,              2808867,              2808867,,,,,,,,,,,,,,,,,
2406,2014年01月01日至2014年06月30日,,                634647,                634647,,,                294842,                  4101,                 40711,               -309933,                 29285,                 -3559,,                   -215,                 -2561,                              0,                  1509,                     99,                              0,                 54279,,,               -248974,               -651178,                  1138,                -69742,                   -286,               -621252,                -86575,                 30634,             -1646948,,                -64302,                     15,                -27974,                    129,                237323,                 14078,                  1069,                160338,             -1486610,             -1432331,               -797684,                  3669,               -113929,               -907944,,                              0,,,,               -342203,                  5759,                 -1620,                -33165,                              0,                 -2575,,               -373804,,              2409037,             -1830208,                   -774,                450000,               -126624,                532920,               -157089,                 39700,                              0,                -23484,                -94153,                -44816,              1154509,                -14181,               -141420,              1806008,              1664588,              1664588,                   -713,,,,,,,,,,,,,,,,
2406,2014年01月01日至2014年03月31日,,                469497,                469497,,,                141649,                  2181,                 14515,               -145749,                 13229,                 -1690,,                    -93,                    -42,                              0,                  1509,                     99,                              0,                 25608,,,               -141615,                -53891,                   -530,                -53386,                   -741,               -459975,                -25597,                   -938,               -736673,,                -45045,                    -45,                 77975,                 -1881,                 29192,                 -2768,                    525,                 57953,               -678720,               -653112,               -183615,                  1726,                    329,               -181560,,                              0,,,,               -219579,                    640,                 -1620,                -30392,                  2745,                 -8794,,               -257000,,              1051414,             -1066415,                   -529,,               -126624,                454000,                -98755,                              0,                   -175,                -10961,                 44395,                -44816,                201534,                -19171,               -256197,              1806008,              1549811,              1549811,,,,,,,,,,,,,,,,,
2406,2013年度,,               -362631,               -362631,,,                565018,                  6493,                 17700,                304124,                 63902,                -12117,                -16563,                  2448,                 30087,                    -20,                104200,                              0,                 -1933,,,,                -65836,                   -457,                              0,                -11843,                -21646,                -17712,               -122662,                -79878,             -1455564,,                 29730,                              0,                383407,                    480,                 65204,                 -6259,,                474547,               -981017,                263207,                -99424,                 13481,                -72320,               -158263,,,,                -24311,,             -1223189,                  7022,                   -208,               -396210,                108618,                -11016,                 16563,             -1655690,,                736000,                              0,                -82576,                              0,                              0,              1481000,             -1017488,                    175,,                -43628,                104679,                -97818,              1080344,                 12799,               -720810,              2526818,              1806008,              1806008,             -1135530,,                180885,              1244224,                  1985,                 -1764,                              0,                -86457,                    192,                -44930,,,,,,,
2406,2013年01月01日至2013年12月31日,,               -362631,               -362631,,,                565018,                  6493,                 17700,                304124,                 63902,                -12117,                -16563,                  2448,                 30087,                    -20,                104200,                              0,                 -1933,,,,                -65836,             -1135530,                   -457,                -11843,                -21646,                -17712,               -122662,                -79878,             -1455564,,                 29730,,                383407,                    480,                 65204,                 -6259,,                474547,               -981017,                263207,                -99424,                 13481,                -72320,               -158263,,,,                -24311,                              0,             -1223189,                  7022,                   -208,               -396210,                108618,                -11016,                 16563,             -1655690,,                736000,                              0,                -82576,                              0,                              0,              1481000,             -1017488,                    175,,                -43628,                104679,                -97818,              1080344,                 12799,               -720810,              2526818,              1806008,              1806008,,,                180885,              1244224,                  1985,                 -1764,                              0,                -86457,                    192,                -44930,                              0,                              0,                              0,                              0,,,
2406,2013年01月01日至2013年09月30日,,                -92811,                -92811,,,                419285,                  3240,                  8839,                114923,                 46538,                 -9392,                -15676,                  1597,                 28866,                    -19,                 86457,                              0,,,,,                -54769,               -584693,                 -3229,                -43969,                -22558,                 -3471,                -55429,                -32925,               -801747,,                 32633,                     45,                167216,                    439,                 16720,                 -9645,,                208861,               -592886,                 91772,                 -1039,                 10666,                -71924,                -62297,,,,                -24311,,               -660734,                  9393,                   -209,               -337163,                     54,               -314615,                 15676,             -1400130,,                544299,                              0,                 -2143,                              0,                              0,                300000,               -204186,                    175,,                -27102,                -34821,                 40818,                617040,                     54,               -845333,              2526818,              1681485,              1681485,                   -704,,,                684658,                  1453,                 -1764,                              0,                -86457,,,,,,,,,
