證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 現金增資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分子公司,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　　　　 應收票據－關係人（增加）減少,　　 對子公司之收購（扣除所取得之現金）
2409,2015年度,,              7598850,              7598850,,,             46851487,                894362,                240002,              2591023,               -672638,               -112661,                576167,               -449452,               -585196,                              0,                              0,                 10618,                              0,              7026226,                107556,                 87984,                 10671,             56576149,,,                 -7687,             22081487,              1150032,              4162665,             -7567250,             19819247,,                 20582,                    -20,            -10287125,             -2165638,             -4012891,             -2967282,                -86866,            -19499240,                320007,             56896156,             64495006,                595475,                380589,             -2474887,               -992795,             62003388,,                              0,                  1497,                -33593,                 99517,                -51700,                              0,                              0,            -33440160,              1762401,                  3341,               -303282,                              0,                              0,                227320,                              0,            -31734659,,              1212392,                              0,               -563999,             30633963,            -50849749,                156994,                              0,             -4812123,              4745245,            -14799715,            -34276992,                923630,             -3084633,             81965333,             78880700,             78880700,,,,,,,,,
2409,2015年01月01日至2015年09月30日,,             15629092,             15629092,,,             36546730,                657444,                143453,              2033820,               -388502,               -112505,                413207,               -432958,               -163970,,,                 13152,,,                668560,                 87984,                 -6806,             39459609,,,                -43746,             14461623,              1036585,             -2077782,            -15677531,             -2300851,,                 14081,                   -363,             -6674770,             -2308046,             -3821544,             -1379438,                -65582,            -14235662,            -16536513,             22923096,             38552188,                419582,                380433,             -1926130,               -740679,             36685394,,                              0,,                   -705,                 96984,,                              0,                              0,            -19504027,                868833,                              0,               -300673,,                              0,                148010,,            -18695851,,              1454941,                              0,,             23122318,            -34459827,                 30609,                              0,             -4812123,              5298810,            -14799715,            -24164987,              1125347,             -5050097,             81965333,             76915236,             76915236,                 -4273,                              0,,,,,,,
2409,2015年01月01日至2015年06月30日,,             11720403,             11720403,,,             25295568,                430550,                -66861,              1560498,               -262649,                              0,                 20056,               -290271,               -162476,,,                 13152,,,               -518366,                 15202,                 -6738,             26027665,,,                -40140,              8456975,                454291,             -1294178,             -6171857,              1405091,,                 42491,                   -363,             -8048676,             -2542461,              2097501,               -372324,                -49215,             -8873047,             -7467956,             18559709,             30280112,                271960,                  8962,             -1345367,               -559475,             28656192,,                              0,,                              0,                 96984,,                              0,                              0,            -10178280,                863566,                              0,                              0,,                              0,                131407,,             -9088481,,,               -381322,,             14265845,            -22325036,                 37843,                              0,,                -77938,             -3333896,            -11814504,                 35289,              7788496,             81965333,             89753829,             89753829,                 -2158,,,,,,,,
2409,2015年01月01日至2015年03月31日,,              5773833,              5773833,,,             13178547,                208050,               -443396,                858280,               -116440,,                 39747,               -177085,                -34545,,,                              0,,,                263499,                  5384,                 -6805,             13775236,,,                 -4318,              2209329,               -483595,             -1794514,               -597986,               -671084,,                 14013,                   -363,             -5104740,               -662139,              2733453,             -2465370,                -20288,             -5505434,             -6176518,              7598718,             13372551,                108962,,               -769952,               -254712,             12456849,,                              0,,                              0,                              0,,                              0,,             -5218015,                 28617,                  5039,                              0,,                              0,                129183,,             -5055176,,,               -381322,,              4097416,            -12842882,                 35035,                              0,,               -129020,             -1877223,            -11097996,                 55631,             -3640692,             81965333,             78324641,             78324641,                              0,,,,,,,,
2409,2014年度,,             19980459,             19980459,,,             56064469,                838259,               -264181,              4045133,               -468390,                 -4350,               -176823,               -499865,                307630,                              0,               -279729,               -713222,                107494,              2263540,              1605972,                -63445,             -2974615,             59787877,,,                 60153,            -13877774,              2402424,              1465257,              3975103,             -5974837,,               -213371,                    223,             -4143917,             -3632680,             -1440234,              2438673,               -101552,             -7092858,            -13067695,             46720182,             66700641,                442638,                322236,             -3145859,               -926924,             63392732,,                452455,                              0,                 -1681,              1122214,             -2529360,                 25473,                 48258,            -16970961,                941439,                 14735,               -291337,              1061297,                -83640,                              0,              3104271,            -13106837,,                              0,             -3075852,                              0,             32956812,            -67382137,                              0,                -87132,             -1443637,                -30621,             -5978884,            -45041451,                408617,              5653061,             76312272,             81965333,             81965333,,,,,,,,,
2409,2014年01月01日至2014年09月30日,,             12047262,             12047262,,,             42759050,                628059,               -126786,              3265476,               -341455,                 -4350,               -161105,               -343333,                342199,,,             -1315079,,,                644510,                -58786,                -74974,             45213426,,,                 70377,             -6943506,               -329571,              1936869,              1616266,             -3649565,,                -26049,                   -140,               -906854,             -1268902,             -2962121,               -365500,                              0,             -5529566,             -9179131,             36034295,             48081557,                334951,                322236,             -2419906,               -798611,             45520227,,                417395,,                 -1681,              1120462,,                 25473,                 48258,            -13919432,                888083,                 15412,                -17724,,               -142824,                              0,,            -11566578,,                              0,             -2780674,,             26679985,            -52441145,                              0,                -94454,             -1443637,                119273,             -5050706,            -35011358,                159037,               -898672,             76312272,             75413600,             75413600,                              0,                              0,,,,,,,
2409,2014年01月01日至2014年06月30日,,              4479100,              4479100,,,             29105766,                416215,               -439057,              2388107,               -234458,                 -4349,                -64302,               -227198,                198863,,,             -1003437,,,                920107,                -51438,                -49636,             30955183,,,                 70339,             -6763091,                 30231,              1993164,              4037293,               -632064,,                -88129,                   -140,             -3397838,             -1373291,               -661566,             -1328637,                              0,             -6849601,             -7481665,             23473518,             27952618,                233337,                              0,             -1641339,               -679778,             25864838,,                  1772,,                 -1682,              1121865,,                 25473,                 48258,            -10545332,                857031,                  4126,                -17723,,               -292154,                              0,,             -8798366,,,             -2134124,,             26242252,            -38458207,                              0,               -108549,,                 56524,             -2177048,            -16579152,               -263789,                223531,             76312272,             76535803,             76535803,                              0,,,,,,,,
2409,2014年01月01日至2014年03月31日,,                299357,                299357,,,             14859815,                204795,               -203728,              1007533,               -104987,,                -15550,                -82522,                -51751,,,                -62237,,,              1530893,                -29088,                -24568,             17028605,,,                 58121,             -1610670,               -265445,                -65162,              4300100,              2416944,,                -59339,                   -140,             -3988012,             -1298823,               -317695,             -2637420,                              0,             -8301429,             -5884485,             11144120,             11443477,                107216,,               -844148,               -257575,             10448970,,                  1774,,                 -1682,                 56000,,                 25473,,             -5594213,                826482,                              0,                -18150,,               -300748,                              0,,             -5008454,,,             -2209057,,             20249378,            -25972359,                              0,               -106640,,                286387,               -634845,             -8387136,               -288339,             -3234959,             76312272,             73077313,             73077313,                 -3390,,,,,,,,
2409,2013年度,,              5236028,              5236028,,,             62763514,                874233,               -462303,              4782832,               -329360,                 -2855,               -134210,               -454268,                -70569,,                              0,             -1813751,                596102,                159532,              1598293,               -222192,               -115451,,,,                 -3516,             -3016479,              1949337,              4388083,                449789,              3767214,,               -105292,                    140,             -3893896,                161941,            -17915214,               -530671,,            -22282992,            -18515778,             48653769,             53889797,                345215,                233302,             -4148281,               -677589,             49642444,,                625185,,               -209478,              1063157,                   -939,              1729729,                              0,            -25457759,                587337,                160295,             -1654318,                              0,                              0,                193209,               -260210,            -23223792,,,             -5162876,,             19629576,            -48378183,,               -145746,                              0,                138548,             -3147405,            -26785436,                 23381,               -343403,             76655675,             76312272,             76312272,,             10280650,,             67169547,                              0,,,,
2409,2013年01月01日至2013年12月31日,,              5236028,              5236028,,,             62763514,                874233,               -462303,              4782832,               -329360,                 -2855,               -134210,               -454268,                -70569,,,             -1813751,                596102,                159532,              1598293,               -222192,               -115451,,,,                 -3516,             -3016479,              1949337,              4388083,                462182,              3767214,,               -105292,                    140,             -3893896,                161941,            -17915214,               -530671,,            -22282992,            -18515778,             48653769,             53889797,                345215,                233302,             -4148281,               -677589,             49642444,,                625185,,               -209478,              1063157,                   -939,              1729729,,            -25457759,                587337,                160295,             -1654318,,                              0,                193209,,            -23223792,,,             -5162876,                              0,             19629576,            -48378183,,               -145746,,                138548,             -3147405,            -26785436,                 23381,               -343403,             76655675,             76312272,             76312272,,             10280650,,             67169547,               -260210,                -12393,,,
