證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他營業資產（增加）減少,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 處分採用權益法之投資,　　 非控制權益變動,　　　　 股份基礎給付酬勞成本,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 處分待出售非流動資產,　　 存入保證金減少
2414,2015年01月01日至2015年09月30日,,                212295,                212295,,,                 33709,                 14217,                  5289,                  2000,                  6096,                   -478,                              0,                     51,                  5984,                 66868,,,                  6894,               -106779,                -10601,               -162602,                 -6211,                 -1210,               -280509,,                   -412,                222261,                -30037,                  7472,                 35525,                 -4061,                230748,                -49761,                 17107,                229402,                    478,                              0,                 -5869,                -81810,                142201,,                 -1638,                 11644,                -18256,                    424,                 -3231,                              0,                -25247,                 -2684,                 -5868,                -44856,,              5219937,             -5049937,              4230000,             -4160000,                              0,                -62534,                              0,               -209602,                    679,                -31457,                  5242,                 71130,                291197,                362327,                362327,,,,,,,,,,,,,,,
2414,2015年01月01日至2015年06月30日,,                143703,                143703,,,                 22222,                  8998,                  1529,                  1040,                  3534,                   -360,,                    346,,                 43293,,,                 -7025,                102792,                  1976,                 22272,                 -7009,                     50,                113056,,                   -289,                 66299,                -24956,                  3869,                 24937,                 -2027,                 67833,                180889,                224182,                367885,                    360,,                 -3575,                -49918,                314752,,                 -1638,,                -12306,                    129,                 -2189,                              0,                -14611,                 -1831,                 -6865,                -39311,,              3052937,             -3214937,              2780000,             -2760000,                              0,                -62159,                              0,,                    630,               -203529,                -12128,                 59784,                291197,                350981,                350981,                  5984,                              0,,,,,,,,,,,,,
2414,2015年01月01日至2015年03月31日,,                 87731,                 87731,,,                 11196,                  4260,                   -564,                 -1229,                  2140,                   -133,,                    346,,                 16016,,,                 30726,                354548,                 -7652,                 50981,                 -6031,                    201,                419368,,                 -1296,               -107689,                 -5812,                    -56,                 13773,                    -35,               -101115,                318253,                334269,                422000,                    133,,                 -2205,                   -977,                418951,,,,                 -2305,                    128,                              0,                    305,                 -9866,,,                -14470,,              1492937,             -1733937,              1650000,             -1730000,                              0,                -61797,,,                     97,               -382700,                 -7936,                 13845,                291197,                305042,                305042,,                              0,                 -3405,                 -2732,,,,,,,,,,,
2414,2014年度,,                319930,                319930,,,                 49132,                 13869,                  1088,                 -1067,                 11249,                 -1328,                   -569,                 -1265,                              0,,,,                 61088,                 72770,                 19884,                  8887,                 -7357,                    -76,                135037,,                    547,               -116619,                 69255,                 12525,                  9136,,                -28601,                106436,                179945,                499875,                  1328,                    569,                -11525,                -36023,                454224,,                              0,                              0,                -15336,                  1491,,                   -754,                -19306,,,                -56617,,              6972833,             -7235179,              6360000,             -6310000,                 40000,               -210036,                 -1300,               -171404,                  3333,               -551753,                  9380,               -144766,                435963,                291197,                291197,                  2400,,                -20159,                -22712,,                 73509,                 -3445,,,,,,,,
2414,2014年01月01日至2014年09月30日,,                247149,                247149,,,                 37466,                 10302,                  3165,                 -1639,                  8450,                   -986,                   -569,                 -1350,                              0,                 54839,,,                 44786,                 49311,                 18880,                -77363,                -12701,                   -869,                 22044,,                   -214,                -75195,                -21778,                 -2404,                 21731,                 -1260,                -79120,                -57076,                 -2237,                244912,                    986,                    569,                 -8598,                -36869,                201000,,                              0,                              0,                -12350,                  1491,                              0,                    495,                -13502,                -18464,                -10021,                -52351,,              4504833,             -4609179,              4540000,             -4420000,                 96508,               -208109,                 -1300,               -171404,                  2926,               -265725,                     -7,               -117083,                435963,                318880,                318880,,,,,,,,,,,,,,,
2414,2014年01月01日至2014年06月30日,,                155159,                155159,,,                 25763,                  6578,                  1131,                   -717,                  5523,                   -769,,                   -943,,                 36566,,,                 76710,                182963,                  5733,                 44994,                 -7474,                   -371,                302555,,                   -547,               -207833,                    662,                 -2754,                 27484,                 -1217,               -184205,                118350,                154916,                310075,                    769,,                 -5769,                -19159,                285916,,                              0,,                 -3788,                    943,                              0,                  1075,                -12863,                -18558,                 -8167,                -41358,,              2244833,             -2610179,              2670000,             -2550000,                 88726,               -171672,                     19,,                  2564,               -325709,                   -829,                -81980,                435963,                353983,                353983,                              0,                              0,,,,,,,,,,,,,
2414,2014年01月01日至2014年03月31日,,                 73882,                 73882,,,                 13220,                  2992,                 -1598,                   -269,                  3345,                   -188,,                              0,,                 17502,,,                 94061,                612355,                 17130,                 -4212,                -12722,                   -595,                704656,,                   -297,               -298253,                -51757,                 -1680,                 18970,                   -355,               -333372,                371284,                388786,                462668,                    188,,                 -3621,                    409,                459644,,,,                 -1718,                              0,                   -486,                              0,                 -7749,,,                -11169,,              1024855,             -1484201,              1170000,             -1130000,                105300,               -119042,,,                  1903,               -431185,                  5033,                 22323,                435963,                458286,                458286,,                              0,                 -1361,                 -1216,,,,,,,,,,,
2414,2013年度,,                202432,                202432,,,                 49408,                  6204,                  1022,                   -191,                 10791,                 -1375,                   -958,                    -19,                 -2478,,,,                 29870,               -239052,                 22645,                -22555,                 13406,                 -5880,               -202459,,                   -991,                231539,                -56084,                 -5702,                 -1577,,                166656,                -35803,                 26601,                229033,                  1375,                    958,                -10706,                -14602,                206058,,                 -2400,                  7478,                -28431,                  1072,,                    562,                -24894,,,                -37936,,              6491545,             -6503306,              3600000,             -3550000,                 80000,                -54721,                              0,               -185996,                  1168,               -121310,                  8251,                 55063,                380900,                435963,                435963,                              0,,                   -893,                  8677,,                 62404,                   -529,,,,,,,,
2414,2013年01月01日至2013年12月31日,,                202432,                202432,,,                 49408,                  6204,                  1022,                   -191,                 10791,                 -1375,                   -958,                    -19,                 -2478,,,,                 29870,               -239052,                 22645,                -22555,                 13406,                 -5880,               -202459,,                   -991,                231539,                -56084,                 -5702,                 -1577,,                166656,                -35803,                 26601,                229033,                  1375,                    958,                -10706,                -14602,                206058,,                 -2400,                  7478,                -28431,                  1072,,                    562,                -24894,,,                -37936,,              6491545,             -6503306,              3600000,             -3550000,                 80000,                -54721,                              0,               -185996,                  1168,               -121310,                  8251,                 55063,                380900,                435963,                435963,,,                   -893,                  8677,,                 62404,                   -529,                              0,                              0,                              0,,,,,
2414,2013年01月01日至2013年09月30日,,                132715,                132715,,,                 36444,                  4179,                    697,                   -341,                  7159,                   -371,                   -958,                   -126,                 -2478,,,,                 65133,                130202,                 10500,                -47086,                  5938,                 -9219,                151245,,                   -980,                102123,               -103084,                 -2890,                    304,,                 -4955,                146290,                190495,                323210,                    371,                    958,                 -7121,                -18456,                298962,,                 -2400,                  7478,                -18796,                    479,,                  2235,                -10539,,                              0,                -12866,,              4723142,             -4919358,              2350000,             -2300000,                 80000,                -41025,                              0,               -185996,                    965,               -292272,                  4987,                 -1189,                380900,                379711,                379711,,,                 -4223,                  8677,,                 44205,                   -428,,,,,,,,
