證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分無形資產損失（利益）,　　 存出保證金減少,　　 處分無形資產,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得投資性不動產,　　 償還長期借款,　　 取得子公司股權,　　 其他非流動資產減少,　　 其他預付款項減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2421,2015年01月01日至2015年09月30日,,                372911,                372911,,,                204118,                 29789,                  1278,                  5182,                -19007,                    624,                    178,                222162,,,                  5177,                -86059,                 23681,                 31023,                -19187,                226416,                181051,,                 25913,                -70969,                  5527,                    886,                   -894,                -39537,                141514,                363676,                736587,                 19345,                 -5571,                -91719,                658642,,               -195411,                 10172,                 -2081,                 -3687,                              0,                  1025,                 -2750,               -192732,,                 11130,                              0,                     51,                              0,               -301116,                -24731,                 -5573,               -320239,                  3171,                148842,                961129,              1109971,              1109971,,,,,,,,,,,,,,,,,,,,,,
2421,2015年01月01日至2015年06月30日,,                143288,                143288,,,                136572,                 21089,                    -13,                  3300,                -13308,                   -115,                    140,                147665,,,                 14002,                309277,                 16029,                -27987,                -12389,                213971,                512903,,               -222901,               -109509,                  4787,                -21024,                   -594,               -349241,                163662,                311327,                454615,                 13380,                 -3615,                -35629,                428751,,               -131253,                  6548,                 -2667,                 -3100,                              0,                  1025,                              0,               -129447,,,               -153711,                     39,,,,                 -5573,               -159245,                -41072,                 98987,                961129,              1060116,              1060116,                              0,,,,,,,,,,,,,,,,,,,,,
2421,2015年01月01日至2015年03月31日,,                 39164,                 39164,,,                 69513,                 11049,                   -726,                  1817,                 -7038,                   -509,                    128,                 74234,,,                  9220,                312569,                 17821,                -63424,                 -4401,                  9578,                281363,,               -111856,               -114355,                  1316,                 -2621,                   -296,               -227812,                 53551,                127785,                166949,                  6881,                 -2051,                 -4865,                166914,,                -57248,                  4701,,                 -2700,,                    826,                              0,                -51921,,,                -55701,                              0,                     -7,,,,                -55708,                -35507,                 23778,                961129,                984907,                984907,                              0,                              0,                  2500,                              0,,,,,,,,,,,,,,,,,,
2421,2014年度,,                525319,                525319,,,                274437,                 51031,                 -7805,                  7884,                -21552,                  4712,                  1351,,,,                 14587,               -445826,                -23164,               -186305,                -22098,               -124475,               -787281,,                280998,                 85002,                  4615,                -20030,,                350288,               -436993,               -126935,                398384,                 20477,                 -7651,               -141205,                270005,,               -210597,                 13061,                 -3614,                -10798,                 -1025,,                -13528,               -226501,,                              0,                -79487,                              0,                   -258,               -250930,,                 -3347,               -334022,                 68374,               -222144,              1183273,                961129,                961129,                              0,,,,,                              0,                              0,                              0,                              0,                              0,                310058,                              0,                   -297,                              0,                              0,                              0,                              0,                              0,                              0,,,
2421,2014年01月01日至2014年09月30日,,                395620,                395620,,,                204561,                 37631,                 -4942,                  5860,                -14457,                  4370,                    810,                233833,,,                -13012,               -401885,                  7565,                -59488,                -27316,                -69915,               -564051,,                260280,                  4914,                  3518,                -40707,                   -323,                227682,               -336369,               -102536,                293084,                 14545,                 -5569,               -104188,                197872,,               -165635,                  8888,                 -2034,                 -4164,                   -629,                              0,                -11371,               -174945,,                              0,                 -7527,                              0,                   -214,               -250930,                              0,                 -4617,               -263288,                  2663,               -237698,              1183273,                945575,                945575,,,,,,,,,,,,,,,,,,,,,,
2421,2014年01月01日至2014年06月30日,,                241479,                241479,,,                137717,                 25406,                 -5304,                  3736,                 -9700,                  2832,                    812,                155499,,,                -22880,               -167639,                 10868,                 22949,                -20724,                 52250,               -125176,,                -34504,                -23886,                  4214,                -27294,                    -88,                -81558,               -206734,                -51235,                190244,                 10449,                 -3491,                -48314,                148888,,               -108701,                  3903,                 -1506,                 -2645,                   -450,                              0,                   -335,               -109734,,,               -243704,                     20,,,,                              0,               -243684,                -15264,               -219794,              1183273,                963479,                963479,                              0,,,,,,,,,,,,,,,,,,,,,
2421,2014年01月01日至2014年03月31日,,                 80149,                 80149,,,                 69847,                 12729,                 -5614,                  2012,                 -4040,                    585,                     68,                 75586,,,                 -3849,                  3438,                 -3039,                 30716,                    697,                 33035,                 60998,,               -109873,                -68813,                  4260,                -11822,                    147,               -186101,               -125103,                -49517,                 30632,                  4215,                 -2091,                 -9535,                 23221,,                -46297,                  3395,,                   -871,,                              0,                   -100,                -42924,,,               -189069,                      9,                              0,,,,               -189060,                    474,               -208289,              1183273,                974984,                974984,                              0,                     -1,                    452,                    497,,,,,,,,,,,,,,,,,,
2421,2013年度,,                441129,                441129,,,                276859,                 47451,                 -4287,                  7415,                -19969,                  4373,                  1265,,,,                 27606,               -268879,                -35152,               -207107,                -26924,                -18116,               -528572,,                195258,                105617,                 11362,                 39062,,                329888,               -198684,                108611,                549740,                 19877,                 -7785,               -124921,                436911,,               -197204,                 46124,                 -5847,                 -8084,                              0,,                 -3600,               -156916,,                142755,                              0,                    255,                              0,               -250930,,                 -2526,               -286954,                 61034,                 54075,              1129198,              1183273,              1183273,                              0,,,,,                    359,                -15383,                    328,                  9070,                   -186,                307295,                -21676,                    265,                -62000,                 62000,                 11861,                   -166,               -176500,                     -8,,,
2421,2013年01月01日至2013年12月31日,,                441129,                441129,,,                276859,                 47451,                 -4287,                  7415,                -19969,                  4373,                  1265,,,,                 27606,               -268879,                -35152,               -207107,                -26924,                -18116,               -528572,,                195258,                105617,                 11362,                 39062,,                329888,               -198684,                108611,                549740,                 19877,                 -7785,               -124921,                436911,,               -197204,                 46124,                 -5847,                 -8084,,                              0,                 -3600,               -156916,,                142755,,                    255,,               -250930,                              0,                 -2526,               -286954,                 61034,                 54075,              1129198,              1183273,              1183273,,,                              0,,,                    359,                -15383,                    328,                  9070,                   -186,                307295,                -21676,                    265,                -62000,                 62000,                 11861,                   -166,               -176500,                     -8,,,
2421,2013年01月01日至2013年09月30日,,                313875,                313875,,,                207586,                 25655,                   -932,                  5733,                -15121,                  4100,                    783,,,,                 11129,               -171601,                -27505,                -92756,                -34550,                 34580,               -280703,,                 65592,                 76129,                  8796,                 17011,,                145936,               -134767,                 78155,                392030,                 15536,                 -5896,                -86276,                315394,,               -142092,                 24836,                 -3735,                 -4873,                              0,,                   -458,               -114627,,,                -52758,                    325,                              0,               -250930,,                 -4462,               -381925,                 44325,               -136833,              1129198,                992365,                992365,                              0,,,,,                    359,                -15383,                    328,,                   -186,                212922,                -21676,                     84,                -62000,                 62000,                 11861,                   -166,                -74100,,,,
