證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 收取之股利,　　 應付租賃款增加,　　 取得子公司股權,　　　　 應付公司債匯率影響數,　　　　　 應收帳款－關係人（增加）減少,　　 取得以成本衡量之金融資產
2423,2015年01月01日至2015年09月30日,,                171800,                              0,                171800,,,                 58912,                  3280,                  2664,                 -2650,                     77,                    133,                 62416,,,                 25608,                 32615,                   -823,                -85954,                    179,                  1927,                -26448,,                 -7106,                -14955,                -43842,                -20281,                  1648,                -84536,               -110984,                -48568,                123232,                -56442,                 66790,,                 -4223,                  6500,                -52381,                 30000,                -34283,                              0,                    784,                              0,                 -1876,                    309,                  2650,                -52520,,                 -3005,                  6569,                              0,                 -1286,                -65781,                 -2664,                              0,                -66167,                  9105,                -42792,                249704,                206912,                206912,                              0,,,,,,,,,,,,,,,,,,,,,,,
2423,2015年01月01日至2015年06月30日,,                 89785,,                 89785,,,                 38869,                  2140,                  1924,                 -1939,                     77,                    133,                 41204,,,                 21344,                 61539,                  2992,                -49303,                -14511,                  3115,                 25176,,                 -9566,                -57177,                -23457,                -15283,                  1606,               -103877,                -78701,                -37497,                 52288,                -33135,                 19153,,                 -3953,                  2976,                -47448,                 24800,                -22675,                              0,                   -639,                              0,                 -1184,                  1111,                  1939,                -45073,,                -20530,                  4998,,                 -1089,,                 -1924,                              0,                -18545,                -11373,                -55838,                249704,                193866,                193866,                              0,,,,,,,,,,,,,,,,,,,,,,,
2423,2015年01月01日至2015年03月31日,,                 50731,,                 50731,,,                 19676,                    898,                  1138,                 -1383,                     72,                    133,                 20534,,,                 23017,                 82006,                   -912,                -58009,                -13474,                  3855,                 36483,,                 -7252,                -10812,                -45806,                -19792,                    835,                -82827,                -46344,                -25810,                 24921,                  1383,                 26304,,,,                   -756,                              0,                 -9230,                              0,                    -96,,                   -136,                    624,                  1383,                 -8211,,                              0,                    150,,                   -531,,                 -1138,,                 16591,                 -3770,                 30914,                249704,                280618,                280618,                              0,                 18110,,,,,,,,,,,,,,,,,,,,,,
2423,2014年01月01日至2014年09月30日,,                171620,                              0,                171620,,,                 56526,                    566,                  3143,                 -1475,                 -1081,                              0,                 57679,,,                -53187,                -36822,                  1479,                -78014,                -18127,                 -5211,               -189882,,                -37981,                 12891,                 13852,                 11631,                  2668,                  3061,               -186821,               -129142,                 42478,                -22034,                 20444,,                 -3682,                              0,                -29160,                132255,                -92590,                  1989,                  4729,                              0,                -14467,                  1611,                  1475,                  2160,,                -56112,                              0,                    -89,                 -1207,                -30596,                 -3220,                  4704,                -86520,                  3009,                -60907,                285881,                224974,                224974,                              0,,,,,,,,,,,,,,,,,,,,,,,
2423,2014年01月01日至2014年06月30日,,                106557,,                106557,,,                 37435,                    274,                  2174,                 -1195,                   -684,                              0,                 38004,,,                -40401,                 -2686,                   -170,                -54594,                -18183,                 -2038,               -118072,,                 11380,                -22055,                 -8544,                     51,                  1829,                -17339,               -135411,                -97407,                  9150,                -10793,                 -1643,,                              0,                              0,                -24300,                126856,                -68920,                  1518,                              0,                  5956,                 -3970,                  2146,                  1195,                 40481,,                -74642,                    366,,                 -1006,,                 -2251,                  4704,                -72829,                 -5857,                -39848,                285881,                246033,                246033,                              0,,,,,,,,,,,,,,,,,,,,,,,
2423,2014年01月01日至2014年03月31日,,                 56414,,                 56414,,,                 18995,                     52,                  1232,                   -943,                    -15,                              0,                 19321,,,                 10931,                  3741,                 -2649,                -50404,                -16586,                 -1710,                -56677,,                  7903,                 -9064,                -34527,                  6429,                    944,                -28315,                -84992,                -65671,                 -9257,                 -7923,                -17180,,,,                -24700,                122097,                -14342,                    174,                   -353,,                   -303,                    308,                    943,                 83824,,                -65192,                    198,,                   -434,,                 -1309,,                -66737,                  1374,                  1281,                285881,                287162,                287162,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2423,2013年01月01日至2013年12月31日,,                149102,,                149102,,,                 72130,                    217,                  5393,                 -3166,                    391,                              0,,,,                -36071,                -24913,                   -119,                 68336,                    142,                    277,                  7652,,                 -5236,                 30587,                   -932,                -12063,,                 16041,                 23693,                 57812,                206914,                -48412,                158502,,,,,,                -93043,                    975,,,                              0,,                  3166,               -108765,,                -10109,                              0,                   -737,,                -58277,                 -5393,                  7202,                -64984,                 20247,                  5000,                280881,                285881,                285881,,                              0,,                 -5596,                              0,                -36634,                              0,                  1384,                 34119,                  3685,               -128800,                  9640,                              0,                              0,                              0,                   -844,                100695,                 -6150,                  5596,                  9522,                 -7192,,,
2423,2013年01月01日至2013年09月30日,,                146892,,                146892,,,                 52860,                    165,                  3760,                 -1951,                    352,,,,,                -11752,                 -8031,                 -6138,                 26967,                -11258,                 -9101,                -19313,,                 -7143,                 19258,                -10609,                -12258,,                 -6101,                -25414,                 -6862,                140030,                -32096,                107934,,,,,,                -78060,                    975,,,,,                  1951,               -106100,,,                              0,                   -861,,                -58277,                 -3760,                  7202,                  7888,                 10988,                 20710,                280881,                301591,                301591,,                 69627,,,                              0,                -36634,                              0,,                 18552,                  4651,               -119100,                              0,                              0,                              0,,                   -474,                100695,                -12087,,,                 -6043,                              0,                              0,                              0
2423,2013年01月01日至2013年06月30日,,                105213,,                105213,,,                 34446,                    111,                  1556,                   -563,                    337,,,,,                -27487,                -19437,                    -63,                 -3241,                 -9935,                 -6881,                -67044,,                 25533,                 30192,                -17666,                -15871,,                 25695,                -41349,                -42096,                 63117,                -14112,                 49005,,,,,,                -40387,                    451,                 -7864,,,                              0,                    563,                 16529,,                              0,                              0,                   -936,,,                 -1553,                  7202,                 23481,                 18638,                107653,                280881,                388534,                388534,,                 18768,,,                              0,                -36634,                              0,,                   -747,                  3507,                -30545,,                              0,                              0,,,                100695,                 -6384,,,,,,                              0
2423,2013年01月01日至2013年03月31日,,                 41530,,                 41530,,,                 17167,                    170,                    769,                    -84,                   -104,,,,,                -17149,                -17357,                   -473,                -30866,                 -4178,                 -7486,                -77509,,                 17920,                 41109,                -38106,                -19440,,                  2395,                -75114,                -57196,                -15666,                 -2295,                -18646,,,,,,                -15706,                    447,,                 -1731,,                  1183,                     84,                -35220,,,                  2998,,,,                   -769,,                 28768,                 10451,                -14647,                280881,                266234,                266234,,                 25770,,,                              0,,,,                 17918,                    912,                -19413,,                              0,,,,,,,,,,,
