證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預收款項增加－處分資產,　　 其他預付款項增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 現金增資,　　 取得無活絡市場之債券投資,　　　　 攤銷費用,　　 其他非流動資產增加,　　 應付短期票券增加,　　 停業單位稅前淨利（淨損）,　　 其他金融資產增加
2434,2015年01月01日至2015年09月30日,,               -268337,               -268337,,,                 25097,                 18730,                  3890,                 -3260,                              0,                              0,                  1441,                168004,                              0,                213902,,,                 -9257,                 -3684,                 29293,                -42070,                 21306,                 -4412,,                     29,                  8327,                 -3602,                    414,                  1181,                  6349,                  1937,                215839,                -52498,                  3260,                 -3968,                    -84,                -53290,,                              0,                              0,                   -861,                 12410,                -15577,                              0,                              0,                 -4028,,                145000,               -245000,                -42450,                 -1594,               -144044,                   -492,               -201854,                384526,                182672,                182672,,,,,,,,,,,,,,,,
2434,2015年01月01日至2015年06月30日,,                -92381,                -92381,,,                 16557,                  5629,                  2836,                 -2555,,                              0,                  1441,                 15877,                              0,                 39785,,,                 -8365,                 13418,                   -208,                -36636,                 21892,                 -9899,,                  1306,                 -7996,                 -4798,                   -132,                    807,                -10813,                -20712,                 19073,                -73308,                  2555,                 -2867,                    -83,                -73703,,                              0,                              0,                   -247,,                 -7245,,,                 -7694,,                130000,               -200000,                -27409,                   -442,                -97851,                  4165,               -175083,                384526,                209443,                209443,                   -202,,,,,,,,,,,,,,,
2434,2015年01月01日至2015年03月31日,,                -45099,                -45099,,,                  8368,                  2996,                  1521,                 -1148,,                              0,                  1441,                 10873,                              0,                 24051,,,                 -3872,                  8284,                   -248,                -33272,                 19119,                 -9989,,                  1505,                  2163,                 -6770,                    988,                    425,                 -1689,                -11678,                 12373,                -32726,                  1148,                 -1464,,                -33042,,,                              0,                   -325,                    318,                 -5763,,,                 -5770,,                100000,               -100000,                -14092,,                -14092,                  1220,                -51684,                384526,                332842,                332842,,,,,,,,,,,,,,,,
2434,2014年度,,                275417,                275417,,,                 34821,                  7096,                  6751,                 -5903,                     -5,                 10424,                  6991,                 44259,               -448301,,,,                 14121,                 25594,                 -2872,                -36099,                -70590,                -69846,,                 -8456,                 -1292,                -11877,                   -739,,                -20788,                -90634,               -434501,               -159084,                  5903,                 -6795,                     25,               -159951,,,                402563,                -74373,,                -30468,                  6824,                      5,                291878,,                470000,               -400000,                -55793,,                 14659,                 33311,                179897,                204629,                384526,                384526,                -12673,,               -343867,                  1576,                              0,                              0,                              0,                              0,                    452,                              0,,,,,,
2434,2014年01月01日至2014年09月30日,,                181425,                181425,,,                 33175,                  5446,                  5158,                 -4231,                     -5,                  8929,                              0,                 27524,               -448301,               -372305,,,                 37931,                -12870,                     14,                 37493,                -17404,                 45164,,                 -3796,                 15456,                -13223,                  2187,                  1182,                  1806,                 46970,               -325335,               -143910,                  4231,                 -5206,                              0,               -144885,,                -55772,                389941,                -47741,                              0,                 -4382,                  6824,                      5,                288875,,                300000,               -230000,                -41759,                              0,                 28241,                  7701,                179932,                204629,                384561,                384561,,,,,,,,,,,,,,,,
2434,2014年01月01日至2014年06月30日,,                241673,                241673,,,                 20970,                  8814,                  3517,                 -1696,,                  8929,                              0,                  4613,               -448301,               -403154,,,                 37220,                -28190,                     54,                101507,                -15081,                 95510,,                 -3282,                -15921,                -24737,                  3863,                    791,                -39286,                 56224,               -346930,               -105257,                  1696,                 -3540,                              0,               -107101,,                -54382,                389941,                -33854,,                   -619,,,                301086,,                200000,               -130000,                -27782,                              0,                 42218,                  2447,                238650,                204629,                443279,                443279,                              0,,,,,,,,,,,,,,,
2434,2014年01月01日至2014年03月31日,,                320926,                320926,,,                  8629,                  1922,                  1876,                    -68,,                  8929,                              0,                  4613,               -448301,               -422400,,,                 38135,                -25021,                     27,                 73444,                -21035,                 65550,,                 -7059,                -17616,                -27199,                    909,                    366,                -50599,                 14951,               -407449,                -86523,                     68,                 -1799,,                -88254,,,                389941,                -31100,                              0,                              0,,,                358841,,                 70000,                              0,                -13862,,                 56138,                  3631,                330356,                204629,                534985,                534985,,,,,,,,,,,,,,,,
2434,2013年度,,               -175246,               -175246,,,                 69310,                  2854,                  6875,                   -763,                     -5,                              0,                 14246,                 93644,                              0,,,,                 56864,                -11548,                    -57,                -63507,                    706,                -17542,,                 -2995,                  2647,                 17479,                   -197,,                 18262,                    720,                186881,                 11635,                    763,                 -7016,                     15,                  5397,,,                              0,               -117789,,                -14124,                 15618,                      5,                  2789,,                              0,                -30000,                -71100,,                 43912,                  8141,                 60239,                144390,                204629,                204629,                              0,,                186161,                  1328,                144395,                -25316,                -14985,                100000,                              0,                 59997,,,,,,
2434,2013年01月01日至2013年12月31日,,               -174646,               -174646,,,                 69310,                  2854,                  6875,                   -763,,,                 14246,                 93044,                  1128,,,,                 56864,                -11548,                    -57,                -63507,                   -407,                -18655,,                 -2995,                  2647,                 17479,                   -197,,                 18262,                   -393,                186301,                 11655,                    763,                 -7016,,                  5402,,,,               -117789,,                -14124,                 15618,,                  2784,,                              0,                -30000,                -71100,,                 43912,                  8141,                 60239,                144390,                204629,                204629,,,                186694,                  1328,                144395,                -25316,                -14985,                100000,,                 59997,,,                              0,                              0,,
2434,2013年01月01日至2013年09月30日,,                -52350,                -52350,,,                 53196,                  3647,                  5088,                   -540,                     -5,                              0,,                  9751,                              0,,,,                 28184,                 19288,                    -39,                -47449,                 -2787,                 -2803,,                  1479,                 16848,                  1339,                 38470,,                 59059,                 56256,                127393,                 75043,                    540,                 -5229,,                 70354,,,                              0,                -81069,,                 -7461,                 15618,                      5,                -72907,,                              0,                -30000,                -55627,,                 59385,                  3950,                 60782,                144390,                205172,                205172,,,                 71137,                    923,,,                -14985,                100000,,                 59997,                              0,,,,,
