證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 其他投資活動,　　 庫藏股票買回成本,　　　　 非金融資產減損迴轉利益,　　 應收款項減少
2437,2015年01月01日至2015年09月30日,,                320329,                320329,,,                141046,                  7345,                    370,                    812,                 18040,                -48925,                    354,                              0,                              0,                 13015,                  4796,                136853,,,                 24345,               -132071,                 19334,                   -621,                 48543,                -13407,                  7475,                -46402,,                -73908,                 43895,                -26535,                 -2969,                   -233,                -59750,               -106152,                 30701,                351030,                 26149,                 -5923,                -38202,                333054,,               -290000,                              0,             -1306333,              1386219,                              0,               -152725,                    174,                 -3420,                     65,                 -1594,                -10457,                -41994,               -420065,,                128274,              1195000,                 94091,               -705043,               -332865,                379457,                 58342,                350788,                377172,                727960,                727960,,,,,,,,,
2437,2015年01月01日至2015年06月30日,,                171877,                171877,,,                 92704,                  4882,                   -111,                 -3338,                 12540,                -32483,                     79,                              0,                              0,                  8822,                  2991,                 86086,,,                 28365,                -90950,                112653,                -12134,                 95209,                -11413,                  7470,                129200,,                -72579,                  1302,                -52994,                  4479,                   -151,               -119943,                  9257,                 95343,                267220,                 18189,                 -3969,                -23624,                257816,,                              0,                              0,,                -59502,                              0,                -93555,                     55,                 -1671,                     65,                   -841,                 -8482,                -22736,               -186667,,               -537544,              1195000,                 94509,               -516031,                     -4,                235930,                -62135,                244944,                377172,                622116,                622116,,,,,,,,,
2437,2015年01月01日至2015年03月31日,,                 86266,                 86266,,,                 45964,                  2421,                   -338,                 -4892,                  8069,                -15919,,,,,                  8697,                 44002,,,                 44582,                -69373,                167683,                  1805,                 51779,                -26406,                  7469,                177539,,                -73142,               -101109,                -30144,                  1936,                    -72,               -202531,                -24992,                 19010,                105276,                  6699,                 -2941,                -11448,                 97586,,,                              0,,                 56941,,                -41149,                              0,                              0,                              0,,                -10278,                              0,                  5514,,,              1195000,                 94509,               -506266,,                245699,                -34742,                314057,                377172,                691229,                691229,               -537544,,,,,,,,
2437,2014年度,,                458680,                458680,,,                155111,                  9850,                  1606,                  2879,                 14909,                -61442,                   -215,                 -1081,                              0,,                -65254,,,,                  2837,                    150,                -58804,                  1209,               -154097,                 37529,                 -3811,               -174987,,                -31186,                -39125,                 48929,                  2113,,                -19693,               -194680,               -138317,                320363,                 39177,                -13815,                -83496,                262229,,                              0,                  8739,,,               -336039,               -157001,                  1599,                   -900,                    256,                   -410,                 -1435,,               -648393,,                  3028,,                618379,                -16682,               -235085,                369640,                105263,                 88739,                288433,                377172,                377172,,,                 56363,                   -424,               -163202,                              0,                              0,,
2437,2014年01月01日至2014年09月30日,,                368484,                368484,,,                107644,                  7375,                    499,                   -721,                  9775,                -45459,                   -903,                 -1044,                              0,                  2935,                -71369,                  8732,,,                 -6167,                  2171,               -107720,                   -487,                -98416,                 35159,                  1030,               -174430,,                -13746,                -66771,                 42331,                  1550,                   -386,                -37022,               -211452,               -202720,                165764,                 25780,                 -8680,                -69178,                113686,,                              0,                  2005,             -1177255,              1142299,               -336039,                -73933,                  1495,                   -782,                    256,                   -358,                  3482,                -31399,               -470229,,                158968,                              0,                560552,                -11297,               -235085,                473138,                 -4250,                112345,                288433,                400778,                400778,,,,,,,,,
2437,2014年01月01日至2014年06月30日,,                260694,                260694,,,                 62716,                  4918,                    553,                 -1815,                  4586,                -29890,                   -937,                 -1044,                              0,                    509,                -72906,                -33310,,,                  9133,                  3331,                 11948,                    -98,                -58404,                 29674,                  1846,                 -2570,,                 12544,                -74175,                 17276,                  2760,                   -247,                -41842,                -44412,                -77722,                182972,                 20055,                 -4092,                -42493,                156442,,                              0,                  2005,,               -114540,               -243156,                -39638,                  1499,                   -612,                    256,                   -358,                              0,                              0,               -394544,,                378321,                              0,                              0,                 -2203,                              0,                376118,                -76560,                 61456,                288433,                349889,                349889,,,,,,,,,
2437,2014年01月01日至2014年03月31日,,                 95398,                 95398,,,                 29191,                  2472,                   -127,                 -1263,                  1516,                -14902,,,,,                  2210,                 19097,,,                 15170,                 -2582,                 32308,                  1326,                 -7529,                 12361,                     22,                 51076,,                    -49,                -64989,                -29237,                    692,                   -121,                -93704,                -42628,                -23531,                 71867,                  9361,                 -1507,                 -5475,                 74246,,,                  2005,,                172339,,                -34303,                              0,                              0,                    192,,                              0,                              0,                140233,,,                              0,                              0,                              0,,                -20000,                -11664,                182815,                288433,                471248,                471248,                -20000,,,,,,,,
2437,2013年度,,                402590,                402590,,,                125977,                  9799,                  1187,                   -840,                  6811,                -43506,                  2433,                              0,                    175,,                 25934,,,,                -42547,                 -5135,               -214762,                 -1673,                -42548,                -48287,                    619,               -354333,,                    358,                -12965,                 27440,                    954,,                 15330,               -339003,               -211033,                191557,                 36258,                 -6830,                -64649,                156336,,                 -9932,                              0,,,                              0,               -173890,                 26872,                   -198,                              0,                 -3475,                 -2406,,               -698946,,                -30000,,                              0,                              0,                -88153,               -118153,                151660,               -509103,                797536,                288433,                288433,,,                127970,                   -457,               -535917,                              0,                              0,,
2437,2013年01月01日至2013年12月31日,,                402590,                402590,,,                125977,                  9799,                  1187,                   -840,                  6811,                -43506,                  2433,,                    175,,                 25934,,,,                -42547,                 -5135,               -214762,                 -1673,                -42548,                -48287,                    619,               -354333,,                    358,                -12965,                 27440,                    954,,                 15330,               -339003,               -211033,                191557,                 36258,                 -6830,                -64649,                156336,,                 -9932,                              0,,,,               -173890,                 26872,                   -198,                              0,                 -3475,                 -2406,,               -698946,,                -30000,,,,                -88153,               -118153,                151660,               -509103,                797536,                288433,                288433,,,                127970,                   -457,               -535917,                              0,                              0,,
2437,2013年01月01日至2013年09月30日,,                299575,                299575,,,                 97461,                  7326,                   -316,                    328,                  5119,                -31237,                 -1614,                              0,                    175,,                 16213,,,,                -42559,                 -2094,               -153708,                 -6380,                -37506,                -53057,                              0,               -295304,,                    157,                -13673,                  3537,                  6128,,                 -4204,               -299508,               -206053,                 93522,                 28269,                 -5147,                -54659,                 61985,,                 -9922,                              0,,,                              0,                -79543,                  2069,                   -266,                              0,                 -3475,                 -2401,,               -193407,,                -10000,,                              0,                              0,                -88153,                -98153,                 58813,               -170762,                797536,                626774,                626774,,,                 93455,                   -353,                -99869,,,,
