證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　　 其他營業資產（增加）減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 其他投資活動,　　 員工執行認股權,　　 其他籌資活動,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　　 預付款項（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　　　　 其他營業負債增加（減少）,　　 存入保證金增加,　　 存入保證金減少,　　 應付短期票券減少,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　 未實現外幣兌換損失（利益）
2439,2015年度,,                813300,                813300,,,                317392,                 39434,                   -915,                 23614,                -23889,                              0,                 35727,                 15150,                -11675,                394838,,,                -91937,                  7365,                275282,                 32482,               -138049,                 -3518,                 12912,                 94537,,                    804,                 95024,                 81412,                 68490,                  1075,                246805,                341342,                736180,              1549480,                 20918,                  1500,                 -1413,               -253075,              1317410,,               -237939,               -935014,                151223,                    151,               -132002,                -19386,             -1172967,,                135905,                              0,              1507500,                  1238,               -888131,               -103058,                -82942,                570512,                147767,                862722,              1667294,              2530016,              2530016,,,,,,,,,,,,,,,,,,,,,,
2439,2015年01月01日至2015年09月30日,,                429031,                429031,,,                236665,                 28715,                 30189,                 16147,                -18243,,                  7683,                 11141,                 28091,                340388,,,                 35214,                  2107,                -31022,                 28707,               -259772,                -35231,                 74884,               -185113,,                  2733,                129474,                 16994,                107764,                    946,                257911,                 72798,                413186,                842217,                 16790,,                   -973,               -219164,                638870,,               -229939,               -705485,                134648,                              0,                -18887,,               -841477,,                154757,                              0,              1507500,,               -888131,               -103058,,                672226,                 10194,                479813,              1667294,              2147107,              2147107,                              0,                              0,                -11179,                 -1869,                 -8766,                              0,                  1158,,,,,,,,,,,,,,,
2439,2015年01月01日至2015年06月30日,,                118342,                118342,,,                155367,                 21103,                -26181,                 11064,                -13412,,                  7164,                  6876,                -20012,                141969,,,               -250731,                  7365,                525132,                 40396,                 68186,,                 98765,                460132,,                  2676,               -618705,                 33307,                 81421,                    601,               -500700,                -40568,                101401,                219743,                 10570,,                   -973,               -150841,                 78499,,               -179326,               -583505,                 98728,,                 -3160,                 -4757,               -776276,,                142894,,              1507500,,,                 -6774,,              1644658,                -14894,                931987,              1667294,              2599281,              2599281,,,               -104256,,                              0,,                  1038,                              0,                              0,                -28981,,,,,,,,,,,,
2439,2015年01月01日至2015年03月31日,,                 98843,                 98843,,,                 78380,                  8619,                  1586,                  4041,                 -4793,,                  3173,                  9482,                 11103,                111591,,,               -206862,                    712,                661494,                 25441,                -24141,,                114075,                508306,,                   -740,               -509043,                -53403,                 53544,                    302,               -509340,                 -1034,                110557,                209400,                  3751,,                     -5,                -20299,                192847,,,               -160838,                 42354,,                -33537,                 -3305,               -104572,,                              0,,              1507500,                              0,,,,              1507450,                -60990,              1534735,              1667294,              3202029,              3202029,                              0,,,,,                              0,,                              0,                              0,                -62413,                 50754,                    -50,,,,,,,,,,
2439,2014年度,,              1559414,              1559414,,,                283855,                 32061,                   -681,                  1609,                 -9654,                              0,                 -2110,                 19912,                -50427,                274565,,,                257080,                 12998,               -299462,                -42057,                -34227,                 -6932,                 14028,                -98572,,                    454,               -130961,                 41061,                 22694,                 -9302,                -76054,               -174626,                 99939,              1659353,                  9654,                              0,                 -1609,               -135278,              1532120,,                  1896,               -969227,                 99481,                  1833,                -44314,                -63166,               -973497,,                              0,               -312922,                              0,                  5641,               -652002,                              0,                              0,               -959283,                 72475,               -328185,              1995479,              1667294,              1667294,,,,,,,,,,,,,,,,,,,,,,
2439,2014年01月01日至2014年09月30日,,              1207630,              1207630,,,                206710,                 26935,                 -9301,                  1492,                -21574,,                 -9269,                 12884,                -13568,                194309,,,                314043,                 17975,               -200660,                -10933,                -38161,                -26741,                109912,                165435,,                    803,                -73582,                  7784,                 40528,                  1042,                -23425,                142010,                336319,              1543949,                 21708,,                 -1741,               -192917,              1370999,,                              0,               -599480,                 22263,                  1833,                -19743,,               -604399,,                              0,               -312922,                              0,,               -652002,                              0,,               -966374,                 -4428,               -204202,              1995479,              1791277,              1791277,                              0,                              0,                              0,                              0,                 -9272,                              0,                 -1450,,,,,,,,,,,,,,,
2439,2014年01月01日至2014年06月30日,,                713346,                713346,,,                139321,                 15691,                   -964,                  1321,                -15823,,                 -4953,                  5142,                -17502,                122233,,,                258903,                 15706,                231210,                 -5707,                 78890,,                162174,                728684,,                  1283,               -553160,                -15755,                 12246,                    626,               -554760,                173924,                296157,              1009503,                 15241,,                 -1571,               -111632,                911541,,                              0,               -328841,                 12170,,                 -7939,                   -987,               -773465,,                -47858,,                              0,,,                              0,,                -49308,                -15237,                 73531,              1995479,              2069010,              2069010,,,                              0,,               -447868,,                 -1450,                              0,                              0,                -12492,,,,,,,,,,,,
2439,2014年01月01日至2014年03月31日,,                337896,                337896,,,                 73814,                  8177,                   -548,                    941,                 -7736,,                   -764,                  3426,                -19141,                 58169,,,                 -2296,                  1970,                399451,                 -1223,                111625,,                203374,                708107,,                  1804,               -652582,                -74245,                  3012,                    322,               -721689,                -13582,                 44587,                382483,                  7502,,                   -918,                 -7224,                381843,,,               -204789,                  3552,,                 -6151,                 -1830,               -355549,,                124548,,                              0,                              0,,,,                123934,                    425,                150653,              1995479,              2146132,              2146132,                              0,,,,,                              0,,                              0,                              0,                 -4794,               -146331,                   -614,,,,,,,,,,
2439,2013年度,,              1276095,              1276095,,,                276857,                 22921,                -20502,                  5797,                -11076,                 -3513,                 -1559,                  6712,                -13778,,,,               -290961,                 79942,               -584059,                 -6427,                299571,                 -3395,                -96329,               -601658,,                     68,                858651,                137707,                 32372,,              1029959,                428301,                689142,              1965237,                 10824,                  3513,                 -5805,               -101364,              1872405,,,               -459469,                 33826,                              0,                -43361,                -24090,               -484124,,,                -14747,,                  6524,               -332038,,,               -324867,                -62225,              1001189,                994290,              1995479,              1995479,                 -1018,,,,,                 15394,,,                              0,,,,,                260841,                  1161,                  8970,,,,,,
2439,2013年01月01日至2013年12月31日,,              1276095,              1276095,,,                276857,                 22921,                -20502,                  5797,                -11076,                 -3513,                 -1559,                  6712,                -13778,,,,                 18862,                 79942,               -584059,                 -6427,                299571,                 -3395,                -96329,               -291835,,                     68,                858651,                137707,                 32372,,              1029959,                738124,                998965,              2275060,                 10824,                  3513,                 -5805,               -101364,              2182228,,                              0,               -459469,                 33826,,                -43361,                -24090,               -793947,,,                -14747,,                  6524,               -332038,,,               -324867,                -62225,              1001189,                994290,              1995479,              1995479,                 -1018,,,,                              0,                 15394,,                              0,                              0,,               -309823,,,                260841,                  1161,                  8970,,,,                              0,,
