證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 員工執行認股權,　　 存出保證金減少
2441,2015年01月01日至2015年09月30日,,              1700128,              1700128,,,              1404218,                  2709,                   -664,                  1603,                -29039,                              0,                -21128,              1357699,,,                128456,                 -1700,                -79555,                 91603,                 91679,                 20316,                250799,,                  4461,               -111189,                124480,                 10410,                -62607,                 -2666,                -37111,                213688,              1571387,              3271515,               -307839,              2963676,,               -200918,                200000,             -1343596,                    -40,                   -355,                 31126,                              0,             -1313783,,                  2000,             -1592768,             -1590768,                 15441,                 74566,              4359057,              4433623,              4433623,,,,,,,,,,
2441,2015年01月01日至2015年06月30日,,              1131576,              1131576,,,                935623,                  1796,                 -5918,                  1180,                -18858,,                 33654,                947477,,,                -37700,                  2184,               -186324,                 90879,                 79454,                  4483,                -47024,,                  5818,               -119853,                161714,                   -775,               -127209,                 -1777,                -82082,               -129106,                818371,              1949947,               -306451,              1643496,,               -200918,                200000,               -886716,                    -40,                   -354,                 17619,,               -870409,,                  2000,,                  2000,                 -2145,                772942,              4359057,              5131999,              5131999,,,,,,,,,,
2441,2014年度,,              2567119,              2567119,,,              1834776,                  2665,                  2255,                  2674,                -35483,                   -964,                -29851,,,,,                 25468,                -46242,                 27076,                 88018,                 -3765,                 90555,,                -24552,                -97096,                104904,                  8310,                 22250,,                  6038,                 96593,              1869865,              4436984,               -217501,              4219483,,               -403778,                200000,             -2911462,                   -297,                 -7852,                 35845,                    964,             -3105062,,                     74,             -1137692,             -1137618,                  9516,                -13681,              4372738,              4359057,              4359057,,                 -2800,              1773272,                 -7778,               -101000,                 79296,                              0,                  3222,                              0,
2441,2014年01月01日至2014年09月30日,,              1980811,              1980811,,,              1358252,                  1852,                   -934,                  1985,                -27310,                   -964,                 -5915,              1326966,,,                -75100,                   -859,               -297623,                -30203,                130732,                 19773,               -253280,,                -16519,                -73942,                252885,                   -808,                -26842,                 -7007,                127767,               -125513,              1201453,              3182264,               -216717,              2965547,,               -403778,                200000,             -2410023,                   -267,                 -7171,                 28671,                    964,             -2591604,,                     74,                              0,                     74,                   -126,                373891,              4372738,              4746629,              4746629,,,,,,,,,,
2441,2014年01月01日至2014年06月30日,,              1285174,              1285174,,,                885248,                  1086,                 -5256,                  1349,                -17720,,                 17324,                882031,,,                -41000,                 -9495,               -241155,                -38948,                 57859,                 15515,               -257224,,                -16533,                 -5582,                183706,                 -1364,                -94146,                 -6206,                 59875,               -197349,                684682,              1969856,               -215670,              1754186,,               -202255,                200000,             -1145096,                   -132,                 -6699,                 18870,,             -1135312,,                     74,,                     74,                 -1787,                617161,              4372738,              4989899,              4989899,,,,,,,,,,
2441,2014年01月01日至2014年03月31日,,                587106,                587106,,,                431613,                    431,                 -1187,                    717,                 -8448,,                 -3340,,,,                -10000,                 28488,                 12728,                  7317,                 63112,                 -6373,                 95272,,                -24875,               -119651,                 83853,                              0,               -160617,,               -226711,               -131439,                288347,                875453,                   -760,                874693,,               -202255,,               -496703,                    -60,,                  5666,,               -693352,,,,                              0,                  2371,                183712,              4372738,              4556450,              4556450,,,                419786,                 -5421,,,,,                              0,
2441,2013年度,,              1834309,              1834309,,,              1727545,                  1237,                  1784,                  1530,                -31002,                   -193,                -12043,,,,,                 87609,               -179711,                -78110,                -31855,                 -1437,               -203504,,                 21339,                 82733,                 61116,                  6307,                 76574,,                244427,                 40923,              1729781,              3564090,               -136577,              3427513,,               -403697,                              0,             -1883841,                    -60,                 -6078,                 26864,                    193,             -1932914,,                              0,               -886600,               -570179,                  2102,                926522,              3446216,              4372738,              4372738,,                              0,              1688858,                 -3642,               -121270,                455138,                   -163,                              0,                316421,
2441,2013年01月01日至2013年12月31日,,              1834309,              1834309,,,              1727545,                  1237,                  1784,                  1530,                -31002,                   -193,                -12043,,,,                333868,                 87609,               -179711,                -78110,                -31855,                 -1437,                130364,,                 21339,                 82733,                 61116,                  6307,                 76574,,                244427,                374791,              2063649,              3897958,               -136577,              3761381,,               -403697,,             -1883841,                    -60,                 -6078,                 26864,                    193,             -2266782,,,               -886600,               -570179,                  2102,                926522,              3446216,              4372738,              4372738,,                              0,              1688858,                 -3642,,,                   -163,                              0,                316421,                              0
2441,2013年01月01日至2013年09月30日,,              1272826,              1272826,,,              1285992,                    772,                 -2977,                    850,                -23228,                   -193,                  2340,,,,,                 83834,               -153040,                -91050,                 26814,                 -5730,               -139172,,                   -134,                 72686,                158528,                  2022,                -13684,,                216747,                 77575,              1341131,              2613957,               -135832,              2478125,,               -403697,                              0,             -1252056,                    -16,                 -6078,                 20094,                    193,             -1458281,,                              0,,                  1980,                  1790,              1023614,              3446216,              4469830,              4469830,,,              1263556,                 -2671,                -80430,                263872,                   -163,,                  1980,
2441,2013年01月01日至2013年06月30日,,                784953,                784953,,,                847903,                    491,                    257,                    170,                -14665,,                -10510,,,,                              0,                105473,               -304100,                -52211,                 86450,                -21429,               -185817,,                 -1945,                 91109,                112066,                  2950,                -27955,,                174490,                -11327,                812319,              1597272,               -135081,              1462191,,               -403697,                              0,               -535107,                              0,                 -1079,                 13251,,               -711534,,                              0,,                  1980,                  3477,                756114,              3446216,              4202330,              4202330,,,                823646,                 -1735,                -48430,                263691,                   -163,,                  1980,
