證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 其他預付款項減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款減少,　　 存出保證金減少,　　　　　 其他營業負債增加（減少）
2458,2015年01月01日至2015年09月30日,,                722189,                722189,,,                 60118,                 51558,                   -892,                 -6748,                    650,                -41116,                -30524,                              0,                 -5420,                  2648,                 19879,                              0,                 34898,                 43462,                128513,,,                101730,                 22226,                -32934,                -60318,                    953,                -14932,                 16725,,                 -5062,                 20955,               -133932,               -118039,               -101314,                 27199,                749388,                 41404,                 30524,                   -650,                -84943,                735723,,                 11530,                -17251,               -127287,                 40000,                111698,                -86000,                              0,                -19528,                  4856,                -25946,                  3859,                              0,                610040,                505971,,                 46000,                 -9203,             -1523172,                              0,                              0,                              0,                 20520,             -1465855,                              0,               -224161,              1158599,                934438,                934438,,,,,,,
2458,2015年01月01日至2015年06月30日,,                457814,                457814,,,                 40413,                 33379,                 -1079,                  5374,                    249,                -28388,                -25243,                    116,                   -798,                  2551,                 17795,                              0,                 22562,                 26749,                 93680,,,                 75983,                -17423,                212770,                117979,                 -4051,                 -5469,                379789,,                 -4745,               -118173,               -118741,               -241659,                138130,                231810,                689624,                 28310,                 25243,                   -249,                -80076,                662852,,                 10415,                -17251,                -95990,                 40000,                111698,                -80000,                              0,                -11880,                  4856,                -11246,,                              0,                533300,                485986,,                 72000,                              0,,                              0,,                              0,                     10,                 62801,,              1211639,              1158599,              2370238,              2370238,                  2084,                 -9209,,,,,
2458,2015年01月01日至2015年03月31日,,                277955,                277955,,,                 20202,                 16545,                   -377,                 -1239,                     13,                -13212,,                    116,                  2809,                  2454,,,                 11184,                 13346,                 51841,,,                 15997,                 -1206,                134971,                 28471,                  7447,                  2613,                188293,,                 -3579,               -106851,               -144912,               -255342,                -67049,                -15208,                262747,                 13036,,                    -13,                 -2502,                273268,,,                -17251,                -15990,,                  1200,,,                 -5372,                  4857,                 -4841,                  1941,,               -239098,               -274554,,                  6000,                 -9062,,                              0,,                              0,                     10,                 -3052,,                 -4338,              1158599,              1154261,              1154261,,,,,,,
2458,2014年度,,              1686447,              1686447,,,                 85914,                 59152,                 -2191,                 -6440,                    535,                -60343,                -15731,                 10675,                 13470,,               -111927,,                 14963,                 80551,,,,               -242221,                -14741,                 18336,                111557,               -109354,                  2571,               -233852,,                  2465,                 86644,                168059,                257168,                 23316,                 91944,              1778391,                 42911,                 15731,                   -535,               -382922,              1453576,,                136516,,                -55750,,                 39160,               -177029,                 17810,                -37300,                    613,               -178078,,,                -40500,               -294131,,,                  5512,             -1460581,                363845,                              0,                 21710,                 74105,               -995409,,                164036,                994563,              1158599,              1158599,                    427,,,                 68628,                              0,,
2458,2014年01月01日至2014年09月30日,,              1336098,              1336098,,,                 63949,                 40442,                   -339,                -11616,                    278,                -34874,                -12969,                 10506,                  6006,                   -545,               -111927,                   -663,                  4251,                 46245,                 -1256,,,               -111107,                  4053,                -42948,                 59928,                 -6804,                 -6379,               -103257,,                   -539,                  3728,                127138,                130327,                 27070,                 25814,              1361912,                 32121,                 12969,                   -236,               -381845,              1024921,,                136516,                              0,                              0,                              0,                 39160,                -27029,                 17809,                -30784,                    572,               -171894,                    819,                              0,                248200,                213369,,                 44000,                    863,             -1460581,                284386,                              0,                 21710,                 73626,             -1035996,                              0,                202294,                994563,              1196857,              1196857,,,,,,,
2458,2014年01月01日至2014年06月30日,,                894653,                894653,,,                 42232,                 23137,                  2099,                 -9977,                     11,                -23822,                -12422,                 10346,                  3878,                    390,                -94488,                   -663,                              0,                 34811,                -24468,,,                  6192,                -51573,                 23268,                 85040,                -49145,                -34368,                -20586,,                 -2318,                 72022,                 59374,                129078,                108492,                 84024,                978677,                 20675,                 12422,                     -2,               -209941,                801831,,                114960,                              0,                              0,                              0,                 39160,                              0,                 17809,                -14162,                              0,                -79251,,                              0,               -295900,               -220683,,                 21500,                  5458,,                252032,,                 21710,                 43179,                343879,,                925027,                994563,              1919590,              1919590,                 -3299,                              0,,,,,
2458,2014年01月01日至2014年03月31日,,                359708,                359708,,,                 21324,                 10513,                -18235,                   -775,                     11,                -10985,,                  1060,                  2357,                              0,,,                              0,                 22424,                 27694,,,                -22895,                -24434,                 91399,                130450,                -29178,                -10339,                135003,,                 -1553,                 11065,                -48094,                -38582,                 96421,                124115,                483823,                  8094,,                     -2,                    -62,                491853,,,                              0,                              0,,                              0,,,                 -3845,                              0,                -64482,                 -2197,,               -220700,               -291224,,                  6000,                  2791,,                 84750,,                              0,                 43180,                136721,,                337350,                994563,              1331913,              1331913,,,,,,,
2458,2013年度,,              1719779,              1719779,,,                117004,                 45718,                 20909,                -10894,                    558,                -41256,                 -1679,                 36722,                 15711,,                 -8396,,                 11348,                101015,,,,                116439,                 13520,               -120118,                -67246,               -164407,                 16742,               -205070,,                  1831,                -51002,                 32303,                -16868,               -221938,                 64822,              1784601,                 40756,                  1679,                   -619,               -164683,              1661734,,                151896,,                -57395,,                 46070,                              0,                              0,                -43057,                     16,                -14586,,,               -885100,               -806699,,,                  3569,             -1240008,                695363,               -362294,                219121,                  4028,               -705221,,                149814,                844749,                994563,                994563,                 -4543,,,                286760,                -25000,,
2458,2013年01月01日至2013年12月31日,,              1719779,              1719779,,,                117004,                 45718,                 20909,                -10894,                    558,                -41256,,                 36722,                 15711,,,,                 11348,                101031,,,,                116439,                 -7389,                -99209,                -67246,               -164407,                 16742,               -205070,,                  1831,                -51002,                 32303,                -16868,               -221938,                 74913,              1794692,                 40756,,                   -619,               -164683,              1670146,,                143500,,                -57395,,                 46070,                              0,                              0,                -43057,                              0,                -14586,                              0,,               -885100,               -815111,,                              0,                              0,             -1240008,                695363,               -362294,                219121,                  4028,               -705221,,                149814,                844749,                994563,                994563,                 -4543,                  3569,,                296851,                -25000,,                              0
2458,2013年01月01日至2013年09月30日,,              1323754,              1323754,,,                 87758,                 34684,                 29068,                 -6449,                    386,                -31645,                 -1679,                 30561,                 12643,                     33,                 -8396,                              0,                  4539,                 66762,,,,                141433,                -14490,               -241772,                -59473,               -176424,                 -4551,               -355277,,                   -451,                  4994,                194431,                198974,               -156303,                 61962,              1385716,                 30187,                  1679,                   -425,               -149331,              1267826,,                151896,,                -41894,,                 36817,                              0,                              0,                -31314,                     16,                 -4595,                              0,                 -6879,               -402130,               -298083,,                 -2000,                  1139,             -1240008,                695363,               -323541,                167673,                    827,               -700547,                              0,                269196,                844749,              1113945,              1113945,,,,                218265,,,
