證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產減少,　　　　 未實現外幣兌換損失（利益）,　　 取得無活絡市場之債券投資,　　 存出保證金減少,　　 處分無活絡市場之債券投資,　　 其他非流動資產減少,　　　　 非金融資產減損迴轉利益,　　 預付設備款增加,　　 應付短期票券增加
2460,2015年01月01日至2015年09月30日,,                -51740,                -51740,,,                200401,                  3510,                   -605,                              0,                 35067,                -14802,                   -952,                  4695,                  5724,                 11009,                  4794,                248841,,,                              0,                 43933,                  6820,                 19382,                121006,                 -2184,                188957,,                              0,                 14669,                  9794,                -18249,                  2051,                    -20,                  8245,                197202,                446043,                394303,                 17612,                -18785,                393130,,                              0,             -1021566,                983902,               -264244,                    169,                -17488,                 -7740,                    952,               -326015,,              1126935,               -995586,                510000,               -500000,                -34320,                -14953,                -39880,                 52196,                 96932,                216243,              1269649,              1485892,              1485892,,,,,,,,,,,,,,
2460,2015年01月01日至2015年06月30日,,                -29518,                -29518,,,                134645,                  2311,                 -2947,                              0,                 22928,                -10516,                   -348,                  3119,                 -2788,                  6359,                  2693,                155456,,,                              0,                 29966,                 70022,                  2319,                153769,                 27747,                283823,,                              0,                -69733,                -63951,                -12397,                    168,                    -14,               -145927,                137896,                293352,                263834,                 11672,                -15590,                259916,,                              0,               -668937,                587023,               -193253,                    169,                 78287,                 -7297,                    348,               -203660,,              1135020,             -1033291,                410000,               -341250,,,                -25697,                144782,                -39973,                161065,              1269649,              1430714,              1430714,,,,,,,,,,,,,,
2460,2015年01月01日至2015年03月31日,,                -16219,                -16219,,,                 65842,                  1148,                 -2342,                              0,                 11469,                 -5452,                              0,                  1262,                              0,,                  4526,                 76453,,,                              0,                 28284,                128538,                  4378,                 68687,                 17268,                247155,,                              0,               -104227,                -96216,                -16632,                    170,                     -7,               -216912,                 30243,                106696,                 90477,                  7567,                -11972,                 86072,,                              0,                 -1224,                              0,                -96371,,                106305,                 -7155,                              0,                  1774,,                507425,               -420177,                120000,               -208750,,,                -12535,                -14037,                 -1264,                 72545,              1269649,              1342194,              1342194,                    219,,,,,,,,,,,,,
2460,2014年度,,                140157,                140157,,,                237386,                  4104,                    386,                 -1073,                 45748,                -25263,                   -618,                  7020,                 -2207,,                  5716,,,,                  5289,                 -2930,                 70543,                -22011,               -214051,                 10767,               -152393,,                 -4808,                120765,                  1910,                   -174,                   -934,,                116356,                -36037,                235162,                375319,                 25631,                -36937,                364013,,                 12570,               -134434,                178869,               -452473,                  3980,,                -24553,                    618,               -762922,,              2538700,             -2532117,              1250000,             -1370833,                              0,,                -46002,               -160252,                143955,               -415206,              1684855,              1269649,              1269649,                 -1529,,                271199,                   -403,                              0,               -345970,,,,,,,,
2460,2014年01月01日至2014年09月30日,,                112997,                112997,,,                174521,                  3015,                  2663,                   -989,                 34581,                -18468,                   -618,                  4495,                 -2467,                              0,                  2968,                199701,,,                  5289,                  4141,                 87894,                 -1995,               -151845,                  2846,                -53670,,                 -4808,                 88120,                 -1971,                -11912,                  1005,                     42,                 70476,                 16806,                216507,                329504,                 20334,                -24501,                325337,,                  9388,               -134434,                167244,               -295401,                  3764,               -300832,                 -2251,                    618,               -551904,,              1893256,             -1738979,              1050000,             -1058333,                              0,                              0,                -34573,                111371,                 39764,                -75432,              1684855,              1609423,              1609423,,,,,,,,,,,,,,
2460,2014年01月01日至2014年06月30日,,                 68406,                 68406,,,                115303,                  1992,                 -2178,                   -982,                 21970,                -12255,                   -250,                  1736,                 -2968,                              0,                  1712,                124080,,,                  5289,                 44467,                 70605,                 -7253,               -218191,                 29761,                -75322,,                 -4808,                 84393,                -45247,                -12543,                  2372,                     10,                 24177,                -51145,                 72935,                141341,                 12789,                 -9025,                145105,,                  9388,               -130986,                149623,               -183569,                  1891,                -65157,                   -439,                    250,               -218999,,              1308608,             -1276630,                700000,               -689583,,,                -21376,                 21019,                 68224,                 15349,              1684855,              1700204,              1700204,,,,,,,,,,,,,,
2460,2014年01月01日至2014年03月31日,,                -34218,                -34218,,,                 58228,                  1013,                 -2105,                   -354,                 10812,                 -5928,                   -146,                  1015,                   -787,,                 21321,                 83069,,,                  2778,                 39031,                186174,                 -2401,               -187473,                -32808,                  5301,,                 -3865,                 16924,                133033,                 -8968,                   -496,                    -17,                136611,                141912,                224981,                190763,                  7897,                    121,                198781,,                  2323,               -100470,                 47363,                -87875,,               -210193,                   -325,                    146,               -348413,,                556910,               -560918,                300000,               -464149,,,                -12566,               -180723,                 13568,               -316787,              1684855,              1368068,              1368068,                    618,,,,,,,,,,,,,
2460,2013年度,,                 22657,                 22657,,,                217780,                  5060,                  4015,                  2521,                 66094,                -34972,                 -1637,                  4663,                -14423,,                 13531,,,,                109504,                -67648,                -69689,                 12458,               -152713,                -32435,               -200523,,                 -5592,                 71808,                -76613,                 -5389,                    942,,                -15208,               -215731,                 46901,                 69558,                 35089,                -16610,                 88037,,                    756,               -646415,                643990,               -415518,                    601,,                 -6352,                  1637,               -335439,,              1450638,             -2241185,                760000,               -631667,                -39468,,                -68257,               -769939,                198196,               -819145,              2504000,              1684855,              1684855,                    -99,,                262632,                   -364,                 -8763,                 94724,,,,,,,,
2460,2013年01月01日至2013年12月31日,,                 22657,                 22657,,,                217780,                  5060,                  4015,                  2521,                 66094,                -34972,                 -1637,                  4663,                -14423,,                 13530,,,,                109504,                -67648,                -69689,                 12458,               -152713,                -32435,               -200523,,                 -5592,                 71808,                -76613,                 -5389,                    942,,                -15208,               -215731,                 46901,                 69558,                 35089,                -16610,                 88037,,                    756,               -646415,                643990,               -415518,                    601,,                 -6352,                  1637,               -335439,,              1450638,             -2241185,                760000,               -631667,                -39468,,                -68257,               -769939,                198196,               -819145,              2504000,              1684855,              1684855,                -13846,,                262632,                   -364,                 -8763,,                      1,                              0,                              0,                108471,                              0,,,
2460,2013年01月01日至2013年09月30日,,                 -4430,                 -4430,,,                162020,                  3843,                  3831,                  2484,                 50462,                -27223,                 -1357,                  3514,                -13096,                  2840,                  9919,,,,                  4083,                -38276,                 -4879,                -16122,               -411728,                -22001,               -488923,,                 -3659,                146379,                -88902,                -17467,                  2985,,                 39045,               -449878,               -252614,               -257044,                 27523,                -15475,               -244996,,                114481,               -594225,                609437,               -244386,                    490,,                 -2222,                  1357,               -294068,,                810948,             -1193388,                659112,               -431489,                -39468,,                -51409,               -245694,                136199,               -648559,              2504000,              1855441,              1855441,                -26868,,                197264,                   -291,                -16886,,                     27,               -135246,,,,,,
2460,2013年01月01日至2013年06月30日,,                -74465,                -74465,,,                107024,                  2532,                   -873,                  5162,                 35203,                -20754,                   -106,                  2103,                 -5506,                 47244,                 20380,,,,                  1324,                -27191,                 19315,                -24455,               -410940,                -26670,               -468617,,                 -3219,                155937,                 28810,                 13840,                    678,,                195836,               -272781,                -80337,               -154802,                 20701,                -14778,               -148879,,                114481,               -479631,                383473,               -164665,                    691,,                 -2006,                    106,               -177303,,                576450,             -1237496,                349112,               -323156,,,                -36788,               -671878,                162535,               -835525,              2504000,              1668475,              1668475,                -11694,,                192444,                   -210,                -11796,,                     35,                 -6262,                              0,,,,,
