證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現銷貨利益（損失）,　　　　　 淨確定福利負債增加(減少),　　 預付投資款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 存出保證金減少,　　 處分無形資產,　　 其他預付款項減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目
2465,2015年度,,                 48844,                 48844,,,                 14359,                 12132,                    481,                 10853,                   -716,                  1828,               -147652,                  6247,               -102468,,,                  4998,                 45473,                 -5155,                -20015,                  1437,                  3363,                 -4080,                 26021,,                 40077,                 19666,                  8122,                  3988,                 -3155,                  4301,                 72999,                 99020,                 -3448,                 45396,                    716,                -11282,                 -3481,                 31349,,                -17500,                 -1000,                -45707,                222699,                 -4404,                -21977,                 -3420,                              0,                 -2130,                              0,                 -3825,                122736,,                              0,               -153445,                 31765,                -37165,                              0,                 -2233,                              0,                 31400,               -129678,                 -2786,                 21621,                197832,                219453,                219453,,,,,,,,,,,,,,,,,,,
2465,2015年01月01日至2015年09月30日,,                 81665,                 81665,,,                 10924,                  8282,                    223,                  8092,                   -496,                  1417,               -146892,                  4519,               -113929,,,                  4998,                 28075,                 -4164,               -102821,                  2776,                 -5381,                 -1201,                -77718,,                 93341,                    636,                  3334,                  2978,                  3612,                  5411,                109312,                 31594,                -82335,                   -670,                    447,                 -8418,                 -3408,                -12049,,                -14000,                 -1000,                 -9349,                221906,                 -3770,                -18855,                   -911,,                 -4859,                              0,                 -3825,                161837,,                              0,               -180151,                 31481,                -24980,                              0,                 -2226,                              0,                 31400,               -144476,                 -1490,                  3822,                197832,                201654,                201654,                      2,                              0,                 -3500,,,,,,,,,,,,,,,,
2465,2015年01月01日至2015年06月30日,,                122988,                122988,,,                  7354,                  5013,                   -383,                  5426,                   -355,                    879,               -146892,                  4519,               -124439,,,                  4997,                 56698,                 -2842,                -68704,                  2382,                -10541,                 -2757,                -20767,,                 34832,                -20580,                  3538,                  1880,                   -464,,                 19206,                 -1561,               -126000,                 -3012,                    302,                 -5940,                 -3407,                -12057,,                -14000,                 -1000,                 -6235,                221906,                              0,                 -8470,                 -6000,                  2193,                 -7482,,                              0,                181232,,                              0,               -144392,                              0,                -15563,                              0,                   -117,,                  2650,               -157422,                 -2913,                  8840,                197832,                206672,                206672,                              0,,,                              0,                    320,,,,,,,,,,,,,,
2465,2015年01月01日至2015年03月31日,,                162280,                162280,,,                  4039,                  2245,                   -377,                  3086,                   -136,                    296,               -142973,                  4519,               -129301,,,                  4998,                 25442,                 -1194,                -99109,                  1173,                -13425,                  6160,                -75955,,                  9303,                -27150,                  2968,                 13543,                 -3123,,                 -4459,                -80414,               -209715,                -47435,                    108,                 -3458,                    -48,                -50833,,                -14000,,                 -1385,                217474,,                 -2380,                 -6000,                  9312,,                              0,                              0,                205177,,                              0,               -116622,,                 -7866,                              0,                   -143,,                  2650,               -121981,                 -1415,                 30948,                197832,                228780,                228780,,,,,                    317,                              0,                  1839,,,,,,,,,,,,
2465,2014年度,,               -140580,               -140580,,,                 21548,                 15120,                  7301,                 10632,                   -742,                  1296,                    422,                 12148,                 67725,,,                 36449,                -72868,                  5468,                -37912,                  3210,                 -8539,                 -2323,                -76515,,                -29875,                  1005,                 -1476,                  4893,                 -1432,                  9778,                -17107,                -93622,                -25897,               -166477,                    745,                -10056,                   -312,               -176100,,                              0,                              0,                -10221,                    294,                 -5618,                -11298,                -24168,                  6000,                              0,                    514,                -95897,               -140394,,                243500,                              0,                 60740,                -17751,                  3490,                              0,                    335,                 13793,                304107,                  5493,                 -6894,                204726,                197832,                197832,,,,,,,,,,,,,,,,,,,
2465,2014年01月01日至2014年09月30日,,               -101099,               -101099,,,                 17010,                  7501,                  7164,                  7562,                   -509,                    823,                    418,                              0,                 39969,,,                 39185,                -30293,                 -4332,                -30127,                  4057,                 -9271,                     67,                -30714,,                  5662,                -13507,                 -1267,                  2763,                  3430,                  1954,                   -965,                -31679,                  8290,                -92809,                    458,                 -7138,                    -53,                -99542,,                              0,                              0,                 -8760,                    283,                 -5388,                 -8640,                -22632,,                              0,                    358,                -84120,               -128899,,                172014,                              0,                 60314,                -10072,                  2948,                              0,                    200,                 13793,                239197,                  1208,                 11964,                204726,                216690,                216690,                              0,                              0,                              0,,,,,,,,,,,,,,,,
2465,2014年01月01日至2014年06月30日,,                -80951,                -80951,,,                 11979,                  3990,                  7025,                  4512,                   -368,                    485,                    470,                              0,                 28122,,,                 38383,                 23484,                 -3024,                 -6377,                  6117,                 -5392,                    941,                 54132,,                -31925,                -28168,                 -1093,                 -1653,                 -1163,,                -64002,                 -9870,                 18252,                -62699,                    317,                 -4213,                    -53,                -66648,,                              0,                              0,                 -4563,                     55,                 -5446,                 -5035,                -20469,                  6000,                   -470,,                -46462,                -76390,,                124768,                              0,                 59730,                 -2494,                  2885,                              0,,                 13793,                198682,                   -204,                 55440,                204726,                260166,                260166,                     29,,,                              0,                              0,,,,,,,,,,,,,,
2465,2014年01月01日至2014年03月31日,,                -32376,                -32376,,,                  6184,                  1203,                  6818,                  2002,                   -353,                    219,                    469,                              0,                 16542,,,                 27275,                -10939,                 -3318,                -45507,                  2148,                  4632,                    246,                -25463,,                   -102,                -34930,                   -667,                  1624,                 -1977,,                -36052,                -61515,                -44973,                -77349,                    326,                 -1617,                    -54,                -78694,,                              0,,                 -1060,                     64,,                   -291,                 -3106,                              0,,                    358,                 -3453,                 -7220,,                113352,                              0,,                              0,                  3016,                              0,,                  1010,                117378,                    344,                 31808,                204726,                236534,                236534,,,,,                    248,                     20,                              0,,,,,,,,,,,,
2465,2013年度,,                -99635,                -99635,,,                 23244,                  7006,                  4405,                  5405,                   -874,                     49,                              0,                              0,,,,                -31941,                 52567,                -21355,                -12556,                 -6555,                  2135,                  7165,                  3525,,                -94048,                 52316,                 -3111,                 28935,                  1030,                              0,                -16406,                -12881,                 22202,                -77433,                    872,                 -4974,                 -1958,                -83493,,,                 -2800,                -12175,                              0,                              0,                -15983,                -10150,                 12000,                   -914,                              0,                -86434,               -102390,,                214482,,                              0,                              0,                              0,                 -2717,                              0,                  2129,                213894,                  1391,                 29402,                175324,                204726,                204726,,,,                    415,                  4982,,,,                 -6567,                  2000,                 35083,                 14065,                 -1528,                  8302,                    782,,,,
2465,2013年01月01日至2013年09月30日,,                -75476,                -75476,,,                 17396,                  4742,                  1008,                  3557,                   -446,                              0,                              0,,,,,                -22527,                 23529,                 35092,                -34755,                -13154,                -13845,                  5747,                 -5848,,               -131763,                 -4974,                 -2648,                 17455,                  6447,                    149,               -116323,               -122171,               -102066,               -177542,                    337,                 -2642,                    -56,               -179903,,,,                 -9561,                              0,                              0,                -13888,                -32855,,                   -783,                              0,                -42876,                -84625,,                279049,,                              0,                              0,                      2,,                              0,                  2129,                281180,                    665,                 17317,                175324,                192641,                192641,,,,                    415,                  6254,,,,                 -6567,,                 20105,                 14065,                   -989,                  8302,                    782,,,,
