證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項增加,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分無形資產損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他營業負債增加（減少）,　　 存出保證金減少,　　　　　 遞延貸項增加（減少）,　　 存出保證金增加
2475,2015年01月01日至2015年09月30日,,             -5360183,             -5360183,,,              6110052,                321893,                 -3763,               -185553,              2441695,               -611679,                 13640,             -1440868,                 81849,                              0,                -22136,                 30000,                              0,                              0,              6735130,,,                  2287,                795776,                -48542,               -299072,                 20986,              1027814,                -92294,              1406955,,                    262,               -282477,                  5550,                326564,                217234,                221386,                -86142,                -47930,               -987458,                 89405,               -171994,               -715600,                691355,              7426485,              2066302,                274651,             -2384969,               -763884,               -807900,,                103545,            -10382414,              4428026,                              0,                -18635,               -516718,             -3508106,              2893386,               -216592,               -126833,                 18019,             -7326322,,             49609906,            -48387935,                  8530,             -2542288,                              0,               -600000,             10000591,             -4048415,                  7034,                 -6360,                516201,              1000000,             -1400000,                 95124,                -57215,              4195173,               -620447,             -4559496,             20603486,             16043990,             16043990,,,,,,,,,,,,,,,,,,,,,,,
2475,2015年01月01日至2015年06月30日,,             -1938751,             -1938751,,,              4092607,                244308,                 -3729,                -34306,              1631385,               -418078,                 12684,             -1441170,                 56148,                              0,                -22136,,,                              0,              4117713,,,                  6793,              1681935,               -306027,                 33746,                 26448,                702270,                  8787,              2153952,,                    262,               -264831,                  1334,               -379446,                -25425,               -781598,                 14176,                -47930,             -1069973,                 91552,               -103950,             -2565829,               -411877,              3705836,              1767085,                182814,             -1536999,               -641406,               -228506,,                103545,             -8677786,              3950836,                              0,,               -504776,             -2403656,              2859480,               -167811,               -104572,                 12780,             -4931960,,             33257852,            -32657381,                  5087,             -1267872,,               -300000,              8988378,             -2861717,                  6170,                 -5485,                504271,              1000000,             -1400000,                 95024,                -37622,              5326705,               -920373,               -754134,             20603486,             19849352,             19849352,,,,,,,,,,,,,,,,,,,,,,,
2475,2015年01月01日至2015年03月31日,,             -1076426,             -1076426,,,              2041767,                123766,                  4491,                 -2949,                791505,               -198588,                  2958,                  4776,                 30167,                              0,                              0,,,                              0,              2797893,,,                  6706,                723122,               -152622,                -95454,                    833,                606661,                 45305,              1134551,,                    221,               -211190,                  7696,               -180473,                 89681,               -626612,                137579,                 -5101,                218905,                -33592,                -49784,               -652670,                481881,              3279774,              2203348,                 80633,               -666071,               -167202,              1450708,,                              0,             -7894063,              2673537,,                 32672,,             -1051636,                 22050,               -158167,                 -7987,                    369,             -6383225,,             20317894,            -19874481,                  5137,                              0,,               -300000,              7811641,               -868059,                  3268,                   -465,,,                -50000,                 95953,                -18266,              7122622,               -742077,              1448028,             20603486,             22051514,             22051514,,,,,,,,,,,,,,,,,,,,,,,
2475,2014年度,,             -3317826,             -3317826,,,              7695503,                452689,                357980,               -151730,              2415068,               -379303,                   -662,                 34570,                 47387,               -346305,               -189175,                  8000,                  9975,                    799,,,,                102714,               -466038,                 45419,                724036,                -81702,               -219813,                -16156,                 88460,,                    199,                 98847,                 23238,                170676,             -1067416,               -430148,                203449,                 -5142,               -525870,                 51013,,             -1701587,             -1613127,              8341669,              5023843,                219838,             -2282594,               -610525,              2350562,,                361397,,,               -197358,,,             -3793674,                241984,               -329014,               -240712,                403346,            -12614840,,             65707732,            -67577389,              4914214,             -3790240,              1500000,             -1884941,             20119656,             -4564429,                388302,                -21017,,              1450000,                -50000,                 10926,                -16848,             16185966,              1102651,              7024339,             13579147,             20603486,             20603486,,                              0,                              0,                              0,              9954796,               -220433,                              0,                              0,            -17817984,              8757175,                              0,                              0,                              0,                              0,,,,,,,,,
2475,2014年01月01日至2014年09月30日,,               -982588,               -982588,,,              5631730,                335055,                412340,                 18997,              1631483,               -269821,                 -3528,                 36732,                 90768,               -346305,               -189175,                              0,                  9975,                    791,              7359042,,,                102153,               -266928,                 78357,                700728,                -96768,             -1498481,                -46715,             -1027654,,                    167,                 48769,                 18252,                251515,               -810722,               -203239,                360040,                 11329,               -851663,                127789,               -127770,             -1175533,             -2203187,              5155855,              4173267,                185491,             -1589120,               -487322,              2282316,,                361397,            -12440006,              5806340,               -197773,                              0,                              0,             -2763715,                232867,               -305370,               -232703,                397756,             -9141207,,             52693826,            -49980011,              2444682,             -3774870,              1500000,             -1884941,             10867924,             -2855030,                              0,                 -5200,                              0,              1450000,                -30000,                 10859,                 -1329,             10435910,                533540,              4110559,             13579147,             17689706,             17689706,,,,,,,,,,,,,,,,,,,,,,,
2475,2014年01月01日至2014年06月30日,,                526864,                526864,,,              3824765,                223717,                 -1467,                 55544,              1019763,               -185247,                 -2853,                -79631,                 24324,               -346305,               -123116,,,                    730,              4410224,,,                 80384,                120947,               -521205,                859013,                -22340,               -619845,                 52275,                -50771,,                    134,                 27829,                 43411,                 43239,               -624352,               -863299,                312628,                  9742,               -700032,                 13030,                -80628,             -1818298,             -1869069,              2541155,              3068019,                152867,             -1099488,               -393280,              1728118,,                255054,             -6786876,              4289300,               -194156,,                              0,             -1607989,                116995,               -136990,                -95000,                393887,             -3765775,,             32331900,            -32567649,              1225740,             -3785992,,                -76741,              8546253,             -1995064,                  1479,                              0,                              0,              1450000,                              0,                 10892,                              0,              5140818,                 59627,              3162788,             13579147,             16741935,             16741935,,,,,,,,,,,,,,,,,,,,,,,
2475,2014年01月01日至2014年03月31日,,                317844,                317844,,,              1920553,                111517,                 -1194,                -19815,                452993,                -82012,                    674,                   -369,                 12023,               -346305,                -70038,,,                    730,              1978757,,,               -168433,             -1019690,                  8272,                835402,                 -6099,               -512035,                -60779,               -923362,,                     43,                106414,                 51009,                 72759,               -241785,               -288651,                162881,                 13237,               -396605,                  6694,                -33024,               -547028,             -1470390,                508367,                826211,                 74779,               -576852,               -109497,                214641,,                207279,             -6804470,              2943878,,                              0,,               -790026,                 10293,                -73193,                -87823,                359300,             -4234762,,             22384589,            -16523541,                              0,             -3808386,,                -76741,              8574427,               -318695,                    468,                              0,,,                              0,                 10958,                              0,             10243079,                556776,              6779734,             13579147,             20358881,             20358881,,,,,,,,,,,,,,,,,,,,,,,
2475,2013年度,,             -3953307,             -3953307,,,              9839965,                899408,                 -8387,                339972,              1726025,               -301247,              1168701,                -50791,                 55507,                              0,              1020510,                              0,              1093666,                              0,,,,               -101450,               -634907,                557517,             -1100565,                 -8230,                201367,                727480,               -358788,,                   -133,                182080,               -137593,             -1581515,               -587312,                658119,                -11528,               -437494,               -358636,                -58175,,             -2464143,             -2822931,             11455896,              7502589,                307222,             -1496974,               -621743,              5694179,,                 75567,,,                              0,,,             -3398002,                 75125,               -212884,               -145650,                432719,             -2294467,,             57850336,            -56566386,              3799039,             -1308740,                              0,                              0,              2381065,             -9308591,                -41851,                              0,,                              0,                              0,                188851,                              0,             -3325995,                431168,                504885,             13074262,             13579147,             13579147,,                 -3085,                 -2947,             -1498470,             14278827,               -131956,                  3085,                 -8340,            -10277306,              7503161,                221991,              1556521,              1882631,               -319718,,,,,,,,,
2475,2013年01月01日至2013年12月31日,,             -3953307,             -3953307,,,              9839965,                899408,                 -8387,                339972,              1726025,               -301247,              1168701,                -50791,                 55507,                              0,              1020510,,              1093666,,,,,               -101450,               -634907,                557517,             -1100565,                 -8230,                201367,                727480,               -358788,,                   -133,                182080,               -137593,             -1581515,               -587312,                658119,                -11528,               -437494,               -358636,                -58175,,             -2464143,             -2822931,             11455896,              7502589,                307222,             -1496974,               -621743,              5694179,,                 75567,,,,,,             -3398002,                 75125,               -212884,               -145650,                432719,             -2294467,,             57850336,            -56566386,              3799039,             -1308740,,,              2381065,             -9308591,                              0,                -41851,,,,                188851,,             -3325995,                431168,                504885,             13074262,             13579147,             13579147,,                 -3085,                 -2947,             -1498470,             14278827,               -131956,                  3085,                 -8340,            -10277306,              7503161,                221991,              1556521,              1882631,               -319718,,,                              0,,,,,,
2475,2013年01月01日至2013年09月30日,,             -4235109,             -4235109,,,              7872137,                671310,                    -92,                -47873,              1270629,               -189352,                196703,                -55460,                 41993,                              0,              3313425,,                              0,                              0,,,,                -40186,               -174056,                530787,                -95516,                 -7601,               -212102,                367288,                368614,,                    293,                287420,               -111411,             -1611018,               -320775,               -252367,               -148231,               -424507,               -312482,                 65714,,             -2925692,             -2557078,              9014925,              4779816,                196950,             -1080316,               -437197,              3459253,,                              0,,,                              0,,,             -2159030,                 65038,               -217318,                -10633,                 63819,             -3044855,,             44963362,            -43383320,              3785255,             -1205783,                              0,                              0,              2232790,             -5650381,,                -30496,,                              0,                              0,                141324,                              0,                533033,                108310,              1055741,             13074262,             14130003,             14130003,,,                 -2947,             -1498470,             11572003,                -98328,,                 -8340,             -8465962,              5097956,,              1556521,              1033094,               -319718,                              0,,,,,,,,
