證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 預付投資款減少,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 其他金融資產（增加）減少,　　 其他金融資產減少,　　 預付設備款減少,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　 存出保證金減少,　　 發放現金股利,　　 取得採用權益法之投資,　　 短期借款增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動資產減少
2476,2015年01月01日至2015年06月30日,,                271220,                              0,                271220,,,                100020,                 24417,                   -821,                  1144,                  1626,                -27552,                  1240,                 -3927,                    382,                   -318,                 -5312,                 90899,,,                 -3459,                -46910,                    588,                 -5681,                     -9,                 37093,                 21660,                 39041,                 42323,,                     -4,                 55388,                    119,               -119164,                   -675,                  5187,                   -178,                -59327,                -17004,                 73895,                345115,                 19600,                 -1858,               -141715,                221142,,                -17549,                 13579,                -50170,                 96176,                      4,                              0,                -49506,                  5024,                    491,                   -290,                 58171,                -12607,                  2652,                              0,                              0,                 45975,,                 -4231,                              0,                 -3856,                              0,                -37414,                -45501,                -88428,                133188,              1212288,              1345476,              1345476,,,,,,,,,,,,,,,,,,,
2476,2015年01月01日至2015年03月31日,,                115403,                              0,                115403,,,                 50682,                 12465,                   -556,                    299,                    782,                -14232,                    616,                 -2628,                  1237,                    -32,                 -4046,                 44587,,,                  7090,                 15790,                    178,                 -5343,                      8,                 19937,                  1973,                 12915,                 52548,,                    -47,                 23435,                   -256,               -122499,                      6,                  7905,                  1023,                -90433,                -37885,                  6702,                122105,                 10573,                    -80,                -24550,                108048,,                -26486,                 13801,                -25250,                 25467,                              0,                              0,                -14877,                  1954,                    -75,                              0,,                 -8390,                 -4462,,,               -126015,,                 -4231,                 -2322,                              0,,                              0,                 -6553,                -37805,                -62325,              1212288,              1149963,              1149963,                              0,                              0,                -87697,                              0,                              0,,,,,,,,,,,,,,
2476,2014年01月01日至2014年09月30日,,                501310,,                501310,,,                157371,                 42154,                   -798,                    654,                    903,                -49657,                  3983,                -17534,                   -317,                 -2047,                 -7593,,,,                 -5200,                -23316,                    -86,                -16110,                      2,                 -1129,               -104701,,                276417,,                   -114,                109485,                     25,                -64137,                 -1154,                 -6835,,                 40278,                316695,                443814,                945124,                 55814,                   -972,               -101306,                898660,,               -129817,                 77674,,,                  2963,                              0,                -49726,                  1478,                              0,                              0,                              0,                -24095,                 -9067,                 32146,                              0,               -140145,,               -115000,                  1318,,                              0,               -158194,               -584586,                 -4519,                169410,              1495045,              1664455,              1664455,,                643490,                    603,                              0,,,                127119,               -216533,                              0,                  3008,                -79896,                 34251,                              0,                  3341,               -312710,,,,
2476,2014年01月01日至2014年06月30日,,                321423,                              0,                321423,,,                104791,                 26760,                   -906,                     55,                    767,                -36858,                  2641,                -14599,                   -208,                   -728,                 13439,                 95154,,,                 -7015,                 -3745,                    432,                -18817,                      8,                  2917,                    547,                -83191,               -108864,,                    286,                 84136,                     19,                -88679,                 -1770,                 -9880,                    937,                -14951,               -123815,                -28661,                292762,                 44088,                   -836,                -84993,                251021,,                -80178,                 69175,                -48200,                 34230,                    842,                              0,                -22486,                  1170,                  3030,                              0,                229480,                -12331,                -15072,                     98,                              0,                159758,,               -115000,                    856,                              0,                              0,                -58962,               -173106,                -86751,                150922,              1495045,              1645967,              1645967,,,,,,,,,,,,,,,,,,,
2476,2014年01月01日至2014年03月31日,,                149632,                              0,                149632,,,                 53089,                 13495,                   -549,                    515,                    471,                -19317,                  1313,                 -5599,                   -391,                   -309,                 -1213,                 41505,,,                 -3268,                 54064,                    144,                 -6641,                      2,                  7512,                    231,                  9809,                 61853,,                   -127,                 35383,                      1,                -93888,                 -2389,                  7457,                    466,                -53097,                  8756,                 50261,                199893,                 30002,                   -534,                -23150,                206211,,                -25796,                 32970,                -49819,                 34650,                              0,                              0,                -16745,                  1137,                   -822,                              0,,                 -5982,                 -7857,,,               -109301,,                -45000,                              0,                  1047,,                -53306,                -97259,                 -9332,                 -9681,              1495045,              1485364,              1485364,                              0,                              0,                -71037,                              0,                              0,,,,,,,,,,,,,,
2476,2013年01月01日至2013年12月31日,,                567730,,                567730,,,                210048,                 49938,                  6456,                 -4099,                  1302,                -68061,                  6866,                -37184,                  1009,                 -4660,                 -7105,,,,                 40539,               -134907,                   -347,                  2110,                    -10,                -25838,                -20386,                 56239,               -584450,,                   -640,                -16846,                    -15,                144505,                    265,                 29379,,                160407,               -424043,               -269533,                298197,                 61194,                 -1488,               -204611,                153292,,               -128782,                122348,,,                  7906,                  3799,               -194413,                  4618,                 -3908,                   -460,                 -9790,                -84412,,                 37475,                  8033,               -172236,,                              0,                 42752,,                   -226,                -61911,               -226077,                142997,               -102024,              1597069,              1495045,              1495045,,               -501850,,,,,                154510,,,                  3759,                              0,                 65350,                              0,                              0,               -244305,                              0,                 37613,,
2476,2013年01月01日至2013年09月30日,,                396530,,                396530,,,                154298,                 34300,                  7444,                    813,                    959,                -50466,                  5136,                -30480,                    248,                 -4637,                  1413,,,,                 32608,                -86676,                     78,                -13016,                    -17,                 -9502,                -72479,,                -76476,,                   -452,                 86113,                     -4,                 52154,                   -392,                 32298,,                172177,                 95701,                214729,                611259,                 47058,                 -1214,               -122845,                534258,,               -112001,                102030,,,                  7900,                  3799,               -168724,                  3945,                 -2292,                   -460,                 -8792,                -39124,                              0,                 37476,                  8018,                -63604,,                -77387,                 24499,,                   -226,                -58173,               -355592,                 87815,                202877,              1597069,              1799946,              1799946,,                 80076,                              0,                  4621,,,                119028,                 -7548,                     17,                  2443,                              0,                100000,                              0,                              0,               -244305,,,,
2476,2013年01月01日至2013年06月30日,,                236715,                              0,                236715,,,                106894,                 25093,                  3903,                   -592,                    745,                -34244,                  3405,                -23843,                    340,                 -4572,                 -2089,,,,                 30174,                -99851,                     76,                 -4905,                    -16,                -23854,                -45188,                 12343,               -279956,,                  4015,                 91810,                     34,                 69734,                 -1045,                 31120,,                196935,                -83021,                 -7981,                228734,                 25173,                   -999,                -94632,                158276,,               -102303,                103675,,,                  7900,                  3799,               -124269,                    890,                 -1515,                   -460,                 -4639,                -29291,                 -8535,                              0,                  7983,                -46765,,                -67387,                  6313,,                   -167,                -10491,                -71732,                141390,                181169,              1597069,              1778238,              1778238,,               -148735,,,,,                 75040,,,                  1267,                              0,                100000,,                              0,,,,,
2476,2013年01月01日至2013年03月31日,,                 88688,                              0,                 88688,,,                 53753,                  9768,                    966,                   -257,                    542,                -17344,                  1693,                -14378,                    282,                 -2373,                 -2260,,,,                 33077,                102594,                    102,                -16791,                     -5,                -15400,                -13836,                 -8668,                 71523,,                   -719,                 -4755,                     -1,                 27005,                 -1916,                 14994,,                 35532,                107055,                137447,                226135,                 23283,                   -720,                -24419,                224279,,                 -4772,                  7466,,,                  4280,                  3799,                -89093,                    191,                   -711,                   -475,,                 -6259,                              0,,,                 27306,,                -49589,                              0,                    -57,,                 -2925,                -52652,                109112,                308045,              1597069,              1905114,              1905114,                              0,                 -9550,                    224,                 12656,                    -81,,                 30392,,,                    924,                              0,                100000,,,,,,,
2476,2012年01月01日至2012年12月31日,,                704096,,                704096,,,                248270,                 31386,                  4374,                   -640,                  1385,                -55682,                  9352,                -49596,                  1257,                 -4992,                    858,,,,                -38376,                -64235,                    -60,                 -1989,                   -215,                -21455,                 13288,                -74496,                147926,,                 -2436,                106227,                 -1868,               -105051,                  2414,                 -4862,,                 -2187,                145739,                331711,              1035807,                 65278,                 -1240,               -164821,                935024,,                 -8489,                218623,,,                  2001,                              0,               -371152,                  6507,                              0,                 -1125,                 -2066,                -33573,,                 33659,                -24548,               -151009,,                -31322,                    252,,                   -345,                -19081,               -221509,                -82014,                480492,              1116577,              1597069,              1597069,,                335464,,,,,                185972,,,                  3389,                   -422,                 26569,                 -3799,                  9614,               -171013,                 -2808,                              0,,
